Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Bendigo (88150)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Axedale		10	1.85		10	1.85		12	2.21		0	0.00		0	0.00		0	0.00		22	4.06		276	50.92		0	0.00		3	0.55		153	28.23		8	1.48		27	4.98		0	0.00		1	0.18		20	3.69		0	0.00		0	0.00		542	95.93		23	4.07		565	0.66
Bealiba		1	0.54		4	2.15		2	1.08		0	0.00		0	0.00		0	0.00		18	9.68		94	50.54		0	0.00		0	0.00		55	29.57		0	0.00		4	2.15		0	0.00		0	0.00		8	4.30		0	0.00		0	0.00		186	96.37		7	3.63		193	0.23
Bendigo Base Hospital		9	3.61		7	2.81		4	1.61		0	0.00		0	0.00		0	0.00		5	2.01		85	34.14		2	0.80		0	0.00		95	38.15		6	2.41		19	7.63		0	0.00		15	6.02		2	0.80		0	0.00		0	0.00		249	96.51		9	3.49		258	0.30
Bendigo Central		33	1.76		26	1.39		28	1.50		0	0.00		2	0.11		1	0.05		38	2.03		697	37.23		3	0.16		5	0.27		608	32.48		35	1.87		185	9.88		0	0.00		1	0.05		208	11.11		0	0.00		2	0.11		1872	95.66		85	4.34		1957	2.30
Bendigo East		11	1.60		15	2.18		12	1.74		1	0.15		1	0.15		0	0.00		22	3.20		263	38.23		1	0.15		2	0.29		296	43.02		11	1.60		28	4.07		0	0.00		1	0.15		22	3.20		1	0.15		1	0.15		688	94.77		38	5.23		726	0.85
Bendigo North		20	2.42		19	2.30		8	0.97		0	0.00		0	0.00		2	0.24		24	2.90		265	32.04		2	0.24		6	0.73		405	48.97		7	0.85		37	4.47		0	0.00		0	0.00		32	3.87		0	0.00		0	0.00		827	94.51		48	5.49		875	1.03
Big Hill		11	2.21		10	2.01		3	0.60		0	0.00		0	0.00		0	0.00		19	3.82		229	45.98		3	0.60		4	0.80		152	30.52		12	2.41		24	4.82		0	0.00		1	0.20		30	6.02		0	0.00		0	0.00		498	94.14		31	5.86		529	0.62
Bowenvale		6	2.50		6	2.50		3	1.25		0	0.00		0	0.00		0	0.00		11	4.58		110	45.83		1	0.42		1	0.42		84	35.00		0	0.00		11	4.58		0	0.00		0	0.00		7	2.92		0	0.00		0	0.00		240	94.49		14	5.51		254	0.30
Bridgewater		9	2.16		9	2.16		3	0.72		0	0.00		0	0.00		0	0.00		29	6.97		230	55.29		1	0.24		0	0.00		95	22.84		11	2.64		18	4.33		0	0.00		1	0.24		10	2.40		0	0.00		0	0.00		416	92.65		33	7.35		449	0.53
California Gully		14	1.35		24	2.32		11	1.06		1	0.10		0	0.00		0	0.00		51	4.93		309	29.86		3	0.29		13	1.26		495	47.83		25	2.42		42	4.06		0	0.00		0	0.00		47	4.54		0	0.00		0	0.00		1035	93.24		75	6.76		1110	1.30
Campbells Creek		22	2.19		22	2.19		19	1.89		2	0.20		0	0.00		1	0.10		47	4.68		351	34.93		1	0.10		1	0.10		395	39.30		24	2.39		30	2.99		1	0.10		0	0.00		88	8.76		0	0.00		1	0.10		1005	95.44		48	4.56		1053	1.24
Carisbrook		11	1.45		18	2.38		11	1.45		0	0.00		1	0.13		2	0.26		45	5.94		342	45.18		2	0.26		2	0.26		291	38.44		1	0.13		15	1.98		0	0.00		0	0.00		16	2.11		0	0.00		0	0.00		757	95.94		32	4.06		789	0.93
Castlemaine		33	1.40		50	2.13		37	1.57		0	0.00		2	0.09		1	0.04		63	2.68		736	31.31		4	0.17		14	0.60		913	38.83		45	1.91		112	4.76		1	0.04		2	0.09		334	14.21		4	0.17		0	0.00		2351	96.16		94	3.84		2445	2.87
Castlemaine North		28	2.04		17	1.24		23	1.68		0	0.00		0	0.00		1	0.07		45	3.28		420	30.59		3	0.22		7	0.51		556	40.50		30	2.18		63	4.59		0	0.00		0	0.00		180	13.11		0	0.00		0	0.00		1373	95.08		71	4.92		1444	1.70
Central Deborah		16	2.29		14	2.01		5	0.72		0	0.00		0	0.00		1	0.14		22	3.15		287	41.12		2	0.29		0	0.00		235	33.67		7	1.00		51	7.31		0	0.00		0	0.00		57	8.17		0	0.00		1	0.14		698	96.68		24	3.32		722	0.85
Chewton		3	0.65		8	1.72		9	1.94		1	0.22		0	0.00		0	0.00		20	4.30		126	27.10		2	0.43		0	0.00		194	41.72		8	1.72		20	4.30		0	0.00		1	0.22		73	15.70		0	0.00		0	0.00		465	95.09		24	4.91		489	0.57
Comet Hill		45	2.99		46	3.05		9	0.60		2	0.13		1	0.07		2	0.13		59	3.92		505	33.53		6	0.40		11	0.73		687	45.62		16	1.06		64	4.25		1	0.07		2	0.13		49	3.25		0	0.00		1	0.07		1506	94.42		89	5.58		1595	1.87
Dunolly		14	1.86		7	0.93		9	1.20		2	0.27		0	0.00		0	0.00		72	9.57		301	40.03		3	0.40		4	0.53		279	37.10		9	1.20		12	1.60		0	0.00		1	0.13		38	5.05		0	0.00		1	0.13		752	93.07		56	6.93		808	0.95
Eaglehawk		57	2.23		66	2.59		21	0.82		4	0.16		3	0.12		3	0.12		127	4.98		825	32.33		2	0.08		13	0.51		1143	44.79		49	1.92		119	4.66		1	0.04		1	0.04		118	4.62		0	0.00		0	0.00		2552	94.10		160	5.90		2712	3.18
Eaglehawk North		4	0.92		6	1.37		10	2.29		0	0.00		0	0.00		0	0.00		28	6.41		120	27.46		0	0.00		1	0.23		212	48.51		7	1.60		24	5.49		0	0.00		0	0.00		25	5.72		0	0.00		0	0.00		437	96.26		17	3.74		454	0.53
