Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group  																																																															
By Polling Place																																																															
																																																															
Bruce (85447)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Albany Rise		66	2.11		78	2.49		27	0.86		3	0.10		0	0.00		4	0.13		50	1.59		1089	34.74		11	0.35		0	0.00		1440	45.93		16	0.51		280	8.93		0	0.00		3	0.10		68	2.17		0	0.00		0	0.00		3135	92.72		246	7.28		3381	4.13
Brandon Park		55	1.84		60	2.01		20	0.67		0	0.00		3	0.10		1	0.03		37	1.24		1300	43.45		14	0.47		2	0.07		1088	36.36		11	0.37		284	9.49		0	0.00		1	0.03		115	3.84		0	0.00		1	0.03		2992	94.59		171	5.41		3163	3.87
Brentwood		59	2.07		48	1.68		18	0.63		1	0.04		0	0.00		0	0.00		43	1.51		1340	46.95		16	0.56		1	0.04		942	33.01		11	0.39		249	8.72		0	0.00		2	0.07		116	4.06		1	0.04		7	0.25		2854	93.76		190	6.24		3044	3.72
Camelot		17	1.09		27	1.73		12	0.77		1	0.06		0	0.00		0	0.00		9	0.58		768	49.23		13	0.83		1	0.06		477	30.58		11	0.71		147	9.42		0	0.00		0	0.00		74	4.74		2	0.13		1	0.06		1560	95.53		73	4.47		1633	2.00
Clareville		41	1.92		60	2.81		15	0.70		2	0.09		1	0.05		2	0.09		38	1.78		652	30.52		21	0.98		1	0.05		1081	50.61		13	0.61		157	7.35		0	0.00		1	0.05		51	2.39		0	0.00		0	0.00		2136	92.35		177	7.65		2313	2.83
Dandenong North		76	2.71		100	3.56		32	1.14		0	0.00		1	0.04		4	0.14		67	2.39		704	25.09		14	0.50		1	0.04		1569	55.92		23	0.82		149	5.31		1	0.04		0	0.00		63	2.25		1	0.04		1	0.04		2806	89.94		314	10.06		3120	3.81
Dandenong West (Bruce)		33	3.92		42	4.99		7	0.83		1	0.12		1	0.12		1	0.12		23	2.73		231	27.43		1	0.12		0	0.00		416	49.41		10	1.19		49	5.82		0	0.00		3	0.36		23	2.73		0	0.00		1	0.12		842	90.64		87	9.36		929	1.14
Gladeswood		34	1.28		79	2.97		16	0.60		1	0.04		1	0.04		1	0.04		37	1.39		1013	38.05		18	0.68		1	0.04		1166	43.80		22	0.83		191	7.18		0	0.00		0	0.00		81	3.04		0	0.00		1	0.04		2662	92.30		222	7.70		2884	3.53
Glen Waverley Heights		22	1.51		27	1.85		9	0.62		0	0.00		0	0.00		0	0.00		28	1.92		617	42.38		8	0.55		0	0.00		517	35.51		10	0.69		138	9.48		0	0.00		1	0.07		78	5.36		0	0.00		1	0.07		1456	95.48		69	4.52		1525	1.86
Glen Waverley South		19	1.51		23	1.82		10	0.79		2	0.16		0	0.00		1	0.08		16	1.27		540	42.79		7	0.55		0	0.00		478	37.88		8	0.63		116	9.19		0	0.00		0	0.00		42	3.33		0	0.00		0	0.00		1262	94.18		78	5.82		1340	1.64
Harrisfield		61	2.40		92	3.61		19	0.75		0	0.00		1	0.04		3	0.12		54	2.12		658	25.84		10	0.39		3	0.12		1345	52.83		10	0.39		203	7.97		1	0.04		3	0.12		82	3.22		0	0.00		1	0.04		2546	89.15		310	10.85		2856	3.49
Highvale		43	2.09		33	1.60		14	0.68		0	0.00		1	0.05		0	0.00		26	1.26		1029	50.02		11	0.53		0	0.00		616	29.95		16	0.78		190	9.24		0	0.00		1	0.05		74	3.60		2	0.10		1	0.05		2057	95.06		107	4.94		2164	2.65
Jells Park		40	1.89		29	1.37		22	1.04		2	0.09		0	0.00		0	0.00		17	0.81		1284	60.82		11	0.52		0	0.00		426	20.18		8	0.38		197	9.33		0	0.00		0	0.00		74	3.51		0	0.00		1	0.05		2111	95.39		102	4.61		2213	2.71
Lyndale		78	2.27		149	4.35		29	0.85		2	0.06		1	0.03		4	0.12		68	1.98		918	26.77		27	0.79		1	0.03		1821	53.11		16	0.47		240	7.00		2	0.06		3	0.09		69	2.01		0	0.00		1	0.03		3429	90.45		362	9.55		3791	4.63
Melbourne (Bruce)		4	4.40		7	7.69		0	0.00		0	0.00		0	0.00		0	0.00		1	1.10		34	37.36		3	3.30		0	0.00		26	28.57		1	1.10		9	9.89		0	0.00		0	0.00		6	6.59		0	0.00		0	0.00		91	96.81		3	3.19		94	0.11
Monash East		27	2.37		19	1.67		13	1.14		1	0.09		0	0.00		0	0.00		28	2.46		396	34.74		13	1.14		2	0.18		477	41.84		5	0.44		100	8.77		2	0.18		0	0.00		55	4.82		1	0.09		1	0.09		1140	94.14		71	5.86		1211	1.48
Mount View		63	1.49		54	1.28		37	0.88		1	0.02		1	0.02		3	0.07		61	1.45		2382	56.46		28	0.66		2	0.05		974	23.09		31	0.73		380	9.01		1	0.02		1	0.02		189	4.48		0	0.00		11	0.26		4219	96.28		163	3.72		4382	5.36
Mulgrave		30	1.55		51	2.64		18	0.93		1	0.05		1	0.05		3	0.16		31	1.60		717	37.09		9	0.47		0	0.00		856	44.28		8	0.41		162	8.38		0	0.00		2	0.10		42	2.17		0	0.00		2	0.10		1933	93.16		142	6.84		2075	2.54
Oakwood Park		15	1.31		42	3.68		5	0.44		0	0.00		1	0.09		0	0.00		24	2.10		276	24.19		8	0.70		0	0.00		660	57.84		11	0.96		53	4.65		0	0.00		0	0.00		42	3.68		4	0.35		0	0.00		1141	91.94		100	8.06		1241	1.52
Pinewood (Bruce)		29	2.36		24	1.95		9	0.73		0	0.00		1	0.08		1	0.08		10	0.81		608	49.43		7	0.57		0	0.00		371	30.16		3	0.24		109	8.86		0	0.00		0	0.00		58	4.72		0	0.00		0	0.00		1230	95.57		57	4.43		1287	1.57
