Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Burke (88943)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bacchus Marsh		85	2.05		68	1.64		62	1.49		8	0.19		4	0.10		0	0.00		111	2.68		1681	40.53		5	0.12		1	0.02		1521	36.67		44	1.06		350	8.44		1	0.02		3	0.07		200	4.82		1	0.02		3	0.07		4148	91.41		390	8.59		4538	5.31
Bolinda		3	0.95		4	1.27		6	1.90		0	0.00		0	0.00		0	0.00		10	3.17		164	52.06		0	0.00		0	0.00		90	28.57		3	0.95		14	4.44		0	0.00		1	0.32		20	6.35		0	0.00		0	0.00		315	96.92		10	3.08		325	0.38
Brookside		22	1.11		49	2.47		19	0.96		0	0.00		1	0.05		0	0.00		33	1.66		566	28.53		2	0.10		0	0.00		1103	55.59		9	0.45		143	7.21		1	0.05		0	0.00		35	1.76		1	0.05		0	0.00		1984	95.34		97	4.66		2081	2.44
Bullengarook		10	2.73		5	1.37		5	1.37		0	0.00		0	0.00		1	0.27		15	4.10		130	35.52		0	0.00		0	0.00		112	30.60		1	0.27		24	6.56		0	0.00		0	0.00		63	17.21		0	0.00		0	0.00		366	95.81		16	4.19		382	0.45
Coburn		76	2.33		121	3.71		37	1.14		1	0.03		1	0.03		0	0.00		80	2.45		931	28.57		8	0.25		2	0.06		1641	50.35		23	0.71		226	6.93		1	0.03		3	0.09		106	3.25		2	0.06		0	0.00		3259	93.52		226	6.48		3485	4.08
Darley		53	1.79		57	1.92		32	1.08		1	0.03		1	0.03		1	0.03		85	2.86		1052	35.46		6	0.20		2	0.07		1274	42.94		18	0.61		265	8.93		2	0.07		4	0.13		110	3.71		1	0.03		3	0.10		2967	92.63		236	7.37		3203	3.75
Darraweit Guim		0	0.00		3	1.78		2	1.18		0	0.00		0	0.00		0	0.00		5	2.96		70	41.42		1	0.59		1	0.59		49	28.99		0	0.00		18	10.65		0	0.00		0	0.00		20	11.83		0	0.00		0	0.00		169	97.13		5	2.87		174	0.20
Deer Park		9	1.10		27	3.30		9	1.10		0	0.00		0	0.00		2	0.24		19	2.33		118	14.44		9	1.10		0	0.00		549	67.20		5	0.61		37	4.53		1	0.12		3	0.37		27	3.30		1	0.12		1	0.12		817	94.56		47	5.44		864	1.01
Deer Park Central		35	1.51		90	3.88		27	1.16		1	0.04		3	0.13		2	0.09		24	1.03		426	18.37		5	0.22		2	0.09		1507	64.98		6	0.26		140	6.04		1	0.04		1	0.04		41	1.77		8	0.34		0	0.00		2319	87.87		320	12.13		2639	3.09
Deer Park West		71	2.14		138	4.16		33	1.00		2	0.06		2	0.06		2	0.06		66	1.99		652	19.66		12	0.36		1	0.03		2071	62.45		17	0.51		142	4.28		3	0.09		3	0.09		100	3.02		1	0.03		0	0.00		3316	88.26		441	11.74		3757	4.40
Gisborne		41	1.27		35	1.09		41	1.27		0	0.00		1	0.03		1	0.03		71	2.21		1538	47.78		12	0.37		3	0.09		946	29.39		17	0.53		276	8.57		0	0.00		1	0.03		235	7.30		1	0.03		0	0.00		3219	95.69		145	4.31		3364	3.94
Killara		10	1.07		23	2.46		6	0.64		2	0.21		0	0.00		0	0.00		12	1.28		367	39.21		1	0.11		0	0.00		389	41.56		4	0.43		85	9.08		0	0.00		0	0.00		34	3.63		3	0.32		0	0.00		936	96.69		32	3.31		968	1.13
Kurunjang		40	2.09		48	2.50		17	0.89		0	0.00		3	0.16		2	0.10		32	1.67		525	27.37		6	0.31		1	0.05		1013	52.82		16	0.83		154	8.03		2	0.10		2	0.10		57	2.97		0	0.00		0	0.00		1918	94.90		103	5.10		2021	2.37
Kyneton		82	2.38		48	1.40		37	1.08		5	0.15		1	0.03		0	0.00		118	3.43		1470	42.74		7	0.20		7	0.20		1231	35.80		19	0.55		159	4.62		1	0.03		5	0.15		243	7.07		2	0.06		4	0.12		3439	94.40		204	5.60		3643	4.26
Lancefield		22	1.71		28	2.18		18	1.40		1	0.08		0	0.00		1	0.08		54	4.20		569	44.25		5	0.39		1	0.08		418	32.50		14	1.09		70	5.44		0	0.00		1	0.08		81	6.30		1	0.08		2	0.16		1286	94.70		72	5.30		1358	1.59
Macedon		20	1.78		21	1.87		29	2.58		0	0.00		1	0.09		0	0.00		25	2.22		419	37.21		0	0.00		1	0.09		353	31.35		5	0.44		116	10.30		0	0.00		0	0.00		135	11.99		0	0.00		1	0.09		1126	95.18		57	4.82		1183	1.38
Malmsbury		8	2.39		9	2.69		6	1.79		0	0.00		0	0.00		1	0.30		12	3.58		122	36.42		0	0.00		0	0.00		119	35.52		0	0.00		16	4.78		0	0.00		0	0.00		42	12.54		0	0.00		0	0.00		335	91.78		30	8.22		365	0.43
Melbourne (Burke)		3	3.00		3	3.00		3	3.00		0	0.00		0	0.00		0	0.00		1	1.00		31	31.00		2	2.00		0	0.00		32	32.00		0	0.00		15	15.00		0	0.00		0	0.00		9	9.00		1	1.00		0	0.00		100	97.09		3	2.91		103	0.12
Melton		86	2.34		113	3.07		39	1.06		4	0.11		2	0.05		4	0.11		99	2.69		1083	29.46		5	0.14		2	0.05		1843	50.14		13	0.35		247	6.72		4	0.11		4	0.11		121	3.29		5	0.14		2	0.05		3676	92.29		307	7.71		3983	4.66
Melton Central		3	0.76		14	3.54		5	1.26		0	0.00		0	0.00		0	0.00		14	3.54		126	31.82		2	0.51		0	0.00		194	48.99		4	1.01		22	5.56		1	0.25		0	0.00		10	2.53		0	0.00		1	0.25		396	93.84		26	6.16		422	0.49
