Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Calwell (98330)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bethal		58	2.54		103	4.51		27	1.18		22	0.96		2	0.09		2	0.09		37	1.62		276	12.09		18	0.79		3	0.13		1618	70.87		9	0.39		66	2.89		0	0.00		1	0.04		39	1.71		1	0.04		1	0.04		2283	92.88		175	7.12		2458	2.50
Broadmeadows		68	3.82		87	4.89		26	1.46		0	0.00		0	0.00		2	0.11		41	2.30		238	13.38		9	0.51		0	0.00		1227	68.97		2	0.11		42	2.36		1	0.06		1	0.06		33	1.85		0	0.00		2	0.11		1779	90.08		196	9.92		1975	2.01
Broadmeadows North		71	2.13		163	4.88		42	1.26		25	0.75		2	0.06		2	0.06		67	2.01		517	15.48		13	0.39		3	0.09		2223	66.56		15	0.45		128	3.83		1	0.03		2	0.06		65	1.95		1	0.03		0	0.00		3340	90.88		335	9.12		3675	3.74
Bulla		9	2.54		10	2.82		5	1.41		0	0.00		0	0.00		0	0.00		15	4.23		165	46.48		0	0.00		0	0.00		117	32.96		0	0.00		18	5.07		0	0.00		0	0.00		14	3.94		2	0.56		0	0.00		355	95.43		17	4.57		372	0.38
Campbellfield		49	2.48		94	4.77		23	1.17		8	0.41		2	0.10		1	0.05		24	1.22		264	13.39		9	0.46		3	0.15		1376	69.78		7	0.35		77	3.90		0	0.00		1	0.05		33	1.67		1	0.05		0	0.00		1972	91.04		194	8.96		2166	2.20
Coolaroo		33	1.90		67	3.86		36	2.07		2	0.12		3	0.17		0	0.00		45	2.59		269	15.48		11	0.63		3	0.17		1146	65.94		6	0.35		66	3.80		2	0.12		2	0.12		47	2.70		0	0.00		0	0.00		1738	91.14		169	8.86		1907	1.94
Delahey		72	1.87		185	4.79		19	0.49		0	0.00		0	0.00		1	0.03		34	0.88		590	15.29		11	0.29		1	0.03		2726	70.64		8	0.21		148	3.84		0	0.00		0	0.00		63	1.63		1	0.03		0	0.00		3859	92.70		304	7.30		4163	4.23
Diggers Rest		17	1.57		24	2.21		14	1.29		2	0.18		1	0.09		0	0.00		35	3.23		362	33.39		2	0.18		0	0.00		512	47.23		6	0.55		72	6.64		2	0.18		0	0.00		35	3.23		0	0.00		0	0.00		1084	94.59		62	5.41		1146	1.17
Gladstone Park		78	1.98		117	2.97		57	1.45		8	0.20		1	0.03		5	0.13		57	1.45		1176	29.83		10	0.25		1	0.03		2042	51.80		14	0.36		242	6.14		1	0.03		6	0.15		125	3.17		2	0.05		0	0.00		3942	91.87		349	8.13		4291	4.36
Gladstone Views		48	1.76		74	2.71		42	1.54		2	0.07		1	0.04		2	0.07		65	2.38		798	29.24		5	0.18		0	0.00		1466	53.72		10	0.37		140	5.13		1	0.04		3	0.11		71	2.60		1	0.04		0	0.00		2729	92.20		231	7.80		2960	3.01
Glenroy West		77	2.88		98	3.66		63	2.36		8	0.30		4	0.15		0	0.00		59	2.21		761	28.46		7	0.26		1	0.04		1316	49.21		15	0.56		147	5.50		1	0.04		3	0.11		113	4.23		0	0.00		1	0.04		2674	90.71		274	9.29		2948	3.00
Greenvale		92	2.03		147	3.24		68	1.50		5	0.11		4	0.09		2	0.04		54	1.19		1797	39.56		17	0.37		0	0.00		1894	41.70		9	0.20		344	7.57		0	0.00		0	0.00		108	2.38		0	0.00		1	0.02		4542	92.11		389	7.89		4931	5.01
Jacana		31	2.14		70	4.83		25	1.73		2	0.14		2	0.14		3	0.21		41	2.83		278	19.20		5	0.35		0	0.00		865	59.74		10	0.69		87	6.01		0	0.00		0	0.00		28	1.93		0	0.00		1	0.07		1448	92.11		124	7.89		1572	1.60
Keilor		109	2.98		77	2.10		50	1.37		3	0.08		0	0.00		0	0.00		84	2.30		1700	46.47		13	0.36		3	0.08		1188	32.48		11	0.30		225	6.15		0	0.00		3	0.08		188	5.14		4	0.11		0	0.00		3658	92.56		294	7.44		3952	4.02
Keilor Downs		72	2.60		96	3.47		33	1.19		5	0.18		1	0.04		2	0.07		62	2.24		747	27.00		12	0.43		1	0.04		1450	52.40		7	0.25		207	7.48		0	0.00		2	0.07		70	2.53		0	0.00		0	0.00		2767	91.96		242	8.04		3009	3.06
Meadow Fair		26	2.29		36	3.17		10	0.88		0	0.00		3	0.26		0	0.00		33	2.91		156	13.76		6	0.53		0	0.00		786	69.31		4	0.35		46	4.06		0	0.00		1	0.09		26	2.29		0	0.00		1	0.09		1134	90.29		122	9.71		1256	1.28
Meadow Heights		80	1.87		183	4.27		67	1.56		8	0.19		2	0.05		1	0.02		32	0.75		496	11.58		14	0.33		2	0.05		3024	70.57		17	0.40		220	5.13		1	0.02		5	0.12		133	3.10		0	0.00		0	0.00		4285	93.42		302	6.58		4587	4.66
Melbourne (Calwell)		3	3.45		9	10.34		0	0.00		0	0.00		0	0.00		0	0.00		1	1.15		30	34.48		0	0.00		1	1.15		31	35.63		0	0.00		8	9.20		0	0.00		0	0.00		4	4.60		0	0.00		0	0.00		87	95.60		4	4.40		91	0.09
Melbourne Airport		2	1.14		7	3.98		2	1.14		0	0.00		0	0.00		0	0.00		4	2.27		49	27.84		0	0.00		0	0.00		99	56.25		0	0.00		10	5.68		0	0.00		0	0.00		3	1.70		0	0.00		0	0.00		176	96.70		6	3.30		182	0.19
Monmia		87	2.27		196	5.12		55	1.44		3	0.08		1	0.03		3	0.08		44	1.15		840	21.95		17	0.44		4	0.10		2259	59.03		17	0.44		232	6.06		0	0.00		2	0.05		62	1.62		3	0.08		2	0.05		3827	90.77		389	9.23		4216	4.29
