Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Casey (85278)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bayswater North		52	1.67		57	1.83		33	1.06		1	0.03		2	0.06		2	0.06		56	1.79		1409	45.12		3	0.10		2	0.06		1080	34.58		32	1.02		288	9.22		0	0.00		3	0.10		101	3.23		0	0.00		2	0.06		3123	95.77		138	4.23		3261	3.98
Bimbadeen Heights		27	1.40		29	1.51		20	1.04		1	0.05		2	0.10		2	0.10		28	1.46		886	46.05		4	0.21		0	0.00		606	31.50		23	1.20		199	10.34		0	0.00		2	0.10		94	4.89		1	0.05		0	0.00		1924	95.82		84	4.18		2008	2.45
Birmingham		74	2.02		53	1.45		40	1.09		1	0.03		1	0.03		3	0.08		99	2.71		1558	42.60		6	0.16		4	0.11		999	27.32		114	3.12		413	11.29		1	0.03		8	0.22		282	7.71		0	0.00		1	0.03		3657	94.67		206	5.33		3863	4.71
Chirnside Park		40	1.54		32	1.23		16	0.62		2	0.08		1	0.04		1	0.04		56	2.16		1365	52.54		7	0.27		0	0.00		730	28.10		17	0.65		233	8.97		0	0.00		5	0.19		93	3.58		0	0.00		0	0.00		2598	95.41		125	4.59		2723	3.32
Coldstream		26	1.95		25	1.87		14	1.05		1	0.07		0	0.00		0	0.00		43	3.22		694	52.02		5	0.37		0	0.00		347	26.01		16	1.20		93	6.97		0	0.00		0	0.00		70	5.25		0	0.00		0	0.00		1334	95.35		65	4.65		1399	1.71
Croydon		21	1.68		32	2.57		11	0.88		0	0.00		0	0.00		1	0.08		19	1.52		552	44.27		7	0.56		0	0.00		421	33.76		7	0.56		97	7.78		0	0.00		3	0.24		76	6.09		0	0.00		0	0.00		1247	95.34		61	4.66		1308	1.60
Croydon Central		40	1.50		52	1.95		29	1.09		0	0.00		2	0.08		21	0.79		42	1.58		1189	44.62		4	0.15		0	0.00		754	28.29		21	0.79		270	10.13		1	0.04		9	0.34		225	8.44		4	0.15		2	0.08		2665	95.38		129	4.62		2794	3.41
Croydon East		56	1.94		54	1.87		33	1.14		2	0.07		1	0.03		1	0.03		64	2.21		1290	44.64		8	0.28		0	0.00		906	31.35		33	1.14		251	8.69		1	0.03		6	0.21		183	6.33		0	0.00		1	0.03		2890	93.95		186	6.05		3076	3.75
Croydon Hills		57	1.58		67	1.85		37	1.02		1	0.03		0	0.00		4	0.11		43	1.19		2013	55.67		4	0.11		0	0.00		897	24.81		31	0.86		301	8.32		0	0.00		10	0.28		150	4.15		0	0.00		1	0.03		3616	96.45		133	3.55		3749	4.57
Croydon North		37	1.47		34	1.35		25	0.99		2	0.08		0	0.00		3	0.12		55	2.18		1158	45.92		12	0.48		0	0.00		747	29.62		28	1.11		239	9.48		1	0.04		6	0.24		175	6.94		0	0.00		0	0.00		2522	95.24		126	4.76		2648	3.23
Croydon West		36	1.99		43	2.37		17	0.94		2	0.11		0	0.00		1	0.06		26	1.43		816	45.03		3	0.17		0	0.00		596	32.89		15	0.83		132	7.28		1	0.06		3	0.17		121	6.68		0	0.00		0	0.00		1812	95.72		81	4.28		1893	2.31
Gruyere		7	2.34		4	1.34		2	0.67		0	0.00		0	0.00		0	0.00		3	1.00		189	63.21		1	0.33		1	0.33		55	18.39		0	0.00		14	4.68		0	0.00		1	0.33		22	7.36		0	0.00		0	0.00		299	94.03		19	5.97		318	0.39
Kallista (Casey)		19	2.14		9	1.01		8	0.90		0	0.00		0	0.00		1	0.11		14	1.58		284	32.02		4	0.45		0	0.00		245	27.62		4	0.45		117	13.19		0	0.00		1	0.11		178	20.07		1	0.11		2	0.23		887	96.62		31	3.38		918	1.12
Kilsyth		44	1.77		50	2.01		27	1.08		4	0.16		0	0.00		1	0.04		86	3.45		1041	41.77		10	0.40		0	0.00		870	34.91		27	1.08		205	8.23		0	0.00		5	0.20		118	4.74		3	0.12		1	0.04		2492	94.25		152	5.75		2644	3.22
Kilsyth South		29	1.92		33	2.18		12	0.79		0	0.00		1	0.07		0	0.00		40	2.65		667	44.11		4	0.26		0	0.00		523	34.59		14	0.93		111	7.34		1	0.07		2	0.13		75	4.96		0	0.00		0	0.00		1512	95.58		70	4.42		1582	1.93
Lilydale		68	2.40		51	1.80		34	1.20		2	0.07		0	0.00		1	0.04		72	2.55		1311	46.34		6	0.21		2	0.07		828	29.27		36	1.27		274	9.69		1	0.04		5	0.18		138	4.88		0	0.00		0	0.00		2829	93.86		185	6.14		3014	3.68
Lilydale Lake		32	1.62		29	1.47		25	1.27		0	0.00		0	0.00		0	0.00		52	2.64		1017	51.60		5	0.25		0	0.00		529	26.84		23	1.17		205	10.40		0	0.00		2	0.10		51	2.59		1	0.05		0	0.00		1971	97.53		50	2.47		2021	2.47
Lilydale North		17	2.33		12	1.65		8	1.10		2	0.27		1	0.14		0	0.00		10	1.37		317	43.48		1	0.14		1	0.14		239	32.78		12	1.65		83	11.39		1	0.14		1	0.14		24	3.29		0	0.00		0	0.00		729	94.80		40	5.20		769	0.94
Lilydale West		93	3.09		59	1.96		23	0.76		2	0.07		1	0.03		7	0.23		53	1.76		1542	51.25		12	0.40		0	0.00		795	26.42		35	1.16		256	8.51		0	0.00		4	0.13		126	4.19		1	0.03		0	0.00		3009	92.93		229	7.07		3238	3.95
Manchester		35	1.93		41	2.26		15	0.83		0	0.00		2	0.11		1	0.06		48	2.65		791	43.65		4	0.22		0	0.00		626	34.55		36	1.99		136	7.51		0	0.00		0	0.00		75	4.14		2	0.11		0	0.00		1812	95.52		85	4.48		1897	2.31
