Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Chisholm (86680)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ashwood		79	2.24		52	1.47		30	0.85		0	0.00		1	0.03		1	0.03		58	1.64		1317	37.31		19	0.54		3	0.08		1337	37.88		20	0.57		332	9.41		1	0.03		1	0.03		277	7.85		2	0.06		0	0.00		3530	94.89		190	5.11		3720	4.49
Bennettswood		52	1.94		66	2.46		31	1.16		3	0.11		3	0.11		1	0.04		38	1.42		1028	38.39		14	0.52		2	0.07		1099	41.04		11	0.41		178	6.65		0	0.00		1	0.04		151	5.64		0	0.00		0	0.00		2678	92.19		227	7.81		2905	3.51
Box Hill		33	1.72		27	1.41		20	1.04		3	0.16		0	0.00		0	0.00		24	1.25		633	33.02		12	0.63		0	0.00		728	37.98		14	0.73		218	11.37		0	0.00		1	0.05		203	10.59		0	0.00		1	0.05		1917	94.57		110	5.43		2027	2.45
Box Hill Central		31	2.03		34	2.23		9	0.59		2	0.13		0	0.00		0	0.00		16	1.05		528	34.58		10	0.65		2	0.13		597	39.10		6	0.39		146	9.56		0	0.00		3	0.20		142	9.30		0	0.00		1	0.07		1527	96.28		59	3.72		1586	1.92
Box Hill North		20	1.52		30	2.28		10	0.76		0	0.00		0	0.00		0	0.00		8	0.61		491	37.40		5	0.38		0	0.00		494	37.62		9	0.69		128	9.75		1	0.08		0	0.00		116	8.83		0	0.00		1	0.08		1313	96.54		47	3.46		1360	1.64
Box Hill South		25	1.47		19	1.12		12	0.71		1	0.06		0	0.00		0	0.00		23	1.35		639	37.57		8	0.47		0	0.00		594	34.92		10	0.59		197	11.58		0	0.00		2	0.12		167	9.82		1	0.06		3	0.18		1701	94.66		96	5.34		1797	2.17
Burwood Central		35	1.87		23	1.23		15	0.80		0	0.00		1	0.05		0	0.00		22	1.18		776	41.52		7	0.37		1	0.05		614	32.85		15	0.80		174	9.31		1	0.05		0	0.00		183	9.79		0	0.00		2	0.11		1869	93.54		129	6.46		1998	2.41
Chadstone East		42	1.94		54	2.50		21	0.97		1	0.05		2	0.09		0	0.00		34	1.57		625	28.94		9	0.42		1	0.05		990	45.83		12	0.56		229	10.60		1	0.05		2	0.09		135	6.25		1	0.05		1	0.05		2160	91.91		190	8.09		2350	2.84
Clayton		37	2.32		41	2.57		12	0.75		1	0.06		2	0.13		0	0.00		26	1.63		392	24.61		4	0.25		3	0.19		841	52.79		33	2.07		133	8.35		0	0.00		2	0.13		63	3.95		3	0.19		0	0.00		1593	92.67		126	7.33		1719	2.08
Clayton East		37	2.97		26	2.09		13	1.05		1	0.08		2	0.16		3	0.24		13	1.05		335	26.93		9	0.72		1	0.08		661	53.14		8	0.64		84	6.75		0	0.00		1	0.08		49	3.94		0	0.00		1	0.08		1244	90.54		130	9.46		1374	1.66
Clayton North		44	2.65		47	2.83		10	0.60		1	0.06		2	0.12		0	0.00		22	1.32		463	27.84		11	0.66		0	0.00		773	46.48		12	0.72		167	10.04		1	0.06		1	0.06		108	6.49		0	0.00		1	0.06		1663	91.78		149	8.22		1812	2.19
Elgar Park		32	1.75		6	0.33		19	1.04		0	0.00		2	0.11		0	0.00		16	0.87		856	46.72		1	0.05		0	0.00		465	25.38		11	0.60		190	10.37		0	0.00		0	0.00		233	12.72		1	0.05		0	0.00		1832	95.92		78	4.08		1910	2.31
Essex Heights		55	1.80		55	1.80		29	0.95		1	0.03		2	0.07		1	0.03		50	1.64		1382	45.24		11	0.36		0	0.00		973	31.85		17	0.56		278	9.10		0	0.00		0	0.00		199	6.51		0	0.00		2	0.07		3055	95.14		156	4.86		3211	3.88
Glendal		52	2.02		30	1.16		14	0.54		1	0.04		0	0.00		0	0.00		34	1.32		1182	45.85		14	0.54		3	0.12		807	31.30		19	0.74		246	9.54		0	0.00		0	0.00		174	6.75		1	0.04		1	0.04		2578	95.48		122	4.52		2700	3.26
Huntingdale		32	3.35		31	3.25		9	0.94		1	0.10		0	0.00		1	0.10		25	2.62		257	26.91		5	0.52		0	0.00		447	46.81		6	0.63		92	9.63		0	0.00		0	0.00		47	4.92		0	0.00		2	0.21		955	91.39		90	8.61		1045	1.26
Kerrimuir		44	1.68		29	1.11		24	0.92		0	0.00		0	0.00		1	0.04		26	0.99		1043	39.78		8	0.31		1	0.04		983	37.49		20	0.76		261	9.95		1	0.04		3	0.11		177	6.75		0	0.00		1	0.04		2622	94.55		151	5.45		2773	3.35
Koonung Heights		30	1.20		31	1.24		28	1.12		1	0.04		1	0.04		0	0.00		33	1.32		1065	42.70		5	0.20		0	0.00		737	29.55		11	0.44		318	12.75		0	0.00		2	0.08		232	9.30		0	0.00		0	0.00		2494	95.48		118	4.52		2612	3.15
Manooka		34	2.32		28	1.91		10	0.68		0	0.00		0	0.00		0	0.00		20	1.36		568	38.69		4	0.27		1	0.07		593	40.40		8	0.54		138	9.40		1	0.07		0	0.00		61	4.16		1	0.07		1	0.07		1468	92.56		118	7.44		1586	1.92
Melbourne (Chisholm)		3	3.57		4	4.76		1	1.19		0	0.00		0	0.00		0	0.00		0	0.00		22	26.19		0	0.00		0	0.00		28	33.33		1	1.19		10	11.90		0	0.00		1	1.19		13	15.48		1	1.19		0	0.00		84	95.45		4	4.55		88	0.11
Mont Albert		30	1.42		16	0.76		25	1.18		0	0.00		1	0.05		0	0.00		9	0.43		1028	48.70		3	0.14		0	0.00		460	21.79		23	1.09		273	12.93		0	0.00		0	0.00		239	11.32		1	0.05		3	0.14		2111	96.17		84	3.83		2195	2.65
