Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Corangamite (85955)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aireys Inlet		16	2.66		10	1.66		6	1.00		0	0.00		0	0.00		1	0.17		10	1.66		201	33.39		0	0.00		0	0.00		162	26.91		1	0.17		54	8.97		0	0.00		0	0.00		140	23.26		1	0.17		0	0.00		602	96.01		25	3.99		627	0.76
Alvie		5	2.99		6	3.59		2	1.20		1	0.60		0	0.00		0	0.00		16	9.58		99	59.28		0	0.00		0	0.00		22	13.17		1	0.60		11	6.59		0	0.00		0	0.00		4	2.40		0	0.00		0	0.00		167	93.82		11	6.18		178	0.21
Anglesea		33	2.29		21	1.46		17	1.18		0	0.00		0	0.00		1	0.07		25	1.73		600	41.64		1	0.07		1	0.07		401	27.83		13	0.90		149	10.34		0	0.00		1	0.07		178	12.35		0	0.00		0	0.00		1441	94.62		82	5.38		1523	1.84
Apollo Bay		53	4.88		15	1.38		18	1.66		2	0.18		0	0.00		0	0.00		31	2.85		457	42.08		1	0.09		3	0.28		277	25.51		4	0.37		74	6.81		0	0.00		0	0.00		151	13.90		0	0.00		0	0.00		1086	93.06		81	6.94		1167	1.41
Bannockburn		15	1.10		22	1.62		16	1.18		4	0.29		1	0.07		1	0.07		36	2.65		631	46.47		8	0.59		1	0.07		426	31.37		8	0.59		118	8.69		0	0.00		2	0.15		69	5.08		0	0.00		0	0.00		1358	93.91		88	6.09		1446	1.74
Barongarook		5	3.55		5	3.55		2	1.42		0	0.00		0	0.00		0	0.00		5	3.55		73	51.77		0	0.00		0	0.00		39	27.66		1	0.71		4	2.84		0	0.00		0	0.00		7	4.96		0	0.00		0	0.00		141	94.00		9	6.00		150	0.18
Barwon Heads		23	1.44		23	1.44		15	0.94		2	0.13		0	0.00		1	0.06		27	1.70		604	37.94		4	0.25		2	0.13		505	31.72		4	0.25		176	11.06		0	0.00		2	0.13		203	12.75		1	0.06		0	0.00		1592	95.90		68	4.10		1660	2.00
Beeac		10	3.04		2	0.61		8	2.43		0	0.00		1	0.30		1	0.30		15	4.56		185	56.23		2	0.61		1	0.30		90	27.36		0	0.00		7	2.13		0	0.00		0	0.00		7	2.13		0	0.00		0	0.00		329	91.39		31	8.61		360	0.43
Bellbrae		12	2.13		3	0.53		9	1.60		0	0.00		0	0.00		0	0.00		2	0.36		235	41.74		1	0.18		1	0.18		161	28.60		0	0.00		53	9.41		0	0.00		0	0.00		84	14.92		0	0.00		2	0.36		563	97.40		15	2.60		578	0.70
Belmont		37	1.86		35	1.76		19	0.95		2	0.10		1	0.05		0	0.00		42	2.11		930	46.64		3	0.15		2	0.10		611	30.64		23	1.15		150	7.52		3	0.15		1	0.05		134	6.72		1	0.05		0	0.00		1994	95.04		104	4.96		2098	2.53
Belmont North		49	2.23		44	2.01		16	0.73		1	0.05		1	0.05		1	0.05		31	1.41		947	43.16		2	0.09		0	0.00		723	32.95		16	0.73		218	9.94		0	0.00		1	0.05		142	6.47		2	0.09		0	0.00		2194	94.49		128	5.51		2322	2.80
Birregurra		10	1.83		11	2.02		8	1.47		1	0.18		0	0.00		0	0.00		16	2.94		274	50.28		2	0.37		0	0.00		167	30.64		0	0.00		22	4.04		0	0.00		0	0.00		33	6.06		0	0.00		1	0.18		545	91.29		52	8.71		597	0.72
Carlisle River		5	5.10		1	1.02		1	1.02		0	0.00		0	0.00		0	0.00		5	5.10		61	62.24		0	0.00		0	0.00		15	15.31		0	0.00		3	3.06		0	0.00		1	1.02		6	6.12		0	0.00		0	0.00		98	98.99		1	1.01		99	0.12
Ceres		11	1.94		5	0.88		4	0.70		0	0.00		0	0.00		0	0.00		8	1.41		349	61.44		1	0.18		0	0.00		107	18.84		5	0.88		42	7.39		0	0.00		1	0.18		35	6.16		0	0.00		0	0.00		568	95.62		26	4.38		594	0.72
Colac		44	2.70		48	2.94		21	1.29		1	0.06		3	0.18		2	0.12		50	3.06		815	49.94		5	0.31		2	0.12		489	29.96		6	0.37		70	4.29		0	0.00		1	0.06		74	4.53		0	0.00		1	0.06		1632	92.15		139	7.85		1771	2.13
Colac East		59	3.00		40	2.03		33	1.68		1	0.05		2	0.10		2	0.10		80	4.06		1030	52.31		4	0.20		0	0.00		522	26.51		9	0.46		119	6.04		1	0.05		0	0.00		66	3.35		0	0.00		1	0.05		1969	92.79		153	7.21		2122	2.56
Colac West		52	2.74		34	1.79		25	1.32		2	0.11		0	0.00		0	0.00		75	3.95		1015	53.45		9	0.47		2	0.11		527	27.75		11	0.58		79	4.16		0	0.00		2	0.11		65	3.42		0	0.00		1	0.05		1899	93.00		143	7.00		2042	2.46
Collendina		46	1.49		52	1.69		29	0.94		1	0.03		3	0.10		0	0.00		51	1.65		1292	41.88		7	0.23		0	0.00		1030	33.39		22	0.71		325	10.53		0	0.00		1	0.03		226	7.33		0	0.00		0	0.00		3085	95.45		147	4.55		3232	3.90
Connewarre		1	0.40		2	0.81		3	1.21		0	0.00		0	0.00		0	0.00		8	3.23		115	46.37		1	0.40		1	0.40		75	30.24		0	0.00		14	5.65		0	0.00		0	0.00		28	11.29		0	0.00		0	0.00		248	96.50		9	3.50		257	0.31
Cororooke		11	2.64		6	1.44		5	1.20		0	0.00		0	0.00		0	0.00		26	6.24		218	52.28		1	0.24		1	0.24		107	25.66		0	0.00		24	5.76		0	0.00		0	0.00		17	4.08		0	0.00		1	0.24		417	92.46		34	7.54		451	0.54
