Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Deakin (85208)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Antonio Park		19	1.28		31	2.09		11	0.74		2	0.13		0	0.00		2	0.13		24	1.62		656	44.15		2	0.13		0	0.00		420	28.26		30	2.02		154	10.36		0	0.00		2	0.13		132	8.88		0	0.00		1	0.07		1486	95.99		62	4.01		1548	1.90
Bedford Road		24	1.62		38	2.56		18	1.21		2	0.13		0	0.00		5	0.34		19	1.28		558	37.63		5	0.34		1	0.07		543	36.61		7	0.47		177	11.94		0	0.00		3	0.20		82	5.53		0	0.00		1	0.07		1483	95.31		73	4.69		1556	1.91
Blackburn		20	1.48		18	1.33		11	0.81		1	0.07		0	0.00		0	0.00		23	1.70		632	46.78		4	0.30		1	0.07		335	24.80		12	0.89		169	12.51		0	0.00		7	0.52		116	8.59		0	0.00		2	0.15		1351	96.71		46	3.29		1397	1.71
Blackburn Lake		37	1.62		22	0.96		24	1.05		0	0.00		2	0.09		1	0.04		24	1.05		1010	44.14		3	0.13		0	0.00		610	26.66		19	0.83		277	12.11		0	0.00		4	0.17		253	11.06		1	0.04		1	0.04		2288	96.13		92	3.87		2380	2.92
Blackburn North		36	2.08		39	2.25		19	1.10		3	0.17		0	0.00		1	0.06		21	1.21		698	40.28		8	0.46		1	0.06		547	31.56		20	1.15		231	13.33		0	0.00		1	0.06		107	6.17		1	0.06		0	0.00		1733	95.32		85	4.68		1818	2.23
Blackburn South		74	2.32		50	1.57		20	0.63		2	0.06		0	0.00		2	0.06		32	1.00		1307	40.95		9	0.28		1	0.03		1096	34.34		36	1.13		323	10.12		1	0.03		2	0.06		235	7.36		2	0.06		0	0.00		3192	94.77		176	5.23		3368	4.13
Blackburn West		71	1.68		56	1.32		49	1.16		1	0.02		0	0.00		0	0.00		60	1.42		1648	38.92		15	0.35		4	0.09		1546	36.51		28	0.66		430	10.16		1	0.02		5	0.12		315	7.44		3	0.07		2	0.05		4234	95.17		215	4.83		4449	5.45
Burwood Heights		70	2.05		83	2.43		31	0.91		3	0.09		2	0.06		1	0.03		41	1.20		1257	36.84		17	0.50		1	0.03		1460	42.79		19	0.56		312	9.14		2	0.06		2	0.06		107	3.14		1	0.03		3	0.09		3412	93.20		249	6.80		3661	4.49
Cheong Park		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
Croydon South		39	1.56		49	1.96		29	1.16		1	0.04		1	0.04		2	0.08		54	2.16		1120	44.78		5	0.20		2	0.08		848	33.91		20	0.80		229	9.16		0	0.00		2	0.08		99	3.96		1	0.04		0	0.00		2501	95.24		125	4.76		2626	3.22
Croydon Town		34	2.49		24	1.76		19	1.39		1	0.07		0	0.00		2	0.15		25	1.83		636	46.59		4	0.29		0	0.00		380	27.84		17	1.25		125	9.16		1	0.07		4	0.29		92	6.74		0	0.00		1	0.07		1365	94.33		82	5.67		1447	1.77
Eastwood		34	1.51		42	1.87		29	1.29		0	0.00		1	0.04		1	0.04		38	1.69		886	39.38		4	0.18		3	0.13		689	30.62		28	1.24		287	12.76		0	0.00		7	0.31		200	8.89		1	0.04		0	0.00		2250	95.54		105	4.46		2355	2.89
Eley Park		44	1.98		60	2.71		20	0.90		0	0.00		1	0.05		0	0.00		29	1.31		802	36.18		20	0.90		1	0.05		910	41.05		17	0.77		221	9.97		0	0.00		0	0.00		90	4.06		1	0.05		1	0.05		2217	94.50		129	5.50		2346	2.88
Forest Hill		28	2.29		21	1.72		13	1.06		0	0.00		0	0.00		1	0.08		23	1.88		531	43.42		2	0.16		0	0.00		409	33.44		8	0.65		104	8.50		0	0.00		0	0.00		82	6.70		0	0.00		1	0.08		1223	95.18		62	4.82		1285	1.58
Glen Park		17	2.73		24	3.85		10	1.61		2	0.32		0	0.00		1	0.16		19	3.05		222	35.63		1	0.16		0	0.00		249	39.97		12	1.93		45	7.22		0	0.00		1	0.16		20	3.21		0	0.00		0	0.00		623	94.25		38	5.75		661	0.81
Heatherdale		19	1.36		31	2.22		10	0.72		2	0.14		1	0.07		1	0.07		18	1.29		538	38.54		4	0.29		1	0.07		477	34.17		15	1.07		162	11.60		0	0.00		0	0.00		117	8.38		0	0.00		0	0.00		1396	94.84		76	5.16		1472	1.80
Heathmont (Deakin)		26	2.29		24	2.12		12	1.06		3	0.26		0	0.00		0	0.00		21	1.85		455	40.16		3	0.26		3	0.26		371	32.74		18	1.59		113	9.97		0	0.00		2	0.18		80	7.06		1	0.09		1	0.09		1133	95.45		54	4.55		1187	1.46
Inala Village		20	5.60		13	3.64		2	0.56		0	0.00		0	0.00		0	0.00		5	1.40		183	51.26		2	0.56		0	0.00		114	31.93		1	0.28		13	3.64		0	0.00		0	0.00		4	1.12		0	0.00		0	0.00		357	86.44		56	13.56		413	0.51
Kalinda		31	1.83		32	1.89		24	1.42		1	0.06		0	0.00		1	0.06		26	1.53		861	50.77		5	0.29		0	0.00		457	26.95		20	1.18		149	8.79		0	0.00		7	0.41		81	4.78		1	0.06		0	0.00		1696	95.93		72	4.07		1768	2.17
Laburnum		31	1.84		27	1.60		20	1.19		2	0.12		2	0.12		0	0.00		14	0.83		729	43.26		4	0.24		0	0.00		471	27.95		13	0.77		195	11.57		0	0.00		3	0.18		173	10.27		1	0.06		0	0.00		1685	97.01		52	2.99		1737	2.13
