Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Dunkley (85129)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aldercourt		59	4.12		41	2.86		17	1.19		1	0.07		0	0.00		1	0.07		61	4.26		347	24.23		2	0.14		0	0.00		782	54.61		9	0.63		78	5.45		0	0.00		1	0.07		32	2.23		1	0.07		0	0.00		1432	91.85		127	8.15		1559	1.91
Baden Powell		53	2.91		27	1.48		16	0.88		1	0.05		0	0.00		0	0.00		28	1.54		1089	59.87		2	0.11		2	0.11		322	17.70		7	0.38		129	7.09		1	0.05		2	0.11		140	7.70		0	0.00		0	0.00		1819	95.39		88	4.61		1907	2.33
Ballam Park		40	1.79		39	1.75		27	1.21		4	0.18		0	0.00		2	0.09		44	1.97		911	40.78		8	0.36		2	0.09		834	37.33		5	0.22		193	8.64		0	0.00		2	0.09		120	5.37		1	0.04		2	0.09		2234	94.58		128	5.42		2362	2.89
Belvedere Park (Dunkley)		20	1.98		28	2.77		14	1.38		0	0.00		0	0.00		0	0.00		35	3.46		341	33.70		4	0.40		3	0.30		427	42.19		8	0.79		84	8.30		0	0.00		0	0.00		47	4.64		0	0.00		1	0.10		1012	94.14		63	5.86		1075	1.31
Bruce Park		28	1.84		24	1.58		12	0.79		0	0.00		0	0.00		0	0.00		31	2.04		682	44.78		5	0.33		0	0.00		549	36.05		6	0.39		83	5.45		1	0.07		0	0.00		100	6.57		1	0.07		1	0.07		1523	93.55		105	6.45		1628	1.99
Derinya		36	1.63		23	1.04		21	0.95		3	0.14		2	0.09		0	0.00		28	1.26		1248	56.34		2	0.09		1	0.05		419	18.92		13	0.59		244	11.02		0	0.00		0	0.00		174	7.86		0	0.00		1	0.05		2215	96.26		86	3.74		2301	2.81
Frankston		42	1.85		37	1.63		22	0.97		2	0.09		1	0.04		1	0.04		65	2.87		986	43.53		5	0.22		1	0.04		731	32.27		2	0.09		174	7.68		0	0.00		4	0.18		191	8.43		1	0.04		0	0.00		2265	92.49		184	7.51		2449	2.99
Frankston Beach		34	3.53		13	1.35		9	0.93		0	0.00		0	0.00		0	0.00		22	2.28		474	49.22		2	0.21		0	0.00		246	25.55		1	0.10		78	8.10		0	0.00		0	0.00		84	8.72		0	0.00		0	0.00		963	94.78		53	5.22		1016	1.24
Frankston East		59	2.93		41	2.04		25	1.24		1	0.05		1	0.05		1	0.05		47	2.33		798	39.62		4	0.20		0	0.00		765	37.98		8	0.40		141	7.00		0	0.00		4	0.20		116	5.76		1	0.05		2	0.10		2014	94.38		120	5.62		2134	2.61
Frankston Forest		58	3.48		48	2.88		15	0.90		3	0.18		1	0.06		3	0.18		92	5.52		417	25.00		9	0.54		2	0.12		845	50.66		7	0.42		119	7.13		0	0.00		2	0.12		45	2.70		2	0.12		0	0.00		1668	91.40		157	8.60		1825	2.23
Frankston Heights		28	2.33		28	2.33		8	0.67		0	0.00		0	0.00		0	0.00		25	2.08		479	39.82		2	0.17		1	0.08		438	36.41		5	0.42		85	7.07		0	0.00		1	0.08		103	8.56		0	0.00		0	0.00		1203	94.58		69	5.42		1272	1.56
Frankston Rail		36	2.46		42	2.87		19	1.30		4	0.27		1	0.07		0	0.00		53	3.63		478	32.69		3	0.21		2	0.14		590	40.36		4	0.27		120	8.21		0	0.00		3	0.21		105	7.18		1	0.07		1	0.07		1462	91.89		129	8.11		1591	1.95
Frankston South		62	2.10		43	1.46		28	0.95		1	0.03		0	0.00		0	0.00		70	2.37		1361	46.10		3	0.10		3	0.10		920	31.17		10	0.34		222	7.52		0	0.00		0	0.00		224	7.59		3	0.10		2	0.07		2952	94.07		186	5.93		3138	3.84
Kananook		53	2.85		43	2.31		14	0.75		3	0.16		1	0.05		0	0.00		64	3.44		639	34.34		2	0.11		1	0.05		697	37.45		6	0.32		172	9.24		0	0.00		1	0.05		163	8.76		0	0.00		2	0.11		1861	91.32		177	8.68		2038	2.49
Karingal		65	2.67		61	2.50		24	0.98		1	0.04		0	0.00		2	0.08		97	3.98		887	36.38		2	0.08		1	0.04		977	40.07		10	0.41		162	6.64		0	0.00		1	0.04		145	5.95		2	0.08		1	0.04		2438	93.16		179	6.84		2617	3.20
Karingal Heights		65	2.56		43	1.69		24	0.95		2	0.08		0	0.00		1	0.04		56	2.21		1049	41.35		1	0.04		3	0.12		1012	39.89		11	0.43		164	6.46		1	0.04		3	0.12		99	3.90		2	0.08		1	0.04		2537	93.51		176	6.49		2713	3.32
Kingsley Park		44	2.31		27	1.42		23	1.21		0	0.00		1	0.05		0	0.00		36	1.89		838	43.92		3	0.16		1	0.05		681	35.69		12	0.63		168	8.81		0	0.00		1	0.05		72	3.77		0	0.00		1	0.05		1908	94.22		117	5.78		2025	2.48
Kunyung		44	2.23		20	1.01		24	1.22		2	0.10		0	0.00		2	0.10		21	1.07		1092	55.40		5	0.25		0	0.00		389	19.74		2	0.10		183	9.28		0	0.00		0	0.00		186	9.44		0	0.00		1	0.05		1971	96.29		76	3.71		2047	2.50
Langwarrin		96	1.97		85	1.74		49	1.00		1	0.02		1	0.02		1	0.02		147	3.01		2162	44.31		17	0.35		2	0.04		1641	33.63		27	0.55		382	7.83		1	0.02		4	0.08		263	5.39		0	0.00		0	0.00		4879	94.63		277	5.37		5156	6.30
Langwarrin North		24	2.42		21	2.11		10	1.01		0	0.00		0	0.00		1	0.10		17	1.71		486	48.94		1	0.10		0	0.00		338	34.04		4	0.40		75	7.55		0	0.00		1	0.10		15	1.51		0	0.00		0	0.00		993	97.07		30	2.93		1023	1.25
