Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Flinders (91403)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Balnarring		32	2.01		17	1.07		25	1.57		1	0.06		2	0.13		0	0.00		27	1.69		720	45.17		2	0.13		1	0.06		413	25.91		5	0.31		181	11.36		1	0.06		0	0.00		167	10.48		0	0.00		0	0.00		1594	96.78		53	3.22		1647	1.88
Bass		3	0.98		3	0.98		3	0.98		1	0.33		0	0.00		0	0.00		15	4.89		163	53.09		3	0.98		0	0.00		72	23.45		6	1.95		10	3.26		0	0.00		1	0.33		27	8.79		0	0.00		0	0.00		307	97.15		9	2.85		316	0.36
Baxter		51	2.92		37	2.12		19	1.09		3	0.17		0	0.00		0	0.00		58	3.33		801	45.93		5	0.29		2	0.11		520	29.82		8	0.46		155	8.89		0	0.00		0	0.00		84	4.82		1	0.06		0	0.00		1744	94.12		109	5.88		1853	2.11
Bayles		14	4.13		8	2.36		2	0.59		0	0.00		1	0.29		0	0.00		13	3.83		189	55.75		2	0.59		0	0.00		74	21.83		3	0.88		21	6.19		0	0.00		1	0.29		11	3.24		0	0.00		0	0.00		339	94.96		18	5.04		357	0.41
Bittern		37	2.99		24	1.94		16	1.29		0	0.00		0	0.00		0	0.00		50	4.04		510	41.16		4	0.32		1	0.08		375	30.27		2	0.16		114	9.20		0	0.00		2	0.16		104	8.39		0	0.00		0	0.00		1239	95.16		63	4.84		1302	1.48
Blairgowrie		39	2.67		17	1.17		11	0.75		0	0.00		1	0.07		0	0.00		26	1.78		749	51.34		3	0.21		2	0.14		391	26.80		6	0.41		113	7.75		0	0.00		1	0.07		99	6.79		0	0.00		1	0.07		1459	93.47		102	6.53		1561	1.78
Blind Bight		25	3.36		18	2.42		13	1.75		1	0.13		0	0.00		1	0.13		29	3.90		336	45.22		1	0.13		0	0.00		245	32.97		4	0.54		35	4.71		0	0.00		3	0.40		30	4.04		1	0.13		1	0.13		743	94.89		40	5.11		783	0.89
Boneo		14	2.73		9	1.76		8	1.56		0	0.00		0	0.00		0	0.00		9	1.76		268	52.34		1	0.20		0	0.00		115	22.46		3	0.59		44	8.59		0	0.00		0	0.00		41	8.01		0	0.00		0	0.00		512	94.46		30	5.54		542	0.62
Cardinia		8	2.97		3	1.12		2	0.74		0	0.00		0	0.00		1	0.37		9	3.35		158	58.74		2	0.74		0	0.00		68	25.28		0	0.00		9	3.35		0	0.00		0	0.00		9	3.35		0	0.00		0	0.00		269	94.39		16	5.61		285	0.32
Catani		4	2.47		6	3.70		2	1.23		1	0.62		0	0.00		0	0.00		9	5.56		99	61.11		0	0.00		2	1.23		26	16.05		3	1.85		7	4.32		0	0.00		0	0.00		3	1.85		0	0.00		0	0.00		162	96.43		6	3.57		168	0.19
Clyde		15	2.85		8	1.52		7	1.33		0	0.00		1	0.19		0	0.00		25	4.75		322	61.22		0	0.00		1	0.19		106	20.15		1	0.19		28	5.32		0	0.00		0	0.00		12	2.28		0	0.00		0	0.00		526	92.61		42	7.39		568	0.65
Corinella		13	1.72		17	2.25		9	1.19		1	0.13		0	0.00		0	0.00		38	5.03		267	35.36		5	0.66		1	0.13		329	43.58		3	0.40		36	4.77		0	0.00		1	0.13		35	4.64		0	0.00		0	0.00		755	95.57		35	4.43		790	0.90
Cowes		65	2.50		43	1.65		23	0.88		1	0.04		0	0.00		3	0.12		57	2.19		1195	45.91		6	0.23		0	0.00		752	28.89		11	0.42		216	8.30		1	0.04		1	0.04		229	8.80		0	0.00		0	0.00		2603	94.35		156	5.65		2759	3.14
Cranbourne (Flinders)		16	3.04		12	2.28		2	0.38		0	0.00		0	0.00		0	0.00		15	2.85		246	46.68		1	0.19		0	0.00		172	32.64		3	0.57		43	8.16		0	0.00		0	0.00		17	3.23		0	0.00		0	0.00		527	95.13		27	4.87		554	0.63
Cranbourne South		17	1.78		10	1.05		7	0.73		1	0.10		0	0.00		0	0.00		32	3.36		540	56.66		0	0.00		2	0.21		247	25.92		6	0.63		59	6.19		0	0.00		0	0.00		32	3.36		0	0.00		0	0.00		953	96.26		37	3.74		990	1.13
Crib Point		35	2.96		32	2.71		14	1.18		1	0.08		1	0.08		0	0.00		57	4.82		430	36.38		2	0.17		1	0.08		465	39.34		7	0.59		87	7.36		0	0.00		0	0.00		49	4.15		0	0.00		1	0.08		1182	95.17		60	4.83		1242	1.41
Dalyston		6	1.92		7	2.24		6	1.92		0	0.00		1	0.32		0	0.00		18	5.75		161	51.44		5	1.60		0	0.00		69	22.04		0	0.00		10	3.19		0	0.00		0	0.00		30	9.58		0	0.00		0	0.00		313	93.43		22	6.57		335	0.38
Devon Meadows		46	3.28		17	1.21		21	1.50		1	0.07		0	0.00		1	0.07		46	3.28		717	51.14		1	0.07		0	0.00		412	29.39		5	0.36		81	5.78		0	0.00		0	0.00		54	3.85		0	0.00		0	0.00		1402	93.40		99	6.60		1501	1.71
Dromana		78	2.73		60	2.10		24	0.84		1	0.03		1	0.03		0	0.00		64	2.24		1335	46.65		11	0.38		2	0.07		912	31.87		19	0.66		191	6.67		0	0.00		0	0.00		162	5.66		1	0.03		1	0.03		2862	94.74		159	5.26		3021	3.44
Dromana Beach		19	3.37		16	2.84		10	1.78		0	0.00		2	0.36		0	0.00		21	3.73		244	43.34		2	0.36		4	0.71		153	27.18		1	0.18		42	7.46		0	0.00		0	0.00		49	8.70		0	0.00		0	0.00		563	93.99		36	6.01		599	0.68
