Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Gellibrand (86496)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Albion		41	1.94		88	4.17		24	1.14		0	0.00		3	0.14		2	0.09		55	2.61		435	20.62		5	0.24		3	0.14		1196	56.68		14	0.66		167	7.91		0	0.00		1	0.05		67	3.18		8	0.38		1	0.05		2110	88.69		269	11.31		2379	2.94
Altona East		85	3.01		129	4.56		32	1.13		2	0.07		2	0.07		3	0.11		45	1.59		462	16.34		11	0.39		1	0.04		1766	62.47		14	0.50		174	6.15		1	0.04		4	0.14		91	3.22		5	0.18		0	0.00		2827	88.10		382	11.90		3209	3.97
Altona Gate		56	2.88		97	4.99		8	0.41		3	0.15		2	0.10		3	0.15		42	2.16		389	20.03		15	0.77		1	0.05		1170	60.25		2	0.10		91	4.69		0	0.00		1	0.05		58	2.99		4	0.21		0	0.00		1942	87.95		266	12.05		2208	2.73
Altona North		33	3.00		45	4.09		16	1.46		0	0.00		1	0.09		0	0.00		19	1.73		261	23.75		7	0.64		0	0.00		612	55.69		5	0.45		57	5.19		2	0.18		0	0.00		39	3.55		2	0.18		0	0.00		1099	88.77		139	11.23		1238	1.53
Ardeer		61	5.67		47	4.37		7	0.65		1	0.09		0	0.00		1	0.09		40	3.72		224	20.84		4	0.37		5	0.47		573	53.30		2	0.19		86	8.00		1	0.09		2	0.19		18	1.67		3	0.28		0	0.00		1075	87.76		150	12.24		1225	1.51
Ardeer East (Gellibrand)		16	1.64		32	3.28		9	0.92		0	0.00		0	0.00		0	0.00		14	1.43		150	15.35		4	0.41		0	0.00		668	68.37		0	0.00		66	6.76		0	0.00		0	0.00		18	1.84		0	0.00		0	0.00		977	86.23		156	13.77		1133	1.40
Braybrook		66	2.58		121	4.73		26	1.02		1	0.04		0	0.00		1	0.04		45	1.76		396	15.48		12	0.47		1	0.04		1733	67.75		5	0.20		71	2.78		0	0.00		3	0.12		73	2.85		4	0.16		0	0.00		2558	90.87		257	9.13		2815	3.48
Brooklyn		17	2.48		26	3.80		5	0.73		0	0.00		1	0.15		1	0.15		19	2.77		175	25.55		1	0.15		0	0.00		396	57.81		1	0.15		23	3.36		1	0.15		1	0.15		17	2.48		0	0.00		1	0.15		685	89.66		79	10.34		764	0.94
Footscray		64	2.52		127	5.00		27	1.06		5	0.20		0	0.00		2	0.08		27	1.06		449	17.69		31	1.22		0	0.00		1474	58.08		9	0.35		153	6.03		3	0.12		1	0.04		157	6.19		9	0.35		0	0.00		2538	91.20		245	8.80		2783	3.44
Footscray Central		21	2.11		39	3.91		16	1.60		1	0.10		1	0.10		1	0.10		23	2.31		165	16.55		5	0.50		4	0.40		494	49.55		1	0.10		95	9.53		0	0.00		0	0.00		129	12.94		2	0.20		0	0.00		997	91.05		98	8.95		1095	1.35
Footscray East		16	2.57		33	5.30		9	1.44		0	0.00		1	0.16		0	0.00		8	1.28		103	16.53		1	0.16		0	0.00		352	56.50		2	0.32		48	7.70		0	0.00		0	0.00		50	8.03		0	0.00		0	0.00		623	88.12		84	11.88		707	0.87
Footscray North		16	1.39		44	3.83		16	1.39		4	0.35		0	0.00		0	0.00		20	1.74		243	21.15		8	0.70		0	0.00		617	53.70		4	0.35		96	8.36		0	0.00		0	0.00		79	6.88		2	0.17		0	0.00		1149	90.47		121	9.53		1270	1.57
Footscray South		32	2.60		40	3.25		12	0.97		0	0.00		1	0.08		0	0.00		16	1.30		229	18.60		8	0.65		0	0.00		626	50.85		6	0.49		94	7.64		2	0.16		0	0.00		160	13.00		5	0.41		0	0.00		1231	93.12		91	6.88		1322	1.63
Footscray West		66	2.06		125	3.90		40	1.25		3	0.09		1	0.03		0	0.00		55	1.72		623	19.44		10	0.31		4	0.12		1856	57.91		15	0.47		227	7.08		1	0.03		2	0.06		166	5.18		10	0.31		1	0.03		3205	89.05		394	10.95		3599	4.45
Glengala (Gellibrand)		22	3.00		14	1.91		9	1.23		4	0.54		0	0.00		2	0.27		9	1.23		151	20.57		2	0.27		0	0.00		453	61.72		2	0.27		52	7.08		0	0.00		0	0.00		13	1.77		1	0.14		0	0.00		734	85.95		120	14.05		854	1.06
Kingsville		50	2.05		78	3.20		32	1.31		2	0.08		1	0.04		6	0.25		36	1.48		474	19.47		12	0.49		2	0.08		1276	52.42		2	0.08		226	9.29		0	0.00		3	0.12		229	9.41		5	0.21		0	0.00		2434	92.20		206	7.80		2640	3.26
Kingsville West		44	3.12		54	3.83		13	0.92		2	0.14		1	0.07		1	0.07		28	1.99		295	20.94		9	0.64		1	0.07		784	55.64		4	0.28		92	6.53		0	0.00		0	0.00		73	5.18		8	0.57		0	0.00		1409	88.95		175	11.05		1584	1.96
Maidstone		32	1.79		76	4.26		9	0.50		4	0.22		1	0.06		1	0.06		20	1.12		352	19.71		10	0.56		3	0.17		1118	62.60		8	0.45		104	5.82		1	0.06		0	0.00		39	2.18		8	0.45		0	0.00		1786	88.77		226	11.23		2012	2.49
Maribyrnong		43	2.74		30	1.91		21	1.34		0	0.00		0	0.00		0	0.00		27	1.72		503	32.08		11	0.70		0	0.00		694	44.26		5	0.32		142	9.06		1	0.06		1	0.06		87	5.55		2	0.13		1	0.06		1568	89.86		177	10.14		1745	2.16
Maribyrnong South		31	2.50		40	3.22		16	1.29		0	0.00		0	0.00		1	0.08		14	1.13		267	21.50		10	0.81		2	0.16		730	58.78		5	0.40		84	6.76		0	0.00		0	0.00		41	3.30		0	0.00		1	0.08		1242	92.69		98	7.31		1340	1.66
