Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
 By Polling Place																																																															

Gippsland (83845)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alberton		9	2.80		2	0.62		9	2.80		0	0.00		0	0.00		0	0.00		15	4.66		172	53.42		1	0.31		1	0.31		88	27.33		1	0.31		17	5.28		0	0.00		0	0.00		6	1.86		1	0.31		0	0.00		322	92.80		25	7.20		347	0.41
Arawata		0	0.00		0	0.00		5	3.85		0	0.00		0	0.00		0	0.00		5	3.85		82	63.08		1	0.77		0	0.00		11	8.46		1	0.77		18	13.85		0	0.00		0	0.00		7	5.38		0	0.00		0	0.00		130	98.48		2	1.52		132	0.16
Bairnsdale		54	2.74		42	2.13		51	2.58		11	0.56		2	0.10		0	0.00		130	6.59		847	42.93		11	0.56		1	0.05		540	27.37		7	0.35		121	6.13		2	0.10		4	0.20		147	7.45		2	0.10		1	0.05		1973	95.08		102	4.92		2075	2.47
Bairnsdale East		13	2.53		11	2.14		15	2.92		1	0.19		0	0.00		0	0.00		68	13.23		174	33.85		7	1.36		0	0.00		196	38.13		0	0.00		15	2.92		1	0.19		2	0.39		11	2.14		0	0.00		0	0.00		514	93.12		38	6.88		552	0.06
Bairnsdale West		85	3.03		61	2.17		71	2.53		10	0.36		0	0.00		1	0.04		217	7.73		1349	48.02		11	0.39		1	0.04		725	25.81		17	0.61		162	5.77		0	0.00		5	0.18		92	3.28		2	0.07		0	0.00		2809	96.03		116	3.97		2925	3.49
Bemm River		5	6.25		2	2.50		3	3.75		0	0.00		0	0.00		0	0.00		12	15.00		34	42.50		0	0.00		0	0.00		20	25.00		0	0.00		2	2.50		0	0.00		0	0.00		1	1.25		0	0.00		1	1.25		80	96.39		3	3.61		83	0.10
Bena		4	1.90		3	1.43		1	0.48		0	0.00		0	0.00		1	0.48		10	4.76		142	67.62		2	0.95		1	0.48		32	15.24		2	0.95		5	2.38		0	0.00		1	0.48		5	2.38		1	0.48		0	0.00		210	96.77		7	3.23		217	0.26
Benambra		6	4.55		1	0.76		1	0.76		0	0.00		0	0.00		0	0.00		6	4.55		91	68.94		1	0.76		0	0.00		20	15.15		3	2.27		2	1.52		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		132	97.06		4	2.94		136	0.17
Bendoc		7	8.05		2	2.30		0	0.00		1	1.15		0	0.00		0	0.00		14	16.09		46	52.87		0	0.00		0	0.00		11	12.64		0	0.00		3	3.45		1	1.15		0	0.00		2	2.30		0	0.00		0	0.00		87	97.75		2	2.25		89	0.11
Berrys Creek		1	0.93		1	0.93		4	3.74		1	0.93		0	0.00		0	0.00		5	4.67		81	75.70		0	0.00		0	0.00		4	3.74		1	0.93		4	3.74		0	0.00		0	0.00		5	4.67		0	0.00		0	0.00		107	96.40		4	3.60		111	0.13
Boisdale		4	2.23		4	2.23		6	3.35		0	0.00		0	0.00		0	0.00		18	10.06		98	54.75		0	0.00		0	0.00		29	16.20		0	0.00		11	6.15		0	0.00		0	0.00		9	5.03		0	0.00		0	0.00		179	93.23		13	6.77		192	0.23
Bonang		0	0.00		0	0.00		1	1.69		0	0.00		0	0.00		0	0.00		9	15.25		23	38.98		0	0.00		0	0.00		9	15.25		0	0.00		0	0.00		0	0.00		0	0.00		17	28.81		0	0.00		0	0.00		59	93.65		4	6.35		63	0.08
Briagolong		8	1.58		13	2.56		10	1.97		0	0.00		0	0.00		1	0.20		36	7.10		216	42.60		0	0.00		0	0.00		113	22.29		3	0.59		39	7.69		1	0.20		0	0.00		65	12.82		0	0.00		2	0.39		507	96.02		21	3.98		528	0.63
Bruthen		26	3.64		7	0.98		27	3.78		1	0.14		0	0.00		0	0.00		79	11.05		269	37.62		1	0.14		1	0.14		197	27.55		1	0.14		47	6.57		0	0.00		0	0.00		56	7.83		1	0.14		2	0.28		715	94.83		39	5.17		754	0.90
Buchan		7	2.89		4	1.65		10	4.13		0	0.00		0	0.00		0	0.00		23	9.50		105	43.39		0	0.00		0	0.00		70	28.93		0	0.00		14	5.79		0	0.00		0	0.00		8	3.31		1	0.41		0	0.00		242	97.19		7	2.81		249	0.30
Bundalaguah		6	2.16		2	0.72		10	3.60		1	0.36		0	0.00		0	0.00		19	6.83		163	58.63		2	0.72		0	0.00		44	15.83		0	0.00		20	7.19		0	0.00		0	0.00		10	3.60		0	0.00		1	0.36		278	95.53		13	4.47		291	0.35
Cann River		19	8.12		6	2.56		4	1.71		1	0.43		0	0.00		0	0.00		19	8.12		96	41.03		1	0.43		1	0.43		56	23.93		6	2.56		13	5.56		0	0.00		1	0.43		11	4.70		0	0.00		0	0.00		234	93.23		17	6.77		251	0.30
Cape Paterson		8	1.87		7	1.64		7	1.64		0	0.00		0	0.00		0	0.00		10	2.34		145	33.96		1	0.23		2	0.47		169	39.58		0	0.00		30	7.03		0	0.00		0	0.00		47	11.01		1	0.23		0	0.00		427	97.05		13	2.95		440	0.52
Carrajung South		1	0.85		1	0.85		1	0.85		0	0.00		0	0.00		0	0.00		10	8.55		59	50.43		0	0.00		0	0.00		22	18.80		2	1.71		6	5.13		0	0.00		1	0.85		14	11.97		0	0.00		0	0.00		117	97.50		3	2.50		120	0.14
Cobains		1	0.49		10	4.85		8	3.88		0	0.00		0	0.00		1	0.49		16	7.77		136	66.02		2	0.97		1	0.49		16	7.77		0	0.00		9	4.37		0	0.00		0	0.00		5	2.43		0	0.00		1	0.49		206	98.56		3	1.44		209	0.25
