Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Goldstein (89948)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Beaumaris		33	2.34		20	1.42		22	1.56		0	0.00		0	0.00		0	0.00		12	0.85		853	60.54		4	0.28		0	0.00		218	15.47		1	0.07		143	10.15		0	0.00		0	0.00		103	7.31		0	0.00		0	0.00		1409	94.50		82	5.50		1491	1.75
Beaumaris Central		73	2.26		19	0.59		37	1.15		0	0.00		0	0.00		1	0.03		30	0.93		1912	59.20		4	0.12		0	0.00		573	17.74		6	0.19		302	9.35		0	0.00		2	0.06		271	8.39		0	0.00		0	0.00		3230	95.48		153	4.52		3383	3.96
Beaumaris East (Goldstein)		35	2.80		14	1.12		16	1.28		0	0.00		0	0.00		1	0.08		14	1.12		659	52.68		2	0.16		2	0.16		293	23.42		4	0.32		108	8.63		0	0.00		0	0.00		99	7.91		0	0.00		4	0.32		1251	95.94		53	4.06		1304	1.53
Beaumaris North		25	2.44		7	0.68		13	1.27		1	0.10		0	0.00		1	0.10		8	0.78		589	57.52		0	0.00		0	0.00		212	20.70		5	0.49		112	10.94		0	0.00		0	0.00		51	4.98		0	0.00		0	0.00		1024	94.73		57	5.27		1081	1.27
Bentleigh		54	1.93		51	1.83		24	0.86		2	0.07		2	0.07		0	0.00		43	1.54		1181	42.31		16	0.57		0	0.00		902	32.32		5	0.18		286	10.25		1	0.04		2	0.07		220	7.88		1	0.04		1	0.04		2791	92.82		216	7.18		3007	3.52
Bentleigh Central (Goldstein)		43	3.56		18	1.49		17	1.41		0	0.00		0	0.00		0	0.00		21	1.74		499	41.27		1	0.08		0	0.00		427	35.32		5	0.41		111	9.18		0	0.00		3	0.25		64	5.29		0	0.00		0	0.00		1209	93.65		82	6.35		1291	1.51
Bentleigh West		43	2.24		27	1.41		18	0.94		1	0.05		1	0.05		0	0.00		27	1.41		778	40.56		7	0.36		0	0.00		619	32.27		3	0.16		231	12.04		0	0.00		1	0.05		161	8.39		0	0.00		1	0.05		1918	95.23		96	4.77		2014	2.36
Black Rock		32	1.93		11	0.66		18	1.09		1	0.06		0	0.00		0	0.00		19	1.15		899	54.32		7	0.42		1	0.06		336	20.30		1	0.06		173	10.45		0	0.00		1	0.06		152	9.18		2	0.12		2	0.12		1655	94.63		94	5.37		1749	2.05
Black Rock South		34	2.12		17	1.06		18	1.12		0	0.00		0	0.00		0	0.00		24	1.50		956	59.71		2	0.12		0	0.00		281	17.55		2	0.12		166	10.37		0	0.00		0	0.00		99	6.18		1	0.06		1	0.06		1601	93.57		110	6.43		1711	2.00
Brighton		67	1.81		26	0.70		50	1.35		0	0.00		1	0.03		2	0.05		28	0.76		2197	59.28		19	0.51		1	0.03		638	17.22		4	0.11		341	9.20		0	0.00		1	0.03		327	8.82		0	0.00		4	0.11		3706	95.84		161	4.16		3867	4.53
Brighton Beach		37	1.96		9	0.48		15	0.79		0	0.00		0	0.00		0	0.00		19	1.01		1255	66.51		7	0.37		1	0.05		247	13.09		5	0.26		145	7.68		1	0.05		1	0.05		144	7.63		0	0.00		1	0.05		1887	95.54		88	4.46		1975	2.31
Brighton East		64	3.47		24	1.30		15	0.81		1	0.05		0	0.00		0	0.00		22	1.19		945	51.28		1	0.05		0	0.00		442	23.98		0	0.00		183	9.93		0	0.00		1	0.05		140	7.60		2	0.11		3	0.16		1843	91.42		173	8.58		2016	2.36
Brighton High		22	2.16		10	0.98		21	2.06		1	0.10		0	0.00		0	0.00		13	1.27		553	54.22		5	0.49		1	0.10		207	20.29		4	0.39		101	9.90		1	0.10		1	0.10		78	7.65		0	0.00		2	0.20		1020	94.80		56	5.20		1076	1.26
Carnegie		37	2.81		33	2.51		24	1.82		1	0.08		1	0.08		0	0.00		20	1.52		440	33.41		5	0.38		1	0.08		454	34.47		3	0.23		146	11.09		0	0.00		0	0.00		151	11.47		0	0.00		1	0.08		1317	94.00		84	6.00		1401	1.64
Cheltenham (Goldstein)		40	3.60		13	1.17		15	1.35		0	0.00		0	0.00		0	0.00		19	1.71		504	45.32		2	0.18		0	0.00		310	27.88		1	0.09		117	10.52		0	0.00		0	0.00		88	7.91		0	0.00		3	0.27		1112	95.04		58	4.96		1170	1.37
Cheltenham West		17	2.12		11	1.37		16	1.99		0	0.00		0	0.00		0	0.00		9	1.12		308	38.36		1	0.12		0	0.00		276	34.37		4	0.50		92	11.46		1	0.12		0	0.00		66	8.22		1	0.12		1	0.12		803	94.69		45	5.31		848	0.99
Dendy		67	2.75		29	1.19		26	1.07		0	0.00		0	0.00		0	0.00		28	1.15		1489	61.20		7	0.29		1	0.04		406	16.69		4	0.16		227	9.33		1	0.04		3	0.12		144	5.92		1	0.04		0	0.00		2433	94.71		136	5.29		2569	3.01
Elsternwick South		19	1.84		8	0.78		23	2.23		1	0.10		0	0.00		1	0.10		5	0.49		460	44.66		6	0.58		2	0.19		258	25.05		2	0.19		115	11.17		0	0.00		0	0.00		129	12.52		0	0.00		1	0.10		1030	95.72		46	4.28		1076	1.26
Gardenvale		59	2.37		29	1.16		22	0.88		0	0.00		1	0.04		0	0.00		32	1.29		1450	58.23		11	0.44		2	0.08		391	15.70		5	0.20		240	9.64		0	0.00		1	0.04		243	9.76		3	0.12		1	0.04		2490	94.53		144	5.47		2634	3.08
Glenhuntly		86	3.08		42	1.50		29	1.04		0	0.00		3	0.11		0	0.00		24	0.86		1380	49.43		21	0.75		0	0.00		723	25.90		1	0.04		258	9.24		0	0.00		1	0.04		217	7.77		1	0.04		6	0.21		2792	92.24		235	7.76		3027	3.54
