Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Hotham (89090)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bentleigh Central (Hotham)		60	2.57		39	1.67		14	0.60		2	0.09		1	0.04		0	0.00		33	1.41		972	41.56		11	0.47		0	0.00		877	37.49		9	0.38		240	10.26		0	0.00		0	0.00		75	3.21		0	0.00		6	0.26		2339	92.52		189	7.48		2528	2.97
Bentleigh East		18	0.93		42	2.17		12	0.62		2	0.10		1	0.05		0	0.00		33	1.70		865	44.66		5	0.26		0	0.00		733	37.84		3	0.15		154	7.95		0	0.00		1	0.05		67	3.46		0	0.00		1	0.05		1937	91.28		185	8.72		2122	2.49
Carnegie East		38	1.74		50	2.29		19	0.87		7	0.32		1	0.05		1	0.05		27	1.24		795	36.48		9	0.41		1	0.05		834	38.27		4	0.18		223	10.23		2	0.09		2	0.09		163	7.48		2	0.09		1	0.05		2179	93.84		143	6.16		2322	2.73
Cheltenham East (Hotham)		49	2.18		51	2.27		18	0.80		2	0.09		0	0.00		1	0.04		34	1.51		996	44.37		9	0.40		0	0.00		809	36.04		7	0.31		182	8.11		0	0.00		4	0.18		80	3.56		2	0.09		1	0.04		2245	93.50		156	6.50		2401	2.82
Cheltenham North		51	2.12		59	2.45		13	0.54		4	0.17		3	0.12		0	0.00		29	1.20		917	38.05		5	0.21		0	0.00		992	41.16		7	0.29		217	9.00		0	0.00		2	0.08		110	4.56		1	0.04		0	0.00		2410	92.44		197	7.56		2607	3.07
Clarinda		40	1.68		64	2.68		21	0.88		4	0.17		2	0.08		0	0.00		18	0.75		546	22.88		8	0.34		2	0.08		1465	61.40		6	0.25		141	5.91		1	0.04		0	0.00		68	2.85		0	0.00		0	0.00		2386	92.77		186	7.23		2572	3.02
Clarinda South		47	1.88		92	3.68		4	0.16		2	0.08		1	0.04		1	0.04		23	0.92		473	18.91		14	0.56		1	0.04		1650	65.97		7	0.28		134	5.36		0	0.00		1	0.04		51	2.04		0	0.00		0	0.00		2501	92.02		217	7.98		2718	3.20
Clayton South		67	2.02		141	4.24		19	0.57		6	0.18		6	0.18		5	0.15		38	1.14		664	19.99		25	0.75		1	0.03		2108	63.46		10	0.30		146	4.39		1	0.03		0	0.00		84	2.53		0	0.00		1	0.03		3322	91.64		303	8.36		3625	4.26
Clayton West		25	2.42		45	4.36		10	0.97		1	0.10		2	0.19		0	0.00		20	1.94		243	23.55		8	0.78		1	0.10		553	53.59		6	0.58		67	6.49		0	0.00		1	0.10		49	4.75		1	0.10		0	0.00		1032	93.22		75	6.78		1107	1.30
Coatesville		64	1.77		80	2.22		37	1.02		4	0.11		3	0.08		1	0.03		54	1.50		1469	40.68		15	0.42		1	0.03		1356	37.55		12	0.33		312	8.64		1	0.03		0	0.00		197	5.46		4	0.11		1	0.03		3611	92.59		289	7.41		3900	4.59
Dingley Village		83	1.99		72	1.73		41	0.98		1	0.02		0	0.00		1	0.02		57	1.37		2374	57.01		11	0.26		1	0.02		1088	26.13		25	0.60		283	6.80		2	0.05		1	0.02		124	2.98		0	0.00		0	0.00		4164	93.64		283	6.36		4447	5.23
Heatherhill		40	2.17		57	3.09		19	1.03		4	0.22		1	0.05		0	0.00		34	1.84		330	17.91		9	0.49		5	0.27		1224	66.41		9	0.49		72	3.91		1	0.05		3	0.16		35	1.90		0	0.00		0	0.00		1843	90.79		187	9.21		2030	2.39
Heatherton North		30	2.55		52	4.42		11	0.93		2	0.17		0	0.00		0	0.00		17	1.44		418	35.51		3	0.25		3	0.25		555	47.15		4	0.34		51	4.33		0	0.00		0	0.00		31	2.63		0	0.00		0	0.00		1177	91.38		111	8.62		1288	1.51
Hughesdale		32	1.19		61	2.26		30	1.11		3	0.11		1	0.04		0	0.00		28	1.04		821	30.48		12	0.45		1	0.04		1189	44.14		13	0.48		302	11.21		0	0.00		1	0.04		198	7.35		2	0.07		0	0.00		2694	94.16		167	5.84		2861	3.36
Hughesdale South		44	2.18		41	2.03		16	0.79		5	0.25		2	0.10		0	0.00		33	1.63		747	37.00		3	0.15		3	0.15		857	42.45		5	0.25		169	8.37		0	0.00		1	0.05		92	4.56		1	0.05		0	0.00		2019	94.43		119	5.57		2138	2.51
Kingston Heath		33	1.58		53	2.53		19	0.91		0	0.00		0	0.00		0	0.00		34	1.62		884	42.22		3	0.14		0	0.00		815	38.92		6	0.29		188	8.98		1	0.05		2	0.10		55	2.63		0	0.00		1	0.05		2094	93.07		156	6.93		2250	2.65
Kingswood		44	2.31		38	2.00		18	0.95		2	0.11		1	0.05		0	0.00		24	1.26		1024	53.78		2	0.11		0	0.00		548	28.78		13	0.68		130	6.83		0	0.00		1	0.05		59	3.10		0	0.00		0	0.00		1904	95.49		90	4.51		1994	2.34
Melbourne (Hotham)		2	3.85		3	5.77		0	0.00		0	0.00		0	0.00		1	1.92		1	1.92		9	17.31		0	0.00		0	0.00		20	38.46		0	0.00		10	19.23		0	0.00		0	0.00		6	11.54		0	0.00		0	0.00		52	91.23		5	8.77		57	0.07
Mentone Park		23	1.95		12	1.02		14	1.19		3	0.25		0	0.00		0	0.00		22	1.86		513	43.47		1	0.08		0	0.00		423	35.85		4	0.34		95	8.05		0	0.00		0	0.00		70	5.93		0	0.00		0	0.00		1180	92.91		90	7.09		1270	1.49
Moorabbin Heights		38	1.82		40	1.91		21	1.00		3	0.14		1	0.05		2	0.10		28	1.34		797	38.12		10	0.48		0	0.00		853	40.79		7	0.33		207	9.90		0	0.00		3	0.14		81	3.87		0	0.00		0	0.00		2091	92.93		159	7.07		2250	2.65
