Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Isaacs (82675)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aspendale		51	1.95		36	1.38		33	1.26		1	0.04		1	0.04		0	0.00		40	1.53		1158	44.35		6	0.23		0	0.00		899	34.43		13	0.50		216	8.27		1	0.04		1	0.04		154	5.90		0	0.00		1	0.04		2611	94.29		158	5.71		2769	3.47
Aspendale Gardens		39	1.51		64	2.48		12	0.46		1	0.04		3	0.12		2	0.08		31	1.20		1035	40.04		9	0.35		1	0.04		1054	40.77		14	0.54		249	9.63		1	0.04		1	0.04		69	2.67		0	0.00		0	0.00		2585	94.62		147	5.38		2732	3.42
Aspendale North		21	2.29		19	2.07		13	1.42		1	0.11		0	0.00		0	0.00		26	2.84		411	44.87		3	0.33		0	0.00		273	29.80		3	0.33		67	7.31		0	0.00		0	0.00		78	8.52		1	0.11		0	0.00		916	95.22		46	4.78		962	1.20
Beaumaris East (Isaacs)		39	1.71		39	1.71		14	0.61		4	0.17		1	0.04		0	0.00		28	1.22		1060	46.35		6	0.26		0	0.00		691	30.21		5	0.22		241	10.54		1	0.04		0	0.00		155	6.78		1	0.04		2	0.09		2287	94.43		135	5.57		2422	3.03
Belvedere Park (Isaacs)		52	2.21		50	2.13		32	1.36		2	0.09		2	0.09		1	0.04		63	2.68		806	34.31		4	0.17		3	0.13		1050	44.70		7	0.30		156	6.64		1	0.04		3	0.13		114	4.85		0	0.00		3	0.13		2349	93.25		170	6.75		2519	3.15
Bonbeach		35	3.27		13	1.22		10	0.94		2	0.19		1	0.09		1	0.09		24	2.25		374	34.99		1	0.09		1	0.09		408	38.17		2	0.19		128	11.97		0	0.00		0	0.00		67	6.27		0	0.00		2	0.19		1069	93.61		73	6.39		1142	1.43
Carrum		43	2.50		46	2.68		20	1.16		2	0.12		2	0.12		0	0.00		52	3.03		583	33.92		1	0.06		0	0.00		714	41.54		8	0.47		149	8.67		1	0.06		1	0.06		95	5.53		2	0.12		0	0.00		1719	93.58		118	6.42		1837	2.30
Carrum Downs		38	2.92		45	3.45		14	1.07		0	0.00		1	0.08		0	0.00		46	3.53		450	34.54		1	0.08		1	0.08		570	43.75		10	0.77		97	7.44		0	0.00		2	0.15		27	2.07		1	0.08		0	0.00		1303	93.07		97	6.93		1400	1.75
Chelsea		28	2.26		28	2.26		11	0.89		0	0.00		0	0.00		1	0.08		34	2.74		462	37.29		2	0.16		0	0.00		497	40.11		6	0.48		103	8.31		0	0.00		0	0.00		67	5.41		0	0.00		0	0.00		1239	90.64		128	9.36		1367	1.71
Chelsea Central		68	2.50		60	2.21		32	1.18		5	0.18		2	0.07		0	0.00		45	1.66		957	35.20		12	0.44		0	0.00		1138	41.85		8	0.29		234	8.61		1	0.04		1	0.04		156	5.74		0	0.00		0	0.00		2719	93.18		199	6.82		2918	3.65
Chelsea Heights		84	2.23		95	2.52		45	1.19		3	0.08		1	0.03		5	0.13		72	1.91		1336	35.42		14	0.37		2	0.05		1578	41.83		5	0.13		390	10.34		2	0.05		2	0.05		136	3.61		2	0.05		0	0.00		3772	94.09		237	5.91		4009	5.02
Cheltenham (Isaacs)		23	2.15		17	1.59		13	1.21		2	0.19		1	0.09		0	0.00		16	1.50		459	42.90		2	0.19		0	0.00		340	31.78		7	0.65		103	9.63		0	0.00		1	0.09		85	7.94		1	0.09		0	0.00		1070	95.79		47	4.21		1117	1.40
Cheltenham East (Isaacs)		11	2.60		4	0.95		4	0.95		0	0.00		0	0.00		0	0.00		7	1.65		183	43.26		1	0.24		0	0.00		181	42.79		0	0.00		23	5.44		0	0.00		0	0.00		9	2.13		0	0.00		0	0.00		423	89.81		48	10.19		471	0.59
Cheltenham South		26	2.32		20	1.78		16	1.43		1	0.09		0	0.00		0	0.00		22	1.96		495	44.16		3	0.27		2	0.18		357	31.85		2	0.18		121	10.79		1	0.09		0	0.00		54	4.82		0	0.00		1	0.09		1121	92.95		85	7.05		1206	1.51
Courtney Gardens		54	1.78		88	2.90		24	0.79		3	0.10		1	0.03		0	0.00		63	2.08		1166	38.42		8	0.26		0	0.00		1312	43.23		28	0.92		230	7.58		2	0.07		1	0.03		54	1.78		0	0.00		1	0.03		3035	94.61		173	5.39		3208	4.02
Cranbourne (Isaacs)		38	1.76		62	2.87		17	0.79		3	0.14		0	0.00		4	0.19		79	3.66		854	39.52		2	0.09		2	0.09		865	40.03		14	0.65		169	7.82		0	0.00		0	0.00		50	2.31		2	0.09		0	0.00		2161	92.91		165	7.09		2326	2.91
Cranbourne Park		56	1.81		76	2.46		33	1.07		3	0.10		0	0.00		1	0.03		94	3.04		1181	38.18		5	0.16		3	0.10		1324	42.81		36	1.16		199	6.43		2	0.06		4	0.13		73	2.36		3	0.10		0	0.00		3093	92.99		233	7.01		3326	4.16
Cranbourne West		57	2.16		68	2.58		31	1.18		4	0.15		0	0.00		3	0.11		87	3.30		900	34.16		2	0.08		4	0.15		1168	44.33		29	1.10		228	8.65		2	0.08		5	0.19		46	1.75		1	0.04		0	0.00		2635	93.54		182	6.46		2817	3.53
Edithvale		59	1.83		67	2.07		33	1.02		1	0.03		4	0.12		2	0.06		83	2.57		1280	39.63		6	0.19		0	0.00		1193	36.93		11	0.34		295	9.13		0	0.00		1	0.03		192	5.94		1	0.03		2	0.06		3230	93.73		216	6.27		3446	4.31
