Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Jagajaga (88073)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Banyule		44	1.82		34	1.41		28	1.16		1	0.04		0	0.00		3	0.12		40	1.66		955	39.59		8	0.33		1	0.04		906	37.56		10	0.41		224	9.29		1	0.04		1	0.04		153	6.34		3	0.12		0	0.00		2412	94.04		153	5.96		2565	3.03
Briar Hill		42	1.65		36	1.41		28	1.10		3	0.12		1	0.04		0	0.00		50	1.96		1002	39.32		6	0.24		2	0.08		917	35.99		13	0.51		240	9.42		1	0.04		1	0.04		205	8.05		0	0.00		1	0.04		2548	95.54		119	4.46		2667	3.16
Bundoora		15	0.78		47	2.43		29	1.50		1	0.05		3	0.16		0	0.00		27	1.40		620	32.07		10	0.52		0	0.00		987	51.06		4	0.21		112	5.79		0	0.00		1	0.05		77	3.98		0	0.00		0	0.00		1933	93.74		129	6.26		2062	2.44
Eaglemont		16	1.21		11	0.83		17	1.28		0	0.00		0	0.00		0	0.00		5	0.38		693	52.30		2	0.15		0	0.00		323	24.38		1	0.08		103	7.77		0	0.00		0	0.00		151	11.40		3	0.23		0	0.00		1325	96.15		53	3.85		1378	1.63
Eltham		60	1.53		44	1.12		37	0.94		2	0.05		2	0.05		0	0.00		32	0.82		1631	41.56		12	0.31		1	0.03		1179	30.05		27	0.69		457	11.65		0	0.00		4	0.10		432	11.01		3	0.08		1	0.03		3924	96.82		129	3.18		4053	4.80
Eltham East		36	1.13		48	1.51		22	0.69		2	0.06		1	0.03		1	0.03		41	1.29		1326	41.79		5	0.16		2	0.06		989	31.17		15	0.47		423	13.33		1	0.03		1	0.03		258	8.13		1	0.03		1	0.03		3173	96.18		126	3.82		3299	3.90
Eltham North		39	1.98		31	1.57		14	0.71		0	0.00		2	0.10		0	0.00		20	1.01		832	42.19		1	0.05		0	0.00		584	29.61		9	0.46		211	10.70		0	0.00		0	0.00		228	11.56		1	0.05		0	0.00		1972	96.71		67	3.29		2039	2.41
Eltham Woods		13	1.55		11	1.31		12	1.43		1	0.12		1	0.12		0	0.00		11	1.31		398	47.55		0	0.00		0	0.00		229	27.36		1	0.12		76	9.08		0	0.00		1	0.12		83	9.92		0	0.00		0	0.00		837	96.99		26	3.01		863	1.02
Fairy Hills		17	1.31		12	0.92		17	1.31		0	0.00		0	0.00		0	0.00		10	0.77		630	48.50		1	0.08		0	0.00		314	24.17		1	0.08		137	10.55		0	0.00		1	0.08		159	12.24		0	0.00		0	0.00		1299	94.75		72	5.25		1371	1.62
Glen Katherine		35	1.13		38	1.22		38	1.22		1	0.03		0	0.00		1	0.03		25	0.81		1456	46.89		6	0.19		0	0.00		1028	33.11		22	0.71		303	9.76		0	0.00		2	0.06		148	4.77		1	0.03		1	0.03		3105	96.19		123	3.81		3228	3.82
Golf Links		13	1.16		14	1.25		12	1.07		1	0.09		0	0.00		0	0.00		13	1.16		505	45.13		5	0.45		1	0.09		352	31.46		5	0.45		83	7.42		0	0.00		3	0.27		111	9.92		1	0.09		0	0.00		1119	94.91		60	5.09		1179	1.39
Grace Park		28	2.10		32	2.40		10	0.75		2	0.15		2	0.15		0	0.00		27	2.03		488	36.66		8	0.60		0	0.00		509	38.24		9	0.68		149	11.19		0	0.00		1	0.08		66	4.96		0	0.00		0	0.00		1331	95.14		68	4.86		1399	1.66
Greensborough Central		19	1.74		16	1.46		14	1.28		0	0.00		0	0.00		0	0.00		22	2.01		414	37.84		4	0.37		1	0.09		419	38.30		14	1.28		107	9.78		0	0.00		3	0.27		61	5.58		0	0.00		0	0.00		1094	93.58		75	6.42		1169	1.38
Haig		31	1.60		52	2.69		27	1.40		6	0.31		4	0.21		0	0.00		34	1.76		467	24.15		3	0.16		1	0.05		1043	53.93		9	0.47		112	5.79		0	0.00		2	0.10		142	7.34		0	0.00		1	0.05		1934	90.33		207	9.67		2141	2.53
Heidelberg		53	1.64		58	1.79		33	1.02		4	0.12		1	0.03		1	0.03		34	1.05		1272	39.30		10	0.31		0	0.00		1057	32.65		14	0.43		354	10.94		0	0.00		8	0.25		337	10.41		1	0.03		0	0.00		3237	94.79		178	5.21		3415	4.04
Heidelberg North		35	1.47		74	3.10		21	0.88		4	0.17		3	0.13		1	0.04		43	1.80		411	17.23		9	0.38		3	0.13		1556	65.24		7	0.29		99	4.15		1	0.04		1	0.04		112	4.70		4	0.17		1	0.04		2385	91.20		230	8.80		2615	3.09
Heidelberg West		32	2.35		46	3.38		21	1.54		3	0.22		0	0.00		0	0.00		42	3.09		315	23.16		5	0.37		1	0.07		748	55.00		6	0.44		71	5.22		0	0.00		1	0.07		67	4.93		1	0.07		1	0.07		1360	93.21		99	6.79		1459	1.73
Ivanhoe		46	1.66		55	1.99		38	1.37		0	0.00		0	0.00		0	0.00		23	0.83		982	35.49		11	0.40		1	0.04		895	32.35		9	0.33		319	11.53		0	0.00		2	0.07		379	13.70		3	0.11		4	0.14		2767	94.83		151	5.17		2918	3.45
Ivanhoe East		40	1.71		26	1.11		26	1.11		0	0.00		1	0.04		0	0.00		23	0.98		1112	47.40		6	0.26		0	0.00		589	25.11		4	0.17		232	9.89		0	0.00		2	0.09		282	12.02		1	0.04		2	0.09		2346	95.56		109	4.44		2455	2.90
Ivanhoe West		38	2.26		58	3.45		30	1.79		3	0.18		2	0.12		0	0.00		27	1.61		410	24.42		6	0.36		1	0.06		865	51.52		8	0.48		98	5.84		0	0.00		1	0.06		131	7.80		1	0.06		0	0.00		1679	92.05		145	7.95		1824	2.16
