Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Lalor (89277)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Altona		62	2.13		57	1.95		29	0.99		3	0.10		1	0.03		1	0.03		77	2.64		925	31.72		8	0.27		3	0.10		1336	45.82		11	0.38		248	8.50		0	0.00		2	0.07		148	5.08		3	0.10		2	0.07		2916	89.72		334	10.28		3250	3.78
Altona Bay		80	1.83		140	3.20		42	0.96		3	0.07		3	0.07		0	0.00		69	1.58		996	22.79		11	0.25		2	0.05		2551	58.36		13	0.30		326	7.46		1	0.02		1	0.02		128	2.93		5	0.11		0	0.00		4371	92.14		373	7.86		4744	5.52
Altona Meadows		70	1.92		154	4.22		42	1.15		2	0.05		3	0.08		0	0.00		53	1.45		761	20.86		8	0.22		1	0.03		2202	60.35		12	0.33		252	6.91		0	0.00		2	0.05		85	2.33		1	0.03		1	0.03		3649	91.64		333	8.36		3982	4.64
Altona West		38	2.09		39	2.14		23	1.26		1	0.05		0	0.00		3	0.16		52	2.86		485	26.63		4	0.22		4	0.22		957	52.55		4	0.22		137	7.52		1	0.05		0	0.00		73	4.01		0	0.00		0	0.00		1821	92.30		152	7.70		1973	2.30
Ardeer East (Lalor)		3	0.96		5	1.60		0	0.00		0	0.00		1	0.32		0	0.00		5	1.60		56	17.89		2	0.64		0	0.00		212	67.73		2	0.64		24	7.67		0	0.00		0	0.00		3	0.96		0	0.00		0	0.00		313	84.82		56	15.18		369	0.43
Ardeer South		41	1.88		103	4.72		12	0.55		3	0.14		1	0.05		3	0.14		23	1.05		318	14.56		4	0.18		2	0.09		1462	66.94		5	0.23		178	8.15		0	0.00		0	0.00		27	1.24		2	0.09		0	0.00		2184	87.82		303	12.18		2487	2.90
Bellbridge		59	1.35		102	2.34		41	0.94		4	0.09		3	0.07		1	0.02		86	1.97		1211	27.76		2	0.05		4	0.09		2289	52.48		28	0.64		382	8.76		1	0.02		7	0.16		140	3.21		1	0.02		1	0.02		4362	96.21		172	3.79		4534	5.28
Cambridge		59	2.04		72	2.49		40	1.38		1	0.03		1	0.03		1	0.03		48	1.66		896	30.93		9	0.31		1	0.03		1402	48.39		28	0.97		251	8.66		0	0.00		0	0.00		84	2.90		3	0.10		1	0.03		2897	95.05		151	4.95		3048	3.55
Derrimut Heath		39	1.72		72	3.17		22	0.97		1	0.04		1	0.04		0	0.00		38	1.67		810	35.67		8	0.35		1	0.04		1005	44.25		2	0.09		181	7.97		0	0.00		1	0.04		87	3.83		1	0.04		2	0.09		2271	93.38		161	6.62		2432	2.83
Exford		3	2.29		2	1.53		1	0.76		0	0.00		0	0.00		0	0.00		7	5.34		52	39.69		0	0.00		0	0.00		50	38.17		1	0.76		9	6.87		0	0.00		0	0.00		6	4.58		0	0.00		0	0.00		131	98.50		2	1.50		133	0.15
Galvin Park		58	1.77		96	2.93		35	1.07		3	0.09		4	0.12		0	0.00		83	2.53		988	30.10		8	0.24		1	0.03		1601	48.78		23	0.70		251	7.65		6	0.18		2	0.06		123	3.75		0	0.00		0	0.00		3282	92.29		274	7.71		3556	4.14
Glengala (Lalor)		38	1.83		71	3.41		11	0.53		1	0.05		0	0.00		1	0.05		31	1.49		331	15.91		18	0.87		1	0.05		1451	69.76		8	0.38		62	2.98		2	0.10		1	0.05		51	2.45		1	0.05		1	0.05		2080	87.54		296	12.46		2376	2.77
Glengala South		34	1.96		97	5.60		20	1.15		5	0.29		1	0.06		3	0.17		32	1.85		233	13.45		2	0.12		1	0.06		1199	69.23		6	0.35		58	3.35		0	0.00		3	0.17		36	2.08		1	0.06		1	0.06		1732	91.21		167	8.79		1899	2.21
Glenorden		33	1.46		84	3.72		20	0.89		1	0.04		3	0.13		2	0.09		61	2.70		485	21.49		9	0.40		0	0.00		1337	59.24		19	0.84		133	5.89		0	0.00		2	0.09		66	2.92		1	0.04		1	0.04		2257	92.46		184	7.54		2441	2.84
Iramoo		60	1.78		73	2.16		39	1.15		3	0.09		3	0.09		1	0.03		95	2.81		927	27.43		5	0.15		2	0.06		1746	51.67		17	0.50		296	8.76		0	0.00		3	0.09		105	3.11		2	0.06		2	0.06		3379	96.35		128	3.65		3507	4.08
Laverton		23	2.01		43	3.77		11	0.96		3	0.26		1	0.09		0	0.00		23	2.01		252	22.07		5	0.44		2	0.18		689	60.33		4	0.35		63	5.52		0	0.00		0	0.00		23	2.01		0	0.00		0	0.00		1142	92.32		95	7.68		1237	1.44
Laverton North		41	2.13		72	3.74		19	0.99		0	0.00		1	0.05		0	0.00		66	3.43		393	20.39		5	0.26		2	0.10		1139	59.11		7	0.36		110	5.71		3	0.16		3	0.16		62	3.22		2	0.10		2	0.10		1927	91.24		185	8.76		2112	2.46
Little River		11	2.71		9	2.22		1	0.25		0	0.00		0	0.00		0	0.00		20	4.93		177	43.60		2	0.49		0	0.00		143	35.22		2	0.49		21	5.17		0	0.00		0	0.00		20	4.93		0	0.00		0	0.00		406	93.98		26	6.02		432	0.50
Manorvale		50	1.95		63	2.46		29	1.13		6	0.23		0	0.00		0	0.00		61	2.38		888	34.61		6	0.23		1	0.04		1144	44.58		20	0.78		240	9.35		0	0.00		3	0.12		54	2.10		1	0.04		0	0.00		2566	94.23		157	5.77		2723	3.17
Melbourne (Lalor)		1	1.19		1	1.19		1	1.19		0	0.00		2	2.38		0	0.00		0	0.00		24	28.57		0	0.00		0	0.00		41	48.81		1	1.19		5	5.95		0	0.00		0	0.00		8	9.52		0	0.00		0	0.00		84	98.82		1	1.18		85	0.10
