Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

La Trobe (88269)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bayswater East		11	1.36		15	1.86		8	0.99		2	0.25		1	0.12		0	0.00		25	3.09		332	41.09		1	0.12		2	0.25		278	34.41		15	1.86		77	9.53		0	0.00		0	0.00		41	5.07		0	0.00		0	0.00		808	95.51		38	4.49		846	0.96
Beaconsfield		38	2.35		27	1.67		19	1.18		2	0.12		1	0.06		1	0.06		35	2.16		841	52.01		1	0.06		0	0.00		408	25.23		21	1.30		143	8.84		0	0.00		2	0.12		76	4.70		0	0.00		2	0.12		1617	95.79		71	4.21		1688	1.91
Beaconsfield Upper		36	2.18		17	1.03		18	1.09		0	0.00		1	0.06		0	0.00		33	2.00		898	54.49		2	0.12		2	0.12		345	20.93		14	0.85		158	9.59		0	0.00		0	0.00		124	7.52		0	0.00		0	0.00		1648	96.32		63	3.68		1711	1.94
Belgrave		20	1.45		34	2.47		23	1.67		3	0.22		0	0.00		1	0.07		27	1.96		402	29.15		4	0.29		0	0.00		446	32.34		15	1.09		181	13.13		0	0.00		4	0.29		218	15.81		1	0.07		0	0.00		1379	95.70		62	4.30		1441	1.63
Belgrave South		38	1.78		25	1.17		27	1.27		1	0.05		2	0.09		0	0.00		42	1.97		896	42.07		3	0.14		0	0.00		585	27.46		36	1.69		237	11.13		0	0.00		4	0.19		233	10.94		0	0.00		1	0.05		2130	95.73		95	4.27		2225	2.52
Berwick		100	2.15		59	1.27		26	0.56		1	0.02		1	0.02		3	0.06		71	1.53		2752	59.16		7	0.15		0	0.00		1003	21.56		42	0.90		379	8.15		0	0.00		0	0.00		206	4.43		1	0.02		1	0.02		4652	95.23		233	4.77		4885	5.53
Berwick Lodge		55	2.23		40	1.62		16	0.65		0	0.00		3	0.12		0	0.00		33	1.34		1199	48.70		5	0.20		0	0.00		792	32.17		38	1.54		217	8.81		1	0.04		0	0.00		63	2.56		0	0.00		0	0.00		2462	93.79		163	6.21		2625	2.97
Berwick South		79	2.27		63	1.81		23	0.66		0	0.00		2	0.06		0	0.00		73	2.09		1681	48.24		7	0.20		0	0.00		1043	29.93		50	1.43		368	10.56		1	0.03		1	0.03		92	2.64		2	0.06		0	0.00		3485	96.22		137	3.78		3622	4.10
Boronia		51	2.52		48	2.37		20	0.99		1	0.05		0	0.00		2	0.10		44	2.17		788	38.88		3	0.15		0	0.00		727	35.87		21	1.04		214	10.56		0	0.00		3	0.15		104	5.13		0	0.00		1	0.05		2027	94.59		116	5.41		2143	2.43
Boronia Central		32	2.53		22	1.74		13	1.03		1	0.08		1	0.08		3	0.24		29	2.29		502	39.62		2	0.16		1	0.08		431	34.02		10	0.79		128	10.10		2	0.16		2	0.16		86	6.79		1	0.08		1	0.08		1267	95.91		54	4.09		1321	1.50
Boronia East		50	2.74		31	1.70		20	1.09		1	0.05		0	0.00		2	0.11		37	2.03		675	36.95		7	0.38		1	0.05		699	38.26		18	0.99		161	8.81		2	0.11		2	0.11		121	6.62		0	0.00		0	0.00		1827	95.65		83	4.35		1910	2.16
Boronia North		57	2.23		48	1.88		32	1.25		0	0.00		0	0.00		1	0.04		47	1.84		1058	41.43		5	0.20		0	0.00		873	34.18		20	0.78		249	9.75		0	0.00		3	0.12		160	6.26		0	0.00		1	0.04		2554	95.91		109	4.09		2663	3.02
Clematis		7	1.99		9	2.56		6	1.70		1	0.28		0	0.00		0	0.00		7	1.99		144	40.91		1	0.28		1	0.28		105	29.83		0	0.00		28	7.95		0	0.00		0	0.00		42	11.93		1	0.28		0	0.00		352	94.37		21	5.63		373	0.42
Cockatoo		43	2.26		35	1.84		23	1.21		2	0.10		2	0.10		3	0.16		50	2.62		645	33.86		1	0.05		1	0.05		667	35.01		18	0.94		207	10.87		1	0.05		2	0.10		203	10.66		1	0.05		1	0.05		1905	95.15		97	4.85		2002	2.27
Emerald		69	2.09		49	1.49		34	1.03		1	0.03		1	0.03		2	0.06		60	1.82		1359	41.26		10	0.30		0	0.00		903	27.41		29	0.88		383	11.63		0	0.00		1	0.03		390	11.84		0	0.00		3	0.09		3294	95.40		159	4.60		3453	3.91
Fairhills		53	2.56		52	2.52		18	0.87		1	0.05		1	0.05		1	0.05		44	2.13		763	36.91		4	0.19		0	0.00		845	40.88		12	0.58		180	8.71		0	0.00		1	0.05		89	4.31		3	0.15		0	0.00		2067	94.77		114	5.23		2181	2.47
Ferntree Gully		45	2.76		26	1.60		15	0.92		2	0.12		1	0.06		0	0.00		34	2.09		630	38.70		8	0.49		2	0.12		590	36.24		8	0.49		154	9.46		1	0.06		1	0.06		108	6.63		3	0.18		0	0.00		1628	94.10		102	5.90		1730	1.96
Ferntree Gully North		47	2.20		41	1.92		34	1.59		2	0.09		0	0.00		0	0.00		40	1.87		852	39.91		5	0.23		0	0.00		694	32.51		28	1.31		215	10.07		1	0.05		2	0.09		173	8.10		0	0.00		1	0.05		2135	95.65		97	4.35		2232	2.53
Ferntree Gully Upper		32	1.90		34	2.02		20	1.19		0	0.00		1	0.06		0	0.00		48	2.85		589	35.00		3	0.18		1	0.06		575	34.17		12	0.71		183	10.87		0	0.00		1	0.06		182	10.81		2	0.12		0	0.00		1683	94.66		95	5.34		1778	2.01
Ferntree Gully West		90	3.27		70	2.55		25	0.91		5	0.18		1	0.04		0	0.00		49	1.78		1096	39.85		8	0.29		4	0.15		984	35.78		26	0.95		269	9.78		1	0.04		2	0.07		120	4.36		0	0.00		0	0.00		2750	94.24		168	5.76		2918	3.31
