Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Mallee (81774)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Antwerp		7	6.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	6.93		77	76.24		1	0.99		0	0.00		7	6.93		0	0.00		2	1.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		101	100.00		0	0.00		101	0.13
Apsley		11	3.82		2	0.69		3	1.04		0	0.00		0	0.00		0	0.00		30	10.42		166	57.64		1	0.35		0	0.00		63	21.88		2	0.69		6	2.08		0	0.00		0	0.00		4	1.39		0	0.00		0	0.00		288	98.29		5	1.71		293	0.37
Berriwillock		18	11.92		1	0.66		5	3.31		0	0.00		0	0.00		0	0.00		6	3.97		89	58.94		1	0.66		1	0.66		24	15.89		0	0.00		5	3.31		0	0.00		0	0.00		1	0.66		0	0.00		0	0.00		151	96.79		5	3.21		156	0.20
Beulah		22	7.33		1	0.33		3	1.00		0	0.00		0	0.00		1	0.33		16	5.33		220	73.33		2	0.67		0	0.00		24	8.00		4	1.33		6	2.00		0	0.00		0	0.00		1	0.33		0	0.00		0	0.00		300	98.04		6	1.96		306	0.39
Beverford		18	5.10		5	1.42		7	1.98		1	0.28		0	0.00		0	0.00		29	8.22		213	60.34		1	0.28		2	0.57		60	17.00		0	0.00		7	1.98		1	0.28		0	0.00		8	2.27		1	0.28		0	0.00		353	97.51		9	2.49		362	0.46
Birchip		56	9.30		12	1.99		10	1.66		1	0.17		0	0.00		1	0.17		30	4.98		354	58.80		3	0.50		0	0.00		105	17.44		3	0.50		17	2.82		0	0.00		1	0.17		8	1.33		0	0.00		1	0.17		602	95.56		28	4.44		630	0.80
Boundary Bend		10	8.93		2	1.79		1	0.89		1	0.89		0	0.00		0	0.00		16	14.29		57	50.89		1	0.89		0	0.00		16	14.29		2	1.79		5	4.46		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		112	98.25		2	1.75		114	0.14
Brim		15	9.62		4	2.56		1	0.64		0	0.00		0	0.00		0	0.00		9	5.77		115	73.72		1	0.64		1	0.64		8	5.13		0	0.00		1	0.64		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		156	97.50		4	2.50		160	0.20
Brimpaen		1	1.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	17.86		36	64.29		0	0.00		0	0.00		5	8.93		0	0.00		2	3.57		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		56	100.00		0	0.00		56	0.07
Cabarita		71	13.08		14	2.58		7	1.29		0	0.00		0	0.00		0	0.00		48	8.84		265	48.80		1	0.18		1	0.18		93	17.13		6	1.10		21	3.87		0	0.00		0	0.00		15	2.76		0	0.00		1	0.18		543	94.11		34	5.89		577	0.73
Cardross		38	7.63		11	2.21		8	1.61		1	0.20		0	0.00		0	0.00		73	14.66		201	40.36		3	0.60		1	0.20		120	24.10		6	1.20		22	4.42		0	0.00		0	0.00		14	2.81		0	0.00		0	0.00		498	96.14		20	3.86		518	0.66
Charlton		116	13.00		30	3.36		17	1.91		0	0.00		2	0.22		0	0.00		49	5.49		492	55.16		5	0.56		2	0.22		131	14.69		2	0.22		27	3.03		1	0.11		0	0.00		18	2.02		0	0.00		0	0.00		892	94.19		55	5.81		947	1.20
Culgoa		7	6.86		0	0.00		2	1.96		0	0.00		0	0.00		0	0.00		5	4.90		64	62.75		1	0.98		0	0.00		19	18.63		1	0.98		1	0.98		0	0.00		1	0.98		0	0.00		1	0.98		0	0.00		102	96.23		4	3.77		106	0.13
Cullulleraine		12	11.11		3	2.78		2	1.85		0	0.00		0	0.00		0	0.00		9	8.33		56	51.85		0	0.00		0	0.00		19	17.59		2	1.85		5	4.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		108	99.08		1	0.92		109	0.14
Dadswells Bridge		6	6.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	15.05		51	54.84		0	0.00		1	1.08		16	17.20		0	0.00		1	1.08		0	0.00		0	0.00		4	4.30		0	0.00		0	0.00		93	97.89		2	2.11		95	0.12
Dimboola		85	7.89		38	3.53		18	1.67		2	0.19		1	0.09		2	0.19		107	9.94		397	36.86		5	0.46		16	1.49		338	31.38		4	0.37		38	3.53		0	0.00		0	0.00		24	2.23		2	0.19		0	0.00		1077	93.65		73	6.35		1150	1.46
Donald		84	7.46		19	1.69		16	1.42		1	0.09		0	0.00		0	0.00		85	7.55		642	57.02		4	0.36		1	0.09		206	18.29		5	0.44		40	3.55		0	0.00		1	0.09		22	1.95		0	0.00		0	0.00		1126	95.91		48	4.09		1174	1.49
Dooen		7	4.86		5	3.47		4	2.78		0	0.00		0	0.00		0	0.00		15	10.42		94	65.28		0	0.00		1	0.69		11	7.64		0	0.00		5	3.47		0	0.00		1	0.69		1	0.69		0	0.00		0	0.00		144	100.00		0	0.00		144	0.18
Edenhope		85	10.43		22	2.70		12	1.47		1	0.12		0	0.00		1	0.12		87	10.67		389	47.73		2	0.25		1	0.12		172	21.10		1	0.12		24	2.94		0	0.00		1	0.12		16	1.96		0	0.00		1	0.12		815	96.56		29	3.44		844	1.07
Gerang Gerung		6	6.52		1	1.09		2	2.17		0	0.00		0	0.00		0	0.00		11	11.96		56	60.87		0	0.00		1	1.09		8	8.70		2	2.17		2	2.17		0	0.00		0	0.00		3	3.26		0	0.00		0	0.00		92	100.00		0	0.00		92	0.12
