Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Maribyrnong (83750)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aberfeldie		32	1.94		27	1.63		36	2.18		1	0.06		4	0.24		1	0.06		28	1.69		655	39.65		6	0.36		1	0.06		605	36.62		14	0.85		126	7.63		0	0.00		2	0.12		111	6.72		1	0.06		2	0.12		1652	93.70		111	6.30		1763	2.11
Airport West		26	1.25		70	3.36		13	0.62		1	0.05		0	0.00		2	0.10		36	1.73		559	26.82		6	0.29		4	0.19		1203	57.73		10	0.48		95	4.56		0	0.00		0	0.00		59	2.83		0	0.00		0	0.00		2084	88.72		265	11.28		2349	2.80
Albanvale		57	1.99		135	4.72		28	0.98		4	0.14		1	0.03		0	0.00		44	1.54		549	19.21		12	0.42		3	0.10		1840	64.38		21	0.73		122	4.27		0	0.00		1	0.03		40	1.40		1	0.03		0	0.00		2858	90.41		303	9.59		3161	3.77
Albion North		62	2.74		118	5.22		10	0.44		7	0.31		2	0.09		0	0.00		42	1.86		382	16.91		9	0.40		1	0.04		1452	64.28		5	0.22		124	5.49		0	0.00		1	0.04		43	1.90		1	0.04		0	0.00		2259	88.07		306	11.93		2565	3.06
Avondale Heights		69	3.03		59	2.59		25	1.10		3	0.13		0	0.00		0	0.00		59	2.59		512	22.52		11	0.48		0	0.00		1335	58.71		1	0.04		125	5.50		1	0.04		0	0.00		72	3.17		2	0.09		0	0.00		2274	88.93		283	11.07		2557	3.05
Avondale Heights Central		98	3.07		113	3.54		29	0.91		6	0.19		0	0.00		0	0.00		25	0.78		950	29.74		18	0.56		1	0.03		1614	50.53		13	0.41		242	7.58		1	0.03		2	0.06		79	2.47		1	0.03		2	0.06		3194	87.65		450	12.35		3644	4.35
Avondale Heights North		31	1.82		63	3.71		25	1.47		3	0.18		0	0.00		0	0.00		22	1.29		489	28.78		10	0.59		0	0.00		911	53.62		5	0.29		97	5.71		1	0.06		0	0.00		42	2.47		0	0.00		0	0.00		1699	90.42		180	9.58		1879	2.24
Buckley Park		56	2.28		47	1.91		35	1.42		0	0.00		0	0.00		0	0.00		32	1.30		1029	41.88		3	0.12		2	0.08		883	35.94		9	0.37		216	8.79		0	0.00		1	0.04		141	5.74		3	0.12		0	0.00		2457	93.46		172	6.54		2629	3.14
Essendon (Maribyrnong)		10	1.68		15	2.52		6	1.01		0	0.00		0	0.00		0	0.00		2	0.34		302	50.67		1	0.17		0	0.00		178	29.87		4	0.67		43	7.21		0	0.00		1	0.17		34	5.70		0	0.00		0	0.00		596	95.21		30	4.79		626	0.75
Essendon West		32	1.50		42	1.97		44	2.06		1	0.05		0	0.00		0	0.00		36	1.69		927	43.48		7	0.33		0	0.00		729	34.19		6	0.28		158	7.41		1	0.05		2	0.09		145	6.80		2	0.09		0	0.00		2132	93.80		141	6.20		2273	2.71
Kealba		37	1.65		76	3.40		19	0.85		3	0.13		1	0.04		0	0.00		54	2.41		535	23.91		14	0.63		0	0.00		1241	55.45		12	0.54		186	8.31		0	0.00		1	0.04		58	2.59		0	0.00		1	0.04		2238	90.46		236	9.54		2474	2.95
Keilor East		55	2.47		64	2.87		13	0.58		5	0.22		0	0.00		1	0.04		15	0.67		631	28.31		14	0.63		2	0.09		1191	53.43		6	0.27		187	8.39		1	0.04		0	0.00		43	1.93		0	0.00		1	0.04		2229	89.88		251	10.12		2480	2.96
Keilor Heights		38	1.54		43	1.75		31	1.26		0	0.00		2	0.08		1	0.04		53	2.15		828	33.64		5	0.20		4	0.16		1183	48.07		2	0.08		197	8.00		2	0.08		2	0.08		69	2.80		0	0.00		1	0.04		2461	91.18		238	8.82		2699	3.22
Keilor Park		56	3.24		70	4.05		15	0.87		0	0.00		2	0.12		1	0.06		34	1.97		526	30.44		7	0.41		1	0.06		881	50.98		6	0.35		87	5.03		2	0.12		0	0.00		40	2.31		0	0.00		0	0.00		1728	89.16		210	10.84		1938	2.31
Keilor South		59	2.17		70	2.57		34	1.25		5	0.18		0	0.00		0	0.00		43	1.58		930	34.15		2	0.07		2	0.07		1274	46.79		14	0.51		213	7.82		1	0.04		2	0.07		72	2.64		1	0.04		1	0.04		2723	91.25		261	8.75		2984	3.56
Kings Park		86	2.16		208	5.22		18	0.45		11	0.28		1	0.03		2	0.05		49	1.23		538	13.50		12	0.30		2	0.05		2796	70.16		14	0.35		196	4.92		1	0.03		1	0.03		47	1.18		3	0.08		0	0.00		3985	89.69		458	10.31		4443	5.31
Melbourne (Maribyrnong)		0	0.00		5	6.41		1	1.28		1	1.28		0	0.00		0	0.00		1	1.28		26	33.33		0	0.00		0	0.00		32	41.03		0	0.00		7	8.97		0	0.00		0	0.00		4	5.13		1	1.28		0	0.00		78	96.30		3	3.70		81	0.10
Moonee Ponds Central		16	1.41		26	2.29		28	2.47		2	0.18		0	0.00		1	0.09		7	0.62		493	43.44		0	0.00		1	0.09		350	30.84		2	0.18		105	9.25		1	0.09		0	0.00		103	9.07		0	0.00		0	0.00		1135	94.66		64	5.34		1199	1.43
Moonee Ponds West		22	1.03		35	1.64		87	4.08		0	0.00		2	0.09		1	0.05		17	0.80		666	31.22		2	0.09		1	0.05		927	43.46		5	0.23		162	7.59		0	0.00		0	0.00		201	9.42		4	0.19		1	0.05		2133	93.51		148	6.49		2281	2.72
Niddrie		49	2.91		43	2.55		12	0.71		2	0.12		0	0.00		2	0.12		32	1.90		568	33.73		13	0.77		0	0.00		816	48.46		2	0.12		97	5.76		0	0.00		2	0.12		45	2.67		0	0.00		1	0.06		1684	91.27		161	8.73		1845	2.20
