Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McEwen (89021)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alexandra		39	2.46		21	1.32		16	1.01		3	0.19		1	0.06		1	0.06		40	2.52		797	50.28		7	0.44		2	0.13		489	30.85		6	0.38		118	7.44		1	0.06		1	0.06		43	2.71		0	0.00		0	0.00		1585	92.85		122	7.15		1707	1.98
Arthurs Creek		5	1.40		2	0.56		9	2.53		1	0.28		0	0.00		0	0.00		8	2.25		209	58.71		2	0.56		0	0.00		71	19.94		4	1.12		16	4.49		0	0.00		0	0.00		29	8.15		0	0.00		0	0.00		356	96.22		14	3.78		370	0.43
Avenel		10	1.67		13	2.17		6	1.00		0	0.00		0	0.00		1	0.17		25	4.18		290	48.49		0	0.00		3	0.50		198	33.11		1	0.17		18	3.01		0	0.00		0	0.00		33	5.52		0	0.00		0	0.00		598	93.00		45	7.00		643	0.75
Badger Creek		37	2.99		19	1.54		12	0.97		0	0.00		2	0.16		0	0.00		37	2.99		468	37.83		1	0.08		2	0.16		408	32.98		10	0.81		120	9.70		0	0.00		2	0.16		118	9.54		1	0.08		0	0.00		1237	94.64		70	5.36		1307	1.52
Beveridge		10	4.35		6	2.61		1	0.43		0	0.00		0	0.00		0	0.00		11	4.78		90	39.13		0	0.00		0	0.00		81	35.22		0	0.00		22	9.57		0	0.00		1	0.43		8	3.48		0	0.00		0	0.00		230	93.12		17	6.88		247	0.29
Bonnie Doon		8	2.68		3	1.01		0	0.00		0	0.00		0	0.00		0	0.00		14	4.70		173	58.05		2	0.67		1	0.34		69	23.15		1	0.34		12	4.03		0	0.00		0	0.00		15	5.03		0	0.00		0	0.00		298	94.90		16	5.10		314	0.36
Broadford		32	1.58		31	1.53		48	2.38		1	0.05		0	0.00		1	0.05		93	4.60		727	35.97		3	0.15		1	0.05		865	42.80		7	0.35		113	5.59		0	0.00		3	0.15		93	4.60		0	0.00		3	0.15		2021	93.96		130	6.04		2151	2.50
Buxton		7	2.89		2	0.83		2	0.83		0	0.00		0	0.00		0	0.00		5	2.07		131	54.13		1	0.41		1	0.41		65	26.86		3	1.24		13	5.37		0	0.00		0	0.00		12	4.96		0	0.00		0	0.00		242	94.53		14	5.47		256	0.30
Christmas Hills		4	3.13		4	3.13		4	3.13		0	0.00		0	0.00		0	0.00		5	3.91		32	25.00		0	0.00		0	0.00		35	27.34		0	0.00		15	11.72		0	0.00		0	0.00		29	22.66		0	0.00		0	0.00		128	97.71		3	2.29		131	0.15
Clonbinane		4	1.74		7	3.04		8	3.48		0	0.00		0	0.00		0	0.00		6	2.61		74	32.17		0	0.00		1	0.43		104	45.22		0	0.00		13	5.65		0	0.00		0	0.00		13	5.65		0	0.00		0	0.00		230	96.64		8	3.36		238	0.28
Craigieburn		74	1.58		155	3.32		56	1.20		4	0.09		3	0.06		1	0.02		102	2.18		1290	27.59		10	0.21		0	0.00		2593	55.47		17	0.36		226	4.83		3	0.06		7	0.15		130	2.78		0	0.00		4	0.09		4675	93.29		336	6.71		5011	5.81
Craigieburn South		32	1.33		67	2.78		28	1.16		7	0.29		0	0.00		1	0.04		81	3.37		625	25.97		6	0.25		2	0.08		1323	54.96		7	0.29		150	6.23		0	0.00		1	0.04		76	3.16		0	0.00		1	0.04		2407	93.99		154	6.01		2561	2.97
Diamond Creek		41	1.52		45	1.66		21	0.78		3	0.11		1	0.04		0	0.00		60	2.22		1120	41.39		7	0.26		0	0.00		924	34.15		16	0.59		305	11.27		1	0.04		2	0.07		159	5.88		0	0.00		1	0.04		2706	96.03		112	3.97		2818	3.27
Diamond Creek East		58	2.25		49	1.90		28	1.09		1	0.04		1	0.04		1	0.04		66	2.56		1162	45.06		4	0.16		1	0.04		833	32.30		11	0.43		203	7.87		0	0.00		2	0.08		155	6.01		2	0.08		2	0.08		2579	96.30		99	3.70		2678	3.11
Dixons Creek		1	0.51		1	0.51		4	2.04		0	0.00		0	0.00		0	0.00		9	4.59		118	60.20		0	0.00		0	0.00		38	19.39		0	0.00		13	6.63		0	0.00		0	0.00		12	6.12		0	0.00		0	0.00		196	94.69		11	5.31		207	0.24
Don Valley		3	1.22		1	0.41		3	1.22		0	0.00		0	0.00		0	0.00		13	5.28		131	53.25		1	0.41		0	0.00		70	28.46		0	0.00		15	6.10		0	0.00		1	0.41		8	3.25		0	0.00		0	0.00		246	94.62		14	5.38		260	0.30
Doreen		5	1.22		2	0.49		7	1.71		0	0.00		0	0.00		0	0.00		3	0.73		252	61.61		2	0.49		0	0.00		72	17.60		5	1.22		31	7.58		0	0.00		0	0.00		30	7.33		0	0.00		0	0.00		409	93.81		27	6.19		436	0.51
Eden Park		11	2.06		5	0.93		8	1.50		0	0.00		1	0.19		0	0.00		15	2.80		250	46.73		1	0.19		1	0.19		190	35.51		3	0.56		29	5.42		0	0.00		2	0.37		18	3.36		1	0.19		0	0.00		535	95.71		24	4.29		559	0.65
Eildon		14	2.65		8	1.51		9	1.70		0	0.00		1	0.19		0	0.00		28	5.29		223	42.16		0	0.00		1	0.19		191	36.11		1	0.19		34	6.43		0	0.00		1	0.19		18	3.40		0	0.00		0	0.00		529	93.79		35	6.21		564	0.65
Flowerdale		6	1.69		5	1.41		8	2.25		0	0.00		1	0.28		0	0.00		13	3.66		140	39.44		1	0.28		0	0.00		129	36.34		0	0.00		21	5.92		0	0.00		2	0.56		29	8.17		0	0.00		0	0.00		355	94.16		22	5.84		377	0.44
