Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McMillan (85551)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bona Vista		4	2.05		2	1.03		2	1.03		0	0.00		0	0.00		1	0.51		3	1.54		123	63.08		0	0.00		0	0.00		30	15.38		0	0.00		11	5.64		0	0.00		1	0.51		18	9.23		0	0.00		0	0.00		195	97.50		5	2.50		200	0.24
Boolarra		16	2.41		14	2.11		9	1.36		0	0.00		0	0.00		0	0.00		30	4.52		259	39.06		2	0.30		1	0.15		236	35.60		0	0.00		39	5.88		0	0.00		0	0.00		57	8.60		0	0.00		0	0.00		663	96.79		22	3.21		685	0.83
Buln Buln		8	2.14		5	1.34		6	1.61		0	0.00		0	0.00		0	0.00		17	4.56		206	55.23		1	0.27		1	0.27		80	21.45		4	1.07		24	6.43		0	0.00		0	0.00		21	5.63		0	0.00		0	0.00		373	97.90		8	2.10		381	0.46
Bunyip		30	2.36		25	1.97		14	1.10		1	0.08		1	0.08		0	0.00		56	4.40		648	50.94		3	0.24		3	0.24		348	27.36		15	1.18		81	6.37		2	0.16		1	0.08		44	3.46		0	0.00		0	0.00		1272	94.36		76	5.64		1348	1.64
Churchill		48	1.60		70	2.34		31	1.04		2	0.07		2	0.07		1	0.03		153	5.11		811	27.09		10	0.33		8	0.27		1471	49.13		15	0.50		221	7.38		0	0.00		1	0.03		148	4.94		0	0.00		2	0.07		2994	96.18		119	3.82		3113	3.78
Cloverlea		2	1.46		0	0.00		2	1.46		0	0.00		0	0.00		0	0.00		6	4.38		88	64.23		1	0.73		0	0.00		23	16.79		0	0.00		7	5.11		0	0.00		0	0.00		7	5.11		0	0.00		1	0.73		137	97.16		4	2.84		141	0.17
Cora Lynn		3	2.21		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		9	6.62		95	69.85		1	0.74		0	0.00		21	15.44		0	0.00		6	4.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		136	97.14		4	2.86		140	0.17
Darnum		10	2.88		7	2.02		4	1.15		0	0.00		0	0.00		0	0.00		24	6.92		202	58.21		0	0.00		1	0.29		70	20.17		1	0.29		21	6.05		0	0.00		0	0.00		7	2.02		0	0.00		0	0.00		347	94.55		20	5.45		367	0.45
Drouin		101	2.77		64	1.76		37	1.01		5	0.14		0	0.00		3	0.08		180	4.94		1879	51.54		9	0.25		0	0.00		950	26.06		44	1.21		244	6.69		1	0.03		4	0.11		123	3.37		1	0.03		1	0.03		3646	94.92		195	5.08		3841	4.67
Drouin South		15	2.86		9	1.72		5	0.95		0	0.00		0	0.00		0	0.00		32	6.11		332	63.36		1	0.19		0	0.00		75	14.31		3	0.57		32	6.11		0	0.00		0	0.00		19	3.63		0	0.00		1	0.19		524	95.45		25	4.55		549	0.67
Drouin West		5	1.74		5	1.74		2	0.70		1	0.35		0	0.00		0	0.00		9	3.14		164	57.14		1	0.35		0	0.00		69	24.04		1	0.35		16	5.57		0	0.00		1	0.35		13	4.53		0	0.00		0	0.00		287	96.63		10	3.37		297	0.36
Ellinbank		6	2.11		4	1.40		2	0.70		0	0.00		0	0.00		0	0.00		11	3.86		180	63.16		0	0.00		0	0.00		56	19.65		2	0.70		15	5.26		0	0.00		0	0.00		9	3.16		0	0.00		0	0.00		285	94.37		17	5.63		302	0.37
Erica		3	1.46		4	1.94		7	3.40		0	0.00		0	0.00		1	0.49		19	9.22		76	36.89		1	0.49		1	0.49		71	34.47		0	0.00		9	4.37		0	0.00		0	0.00		13	6.31		1	0.49		0	0.00		206	96.71		7	3.29		213	0.26
Garfield		21	3.26		9	1.40		7	1.09		0	0.00		0	0.00		0	0.00		28	4.35		362	56.21		2	0.31		0	0.00		159	24.69		5	0.78		28	4.35		0	0.00		1	0.16		22	3.42		0	0.00		0	0.00		644	94.43		38	5.57		682	0.83
Hallora		1	1.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		63	79.75		0	0.00		0	0.00		9	11.39		2	2.53		2	2.53		0	0.00		0	0.00		2	2.53		0	0.00		0	0.00		79	95.18		4	4.82		83	0.10
Hazelwood North		10	1.46		13	1.90		9	1.32		0	0.00		0	0.00		1	0.15		34	4.98		310	45.39		0	0.00		1	0.15		245	35.87		7	1.02		38	5.56		0	0.00		0	0.00		14	2.05		1	0.15		0	0.00		683	98.41		11	1.59		694	0.84
Hill End		2	1.80		2	1.80		0	0.00		0	0.00		0	0.00		0	0.00		3	2.70		53	47.75		1	0.90		0	0.00		38	34.23		0	0.00		9	8.11		0	0.00		0	0.00		3	2.70		0	0.00		0	0.00		111	92.50		9	7.50		120	0.15
Iona		2	2.02		0	0.00		4	4.04		0	0.00		0	0.00		0	0.00		0	0.00		58	58.59		0	0.00		0	0.00		25	25.25		0	0.00		6	6.06		0	0.00		0	0.00		4	4.04		0	0.00		0	0.00		99	96.12		4	3.88		103	0.13
Jindivick		5	1.85		0	0.00		5	1.85		0	0.00		0	0.00		0	0.00		17	6.27		135	49.82		1	0.37		0	0.00		64	23.62		3	1.11		13	4.80		0	0.00		0	0.00		28	10.33		0	0.00		0	0.00		271	94.10		17	5.90		288	0.35
Labertouche		6	2.70		4	1.80		3	1.35		0	0.00		0	0.00		0	0.00		7	3.15		132	59.46		2	0.90		0	0.00		45	20.27		2	0.90		14	6.31		0	0.00		0	0.00		6	2.70		0	0.00		1	0.45		222	95.69		10	4.31		232	0.28
