Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Melbourne (95848)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abbotsford		20	1.66		18	1.49		15	1.24		1	0.08		0	0.00		1	0.08		10	0.83		235	19.47		8	0.66		0	0.00		484	40.10		0	0.00		124	10.27		0	0.00		1	0.08		283	23.45		2	0.17		5	0.41		1207	94.52		70	5.48		1277	1.45
Ascot Vale		8	1.43		18	3.21		4	0.71		0	0.00		0	0.00		0	0.00		4	0.71		65	11.59		0	0.00		0	0.00		404	72.01		0	0.00		30	5.35		0	0.00		0	0.00		28	4.99		0	0.00		0	0.00		561	90.48		59	9.52		620	0.70
Ascot Vale Central		25	1.27		35	1.77		28	1.42		2	0.10		1	0.05		0	0.00		20	1.01		559	28.30		5	0.25		2	0.10		913	46.23		7	0.35		206	10.43		0	0.00		2	0.10		166	8.41		2	0.10		2	0.10		1975	92.59		158	7.41		2133	2.42
Ascot Vale East		31	1.63		45	2.37		91	4.79		0	0.00		0	0.00		1	0.05		17	0.89		473	24.89		3	0.16		2	0.11		807	42.47		6	0.32		194	10.21		0	0.00		2	0.11		226	11.89		2	0.11		0	0.00		1900	92.55		153	7.45		2053	2.33
Ascot Vale West		34	2.48		33	2.41		33	2.41		0	0.00		0	0.00		3	0.22		25	1.82		412	30.05		4	0.29		1	0.07		583	42.52		3	0.22		117	8.53		0	0.00		2	0.15		121	8.83		0	0.00		0	0.00		1371	93.08		102	6.92		1473	1.67
Brunswick East		27	2.01		38	2.84		18	1.34		0	0.00		0	0.00		0	0.00		6	0.45		258	19.25		10	0.75		0	0.00		607	45.30		0	0.00		146	10.90		0	0.00		4	0.30		223	16.64		2	0.15		1	0.07		1340	92.67		106	7.33		1446	1.64
Brunswick South		12	1.24		29	3.00		36	3.73		1	0.10		0	0.00		0	0.00		8	0.83		156	16.15		11	1.14		1	0.10		448	46.38		7	0.72		106	10.97		2	0.21		0	0.00		145	15.01		4	0.41		0	0.00		966	91.65		88	8.35		1054	1.19
Brunswick South East		16	1.33		14	1.16		24	1.99		1	0.08		0	0.00		0	0.00		9	0.75		234	19.39		2	0.17		0	0.00		461	38.19		4	0.33		153	12.68		0	0.00		0	0.00		287	23.78		1	0.08		1	0.08		1207	95.42		58	4.58		1265	1.43
Brunswick South West		48	2.25		46	2.15		122	5.71		1	0.05		0	0.00		1	0.05		22	1.03		485	22.71		6	0.28		1	0.05		912	42.70		6	0.28		193	9.04		1	0.05		0	0.00		289	13.53		2	0.09		1	0.05		2136	92.39		176	7.61		2312	2.62
Carlton		32	1.74		56	3.05		40	2.18		3	0.16		0	0.00		0	0.00		13	0.71		293	15.97		8	0.44		0	0.00		892	48.61		6	0.33		206	11.23		0	0.00		0	0.00		286	15.59		0	0.00		0	0.00		1835	92.35		152	7.65		1987	2.25
Carlton Central		21	0.88		27	1.13		49	2.05		0	0.00		1	0.04		0	0.00		10	0.42		498	20.84		4	0.17		1	0.04		753	31.51		3	0.13		376	15.73		0	0.00		1	0.04		638	26.69		7	0.29		1	0.04		2390	96.10		97	3.90		2487	2.82
Carlton North		21	1.14		18	0.98		45	2.44		0	0.00		0	0.00		0	0.00		11	0.60		463	25.12		7	0.38		0	0.00		539	29.25		1	0.05		264	14.32		0	0.00		0	0.00		471	25.56		2	0.11		1	0.05		1843	95.20		93	4.80		1936	2.19
Carlton South		7	0.74		11	1.17		16	1.70		0	0.00		0	0.00		0	0.00		7	0.74		269	28.53		5	0.53		0	0.00		275	29.16		3	0.32		140	14.85		0	0.00		1	0.11		207	21.95		1	0.11		1	0.11		943	97.02		29	2.98		972	1.10
Clifton Hill		21	1.21		16	0.92		53	3.05		0	0.00		0	0.00		0	0.00		7	0.40		339	19.49		2	0.12		0	0.00		583	33.53		4	0.23		261	15.01		0	0.00		2	0.12		445	25.59		5	0.29		1	0.06		1739	96.40		65	3.60		1804	2.04
Collingwood		29	1.44		71	3.53		24	1.19		1	0.05		4	0.20		1	0.05		16	0.80		272	13.52		9	0.45		0	0.00		1044	51.89		6	0.30		194	9.64		0	0.00		2	0.10		335	16.65		3	0.15		1	0.05		2012	93.67		136	6.33		2148	2.43
Collingwood North		19	1.12		27	1.59		33	1.94		0	0.00		0	0.00		0	0.00		11	0.65		287	16.87		4	0.24		0	0.00		617	36.27		4	0.24		259	15.23		0	0.00		1	0.06		430	25.28		4	0.24		5	0.29		1701	94.97		90	5.03		1791	2.03
Delbridge		7	0.73		14	1.47		25	2.62		0	0.00		2	0.21		0	0.00		8	0.84		198	20.75		1	0.10		2	0.21		306	32.08		2	0.21		145	15.20		0	0.00		0	0.00		243	25.47		1	0.10		0	0.00		954	96.56		34	3.44		988	1.12
East Melbourne		20	1.14		9	0.51		14	0.79		0	0.00		1	0.06		0	0.00		12	0.68		860	48.81		7	0.40		1	0.06		349	19.81		1	0.06		194	11.01		0	0.00		2	0.11		285	16.17		4	0.23		3	0.17		1762	97.29		49	2.71		1811	2.05
Edward		38	1.37		52	1.87		41	1.48		1	0.04		8	0.29		0	0.00		22	0.79		483	17.41		11	0.40		2	0.07		1142	41.15		11	0.40		373	13.44		1	0.04		3	0.11		570	20.54		14	0.50		3	0.11		2775	92.16		236	7.84		3011	3.41
Fitzroy		17	0.96		38	2.14		17	0.96		1	0.06		1	0.06		0	0.00		9	0.51		242	13.63		2	0.11		0	0.00		905	50.96		1	0.06		185	10.42		0	0.00		0	0.00		348	19.59		10	0.56		0	0.00		1776	95.38		86	4.62		1862	2.11
