Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Menzies (84613)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Beverley Hills		74	2.56		53	1.84		25	0.87		2	0.07		1	0.03		1	0.03		39	1.35		1244	43.09		23	0.80		1	0.03		1025	35.50		17	0.59		248	8.59		0	0.00		0	0.00		133	4.61		1	0.03		0	0.00		2887	93.52		200	6.48		3087	3.80
Bulleen		82	2.41		68	1.99		24	0.70		1	0.03		1	0.03		1	0.03		35	1.03		1356	39.78		21	0.62		0	0.00		1373	40.28		14	0.41		251	7.36		1	0.03		6	0.18		175	5.13		0	0.00		0	0.00		3409	92.18		289	7.82		3698	4.55
Bulleen West		20	2.57		22	2.82		8	1.03		1	0.13		0	0.00		0	0.00		8	1.03		287	36.84		8	1.03		0	0.00		344	44.16		7	0.90		45	5.78		0	0.00		0	0.00		29	3.72		0	0.00		0	0.00		779	90.06		86	9.94		865	1.07
Donburn		20	1.91		12	1.15		12	1.15		0	0.00		0	0.00		0	0.00		11	1.05		557	53.15		6	0.57		0	0.00		297	28.34		8	0.76		75	7.16		0	0.00		2	0.19		48	4.58		0	0.00		0	0.00		1048	95.01		55	4.99		1103	1.36
Doncaster		52	2.09		58	2.33		18	0.72		2	0.08		0	0.00		2	0.08		28	1.12		1069	42.86		19	0.76		0	0.00		871	34.92		11	0.44		242	9.70		1	0.04		2	0.08		117	4.69		2	0.08		0	0.00		2494	94.04		158	5.96		2652	3.27
Doncaster Central		51	1.73		64	2.17		32	1.09		1	0.03		2	0.07		2	0.07		25	0.85		1301	44.12		20	0.68		0	0.00		1091	37.00		7	0.24		220	7.46		0	0.00		3	0.10		129	4.37		0	0.00		1	0.03		2949	93.89		192	6.11		3141	3.87
Doncaster East		105	1.98		117	2.21		34	0.64		2	0.04		0	0.00		0	0.00		70	1.32		2342	44.16		57	1.07		1	0.02		1946	36.70		32	0.60		444	8.37		1	0.02		4	0.08		143	2.70		1	0.02		4	0.08		5303	94.19		327	5.81		5630	6.93
Doncaster Gardens		30	1.74		43	2.49		15	0.87		2	0.12		0	0.00		0	0.00		25	1.45		753	43.65		15	0.87		0	0.00		650	37.68		7	0.41		127	7.36		0	0.00		2	0.12		53	3.07		1	0.06		2	0.12		1725	93.50		120	6.50		1845	2.27
Doncaster Heights		25	1.94		20	1.56		13	1.01		0	0.00		0	0.00		0	0.00		17	1.32		596	46.35		9	0.70		0	0.00		469	36.47		9	0.70		78	6.07		0	0.00		1	0.08		48	3.73		1	0.08		0	0.00		1286	94.91		69	5.09		1355	1.67
Doncaster Park		22	3.17		12	1.73		12	1.73		0	0.00		0	0.00		0	0.00		13	1.88		298	43.00		5	0.72		0	0.00		250	36.08		4	0.58		45	6.49		0	0.00		0	0.00		32	4.62		0	0.00		0	0.00		693	92.77		54	7.23		747	0.92
Doncaster South		23	1.77		34	2.61		13	1.00		1	0.08		0	0.00		0	0.00		13	1.00		595	45.66		6	0.46		0	0.00		442	33.92		4	0.31		109	8.37		1	0.08		2	0.15		59	4.53		1	0.08		0	0.00		1303	92.81		101	7.19		1404	1.73
Doncaster West		53	2.86		29	1.56		14	0.75		1	0.05		0	0.00		0	0.00		30	1.62		728	39.25		5	0.27		0	0.00		757	40.81		5	0.27		145	7.82		0	0.00		2	0.11		86	4.64		0	0.00		0	0.00		1855	91.74		167	8.26		2022	2.49
Donvale		63	1.93		47	1.44		33	1.01		2	0.06		1	0.03		0	0.00		38	1.16		1921	58.71		10	0.31		1	0.03		723	22.10		27	0.83		267	8.16		0	0.00		4	0.12		134	4.10		0	0.00		1	0.03		3272	95.12		168	4.88		3440	4.24
Gumnut Gully		27	2.85		20	2.11		10	1.06		1	0.11		0	0.00		0	0.00		7	0.74		509	53.75		7	0.74		3	0.32		252	26.61		4	0.42		80	8.45		1	0.11		0	0.00		26	2.75		0	0.00		0	0.00		947	96.44		35	3.56		982	1.21
Lower Templestowe		33	2.11		29	1.86		17	1.09		2	0.13		0	0.00		1	0.06		15	0.96		638	40.82		12	0.77		1	0.06		574	36.72		7	0.45		153	9.79		0	0.00		0	0.00		78	4.99		1	0.06		2	0.13		1563	92.98		118	7.02		1681	2.07
Manningham		24	1.87		27	2.10		15	1.17		0	0.00		3	0.23		2	0.16		18	1.40		687	53.46		6	0.47		0	0.00		361	28.09		7	0.54		87	6.77		0	0.00		1	0.08		47	3.66		0	0.00		0	0.00		1285	94.00		82	6.00		1367	1.68
Melbourne (Menzies)		1	1.15		2	2.30		1	1.15		1	1.15		1	1.15		0	0.00		1	1.15		39	44.83		2	2.30		0	0.00		20	22.99		0	0.00		11	12.64		0	0.00		0	0.00		8	9.20		0	0.00		0	0.00		87	94.57		5	5.43		92	0.11
Milgate		38	1.59		40	1.67		25	1.05		0	0.00		1	0.04		1	0.04		15	0.63		1291	54.04		20	0.84		0	0.00		671	28.09		13	0.54		195	8.16		1	0.04		0	0.00		77	3.22		1	0.04		0	0.00		2389	95.41		115	4.59		2504	3.08
Park Orchards		34	1.57		23	1.06		22	1.01		0	0.00		0	0.00		0	0.00		40	1.84		1240	57.12		3	0.14		2	0.09		405	18.65		7	0.32		208	9.58		1	0.05		6	0.28		180	8.29		0	0.00		0	0.00		2171	95.89		93	4.11		2264	2.79
Ringwood North (Menzies)		15	1.58		12	1.27		6	0.63		0	0.00		0	0.00		0	0.00		11	1.16		566	59.77		2	0.21		0	0.00		169	17.85		16	1.69		82	8.66		0	0.00		4	0.42		63	6.65		1	0.11		0	0.00		947	96.73		32	3.27		979	1.21
