Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Melbourne Ports (89113)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alfred Hospital		7	1.88		7	1.88		1	0.27		0	0.00		0	0.00		0	0.00		5	1.34		162	43.55		1	0.27		0	0.00		105	28.23		0	0.00		46	12.37		0	0.00		0	0.00		38	10.22		0	0.00		0	0.00		372	97.64		9	2.36		381	0.46
Argyle		25	2.42		20	1.93		15	1.45		0	0.00		0	0.00		0	0.00		12	1.16		254	24.56		0	0.00		0	0.00		417	40.33		1	0.10		115	11.12		0	0.00		2	0.19		169	16.34		1	0.10		3	0.29		1034	93.41		73	6.59		1107	1.34
Bridport		34	1.51		23	1.02		23	1.02		1	0.04		0	0.00		1	0.04		18	0.80		830	36.87		6	0.27		2	0.09		819	36.38		4	0.18		203	9.02		0	0.00		4	0.18		277	12.31		3	0.13		3	0.13		2251	93.75		150	6.25		2401	2.92
Camden		44	2.11		30	1.44		18	0.86		1	0.05		1	0.05		1	0.05		16	0.77		926	44.48		10	0.48		0	0.00		628	30.16		3	0.14		222	10.66		3	0.14		0	0.00		175	8.41		1	0.05		3	0.14		2082	94.42		123	5.58		2205	2.68
Caulfield		47	2.71		24	1.38		9	0.52		1	0.06		3	0.17		0	0.00		4	0.23		922	53.08		7	0.40		1	0.06		425	24.47		0	0.00		170	9.79		0	0.00		1	0.06		117	6.74		3	0.17		3	0.17		1737	93.54		120	6.46		1857	2.26
Caulfield East		46	2.26		23	1.13		19	0.93		0	0.00		1	0.05		1	0.05		21	1.03		867	42.56		7	0.34		0	0.00		644	31.62		4	0.20		222	10.90		0	0.00		2	0.10		171	8.39		2	0.10		7	0.34		2037	92.89		156	7.11		2193	2.66
Caulfield North		54	2.27		20	0.84		21	0.88		1	0.04		0	0.00		0	0.00		12	0.50		1270	53.38		10	0.42		0	0.00		535	22.49		4	0.17		231	9.71		1	0.04		1	0.04		210	8.83		1	0.04		8	0.34		2379	91.15		231	8.85		2610	3.17
Caulfield South		55	3.57		22	1.43		15	0.97		4	0.26		0	0.00		0	0.00		11	0.71		687	44.55		6	0.39		0	0.00		415	26.91		0	0.00		199	12.91		0	0.00		0	0.00		126	8.17		2	0.13		0	0.00		1542	91.13		150	8.87		1692	2.06
Caulfield Upper		56	2.35		24	1.01		16	0.67		0	0.00		0	0.00		0	0.00		21	0.88		1084	45.39		7	0.29		0	0.00		634	26.55		2	0.08		275	11.52		0	0.00		1	0.04		263	11.01		2	0.08		3	0.13		2388	93.46		167	6.54		2555	3.10
Caulfield West		34	3.06		17	1.53		5	0.45		1	0.09		1	0.09		0	0.00		9	0.81		557	50.14		3	0.27		0	0.00		259	23.31		3	0.27		123	11.07		0	0.00		0	0.00		95	8.55		0	0.00		4	0.36		1111	94.63		63	5.37		1174	1.43
Elsternwick		66	2.17		49	1.61		30	0.99		0	0.00		0	0.00		1	0.03		18	0.59		1139	37.43		9	0.30		2	0.07		936	30.76		12	0.39		401	13.18		0	0.00		3	0.10		374	12.29		1	0.03		2	0.07		3043	92.52		246	7.48		3289	3.99
Elsternwick North		21	2.16		19	1.96		11	1.13		0	0.00		0	0.00		0	0.00		6	0.62		362	37.32		4	0.41		0	0.00		339	34.95		0	0.00		91	9.38		0	0.00		0	0.00		117	12.06		0	0.00		0	0.00		970	92.91		74	7.09		1044	1.27
Elwood		35	1.37		31	1.21		39	1.53		3	0.12		1	0.04		0	0.00		22	0.86		863	33.76		2	0.08		3	0.12		677	26.49		1	0.04		397	15.53		1	0.04		4	0.16		472	18.47		1	0.04		4	0.16		2556	95.55		119	4.45		2675	3.25
Elwood North		33	1.12		34	1.15		31	1.05		0	0.00		1	0.03		1	0.03		28	0.95		899	30.42		7	0.24		1	0.03		879	29.75		2	0.07		445	15.06		0	0.00		1	0.03		589	19.93		1	0.03		3	0.10		2955	96.54		106	3.46		3061	3.72
Emerald Hill		24	1.10		44	2.02		23	1.06		1	0.05		0	0.00		1	0.05		15	0.69		862	39.56		4	0.18		1	0.05		699	32.08		3	0.14		251	11.52		1	0.05		0	0.00		248	11.38		0	0.00		2	0.09		2179	94.08		137	5.92		2316	2.81
Fawkner Park (Melbourne Ports)		29	1.31		18	0.81		15	0.68		1	0.05		1	0.05		0	0.00		15	0.68		1118	50.50		11	0.50		0	0.00		439	19.83		6	0.27		260	11.74		3	0.14		0	0.00		297	13.41		1	0.05		0	0.00		2214	95.89		95	4.11		2309	2.80
Graham		18	1.19		24	1.58		23	1.52		0	0.00		0	0.00		0	0.00		8	0.53		580	38.23		0	0.00		0	0.00		595	39.22		4	0.26		142	9.36		0	0.00		0	0.00		122	8.04		0	0.00		1	0.07		1517	94.40		90	5.60		1607	1.95
Kerferd		48	1.15		42	1.01		34	0.81		3	0.07		2	0.05		0	0.00		33	0.79		1814	43.44		9	0.22		1	0.02		1165	27.90		14	0.34		448	10.73		2	0.05		2	0.05		556	13.31		0	0.00		3	0.07		4176	94.78		230	5.22		4406	5.35
Melbourne (Melbourne Ports)		16	2.03		16	2.03		13	1.65		0	0.00		1	0.13		0	0.00		6	0.76		314	39.90		5	0.64		0	0.00		185	23.51		3	0.38		119	15.12		0	0.00		0	0.00		108	13.72		0	0.00		1	0.13		787	97.76		18	2.24		805	0.98
Middle Park		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
