Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Murray (85651)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ardmona		9	2.18		17	4.12		9	2.18		1	0.24		0	0.00		0	0.00		23	5.57		246	59.56		1	0.24		0	0.00		87	21.07		0	0.00		14	3.39		0	0.00		0	0.00		6	1.45		0	0.00		0	0.00		413	93.86		27	6.14		440	0.53
Ballendella		3	1.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.16		125	79.11		0	0.00		0	0.00		17	10.76		0	0.00		0	0.00		0	0.00		0	0.00		7	4.43		0	0.00		1	0.63		158	94.61		9	5.39		167	0.20
Bamawm		2	1.07		1	0.53		3	1.60		0	0.00		0	0.00		0	0.00		4	2.14		147	78.61		1	0.53		0	0.00		21	11.23		1	0.53		5	2.67		0	0.00		0	0.00		2	1.07		0	0.00		0	0.00		187	93.50		13	6.50		200	0.24
Bamawm Extension		2	1.27		1	0.64		1	0.64		0	0.00		0	0.00		0	0.00		13	8.28		119	75.80		0	0.00		0	0.00		12	7.64		2	1.27		4	2.55		0	0.00		0	0.00		3	1.91		0	0.00		0	0.00		157	97.52		4	2.48		161	0.19
Barmah		7	3.70		4	2.12		3	1.59		0	0.00		0	0.00		0	0.00		23	12.17		79	41.80		1	0.53		0	0.00		58	30.69		1	0.53		7	3.70		0	0.00		1	0.53		5	2.65		0	0.00		0	0.00		189	94.50		11	5.50		200	0.24
Boort		18	2.70		7	1.05		4	0.60		0	0.00		1	0.15		0	0.00		36	5.41		454	68.17		2	0.30		0	0.00		102	15.32		10	1.50		20	3.00		0	0.00		0	0.00		12	1.80		0	0.00		0	0.00		666	94.07		42	5.93		708	0.86
Bunbartha		2	1.27		1	0.63		3	1.90		0	0.00		0	0.00		0	0.00		9	5.70		112	70.89		0	0.00		0	0.00		17	10.76		2	1.27		9	5.70		0	0.00		0	0.00		3	1.90		0	0.00		0	0.00		158	96.34		6	3.66		164	0.20
Byrneside		6	2.45		4	1.63		7	2.86		0	0.00		0	0.00		0	0.00		10	4.08		184	75.10		1	0.41		0	0.00		20	8.16		1	0.41		5	2.04		0	0.00		0	0.00		6	2.45		0	0.00		1	0.41		245	99.59		1	0.41		246	0.30
Calivil		2	1.42		1	0.71		2	1.42		0	0.00		0	0.00		0	0.00		12	8.51		105	74.47		1	0.71		2	1.42		8	5.67		0	0.00		5	3.55		0	0.00		0	0.00		3	2.13		0	0.00		0	0.00		141	95.92		6	4.08		147	0.18
Cobram		90	3.03		51	1.72		24	0.81		6	0.20		1	0.03		6	0.20		143	4.81		1675	56.38		9	0.30		1	0.03		784	26.39		12	0.40		104	3.50		1	0.03		4	0.13		60	2.02		0	0.00		0	0.00		2971	93.72		199	6.28		3170	3.84
Cohuna		55	2.95		22	1.18		27	1.45		3	0.16		1	0.05		0	0.00		94	5.04		1281	68.69		8	0.43		1	0.05		296	15.87		7	0.38		43	2.31		0	0.00		1	0.05		25	1.34		0	0.00		1	0.05		1865	93.53		129	6.47		1994	2.41
Colbinabbin		10	4.15		2	0.83		1	0.41		0	0.00		0	0.00		0	0.00		5	2.07		188	78.01		2	0.83		0	0.00		21	8.71		1	0.41		4	1.66		0	0.00		0	0.00		7	2.90		0	0.00		0	0.00		241	93.41		17	6.59		258	0.31
Congupna		13	2.64		7	1.42		8	1.63		0	0.00		0	0.00		0	0.00		12	2.44		315	64.02		3	0.61		1	0.20		80	16.26		7	1.42		32	6.50		0	0.00		0	0.00		14	2.85		0	0.00		0	0.00		492	94.43		29	5.57		521	0.63
Cooma		3	1.78		0	0.00		1	0.59		0	0.00		0	0.00		0	0.00		11	6.51		133	78.70		0	0.00		0	0.00		9	5.33		5	2.96		5	2.96		0	0.00		0	0.00		2	1.18		0	0.00		0	0.00		169	97.69		4	2.31		173	0.21
Dhurringile		5	3.09		3	1.85		2	1.23		0	0.00		0	0.00		0	0.00		8	4.94		117	72.22		0	0.00		0	0.00		19	11.73		0	0.00		5	3.09		0	0.00		0	0.00		3	1.85		0	0.00		0	0.00		162	97.01		5	2.99		167	0.20
Dingee		6	2.75		3	1.38		4	1.83		0	0.00		1	0.46		0	0.00		14	6.42		158	72.48		0	0.00		0	0.00		20	9.17		0	0.00		4	1.83		0	0.00		0	0.00		8	3.67		0	0.00		0	0.00		218	96.04		9	3.96		227	0.27
Dingwall		2	1.96		1	0.98		2	1.96		0	0.00		0	0.00		0	0.00		12	11.76		76	74.51		0	0.00		0	0.00		2	1.96		0	0.00		5	4.90		0	0.00		0	0.00		2	1.96		0	0.00		0	0.00		102	95.33		5	4.67		107	0.13
Dookie		10	3.62		2	0.72		3	1.09		0	0.00		0	0.00		0	0.00		22	7.97		165	59.78		0	0.00		0	0.00		46	16.67		2	0.72		13	4.71		0	0.00		0	0.00		12	4.35		1	0.36		0	0.00		276	96.50		10	3.50		286	0.35
Echuca		69	3.40		24	1.18		25	1.23		2	0.10		1	0.05		1	0.05		79	3.90		1208	59.60		0	0.00		0	0.00		435	21.46		19	0.94		100	4.93		0	0.00		2	0.10		61	3.01		1	0.05		0	0.00		2027	94.19		125	5.81		2152	2.61
Echuca Central		18	2.21		9	1.11		10	1.23		0	0.00		2	0.25		0	0.00		33	4.06		530	65.19		0	0.00		1	0.12		155	19.07		5	0.62		32	3.94		0	0.00		1	0.12		17	2.09		0	0.00		0	0.00		813	95.42		39	4.58		852	1.03
