Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Wannon (82915)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Allansford		24	3.28		12	1.64		14	1.91		0	0.00		0	0.00		0	0.00		34	4.64		388	53.01		0	0.00		2	0.27		170	23.22		7	0.96		37	5.05		0	0.00		2	0.27		41	5.60		1	0.14		0	0.00		732	94.33		44	5.67		776	0.97
Ararat		75	2.55		81	2.75		33	1.12		5	0.17		4	0.14		0	0.00		127	4.31		1030	34.97		3	0.10		1	0.03		1373	46.62		16	0.54		105	3.57		15	0.51		5	0.17		70	2.38		2	0.07		0	0.00		2945	93.61		201	6.39		3146	3.93
Ararat West		30	1.83		30	1.83		22	1.34		1	0.06		3	0.18		0	0.00		43	2.63		671	41.01		2	0.12		0	0.00		672	41.08		0	0.00		96	5.87		0	0.00		3	0.18		61	3.73		2	0.12		0	0.00		1636	95.17		83	4.83		1719	2.15
Balmoral		4	1.27		5	1.59		7	2.22		0	0.00		0	0.00		0	0.00		16	5.08		158	50.16		0	0.00		0	0.00		96	30.48		2	0.63		19	6.03		0	0.00		0	0.00		8	2.54		0	0.00		0	0.00		315	95.17		16	4.83		331	0.41
Beaufort		28	2.45		32	2.80		19	1.67		2	0.18		0	0.00		1	0.09		59	5.17		487	42.68		2	0.18		1	0.09		418	36.63		1	0.09		57	5.00		0	0.00		1	0.09		33	2.89		0	0.00		0	0.00		1141	93.83		75	6.17		1216	1.52
Bolwarra		11	2.19		4	0.80		8	1.59		1	0.20		0	0.00		0	0.00		25	4.97		247	49.11		2	0.40		0	0.00		161	32.01		7	1.39		13	2.58		0	0.00		1	0.20		23	4.57		0	0.00		0	0.00		503	95.81		22	4.19		525	0.66
Branxholme		10	4.50		3	1.35		3	1.35		0	0.00		0	0.00		0	0.00		15	6.76		115	51.80		1	0.45		0	0.00		58	26.13		0	0.00		7	3.15		0	0.00		0	0.00		10	4.50		0	0.00		0	0.00		222	95.28		11	4.72		233	0.29
Buangor		1	0.68		2	1.37		1	0.68		0	0.00		0	0.00		0	0.00		8	5.48		82	56.16		0	0.00		0	0.00		37	25.34		1	0.68		8	5.48		0	0.00		0	0.00		6	4.11		0	0.00		0	0.00		146	95.42		7	4.58		153	0.19
Byaduk		3	2.63		1	0.88		4	3.51		0	0.00		0	0.00		0	0.00		9	7.89		74	64.91		0	0.00		0	0.00		14	12.28		0	0.00		8	7.02		0	0.00		0	0.00		1	0.88		0	0.00		0	0.00		114	100.00		0	0.00		114	0.14
Camperdown		70	2.87		39	1.60		19	0.78		3	0.12		3	0.12		2	0.08		69	2.83		1315	53.89		4	0.16		2	0.08		658	26.97		8	0.33		149	6.11		0	0.00		2	0.08		95	3.89		1	0.04		1	0.04		2440	93.24		177	6.76		2617	3.27
Cape Clear		6	2.61		12	5.22		0	0.00		0	0.00		0	0.00		0	0.00		19	8.26		100	43.48		1	0.43		0	0.00		74	32.17		1	0.43		10	4.35		0	0.00		0	0.00		7	3.04		0	0.00		0	0.00		230	93.50		16	6.50		246	0.31
Caramut		8	3.77		3	1.42		1	0.47		0	0.00		0	0.00		0	0.00		14	6.60		121	57.08		1	0.47		0	0.00		55	25.94		0	0.00		3	1.42		0	0.00		1	0.47		5	2.36		0	0.00		0	0.00		212	95.50		10	4.50		222	0.28
Carpendeit		3	2.00		3	2.00		4	2.67		0	0.00		0	0.00		0	0.00		15	10.00		91	60.67		1	0.67		0	0.00		29	19.33		0	0.00		1	0.67		0	0.00		0	0.00		3	2.00		0	0.00		0	0.00		150	93.17		11	6.83		161	0.20
Casterton		32	1.99		29	1.80		15	0.93		2	0.12		0	0.00		1	0.06		78	4.85		827	51.46		6	0.37		1	0.06		519	32.30		2	0.12		48	2.99		0	0.00		3	0.19		42	2.61		0	0.00		2	0.12		1607	93.43		113	6.57		1720	2.15
Cavendish		7	2.10		6	1.80		7	2.10		1	0.30		0	0.00		0	0.00		16	4.79		226	67.66		1	0.30		0	0.00		61	18.26		1	0.30		0	0.00		0	0.00		1	0.30		7	2.10		0	0.00		0	0.00		334	96.53		12	3.47		346	0.43
Cobden		52	3.62		16	1.11		18	1.25		0	0.00		0	0.00		2	0.14		56	3.89		888	61.75		2	0.14		1	0.07		306	21.28		7	0.49		42	2.92		1	0.07		2	0.14		44	3.06		0	0.00		1	0.07		1438	93.13		106	6.87		1544	1.93
Coleraine		30	3.23		14	1.51		16	1.72		0	0.00		0	0.00		2	0.22		51	5.48		432	46.45		5	0.54		0	0.00		331	35.59		1	0.11		27	2.90		0	0.00		0	0.00		21	2.26		0	0.00		0	0.00		930	94.80		51	5.20		981	1.23
Condah		4	2.58		1	0.65		0	0.00		0	0.00		1	0.65		0	0.00		11	7.10		97	62.58		0	0.00		0	0.00		36	23.23		0	0.00		2	1.29		0	0.00		0	0.00		3	1.94		0	0.00		0	0.00		155	91.18		15	8.82		170	0.21
Dartmoor		8	2.40		3	0.90		1	0.30		1	0.30		0	0.00		0	0.00		29	8.71		163	48.95		2	0.60		0	0.00		107	32.13		0	0.00		12	3.60		0	0.00		0	0.00		7	2.10		0	0.00		0	0.00		333	93.80		22	6.20		355	0.44
Dergholm		1	0.99		1	0.99		0	0.00		0	0.00		0	0.00		0	0.00		9	8.91		70	69.31		0	0.00		0	0.00		17	16.83		0	0.00		3	2.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		101	97.12		3	2.88		104	0.13
