Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Wills (88553)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Anstey		10	1.22		16	1.96		23	2.81		1	0.12		0	0.00		1	0.12		5	0.61		109	13.33		4	0.49		1	0.12		360	44.01		2	0.24		89	10.88		0	0.00		0	0.00		194	23.72		3	0.37		0	0.00		818	93.70		55	6.30		873	1.04
Brunswick North		60	1.62		107	2.90		188	5.09		3	0.08		2	0.05		0	0.00		27	0.73		590	15.96		20	0.54		3	0.08		1873	50.68		14	0.38		353	9.55		0	0.00		2	0.05		441	11.93		12	0.32		1	0.03		3696	91.69		335	8.31		4031	4.82
Brunswick North East		35	1.91		54	2.94		56	3.05		2	0.11		3	0.16		2	0.11		14	0.76		285	15.54		13	0.71		1	0.05		794	43.29		0	0.00		167	9.11		1	0.05		3	0.16		398	21.70		6	0.33		0	0.00		1834	91.20		177	8.80		2011	2.41
Brunswick North West		27	2.35		41	3.56		60	5.21		1	0.09		2	0.17		3	0.26		7	0.61		239	20.76		1	0.09		0	0.00		522	45.35		3	0.26		94	8.17		0	0.00		0	0.00		145	12.60		6	0.52		0	0.00		1151	89.92		129	10.08		1280	1.53
Coburg		53	2.71		72	3.68		66	3.38		7	0.36		0	0.00		4	0.20		17	0.87		380	19.44		7	0.36		2	0.10		1047	53.55		2	0.10		126	6.45		4	0.20		1	0.05		163	8.34		4	0.20		0	0.00		1955	89.72		224	10.28		2179	2.61
Coburg East		40	2.14		72	3.84		83	4.43		5	0.27		0	0.00		1	0.05		14	0.75		403	21.52		8	0.43		0	0.00		934	49.87		10	0.53		105	5.61		0	0.00		0	0.00		195	10.41		2	0.11		1	0.05		1873	89.75		214	10.25		2087	2.50
Coburg North		63	2.32		101	3.73		136	5.02		14	0.52		0	0.00		2	0.07		33	1.22		509	18.78		15	0.55		2	0.07		1469	54.21		7	0.26		171	6.31		0	0.00		2	0.07		181	6.68		5	0.18		0	0.00		2710	90.33		290	9.67		3000	3.59
Coburg South		6	0.95		14	2.22		29	4.59		0	0.00		0	0.00		0	0.00		7	1.11		141	22.31		4	0.63		0	0.00		348	55.06		4	0.63		33	5.22		0	0.00		0	0.00		46	7.28		0	0.00		0	0.00		632	90.41		67	9.59		699	0.84
Coburg West		65	1.86		96	2.75		175	5.01		5	0.14		1	0.03		3	0.09		34	0.97		726	20.77		5	0.14		0	0.00		1703	48.73		10	0.29		308	8.81		0	0.00		2	0.06		355	10.16		6	0.17		1	0.03		3495	91.40		329	8.60		3824	4.57
Essendon (Wills)		19	1.61		11	0.93		37	3.13		0	0.00		2	0.17		1	0.08		16	1.35		486	41.15		3	0.25		1	0.08		418	35.39		3	0.25		99	8.38		0	0.00		0	0.00		85	7.20		0	0.00		0	0.00		1181	92.99		89	7.01		1270	1.52
Essendon North		23	2.08		25	2.26		32	2.89		2	0.18		0	0.00		1	0.09		16	1.44		427	38.54		4	0.36		0	0.00		432	38.99		5	0.45		87	7.85		1	0.09		1	0.09		52	4.69		0	0.00		0	0.00		1108	91.34		105	8.66		1213	1.45
Essendon South		52	1.86		69	2.47		84	3.01		3	0.11		0	0.00		0	0.00		24	0.86		983	35.21		4	0.14		6	0.21		1029	36.86		11	0.39		297	10.64		0	0.00		2	0.07		226	8.09		2	0.07		0	0.00		2792	93.50		194	6.50		2986	3.57
Fawkner East		49	2.69		51	2.80		39	2.14		4	0.22		0	0.00		3	0.16		32	1.76		331	18.17		9	0.49		4	0.22		1184	64.98		2	0.11		55	3.02		1	0.05		2	0.11		51	2.80		5	0.27		0	0.00		1822	88.02		248	11.98		2070	2.48
Fawkner North		69	2.77		116	4.66		52	2.09		3	0.12		2	0.08		2	0.08		18	0.72		470	18.87		8	0.32		2	0.08		1553	62.34		4	0.16		103	4.13		1	0.04		3	0.12		81	3.25		4	0.16		0	0.00		2491	85.84		411	14.16		2902	3.47
Gaffney		17	3.48		12	2.46		9	1.84		0	0.00		0	0.00		1	0.20		14	2.87		166	34.02		1	0.20		0	0.00		210	43.03		0	0.00		29	5.94		0	0.00		0	0.00		27	5.53		1	0.20		1	0.20		488	93.49		34	6.51		522	0.62
Glenbervie		11	1.29		17	2.00		20	2.35		0	0.00		0	0.00		0	0.00		16	1.88		326	38.31		2	0.24		0	0.00		340	39.95		3	0.35		56	6.58		0	0.00		1	0.12		59	6.93		0	0.00		0	0.00		851	93.62		58	6.38		909	1.09
Glenroy		33	2.37		48	3.45		27	1.94		2	0.14		1	0.07		3	0.22		26	1.87		387	27.80		8	0.57		0	0.00		721	51.80		2	0.14		79	5.68		0	0.00		0	0.00		49	3.52		5	0.36		1	0.07		1392	89.58		162	10.42		1554	1.86
Glenroy Central		37	2.20		55	3.27		28	1.66		1	0.06		2	0.12		2	0.12		34	2.02		456	27.11		6	0.36		2	0.12		901	53.57		9	0.54		83	4.93		0	0.00		2	0.12		60	3.57		1	0.06		3	0.18		1682	89.95		188	10.05		1870	2.24
Glenroy East		40	1.99		57	2.84		70	3.49		3	0.15		1	0.05		2	0.10		36	1.79		478	23.80		14	0.70		1	0.05		1135	56.52		1	0.05		131	6.52		0	0.00		3	0.15		32	1.59		3	0.15		1	0.05		2008	90.86		202	9.14		2210	2.64
Glenroy North		31	1.95		62	3.90		31	1.95		0	0.00		0	0.00		2	0.13		40	2.51		258	16.22		6	0.38		2	0.13		1065	66.94		16	1.01		42	2.64		0	0.00		2	0.13		33	2.07		0	0.00		1	0.06		1591	86.80		242	13.20		1833	2.19
