House of Representatives - 2001 Election: Western Australia														
First Preference Votes by TCP														
By Candidate by Vote Type by Division														
														
Brand (78366)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
#	"BEAZLEY, Kim"	ALP	31093	52.07	2269	49.01	425	60.54	2149	48.50	981	51.31	36917	51.71
	"ROBBIE, Steve"	HAN	3539	5.93	337	7.28	47	6.70	317	7.15	140	7.32	4380	6.14
	"DAVIS, Kate"	GWA	2006	3.36	283	6.11	24	3.42	124	2.80	49	2.56	2486	3.48
	"McCARTHY, Brian"	CEC	123	0.21	20	0.43	2	0.28	15	0.34	4	0.21	164	0.23
	"IREDALE, Terry"	CTA	529	0.89	51	1.10	9	1.28	26	0.59	6	0.31	621	0.87
	"HUBBARD, Paul"	DEM	1379	2.31	158	3.41	20	2.85	105	2.37	44	2.30	1706	2.39
	"THOMAS, Margaret"	LP	13982	23.41	1163	25.12	130	18.52	1322	29.84	513	26.83	17110	23.97
	"WOOLLARD, Keith"	LFF	7064	11.83	349	7.54	45	6.41	373	8.42	175	9.15	8006	11.21
		FORMAL	59715	95.51	4630	95.44	702	94.61	4431	97.56	1912	98.10	71390	95.69
		INFORMAL	2805	4.49	221	4.56	40	5.39	111	2.44	37	1.90	3214	4.31
		TOTAL	62520	83.80	4851	6.50	742	0.99	4542	6.09	1949	2.61	74604	95.20
Two Candidate Preferred														
#	"BEAZLEY, Kim"	ALP	35984	60.26	2778	60.00	482	68.66	2507	56.58	1118	58.47	42869	60.05
	"THOMAS, Margaret"	LP	23731	39.74	1852	40.00	220	31.34	1924	43.42	794	41.53	28521	39.95
														
														
														
														
Canning (76632)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"MACDONALD, John"	CEC	492	0.84	108	1.83	13	2.66	26	1.18	9	0.46	648	0.94
	"BROWN, Darren"	DEM	2136	3.64	339	5.75	14	2.87	96	4.37	54	2.78	2639	3.81
	"GERICK, Jane"	ALP	22680	38.65	2109	35.79	202	41.39	830	37.80	669	34.48	26490	38.29
	"DACHEFF, Angelo"	HAN	4098	6.98	498	8.45	49	10.04	166	7.56	165	8.51	4976	7.19
#	"RANDALL, Don"	LP	24722	42.14	2182	37.03	175	35.86	937	42.67	931	47.99	28947	41.84
	"KENNEDY, Doug"	CTA	1574	2.68	126	2.14	10	2.05	36	1.64	33	1.70	1779	2.57
	"READ, Keith"	GWA	2971	5.06	531	9.01	25	5.12	105	4.78	79	4.07	3711	5.36
		FORMAL	58673	94.81	5893	93.67	488	95.13	2196	96.95	1940	97.93	69190	94.86
		INFORMAL	3213	5.19	398	6.33	25	4.87	69	3.05	41	2.07	3746	5.14
		TOTAL	61886	84.85	6291	8.63	513	0.70	2265	3.11	1981	2.72	72936	95.18
Two Candidate Preferred														
	"GERICK, Jane"	ALP	29121	49.63	3048	51.72	262	53.69	1069	48.68	830	42.78	34330	49.62
#	"RANDALL, Don"	LP	29552	50.37	2845	48.28	226	46.31	1127	51.32	1110	57.22	34860	50.38
														
														
														
														
Cowan (79648)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"HOLT, Ron"	HAN	3438	5.50	403	7.02	21	6.38	147	6.43	121	6.78	4130	5.68
	"METCALF, Sue"	NP	314	0.50	62	1.08	6	1.82	19	0.83	9	0.50	410	0.56
	"CHALONER, Tracy"	DEM	2613	4.18	328	5.71	14	4.26	104	4.55	52	2.91	3111	4.28
	"FORT, Dave"	GWA	2377	3.80	418	7.28	20	6.08	96	4.20	40	2.24	2951	4.06
	"SHANNON, Andre"	LP	22504	35.99	1965	34.22	72	21.88	947	41.44	762	42.69	26250	36.12
	"SALMON, Paul"	CTA	916	1.46	146	2.54	9	2.74	30	1.31	16	0.90	1117	1.54
#	"EDWARDS, Graham"	ALP	30368	48.57	2421	42.16	187	56.84	942	41.23	785	43.98	34703	47.75
		FORMAL	62530	95.25	5743	94.97	329	92.68	2285	96.33	1785	98.51	72672	95.33
		INFORMAL	3120	4.75	304	5.03	26	7.32	87	3.67	27	1.49	3564	4.67
		TOTAL	65650	86.11	6047	7.93	355	0.47	2372	3.11	1812	2.38	76236	95.72
Two Candidate Preferred														
	"SHANNON, Andre"	LP	27538	44.04	2660	46.32	112	34.04	1136	49.72	885	49.58	32331	44.49
#	"EDWARDS, Graham"	ALP	34992	55.96	3083	53.68	217	65.96	1149	50.28	900	50.42	40341	55.51
														
														
														
														
Curtin (82561)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"BUCKLE, Ashley"	DEM	3973	6.25	431	8.32	57	12.00	269	7.25	133	4.48	4863	6.41
	"GILMOUR, Neil"	HAN	1510	2.38	155	2.99	4	0.84	83	2.24	88	2.96	1840	2.42
#	"BISHOP, Julie"	LP	35288	55.52	2454	47.37	223	46.95	2087	56.27	1811	61.02	41863	55.16
	"FOWLER, Trish"	ALP	14990	23.59	1210	23.35	113	23.79	796	21.46	680	22.91	17789	23.44
	"WALKER, Steve"	GWA	5779	9.09	690	13.32	61	12.84	331	8.92	158	5.32	7019	9.25
	"WOOD, G"	LFF	1379	2.17	169	3.26	12	2.53	117	3.15	73	2.46	1750	2.31
	"McDONALD, Karen"	CTA	635	1.00	72	1.39	5	1.05	26	0.70	25	0.84	763	1.01
		FORMAL	63554	96.51	5181	96.93	475	94.25	3709	98.54	2968	98.64	75887	96.70
		INFORMAL	2301	3.49	164	3.07	29	5.75	55	1.46	41	1.36	2590	3.30
		TOTAL	65855	83.92	5345	6.81	504	0.64	3764	4.80	3009	3.83	78477	95.05
Two Candidate Preferred														
#	"BISHOP, Julie"	LP	40678	64.01	3076	59.37	275	57.89	2430	65.52	2043	68.83	48502	63.91
	"FOWLER, Trish"	ALP	22876	35.99	2105	40.63	200	42.11	1279	34.48	925	31.17	27385	36.09
														
														
														
														
Forrest (82248)														
														
