House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Baldivis	1323	593	44.82	730	55.18	-2.56	
Calista	2492	1744	69.98	748	30.02	-4.79	
Coodanup	1770	1110	62.71	660	37.29	-2.74	
Cooloongup	4072	2872	70.53	1200	29.47	-2.68	
Golden Bay	846	472	55.79	374	44.21	-0.71	
Greenfields	2521	1513	60.02	1008	39.98	-2.12	
Greenfields East	1299	757	58.28	542	41.72	-3.35	
Hillman	1953	1330	68.10	623	31.90	-2.25	
Hope Valley	475	253	53.26	222	46.74	-2.78
Leda	1616	1135	70.24	481	29.76	-2.25
Madora	386	191	49.48	195	50.52	-7.39
Mandurah	1517	820	54.05	697	45.95	-0.74
Mandurah Central	1363	742	54.44	621	45.56	-1.72
Mandurah East	1130	674	59.65	456	40.35	0.26
Mandurah South	2133	1036	48.57	1097	51.43	-4.51
Meadow Springs	1846	858	46.48	988	53.52	-0.60
Meadow Springs North	766	279	36.42	487	63.58	-13.40
Medina	2393	1742	72.80	651	27.20	-2.94
Parmelia	2112	1524	72.16	588	27.84	-5.21
Perth (Brand)	40	26	65.00	14	35.00	7.55
Port Kennedy	2382	1485	62.34	897	37.66	-3.69
Prison Mobile Team 1	3	2	66.66	1	33.33	-
Rockingham	4472	2796	62.52	1676	37.48	-4.89
Rockingham Beach	1795	1015	56.55	780	43.45	-1.35
Rottnest (Brand)	23	13	56.52	10	43.48	13.66	
Safety Bay	3863	2113	54.70	1750	45.30	-4.36	
Safety Bay Central	2990	1703	56.96	1287	43.04	-4.66	
Secret Harbour	1150	550	47.83	600	52.17	-3.75	
Singleton	989	530	53.59	459	46.41	-7.01	
Special Hospital Team 1	182	118	64.84	64	35.16	14.84	
Special Hospital Team 2	187	102	54.55	85	45.45	-	
Waikiki	3932	2279	57.96	1653	42.04	-4.76	
Warnbro	2823	1740	61.64	1083	38.36	-5.39	
Warnbro East	2331	1585	68.00	746	32.00	-1.14	
Wellard	540	282	52.22	258	47.78	-1.34	
ABSENT	4630	2778	60.00	1852	40.00	-	
POSTAL	1912	1118	58.47	794	41.53	-	
PRE POLL	4431	2507	56.58	1924	43.42	-	
PROVISIONAL	702	482	68.66	220	31.34	-	
Division Total	71390	42869	60.05	28521	39.95	-3.32	
							
							
Canning							
							
Polling Place	Formal	GERICK		RANDALL		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Armadale	3406	2034	59.72	1372	40.28	1.50	
Armadale East	2300	1045	45.43	1255	54.57	-0.11	
Armadale North	1163	625	53.74	538	46.26	-2.68	
Armadale South	743	403	54.24	340	45.76	2.25	
Armadale West	1757	1074	61.13	683	38.87	-2.06	
Barragup	1417	657	46.37	760	53.63	-3.14	
Bedfordale	448	175	39.06	273	60.94	0.69	
Brookdale	814	522	64.13	292	35.87	-1.19	
Byford	2302	1021	44.35	1281	55.65	-0.82	
Canning Vale	3557	1488	41.83	2069	58.17	0.86	
Canning Vale South	2036	910	44.70	1126	55.30	2.29
Carcoola	489	286	58.49	203	41.51	-4.50
Coolup	247	86	34.82	161	65.18	1.11
Dawesville	1180	534	45.25	646	54.75	-2.83
Dwellingup	373	197	52.81	176	47.18	-3.72
Falcon	2446	1196	48.90	1250	51.10	-4.29
Forrestdale	935	432	46.20	503	53.80	0.09
Gosnells South (Canning)	533	267	50.09	266	49.91	5.01
Halls Head	3645	1367	37.50	2278	62.50	-4.75
Halls Head South	1914	915	47.81	999	52.19	-7.67
Huntingdale (Canning)	1575	850	53.97	725	46.03	11.13
Jarrahdale	375	200	53.33	175	46.67	-5.70
Karragullen	243	82	33.74	161	66.26	-0.79
Kelmscott	1932	1179	61.02	753	38.98	1.27
Kelmscott East	2071	928	44.81	1143	55.19	0.82
Kelmscott North	1368	739	54.02	629	45.98	3.22
Lake Clifton	263	143	54.37	120	45.63	4.84
Mundijong	957	433	45.25	524	54.75	-1.52
North Dandalup	328	141	42.99	187	57.01	1.17
Oakford	766	309	40.34	457	59.66	-1.04
Perth (Canning)	77	40	51.95	37	48.05	0.52
Pinjarra	1526	731	47.90	795	52.10	-1.68
Prison Mobile Team 1	0	0	0.00	0	0.00	-
Roleystone	3057	1460	47.76	1597	52.24	2.54
Rottnest (Canning)	45	21	46.67	24	53.33	11.67
Serpentine	1047	428	40.88	619	59.12	1.92
Special Hospital Team 1	100	68	68.00	32	32.00	17.84
Special Hospital Team 2	81	34	41.98	47	58.02	-
Strawberry Fields	2410	1526	63.32	884	36.68	3.78
Thornlie (Canning)	689	383	55.59	306	44.41	-0.93
Thornlie South (Canning)	2477	1262	50.95	1215	49.05	-2.88
Waroona	1394	572	41.03	822	58.97	-4.14
Westfield	1289	793	61.52	496	38.48	-0.32	
Westfield South	1648	1060	64.32	588	35.68	0.14	
Yunderup	907	349	38.48	558	61.52	1.87	
Yunderup North	343	156	45.48	187	54.52	1.15	
ABSENT	5893	3048	51.72	2845	48.28	-	
POSTAL	1940	830	42.78	1110	57.22	-	
PRE POLL	2196	1069	48.68	1127	51.32	-	
PROVISIONAL	488	262	53.69	226	46.31	-	
Division Total	69190	34330	49.62	34860	50.38	-0.42	
							
							
Cowan							
							
Polling Place	Formal	EDWARDS		SHANNON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alexander Heights	2430	1399	57.57	1031	42.43	5.48	
Alexander Heights West	1706	1106	64.83	600	35.17	5.32
Ballajura	2000	1123	56.15	877	43.85	3.04
Ballajura Central	3028	1772	58.52	1256	41.48	4.22
Ballajura South	2338	1654	70.74	684	29.26	8.06
Ballajura West	2072	1160	55.98	912	44.02	0.92
Banksia Grove	383	224	58.49	159	41.51	2.75
Camboon	2227	1060	47.60	1167	52.40	0.62
Girrawheen	1954	1468	75.13	486	24.87	-2.58
Girrawheen Central	603	478	79.27	125	20.73	1.20
Girrawheen East	1466	1122	76.53	344	23.47	-0.64
Greenwood	3494	1806	51.69	1688	48.31	4.00
Greenwood East	710	440	61.97	270	38.03	6.81
Greenwood West	1897	1015	53.51	882	46.49	3.93
Kingsley	3658	1757	48.03	1901	51.97	3.02
Kingsley East	1472	687	46.67	785	53.33	2.88
Kingsley South	2367	1120	47.32	1247	52.68	3.16
Koondoola	2022	1531	75.72	491	24.28	1.42
Landsdale	1907	972	50.97	935	49.03	2.80
Marangaroo	2477	1601	64.63	876	35.37	2.71
Marangaroo Central	2908	1978	68.02	930	31.98	4.21
Noranda	1827	998	54.63	829	45.37	-0.11
Noranda West (Cowan)	873	404	46.28	469	53.72	-0.46
Perth (Cowan)	122	67	54.92	55	45.08	-6.88
Rottnest (Cowan)	72	35	48.61	37	51.39	3.45
Special Hospital Team 1	329	135	41.03	194	58.97	-8.97
Tapping	945	448	47.41	497	52.59	-6.19
Wanneroo	3878	1968	50.75	1910	49.25	-1.96
Wanneroo East	3198	1599	50.00	1599	50.00	0.66
Wanneroo West	607	303	49.92	304	50.08	0.11
Warwick	1244	671	53.94	573	46.06	0.47
Warwick West	977	475	48.62	502	51.38	5.60
Woodvale	2034	908	44.64	1126	55.36	3.18
Woodvale North	3305	1508	45.63	1797	54.37	5.76	
ABSENT	5743	3083	53.68	2660	46.32	-	
POSTAL	1785	900	50.42	885	49.58	-	
PRE POLL	2285	1149	50.28	1136	49.72	-	
PROVISIONAL	329	217	65.96	112	34.04	-	
Division Total	72672	40341	55.51	32331	44.49	2.40	
							
							
Curtin							
							
Polling Place	Formal	FOWLER		BISHOP		Swing	
	Votes	(ALP)	%	(LP)	%	%	
