House of Representatives - 2001 Election: Western Australia																																							
First Preference Votes and TCP 																																							
By Candidate																																							

Canning (76632)																																							
		MACDONALD			BROWN			GERICK			DACHEFF			# RANDALL			KENNEDY			READ			FORMAL			INFORMAL			TOTAL										
		John			Darren			Jane			Angelo			Don			Doug			Keith												Two Candidate Preferred							
		CEC			DEM			ALP			HAN			LP			CTA			GWA												 GERICK ALP			# RANDALL LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Armadale	60	1.76		115	3.38		1562	45.86		320	9.40		1026	30.12		173	5.08		150	4.40		3406	93.44		239	6.56		3645	5.00		2034	59.72		1372	40.28			
	Armadale East	18	0.78		78	3.39		809	35.17		127	5.52		1030	44.78		120	5.22		118	5.13		2300	95.32		113	4.68		2413	3.31		1045	45.43		1255	54.57			
	Armadale North	14	1.20		32	2.75		508	43.68		88	7.57		401	34.48		65	5.59		55	4.73		1163	93.19		85	6.81		1248	1.71		625	53.74		538	46.26			
	Armadale South	8	1.08		10	1.35		339	45.63		48	6.46		282	37.95		31	4.17		25	3.36		743	94.41		44	5.59		787	1.08		403	54.24		340	45.76			
	Armadale West	26	1.48		83	4.72		861	49.00		122	6.94		494	28.12		85	4.84		86	4.89		1757	94.77		97	5.23		1854	2.54		1074	61.13		683	38.87			
	Barragup	12	0.85		35	2.47		492	34.72		136	9.60		654	46.15		15	1.06		73	5.15		1417	94.28		86	5.72		1503	2.06		657	46.37		760	53.63			
	Bedfordale	4	0.89		10	2.23		122	27.23		29	6.47		233	52.01		20	4.46		30	6.70		448	95.73		20	4.27		468	0.64		175	39.06		273	60.94			
	Brookdale	10	1.23		32	3.93		423	51.97		58	7.13		220	27.03		23	2.83		48	5.90		814	96.45		30	3.55		844	1.16		522	64.13		292	35.87
	Byford	25	1.09		69	3.00		764	33.19		188	8.17		1039	45.13		104	4.52		113	4.91		2302	95.12		118	4.88		2420	3.32		1021	44.35		1281	55.65
	Canning Vale	12	0.34		149	4.19		1230	34.58		120	3.37		1846	51.90		87	2.45		113	3.18		3557	95.90		152	4.10		3709	5.09		1488	41.83		2069	58.17
	Canning Vale South	8	0.39		77	3.78		789	38.75		60	2.95		991	48.67		54	2.65		57	2.80		2036	96.08		83	3.92		2119	2.91		910	44.70		1126	55.30
	Carcoola	5	1.02		12	2.45		233	47.65		60	12.27		136	27.81		16	3.27		27	5.52		489	95.51		23	4.49		512	0.70		286	58.49		203	41.51
	Coolup	2	0.81		5	2.02		57	23.08		32	12.96		134	54.25		2	0.81		15	6.07		247	92.86		19	7.14		266	0.36		86	34.82		161	65.18
