House of Representatives - 2001 Election: Western Australia																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							

Cowan (79648)																																							
		HOLT			METCALF			CHALONER			FORT			SHANNON			SALMON			# EDWARDS			FORMAL			INFORMAL			TOTAL										
		Ron			Sue			Tracy			Dave			Andre			Paul			Graham												Two Candidate Preferred							
		HAN			NP			DEM			GWA			LP			CTA			ALP												 SHANNON LP			# EDWARDS ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Alexander Heights	123	5.06		9	0.37		113	4.65		72	2.96		833	34.28		44	1.81		1236	50.86		2430	95.56		113	4.44		2543	3.34		1031	42.43		1399	57.57			
	Alexander Heights West	122	7.15		4	0.23		64	3.75		48	2.81		454	26.61		27	1.58		987	57.85		1706	95.57		79	4.43		1785	2.34		600	35.17		1106	64.83			
	Ballajura	103	5.15		6	0.30		66	3.30		70	3.50		724	36.20		32	1.60		999	49.95		2000	95.97		84	4.03		2084	2.73		877	43.85		1123	56.15			
	Ballajura Central	183	6.04		12	0.40		126	4.16		106	3.50		999	32.99		45	1.49		1557	51.42		3028	94.77		167	5.23		3195	4.19		1256	41.48		1772	58.52			
	Ballajura South	120	5.13		11	0.47		123	5.26		61	2.61		502	21.47		24	1.03		1497	64.03		2338	94.35		140	5.65		2478	3.25		684	29.26		1654	70.74			
	Ballajura West	97	4.68		6	0.29		84	4.05		61	2.94		767	37.02		26	1.25		1031	49.76		2072	96.15		83	3.85		2155	2.83		912	44.02		1160	55.98			
	Banksia Grove	38	9.92		0	0.00		8	2.09		13	3.39		117	30.55		4	1.04		203	53.00		383	96.23		15	3.77		398	0.52		159	41.51		224	58.49			
	Camboon	112	5.03		8	0.36		85	3.82		59	2.65		1008	45.26		15	0.67		940	42.21		2227	94.44		131	5.56		2358	3.09		1167	52.40		1060	47.60
	Girrawheen	116	5.94		4	0.20		48	2.46		79	4.04		348	17.81		35	1.79		1324	67.76		1954	93.27		141	6.73		2095	2.75		486	24.87		1468	75.13
	Girrawheen Central	44	7.30		6	1.00		10	1.66		25	4.15		88	14.59		4	0.66		426	70.65		603	94.22		37	5.78		640	0.84		125	20.73		478	79.27
	Girrawheen East	82	5.59		9	0.61		54	3.68		52	3.55		243	16.58		42	2.86		984	67.12		1466	93.26		106	6.74		1572	2.06		344	23.47		1122	76.53
	Greenwood	178	5.09		24	0.69		201	5.75		201	5.75		1363	39.01		64	1.83		1463	41.87		3494	95.88		150	4.12		3644	4.78		1688	48.31		1806	51.69
	Greenwood East	33	4.65		2	0.28		36	5.07		30	4.23		227	31.97		10	1.41		372	52.39		710	95.05		37	4.95		747	0.98		270	38.03		440	61.97
	Greenwood West	108	5.69		15	0.79		107	5.64		112	5.90		698	36.79		30	1.58		827	43.60		1897	96.44		70	3.56		1967	2.58		882	46.49		1015	53.51
	Kingsley	177	4.84		17	0.46		172	4.70		133	3.64		1596	43.63		50	1.37		1513	41.36		3658	96.11		148	3.89		3806	4.99		1901	51.97		1757	48.03
	Kingsley East	60	4.08		10	0.68		84	5.71		67	4.55		673	45.72		15	1.02		563	38.25		1472	97.48		38	2.52		1510	1.98		785	53.33		687	46.67
	Kingsley South	117	4.94		17	0.72		105	4.44		97	4.10		1041	43.98		35	1.48		955	40.35		2367	97.25		67	2.75		2434	3.19		1247	52.68		1120	47.32
	Koondoola	120	5.93		4	0.20		63	3.12		79	3.91		342	16.91		31	1.53		1383	68.40		2022	93.01		152	6.99		2174	2.85		491	24.28		1531	75.72
	Landsdale	95	4.98		8	0.42		94	4.93		56	2.94		783	41.06		41	2.15		830	43.52		1907	95.97		80	4.03		1987	2.61		935	49.03		972	50.97
	Marangaroo	171	6.90		19	0.77		63	2.54		86	3.47		667	26.93		40	1.61		1431	57.77		2477	93.75		165	6.25		2642	3.47		876	35.37		1601	64.63
	Marangaroo Central	173	5.95		22	0.76		100	3.44		90	3.09		699	24.04		44	1.51		1780	61.21		2908	93.24		211	6.76		3119	4.09		930	31.98		1978	68.02
	Noranda	61	3.34		9	0.49		65	3.56		40	2.19		729	39.90		22	1.20		901	49.32		1827	94.47		107	5.53		1934	2.54		829	45.37		998	54.63
	Noranda West (Cowan)	28	3.21		0	0.00		37	4.24		37	4.24		406	46.51		17	1.95		348	39.86		873	95.83		38	4.17		911	1.19		469	53.72		404	46.28
	Perth (Cowan)	3	2.46		2	1.64		5	4.10		13	10.66		49	40.16		1	0.82		49	40.16		122	93.85		8	6.15		130	0.17		55	45.08		67	54.92			
	Rottnest (Cowan)	4	5.56		0	0.00		5	6.94		1	1.39		34	47.22		0	0.00		28	38.89		72	98.63		1	1.37		73	0.10		37	51.39		35	48.61			
	Tapping	48	5.08		9	0.95		38	4.02		31	3.28		425	44.97		12	1.27		382	40.42		945	96.23		37	3.77		982	1.29		497	52.59		448	47.41			
	Wanneroo	309	7.97		19	0.49		175	4.51		181	4.67		1525	39.32		48	1.24		1621	41.80		3878	94.70		217	5.30		4095	5.37		1910	49.25		1968	50.75			
	Wanneroo East	238	7.44		12	0.38		114	3.56		136	4.25		1297	40.56		44	1.38		1357	42.43		3198	95.09		165	4.91		3363	4.41		1599	50.00		1599	50.00			
	Wanneroo West	33	5.44		1	0.16		27	4.45		23	3.79		251	41.35		17	2.80		255	42.01		607	96.35		23	3.65		630	0.83		304	50.08		303	49.92			
	Warwick	67	5.39		14	1.13		51	4.10		54	4.34		487	39.15		16	1.29		555	44.61		1244	97.34		34	2.66		1278	1.68		573	46.06		671	53.94			
	Warwick West	41	4.20		3	0.31		36	3.68		53	5.42		435	44.52		9	0.92		400	40.94		977	96.07		40	3.93		1017	1.33		502	51.38		475	48.62			
	Woodvale	95	4.67		7	0.34		76	3.74		94	4.62		964	47.39		43	2.11		755	37.12		2034	96.35		77	3.65		2111	2.77		1126	55.36		908	44.64			
	Woodvale North	130	3.93		18	0.54		175	5.30		112	3.39		1552	46.96		26	0.79		1292	39.09		3305	96.24		129	3.76		3434	4.50		1797	54.37		1508	45.63			
	Special Hospitals	9	2.74		7	2.13		3	0.91		5	1.52		178	54.10		3	0.91		124	37.69		329	91.64		30	8.36		359	0.47		194	58.97		135	41.03			
	Total Ordinary	3438	5.50		314	0.50		2613	4.18		2377	3.80		22504	35.99		916	1.46		30368	48.57		62530	95.25		3120	4.75		65650	86.11		27538	44.04		34992	55.96			
	ABSENT	403	7.02		62	1.08		328	5.71		418	7.28		1965	34.22		146	2.54		2421	42.16		5743	94.97		304	5.03		6047	7.93		2660	46.32		3083	53.68			
	POSTAL	121	6.78		9	0.50		52	2.91		40	2.24		762	42.69		16	0.90		785	43.98		1785	98.51		27	1.49		1812	2.38		885	49.58		900	50.42			
	PRE_POLL	147	6.43		19	0.83		104	4.55		96	4.20		947	41.44		30	1.31		942	41.23		2285	96.33		87	3.67		2372	3.11		1136	49.72		1149	50.28			
	PROVISIONAL	21	6.38		6	1.82		14	4.26		20	6.08		72	21.88		9	2.74		187	56.84		329	92.68		26	7.32		355	0.47		112	34.04		217	65.96			
