House of Representatives - 2001 Election: Western Australia																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							


Curtin (82561)																																							
																																							
		BUCKLE			GILMOUR			# BISHOP			FOWLER			WALKER			WOOD			MCDONALD			FORMAL			INFORMAL			TOTAL										
		Ashley			Neil			Julie			Trish			Steve			G			Karen												Two Candidate Preferred							
		DEM			HAN			LP			ALP			GWA			LFF			CTA												# BISHOP LP			 FOWLER ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Churchlands	66	5.70		25	2.16		724	62.52		221	19.08		77	6.65		26	2.25		19	1.64		1158	95.70		52	4.30		1210	1.54		816	70.47		342	29.53			
	City Beach	96	4.86		50	2.53		1323	66.95		328	16.60		116	5.87		48	2.43		15	0.76		1976	97.92		42	2.08		2018	2.57		1482	75.00		494	25.00			
	City Beach North	66	4.05		40	2.45		1130	69.33		272	16.69		67	4.11		37	2.27		18	1.10		1630	97.43		43	2.57		1673	2.13		1262	77.42		368	22.58			
	Claremont	128	4.95		59	2.28		1641	63.41		416	16.07		258	9.97		70	2.70		16	0.62		2588	97.33		71	2.67		2659	3.39		1866	72.10		722	27.90			
	Claremont East	56	7.02		17	2.13		442	55.39		158	19.80		86	10.78		34	4.26		5	0.63		798	97.08		24	2.92		822	1.05		524	65.66		274	34.34			
	Cottesloe	119	4.87		65	2.66		1489	60.90		411	16.81		271	11.08		80	3.27		10	0.41		2445	96.49		89	3.51		2534	3.23		1718	70.27		727	29.73
	Cottesloe East	124	6.74		38	2.07		1124	61.12		308	16.75		185	10.06		49	2.66		11	0.60		1839	97.61		45	2.39		1884	2.40		1293	70.31		546	29.69
	Cottesloe South	37	3.65		20	1.97		688	67.92		139	13.72		99	9.77		22	2.17		8	0.79		1013	97.40		27	2.60		1040	1.33		774	76.41		239	23.59
	Dalkeith	84	3.62		35	1.51		1685	72.63		272	11.72		169	7.28		56	2.41		19	0.82		2320	96.75		78	3.25		2398	3.06		1848	79.66		472	20.34
	Doubleview (Curtin)	52	8.44		18	2.92		334	54.22		154	25.00		39	6.33		17	2.76		2	0.32		616	93.19		45	6.81		661	0.84		397	64.45		219	35.55
	Floreat	92	4.43		38	1.83		1350	64.97		402	19.35		142	6.83		39	1.88		15	0.72		2078	97.51		53	2.49		2131	2.72		1483	71.37		595	28.63
	Floreat East	58	3.58		24	1.48		987	61.00		373	23.05		134	8.28		26	1.61		16	0.99		1618	98.06		32	1.94		1650	2.10		1095	67.68		523	32.32
	Graylands	172	6.17		83	2.98		1672	59.97		598	21.45		187	6.71		60	2.15		16	0.57		2788	95.94		118	4.06		2906	3.70		1922	68.94		866	31.06
	Jolimont	95	7.36		35	2.71		649	50.27		331	25.64		142	11.00		32	2.48		7	0.54		1291	96.78		43	3.22		1334	1.70		777	60.19		514	39.81
	Joondanna	97	5.76		62	3.68		700	41.59		654	38.86		129	7.66		17	1.01		24	1.43		1683	94.82		92	5.18		1775	2.26		822	48.84		861	51.16
	King Edward Memorial Hospital	34	7.74		7	1.59		213	48.52		117	26.65		60	13.67		6	1.37		2	0.46		439	96.48		16	3.52		455	0.58		248	56.49		191	43.51
	Leederville	106	10.81		16	1.63		380	38.74		326	33.23		136	13.86		12	1.22		5	0.51		981	94.42		58	5.58		1039	1.32		482	49.13		499	50.87
	Leederville North	103	8.23		18	1.44		503	40.21		469	37.49		131	10.47		17	1.36		10	0.80		1251	95.13		64	4.87		1315	1.68		589	47.08		662	52.92
	Leederville West	121	6.73		28	1.56		908	50.53		506	28.16		174	9.68		39	2.17		21	1.17		1797	96.15		72	3.85		1869	2.38		1039	57.82		758	42.18
	Mosman Park	154	6.50		81	3.42		1141	48.14		660	27.85		267	11.27		48	2.03		19	0.80		2370	95.84		103	4.16		2473	3.15		1364	57.55		1006	42.45
	Mosman Park South	29	3.40		30	3.52		506	59.39		206	24.18		62	7.28		9	1.06		10	1.17		852	96.16		34	3.84		886	1.13		575	67.49		277	32.51
	Mount Hawthorn	141	8.05		31	1.77		677	38.66		670	38.26		192	10.97		26	1.48		14	0.80		1751	93.49		122	6.51		1873	2.39		805	45.97		946	54.03
	Mount Hawthorn East	76	6.80		23	2.06		462	41.32		423	37.84		107	9.57		12	1.07		15	1.34		1118	94.91		60	5.09		1178	1.50		542	48.48		576	51.52
	Mount Hawthorn West	75	8.80		37	4.34		342	40.14		307	36.03		72	8.45		8	0.94		11	1.29		852	95.62		39	4.38		891	1.14		425	49.88		427	50.12
	Nedlands Central	62	10.26		16	2.65		256	42.38		157	25.99		93	15.40		12	1.99		8	1.32		604	98.53		9	1.47		613	0.78		302	50.00		302	50.00
	Nedlands East	87	6.19		25	1.78		881	62.66		212	15.08		141	10.03		49	3.49		11	0.78		1406	97.64		34	2.36		1440	1.83		1019	72.48		387	27.52
	Nedlands North	107	8.05		22	1.65		692	52.03		303	22.78		158	11.88		43	3.23		5	0.38		1330	97.72		31	2.28		1361	1.73		814	61.20		516	38.80
	Nedlands South	143	7.66		23	1.23		1059	56.69		377	20.18		171	9.15		62	3.32		33	1.77		1868	97.39		50	2.61		1918	2.44		1238	66.27		630	33.73
	Peppermint Grove	11	2.27		8	1.65		362	74.79		52	10.74		31	6.40		14	2.89		6	1.24		484	97.58		12	2.42		496	0.63		398	82.23		86	17.77
	Perth (Curtin)	35	14.77		6	2.53		77	32.49		74	31.22		35	14.77		5	2.11		5	2.11		237	94.80		13	5.20		250	0.32		110	46.41		127	53.59
