House of Representatives - 2001 Election: Western Australia																																												
First Preference Votes and TCP																																												
By Candidate by Polling Place																																												

Forrest (82248)																																												
		GIORGI			HARVEY			CALDWELL			# PROSSER			WYLIE			LLEWELLYN			KIRWAN			SMITH			FORMAL			INFORMAL			TOTAL												
		Alan			Arthur			Charles			Geoff			Alison			Paul			Megan			Tresslyn												Two Candidate Preferred									
		HAN			CEC			NP			LP			DEM			GWA			CLA			ALP												# PROSSER LP			 SMITH ALP						
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Acton Park	21	12.96		1	0.62		7	4.32		103	63.58		6	3.70		7	4.32		1	0.62		16	9.88		162	94.74		9	5.26		171	0.22		129	79.63		33	20.37					
	Alexandra Bridge	24	17.39		1	0.72		9	6.52		90	65.22		0	0.00		1	0.72		0	0.00		13	9.42		138	94.52		8	5.48		146	0.19		116	84.06		22	15.94					
	Allanson	65	18.41		3	0.85		7	1.98		84	23.80		10	2.83		16	4.53		5	1.42		163	46.18		353	95.66		16	4.34		369	0.47		138	39.09		215	60.91					
	Augusta	98	12.86		2	0.26		12	1.57		419	54.99		18	2.36		48	6.30		0	0.00		165	21.65		762	95.61		35	4.39		797	1.01		523	68.64		239	31.36					
	Australind	253	9.14		6	0.22		49	1.77		1384	50.02		87	3.14		129	4.66		11	0.40		848	30.65		2767	95.28		137	4.72		2904	3.69		1674	60.50		1093	39.50					
	Australind East	18	8.07		4	1.79		3	1.35		106	47.53		16	7.17		6	2.69		1	0.45		69	30.94		223	96.12		9	3.88		232	0.29		134	60.09		89	39.91					
	Australind North	42	9.42		0	0.00		3	0.67		201	45.07		20	4.48		24	5.38		4	0.90		152	34.08		446	96.54		16	3.46		462	0.59		251	56.28		195	43.72					
	Balingup	29	8.63		3	0.89		10	2.98		151	44.94		14	4.17		66	19.64		0	0.00		63	18.75		336	93.59		23	6.41		359	0.46		189	56.25		147	43.75			
	Binningup	53	10.02		2	0.38		11	2.08		280	52.93		13	2.46		38	7.18		1	0.19		131	24.76		529	92.32		44	7.68		573	0.73		340	64.27		189	35.73			
	Boyanup	86	12.80		3	0.45		11	1.64		311	46.28		26	3.87		40	5.95		4	0.60		191	28.42		672	96.00		28	4.00		700	0.89		404	60.12		268	39.88			
	Bridgetown	152	9.22		3	0.18		37	2.24		708	42.94		76	4.61		199	12.07		7	0.42		467	28.32		1649	95.93		70	4.07		1719	2.18		905	54.88		744	45.12			
	Brookhampton	11	8.59		0	0.00		6	4.69		86	67.19		2	1.56		7	5.47		0	0.00		16	12.50		128	96.97		4	3.03		132	0.17		102	79.69		26	20.31			
	Brunswick	97	12.92		8	1.07		10	1.33		385	51.26		18	2.40		46	6.13		5	0.67		182	24.23		751	94.58		43	5.42		794	1.01		500	66.58		251	33.42			
	Bunbury	73	6.05		7	0.58		18	1.49		587	48.67		38	3.15		118	9.78		6	0.50		359	29.77		1206	95.87		52	4.13		1258	1.60		687	56.97		519	43.03			
	Bunbury Central	71	6.81		5	0.48		22	2.11		512	49.14		38	3.65		89	8.54		6	0.58		299	28.69		1042	94.73		58	5.27		1100	1.40		619	59.40		423	40.60			
	Bunbury East	172	8.95		1	0.05		18	0.94		869	45.21		52	2.71		144	7.49		20	1.04		646	33.61		1922	93.35		137	6.65		2059	2.62		1055	54.89		867	45.11			
	Burekup	50	12.95		0	0.00		19	4.92		187	48.45		14	3.63		25	6.48		6	1.55		85	22.02		386	95.54		18	4.46		404	0.51		255	66.06		131	33.94			
	Busselton	150	8.14		9	0.49		33	1.79		979	53.15		55	2.99		117	6.35		9	0.49		490	26.60		1842	94.41		109	5.59		1951	2.48		1158	62.87		684	37.13			
	Busselton East	133	9.12		5	0.34		20	1.37		810	55.52		37	2.54		71	4.87		9	0.62		374	25.63		1459	94.37		87	5.63		1546	1.96		961	65.87		498	34.13			
	Busselton South	91	6.72		4	0.30		34	2.51		689	50.89		58	4.28		114	8.42		3	0.22		361	26.66		1354	94.36		81	5.64		1435	1.82		845	62.41		509	37.59			
	Busselton West	245	9.33		4	0.15		55	2.09		1367	52.06		90	3.43		151	5.75		13	0.50		701	26.69		2626	95.04		137	4.96		2763	3.51		1678	63.90		948	36.10			
	Capel	139	10.45		3	0.23		21	1.58		639	48.05		39	2.93		94	7.07		4	0.30		391	29.40		1330	94.73		74	5.27		1404	1.78		771	57.97		559	42.03			
	Carbunup River	18	5.52		0	0.00		11	3.37		195	59.82		14	4.29		34	10.43		1	0.31		53	16.26		326	93.95		21	6.05		347	0.44		231	70.86		95	29.14			
	Carey Park	212	10.30		4	0.19		35	1.70		676	32.83		41	1.99		133	6.46		16	0.78		942	45.75		2059	94.19		127	5.81		2186	2.78		888	43.13		1171	56.87			
	Carey Park South	123	11.55		2	0.19		21	1.97		388	36.43		16	1.50		51	4.79		6	0.56		458	43.00		1065	93.92		69	6.08		1134	1.44		505	47.42		560	52.58			
	Clifton Park	49	7.54		1	0.15		4	0.62		342	52.62		20	3.08		27	4.15		3	0.46		204	31.38		650	95.03		34	4.97		684	0.87		395	60.77		255	39.23			
	Collie	127	15.34		5	0.60		15	1.81		184	22.22		11	1.33		19	2.29		6	0.72		461	55.68		828	95.39		40	4.61		868	1.10		297	35.87		531	64.13			
	Collie Central	217	14.23		7	0.46		17	1.11		326	21.38		32	2.10		38	2.49		14	0.92		874	57.31		1525	94.60		87	5.40		1612	2.05		495	32.46		1030	67.54			
	Collie East	96	14.31		2	0.30		9	1.34		161	23.99		14	2.09		21	3.13		12	1.79		356	53.06		671	94.51		39	5.49		710	0.90		235	35.02		436	64.98			
	Collie North	97	11.05		8	0.91		11	1.25		201	22.89		16	1.82		15	1.71		5	0.57		525	59.79		878	93.40		62	6.60		940	1.19		295	33.60		583	66.40			
	Coral Park	178	9.52		9	0.48		32	1.71		747	39.95		59	3.16		104	5.56		14	0.75		727	38.88		1870	95.07		97	4.93		1967	2.50		934	49.95		936	50.05			
	Cowaramup	29	4.18		0	0.00		25	3.60		363	52.31		33	4.76		95	13.69		0	0.00		149	21.47		694	95.99		29	4.01		723	0.92		447	64.41		247	35.59			
	Dardanup	77	10.20		1	0.13		46	6.09		410	54.30		18	2.38		39	5.17		4	0.53		160	21.19		755	94.61		43	5.39		798	1.01		521	69.01		234	30.99			
	Deanmill	43	20.77		0	0.00		3	1.45		111	53.62		3	1.45		1	0.48		0	0.00		46	22.22		207	93.24		15	6.76		222	0.28		149	71.98		58	28.02			
	Donnybrook	172	12.40		4	0.29		62	4.47		666	48.02		39	2.81		115	8.29		6	0.43		323	23.29		1387	93.78		92	6.22		1479	1.88		885	63.81		502	36.19			
	Dunsborough	103	5.53		4	0.21		30	1.61		999	53.59		114	6.12		204	10.94		4	0.21		406	21.78		1864	96.83		61	3.17		1925	2.45		1209	64.86		655	35.14			
	Eaton	278	9.80		12	0.42		69	2.43		1321	46.55		72	2.54		124	4.37		12	0.42		950	33.47		2838	95.56		132	4.44		2970	3.77		1603	56.48		1235	43.52			
