House of Representatives - 2001 Election: Western Australia																																								
First Preference Votes and TCP 																																								
By Candidate by Polling Place																																								
																																								
Fremantle (80927)																																								
		REYNOLDS			SHAVE			HARRIS			SMYTH			DELVES			SWIFT			# LAWRENCE			FORMAL			INFORMAL			TOTAL											
		Chris			Michelle			Sarah			Louise			Robert			Rod			Carmen												Two Candidate Preferred								
		HAN			CTA						LP			GWA			DEM			ALP												 SMYTH LP			# LAWRENCE ALP					
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
	Atwell	179	6.88		45	1.73		15	0.58		1037	39.88		101	3.88		216	8.31		1007	38.73		2600	94.96		138	5.04		2738	3.56		1316	50.62		1284	49.38				
	Beaconsfield	60	3.06		5	0.25		21	1.07		450	22.92		316	16.10		86	4.38		1025	52.22		1963	91.90		173	8.10		2136	2.78		561	28.58		1402	71.42				
	Beeliar	37	5.40		16	2.34		8	1.17		231	33.72		40	5.84		28	4.09		325	47.45		685	95.40		33	4.60		718	0.93		292	42.63		393	57.37				
	Bibra Lake	178	7.01		55	2.17		21	0.83		974	38.35		157	6.18		163	6.42		992	39.06		2540	95.74		113	4.26		2653	3.45		1243	48.94		1297	51.06				
	Bicton	138	4.56		30	0.99		20	0.66		1453	48.03		243	8.03		193	6.38		948	31.34		3025	95.25		151	4.75		3176	4.13		1739	57.49		1286	42.51				
	Coogee Beach	151	7.17		14	0.67		5	0.24		771	36.63		122	5.80		112	5.32		930	44.18		2105	93.85		138	6.15		2243	2.92		969	46.03		1136	53.97				
	Coolbellup	95	7.93		11	0.92		16	1.34		197	16.44		77	6.43		42	3.51		760	63.44		1198	96.61		42	3.39		1240	1.61		286	23.87		912	76.13				
	Coolbellup East	101	8.28		14	1.15		12	0.98		192	15.74		101	8.28		38	3.11		762	62.46		1220	93.20		89	6.80		1309	1.70		302	24.75		918	75.25				
	East Fremantle	103	4.28		34	1.41		27	1.12		664	27.61		393	16.34		173	7.19		1011	42.04		2405	94.69		135	5.31		2540	3.31		882	36.67		1523	63.33				
	Fremantle	60	3.71		20	1.24		19	1.18		360	22.26		313	19.36		110	6.80		735	45.45		1617	95.62		74	4.38		1691	2.20		509	31.48		1108	68.52				
	Hamilton Hill East	102	6.61		19	1.23		8	0.52		328	21.26		137	8.88		65	4.21		884	57.29		1543	92.95		117	7.05		1660	2.16		452	29.29		1091	70.71				
	Hamilton Hill North	110	5.99		23	1.25		10	0.54		403	21.96		130	7.08		69	3.76		1090	59.40		1835	90.13		201	9.87		2036	2.65		538	29.32		1297	70.68				
	Hamilton Hill South	95	7.79		21	1.72		8	0.66		227	18.62		68	5.58		44	3.61		756	62.02		1219	92.28		102	7.72		1321	1.72		321	26.33		898	73.67				
