House of Representatives -  Western Australia																																																
First Preference Votes and TCP																																																
By Candidate by Polling Place																																																

Kalgoorlie (82534)																																																
		HODDY			# HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			FORMAL			INFORMAL			TOTAL										
		Don			Barry			Paul			Robin			Laurie			Ian			Clark			Neville			Callum			Peter												Two Candidate Preferred							
		DEM			LP			ALP			HAN			GWA			CLA			IND			IND			CEC			NP												# HAASE LP			 BROWNING ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Ajana	0	0.00		74	63.25		18	15.38		9	7.69		1	0.85		1	0.85		0	0.00		0	0.00		1	0.85		13	11.11		117	95.12		6	4.88		123	0.17		98	83.76		19	16.24			
	Argyle	2	3.85		18	34.62		16	30.77		11	21.15		0	0.00		1	1.92		2	3.85		0	0.00		0	0.00		2	3.85		52	96.30		2	3.70		54	0.08		28	53.85		24	46.15			
	Balgo	9	5.52		16	9.82		117	71.78		3	1.84		7	4.29		6	3.68		3	1.84		0	0.00		0	0.00		2	1.23		163	94.77		9	5.23		172	0.24		31	19.02		132	80.98			
	Bodallin	3	4.69		36	56.25		9	14.06		8	12.50		1	1.56		0	0.00		0	0.00		0	0.00		0	0.00		7	10.94		64	98.46		1	1.54		65	0.09		51	79.69		13	20.31			
	Boulder	85	3.41		880	35.28		1010	40.50		263	10.55		55	2.21		14	0.56		114	4.57		57	2.29		4	0.16		12	0.48		2494	93.76		166	6.24		2660	3.71		1197	48.00		1297	52.00			
	Broome	101	3.82		953	36.07		1065	40.31		140	5.30		241	9.12		14	0.53		55	2.08		11	0.42		0	0.00		62	2.35		2642	95.55		123	4.45		2765	3.86		1200	45.42		1442	54.58			
	Broome West	49	3.62		574	42.46		477	35.28		74	5.47		109	8.06		11	0.81		27	2.00		6	0.44		0	0.00		25	1.85		1352	94.61		77	5.39		1429	1.99		711	52.59		641	47.41			
	Bullfinch	1	2.44		19	46.34		6	14.63		13	31.71		0	0.00		0	0.00		2	4.88		0	0.00		0	0.00		0	0.00		41	89.13		5	10.87		46	0.06		27	65.85		14	34.15
	Burracoppin	3	4.55		47	71.21		4	6.06		6	9.09		1	1.52		0	0.00		0	0.00		0	0.00		0	0.00		5	7.58		66	91.67		6	8.33		72	0.10		57	86.36		9	13.64
	Carnarvon	46	3.32		599	43.28		473	34.18		154	11.13		48	3.47		14	1.01		14	1.01		7	0.51		4	0.29		25	1.81		1384	92.82		107	7.18		1491	2.08		783	56.58		601	43.42
	Carnarvon East	31	2.85		523	48.07		333	30.61		143	13.14		21	1.93		8	0.74		7	0.64		3	0.28		0	0.00		19	1.75		1088	90.44		115	9.56		1203	1.68		677	62.22		411	37.78
	Cascade	0	0.00		61	74.39		2	2.44		11	13.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	9.76		82	97.62		2	2.38		84	0.12		78	95.12		4	4.88
	Castletown	54	2.84		1036	54.50		424	22.30		196	10.31		68	3.58		7	0.37		48	2.52		9	0.47		2	0.11		57	3.00		1901	93.00		143	7.00		2044	2.85		1291	67.91		610	32.09
	Condingup	2	0.88		147	65.04		35	15.49		17	7.52		1	0.44		1	0.44		4	1.77		0	0.00		0	0.00		19	8.41		226	95.76		10	4.24		236	0.33		178	78.76		48	21.24
	Cooke Point	16	3.23		216	43.64		175	35.35		32	6.46		18	3.64		0	0.00		30	6.06		2	0.40		1	0.20		5	1.01		495	95.38		24	4.62		519	0.72		267	53.94		228	46.06
	Coolgardie	4	1.03		135	34.70		141	36.25		67	17.22		5	1.29		10	2.57		16	4.11		6	1.54		1	0.26		4	1.03		389	86.83		59	13.17		448	0.63		182	46.79		207	53.21
	Coral Bay	4	4.76		42	50.00		21	25.00		7	8.33		7	8.33		0	0.00		0	0.00		2	2.38		0	0.00		1	1.19		84	93.33		6	6.67		90	0.13		54	64.29		30	35.71
	Cue	7	4.96		58	41.13		47	33.33		21	14.89		1	0.71		0	0.00		4	2.84		0	0.00		1	0.71		2	1.42		141	89.24		17	10.76		158	0.22		78	55.32		63	44.68
	Dalyup	0	0.00		83	74.77		6	5.41		9	8.11		4	3.60		0	0.00		1	0.90		0	0.00		1	0.90		7	6.31		111	95.69		5	4.31		116	0.16		100	90.09		11	9.91
	Dampier	23	3.06		293	39.01		288	38.35		66	8.79		35	4.66		3	0.40		36	4.79		4	0.53		0	0.00		3	0.40		751	95.79		33	4.21		784	1.09		373	49.67		378	50.33
	Denham	3	0.90		189	56.59		88	26.35		34	10.18		9	2.69		2	0.60		6	1.80		0	0.00		1	0.30		2	0.60		334	92.78		26	7.22		360	0.50		218	65.27		116	34.73
	Derby	23	1.96		372	31.77		497	42.44		81	6.92		44	3.76		13	1.11		14	1.20		1	0.09		1	0.09		125	10.67		1171	94.97		62	5.03		1233	1.72		537	45.86		634	54.14
	Esperance	67	2.94		1240	54.48		538	23.64		194	8.52		109	4.79		8	0.35		32	1.41		14	0.62		4	0.18		70	3.08		2276	95.11		117	4.89		2393	3.34		1520	66.78		756	33.22
	Exmouth	31	3.06		530	52.27		261	25.74		79	7.79		65	6.41		1	0.10		32	3.16		6	0.59		0	0.00		9	0.89		1014	93.37		72	6.63		1086	1.52		628	61.93		386	38.07
	Fitzroy Crossing	11	2.93		79	21.01		243	64.63		9	2.39		8	2.13		7	1.86		3	0.80		1	0.27		1	0.27		14	3.72		376	91.71		34	8.29		410	0.57		113	30.05		263	69.95
	Gascoyne Junction	1	2.04		26	53.06		10	20.41		7	14.29		0	0.00		0	0.00		2	4.08		1	2.04		0	0.00		2	4.08		49	94.23		3	5.77		52	0.07		36	73.47		13	26.53
	Gibson	4	2.33		104	60.47		33	19.19		12	6.98		1	0.58		1	0.58		4	2.33		1	0.58		0	0.00		12	6.98		172	93.99		11	6.01		183	0.26		132	76.74		40	23.26
	Grass Patch	2	2.04		63	64.29		6	6.12		16	16.33		0	0.00		0	0.00		2	2.04		0	0.00		0	0.00		9	9.18		98	91.59		9	8.41		107	0.15		88	89.80		10	10.20
	Halls Creek	16	3.57		106	23.66		259	57.81		24	5.36		17	3.79		4	0.89		9	2.01		2	0.45		0	0.00		11	2.46		448	89.07		55	10.93		503	0.70		152	33.93		296	66.07
	Horrocks	0	0.00		45	51.72		17	19.54		13	14.94		1	1.15		2	2.30		3	3.45		0	0.00		0	0.00		6	6.90		87	91.58		8	8.42		95	0.13		62	71.26		25	28.74
	Jigalong	5	6.58		17	22.37		42	55.26		3	3.95		1	1.32		1	1.32		2	2.63		2	2.63		0	0.00		3	3.95		76	83.52		15	16.48		91	0.13		25	32.89		51	67.11
