House of Representatives - 2001 Election: Western Australia																																				
First Preference Votes and TCP																																				
By Candidate - Polling Place																																				

Moore (74103)																																				
		HENDERSON			OLIVER			ROY			EVANS			YOUNG			# WASHER			FORMAL			INFORMAL			TOTAL										
		Geof			Clive			Andrew			John			Kim			Mal												Two Candidate Preferred							
		IND			DEM			GWA			HAN			ALP			LP												 YOUNG ALP			# WASHER LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Beldon	62	2.96		98	4.68		116	5.53		139	6.63		864	41.22		817	38.98		2096	94.67		118	5.33		2214	3.13		1111	53.01		985	46.99			
	Burns Beach	4	1.43		6	2.15		13	4.66		9	3.23		101	36.20		146	52.33		279	97.55		7	2.45		286	0.40		118	42.29		161	57.71			
	Connolly	46	2.25		92	4.50		86	4.21		69	3.38		618	30.23		1133	55.43		2044	96.14		82	3.86		2126	3.00		792	38.75		1252	61.25			
	Craigie	78	2.37		222	6.73		204	6.19		207	6.28		1436	43.54		1151	34.90		3298	95.29		163	4.71		3461	4.89		1874	56.82		1424	43.18			
	Currambine	59	2.39		89	3.61		95	3.85		83	3.36		979	39.67		1163	47.12		2468	95.84		107	4.16		2575	3.64		1176	47.65		1292	52.35			
	Duncraig	61	2.08		166	5.65		181	6.16		104	3.54		940	31.99		1486	50.58		2938	96.23		115	3.77		3053	4.31		1268	43.16		1670	56.84			
	Duncraig East (Moore)	26	1.43		89	4.90		78	4.30		44	2.42		454	25.00		1125	61.95		1816	96.34		69	3.66		1885	2.66		586	32.27		1230	67.73			
	Duncraig North	49	2.18		126	5.62		123	5.48		78	3.48		676	30.14		1191	53.10		2243	96.72		76	3.28		2319	3.28		893	39.81		1350	60.19
	Duncraig South	38	1.85		81	3.95		100	4.88		62	3.02		514	25.07		1255	61.22		2050	97.06		62	2.94		2112	2.98		683	33.32		1367	66.68
	Edgewater	63	2.50		166	6.59		154	6.12		152	6.04		818	32.49		1165	46.27		2518	95.74		112	4.26		2630	3.72		1115	44.28		1403	55.72
	Heathridge	54	2.34		125	5.41		146	6.32		148	6.40		975	42.19		863	37.34		2311	95.65		105	4.35		2416	3.41		1283	55.52		1028	44.48
	Heathridge East	29	2.32		66	5.27		64	5.11		75	5.99		609	48.64		409	32.67		1252	96.01		52	3.99		1304	1.84		742	59.27		510	40.73
	Hillarys	88	3.15		126	4.51		120	4.30		115	4.12		928	33.25		1414	50.66		2791	95.65		127	4.35		2918	4.12		1196	42.85		1595	57.15
	Hillarys North	32	1.89		55	3.25		51	3.02		40	2.37		400	23.67		1112	65.80		1690	97.24		48	2.76		1738	2.46		498	29.47		1192	70.53
	Joondalup	63	2.22		126	4.45		125	4.41		124	4.38		1122	39.59		1274	44.95		2834	95.58		131	4.42		2965	4.19		1386	48.91		1448	51.09
	Kallaroo	93	3.11		133	4.45		160	5.35		128	4.28		844	28.21		1634	54.61		2992	96.36		113	3.64		3105	4.39		1147	38.34		1845	61.66
	Kinross	54	2.06		103	3.93		98	3.74		116	4.43		1054	40.24		1194	45.59		2619	95.86		113	4.14		2732	3.86		1273	48.61		1346	51.39
	Marmion	31	1.78		79	4.54		110	6.32		41	2.36		518	29.77		961	55.23		1740	96.88		56	3.12		1796	2.54		671	38.56		1069	61.44
	Mullaloo	74	2.67		144	5.20		175	6.32		113	4.08		990	35.75		1273	45.97		2769	95.85		120	4.15		2889	4.08		1312	47.38		1457	52.62
	North Beach Central (Moore)	5	1.12		11	2.46		41	9.17		8	1.79		115	25.73		267	59.73		447	96.13		18	3.87		465	0.66		162	36.24		285	63.76
