House of Representatives - 2001 Election: Western Australia																																																																								
First Preference Votes and TCP																																																																								
By Candidate by Polling Place																																																																								

O'Connor (83118)																																																																								
		# TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			FORMAL			INFORMAL			TOTAL																																		
		Wilson			Alistair			Carole			Stephan			Vicki			Sandy			Terry Kay			Ron			Donna			Mark Hamilton												Two Candidate Preferred																															
		LP			CTA			DEM			IND			NP			GWA			CEC			HAN			LFF			ALP												# TUCKEY LP			 PENDLEBURY ALP																												
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																											
	Albany	419	37.54		41	3.67		49	4.39		17	1.52		46	4.12		128	11.47		14	1.25		101	9.05		31	2.78		270	24.19		1116	94.66		63	5.34		1179	1.49		625	56.00		491	44.00																											
	Albany Central	495	40.88		32	2.64		30	2.48		9	0.74		58	4.79		153	12.63		9	0.74		111	9.17		34	2.81		280	23.12		1211	93.73		81	6.27		1292	1.63		695	57.39		516	42.61																											
	Albany Regional Hospital	173	38.53		29	6.46		19	4.23		6	1.34		14	3.12		32	7.13		5	1.11		61	13.59		7	1.56		103	22.94		449	94.33		27	5.67		476	0.60		265	59.02		184	40.98																											
	Ardath	35	62.50		0	0.00		0	0.00		1	1.79		10	17.86		0	0.00		0	0.00		8	14.29		0	0.00		2	3.57		56	100.00		0	0.00		56	0.07		53	94.64		3	5.36																											
	Arthur River	78	57.35		3	2.21		1	0.74		2	1.47		26	19.12		3	2.21		0	0.00		9	6.62		4	2.94		10	7.35		136	94.44		8	5.56		144	0.18		121	88.97		15	11.03																											
	Badgebup	33	55.93		2	3.39		0	0.00		0	0.00		8	13.56		0	0.00		0	0.00		12	20.34		0	0.00		4	6.78		59	98.33		1	1.67		60	0.08		53	89.83		6	10.17																											
	Badgingarra	130	73.45		3	1.69		1	0.56		0	0.00		13	7.34		4	2.26		2	1.13		12	6.78		0	0.00		12	6.78		177	97.79		4	2.21		181	0.23		158	89.27		19	10.73																											
	Ballidu	116	72.96		4	2.52		1	0.63		0	0.00		12	7.55		4	2.52		0	0.00		14	8.81		1	0.63		7	4.40		159	98.15		3	1.85		162	0.20		142	89.31		17	10.69																											
	Bayonet Head	440	45.08		41	4.20		17	1.74		4	0.41		69	7.07		51	5.23		3	0.31		101	10.35		15	1.54		235	24.08		976	94.48		57	5.52		1033	1.30		644	65.98		332	34.02																											
	Beachlands	301	39.30		11	1.44		7	0.91		11	1.44		10	1.31		42	5.48		2	0.26		79	10.31		11	1.44		292	38.12		766	94.92		41	5.08		807	1.02		376	49.09		390	50.91																											
	Beacon	101	66.89		2	1.32		3	1.99		2	1.32		18	11.92		2	1.32		0	0.00		15	9.93		1	0.66		7	4.64		151	98.05		3	1.95		154	0.19		137	90.73		14	9.27																											
	Bencubbin	105	63.64		0	0.00		2	1.21		2	1.21		14	8.48		4	2.42		0	0.00		20	12.12		4	2.42		14	8.48		165	94.83		9	5.17		174	0.22		140	84.85		25	15.15																											
	Bindi Bindi	40	72.73		0	0.00		0	0.00		1	1.82		7	12.73		0	0.00		0	0.00		3	5.45		1	1.82		3	5.45		55	96.49		2	3.51		57	0.07		49	89.09		6	10.91																											
	Bluff Point	993	51.03		28	1.44		42	2.16		12	0.62		44	2.26		79	4.06		5	0.26		233	11.97		27	1.39		483	24.82		1946	94.37		116	5.63		2062	2.60		1280	65.78		666	34.22																											
