House of Representatives - 2001 Election: Western Australia																																											
First Preference Votes and TCP																																											
By Candidate by Polling Place																																											
																																											
Pearce (77880)																																											
		NELSON			FOX			HILL			# MOYLAN			COSTELLO			COLLINS			SMITH			MILLER			FORMAL			INFORMAL			TOTAL											
		Chris			Jack			Vivian			Judi			Liam			Ken			Stuart			Juanita												Two Candidate Preferred								
		NP			DEM			CTA			LP			ALP			HAN			CEC			GWA												# MOYLAN LP			 COSTELLO ALP					
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
	Bakers Hill	24	4.38		7	1.28		10	1.82		236	43.07		143	26.09		100	18.25		1	0.18		27	4.93		548	92.72		43	7.28		591	0.80		310	56.57		238	43.43				
	Beverley	51	6.65		15	1.96		8	1.04		388	50.59		169	22.03		90	11.73		15	1.96		31	4.04		767	94.46		45	5.54		812	1.10		505	65.84		262	34.16				
	Bindoon	28	3.58		17	2.17		6	0.77		433	55.30		166	21.20		98	12.52		1	0.13		34	4.34		783	96.43		29	3.57		812	1.10		540	68.97		243	31.03				
	Boddington	40	6.41		15	2.40		4	0.64		313	50.16		164	26.28		65	10.42		2	0.32		21	3.37		624	94.69		35	5.31		659	0.89		397	63.62		227	36.38				
	Brookton	103	21.50		4	0.84		3	0.63		229	47.81		74	15.45		40	8.35		7	1.46		19	3.97		479	93.92		31	6.08		510	0.69		364	75.99		115	24.01				
	Bullsbrook	22	1.35		78	4.79		8	0.49		807	49.57		423	25.98		182	11.18		2	0.12		106	6.51		1628	94.54		94	5.46		1722	2.33		980	60.20		648	39.80				
	Carmel	6	1.72		12	3.45		8	2.30		212	60.92		69	19.83		16	4.60		0	0.00		25	7.18		348	93.80		23	6.20		371	0.50		242	69.54		106	30.46				
	Chidlow	17	1.95		42	4.82		22	2.52		361	41.40		271	31.08		65	7.45		2	0.23		92	10.55		872	93.36		62	6.64		934	1.26		484	55.50		388	44.50				
	Clarkson	19	0.94		103	5.12		28	1.39		603	29.97		956	47.51		148	7.36		11	0.55		144	7.16		2012	94.95		107	5.05		2119	2.86		797	39.61		1215	60.39				
	Cuballing	59	23.32		10	3.95		1	0.40		92	36.36		37	14.62		38	15.02		0	0.00		16	6.32		253	96.20		10	3.80		263	0.36		170	67.19		83	32.81				
	Darlington	7	0.36		149	7.62		26	1.33		925	47.29		502	25.66		84	4.29		3	0.15		260	13.29		1956	96.40		73	3.60		2029	2.74		1127	57.62		829	42.38				
	Ellenbrook	29	1.22		138	5.82		57	2.40		1032	43.53		851	35.89		158	6.66		5	0.21		101	4.26		2371	94.99		125	5.01		2496	3.37		1270	53.56		1101	46.44				
	Gidgegannup	17	1.44		47	3.99		14	1.19		604	51.32		300	25.49		105	8.92		8	0.68		82	6.97		1177	95.46		56	4.54		1233	1.67		732	62.19		445	37.81				
	Gingin	11	1.67		6	0.91		4	0.61		400	60.61		120	18.18		93	14.09		1	0.15		25	3.79		660	94.56		38	5.44		698	0.94		458	69.39		202	30.61				
	Glen Forrest	12	0.75		103	6.43		22	1.37		760	47.44		432	26.97		89	5.56		3	0.19		181	11.30		1602	96.33		61	3.67		1663	2.25		932	58.18		670	41.82				
	Grass Valley	12	7.14		8	4.76		0	0.00		84	50.00		30	17.86		25	14.88		0	0.00		9	5.36		168	94.38		10	5.62		178	0.24		124	73.81		44	26.19				
	Greenhills	1	1.06		0	0.00		0	0.00		62	65.96		8	8.51		21	22.34		0	0.00		2	2.13		94	98.95		1	1.05		95	0.13		77	81.91		17	18.09				
	Greenmount	14	0.85		88	5.37		25	1.53		728	44.42		540	32.95		102	6.22		8	0.49		134	8.18		1639	94.96		87	5.04		1726	2.33		885	54.00		754	46.00				
	Guilderton	3	1.17		4	1.56		3	1.17		123	47.86		72	28.02		32	12.45		0	0.00		20	7.78		257	93.80		17	6.20		274	0.37		155	60.31		102	39.69				
	Helena Valley (Pearce)	0	0.00		28	6.19		6	1.33		210	46.46		131	28.98		22	4.87		3	0.66		52	11.50		452	95.97		19	4.03		471	0.64		247	54.65		205	45.35				
	Henley Brook	5	0.49		37	3.65		9	0.89		579	57.16		238	23.49		78	7.70		1	0.10		66	6.52		1013	93.62		69	6.38		1082	1.46		687	67.82		326	32.18				
