House of Representatives - 2001 Election: Western Australia																																				
First Preference Votes and TCP																																				
By Candidate by Polling Place																																				

Perth (82049)																																				
		HEWETT			XAMON			# SMITH			GILBERTHORPE			WEBB			CHILTON			FORMAL			INFORMAL			TOTAL										
		Aaron			Alison			Stephen			Peter			Rod			Philip												Two Candidate Preferred							
		DEM			GWA			ALP			HAN			LP															# SMITH ALP			 WEBB LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Ashfield	62	5.62		72	6.52		596	53.99		106	9.60		261	23.64		7	0.63		1104	94.93		59	5.07		1163	1.49		729	66.03		375	33.97			
	Bassendean	185	9.10		124	6.10		1055	51.87		121	5.95		535	26.30		14	0.69		2034	93.82		134	6.18		2168	2.79		1336	65.68		698	34.32			
	Bassendean South	188	7.61		218	8.82		1137	46.00		138	5.58		778	31.47		13	0.53		2472	95.89		106	4.11		2578	3.31		1522	61.57		950	38.43			
	Bayswater	212	7.66		258	9.33		1366	49.39		117	4.23		791	28.60		22	0.80		2766	95.54		129	4.46		2895	3.72		1799	65.04		967	34.96			
	Bayswater North	160	7.05		151	6.65		1164	51.25		107	4.71		677	29.81		12	0.53		2271	94.66		128	5.34		2399	3.08		1429	62.92		842	37.08			
	Bedford Park	84	6.29		103	7.72		662	49.59		43	3.22		436	32.66		7	0.52		1335	95.15		68	4.85		1403	1.80		825	61.80		510	38.20			
	Bedford West	80	6.42		83	6.66		650	52.13		37	2.97		388	31.11		9	0.72		1247	95.63		57	4.37		1304	1.68		785	62.95		462	37.05			
	Beechboro	95	4.81		62	3.14		1236	62.58		103	5.22		461	23.34		18	0.91		1975	94.18		122	5.82		2097	2.69		1426	72.20		549	27.80
	Beechboro East	125	6.52		114	5.95		1060	55.32		118	6.16		483	25.21		16	0.84		1916	94.11		120	5.89		2036	2.62		1317	68.74		599	31.26
	Beechboro West	111	6.67		50	3.01		974	58.57		99	5.95		423	25.44		6	0.36		1663	95.57		77	4.43		1740	2.24		1118	67.23		545	32.77
	Coolbinia	54	5.69		80	8.43		312	32.88		20	2.11		478	50.37		5	0.53		949	95.67		43	4.33		992	1.27		422	44.47		527	55.53
	Dianella	67	7.07		42	4.44		437	46.15		39	4.12		353	37.28		9	0.95		947	94.23		58	5.77		1005	1.29		540	57.02		407	42.98
	Dianella Central	90	4.54		99	5.00		901	45.48		81	4.09		796	40.18		14	0.71		1981	95.24		99	4.76		2080	2.67		1084	54.72		897	45.28
	Dianella North	94	7.43		79	6.25		572	45.22		53	4.19		456	36.05		11	0.87		1265	95.26		63	4.74		1328	1.71		726	57.39		539	42.61
	East Perth	60	7.08		62	7.31		300	35.38		26	3.07		398	46.93		2	0.24		848	95.39		41	4.61		889	1.14		403	47.52		445	52.48
	Eden Hill	161	5.97		133	4.93		1526	56.54		143	5.30		717	26.57		19	0.70		2699	94.64		153	5.36		2852	3.66		1822	67.51		877	32.49
	Embleton	80	4.80		102	6.13		883	53.03		88	5.29		497	29.85		15	0.90		1665	93.49		116	6.51		1781	2.29		1064	63.90		601	36.10
	Hampton Park	109	5.20		83	3.96		1022	48.78		109	5.20		757	36.13		15	0.72		2095	93.15		154	6.85		2249	2.89		1208	57.66		887	42.34
	Highgate	207	9.88		275	13.13		1042	49.74		32	1.53		506	24.15		33	1.58		2095	93.86		137	6.14		2232	2.87		1478	70.55		617	29.45
	Inglewood	103	8.49		123	10.14		572	47.16		35	2.89		370	30.50		10	0.82		1213	94.25		74	5.75		1287	1.65		772	63.64		441	36.36
	Inglewood North	189	8.39		192	8.52		997	44.25		60	2.66		798	35.42		17	0.75		2253	95.83		98	4.17		2351	3.02		1320	58.59		933	41.41
	Kiara	93	6.40		56	3.86		812	55.92		94	6.47		391	26.93		6	0.41		1452	93.80		96	6.20		1548	1.99		963	66.32		489	33.68
	Lockridge	158	9.16		79	4.58		1110	64.39		101	5.86		265	15.37		11	0.64		1724	94.41		102	5.59		1826	2.35		1345	78.02		379	21.98
	Maylands	271	9.05		246	8.22		1436	47.98		106	3.54		900	30.07		34	1.14		2993	94.12		187	5.88		3180	4.09		1905	63.65		1088	36.35
	Maylands East	116	7.67		116	7.67		689	45.57		66	4.37		517	34.19		8	0.53		1512	95.94		64	4.06		1576	2.03		883	58.40		629	41.60
	Menora	15	3.99		10	2.66		160	42.55		11	2.93		178	47.34		2	0.53		376	95.67		17	4.33		393	0.51		187	49.73		189	50.27
	Menora South	42	5.06		43	5.18		255	30.72		15	1.81		472	56.87		3	0.36		830	96.18		33	3.82		863	1.11		323	38.92		507	61.08
	Mercy Hospital	30	7.03		39	9.13		163	38.17		13	3.04		176	41.22		6	1.41		427	95.74		19	4.26		446	0.57		219	51.29		208	48.71
	Morley	142	6.37		119	5.34		1077	48.30		95	4.26		779	34.93		18	0.81		2230	94.09		140	5.91		2370	3.05		1326	59.46		904	40.54
	Morley North	58	6.42		30	3.32		389	43.03		52	5.75		365	40.38		10	1.11		904	96.58		32	3.42		936	1.20		483	53.43		421	46.57
	Morley South	168	5.79		117	4.03		1516	52.24		148	5.10		943	32.49		10	0.34		2902	93.52		201	6.48		3103	3.99		1797	61.92		1105	38.08
	Mount Lawley	231	8.99		283	11.02		940	36.59		68	2.65		1031	40.13		16	0.62		2569	96.33		98	3.67		2667	3.43		1383	53.83		1186	46.17
	Mount Lawley East	49	6.87		74	10.38		280	39.27		13	1.82		290	40.67		7	0.98		713	97.67		17	2.33		730	0.94		381	53.44		332	46.56
	Mount Lawley South	70	11.06		86	13.59		275	43.44		19	3.00		179	28.28		4	0.63		633	96.64		22	3.36		655	0.84		407	64.30		226	35.70
	Mount Lawley West	45	7.72		71	12.18		279	47.86		9	1.54		175	30.02		4	0.69		583	93.28		42	6.72		625	0.80		386	66.21		197	33.79
	Noranda West (Perth)	34	6.98		19	3.90		219	44.97		16	3.29		194	39.84		5	1.03		487	92.06		42	7.94		529	0.68		264	54.21		223	45.79
	Northbridge	18	9.89		31	17.03		76	41.76		7	3.85		48	26.37		2	1.10		182	98.38		3	1.62		185	0.24		119	65.38		63	34.62
	North Perth	59	7.31		53	6.57		370	45.85		19	2.35		304	37.67		2	0.25		807	97.11		24	2.89		831	1.07		457	56.63		350	43.37
	North Perth Central	150	7.67		195	9.97		988	50.51		29	1.48		574	29.35		20	1.02		1956	94.27		119	5.73		2075	2.67		1277	65.29		679	34.71
	Perth (Perth)	83	11.96		89	12.82		286	41.21		25	3.60		205	29.54		6	0.86		694	93.78		46	6.22		740	0.95		437	62.97		257	37.03			
	Rottnest (Perth)	5	7.14		8	11.43		19	27.14		1	1.43		36	51.43		1	1.43		70	100.00		0	0.00		70	0.09		30	42.86		40	57.14			
	Royal Perth Hospital	22	8.94		10	4.07		130	52.85		8	3.25		75	30.49		1	0.41		246	94.62		14	5.38		260	0.33		156	63.41		90	36.59			
	West Perth (Perth)	25	8.33		24	8.00		125	41.67		10	3.33		112	37.33		4	1.33		300	94.64		17	5.36		317	0.41		170	56.67		130	43.33			
	Special Hospitals	17	3.00		6	1.06		268	47.35		25	4.42		249	43.99		1	0.18		566	93.55		39	6.45		605	0.78		288	50.88		278	49.12			
	Total Ordinary	4417	7.13		4309	6.96		30326	48.95		2625	4.24		19817	31.99		455	0.73		61949	94.78		3410	5.22		65359	83.99		38311	61.84		23638	38.16			
	ABSENT	634	9.47		766	11.44		2648	39.55		361	5.39		2211	33.02		76	1.14		6696	94.63		380	5.37		7076	9.09		3861	57.66		2835	42.34			
	POSTAL	101	4.15		106	4.36		1181	48.58		125	5.14		903	37.15		15	0.62		2431	98.50		37	1.50		2468	3.17		1404	57.75		1027	42.25			
	PRE_POLL	181	7.54		215	8.96		1020	42.50		114	4.75		856	35.67		14	0.58		2400	97.80		54	2.20		2454	3.15		1360	56.67		1040	43.33			
	PROVISIONAL	48	10.98		41	9.38		214	48.97		19	4.35		107	24.49		8	1.83		437	94.38		26	5.62		463	0.59		303	69.34		134	30.66			
	Division Summary	5381	7.28		5437	7.36		35389	47.88		3244	4.39		23894	32.33		568	0.77		73913	94.98		3907	5.02		77820	94.85		45239	61.21		28674	38.79			
																																				
																																				
																																				
																																				
																																				
