House of Representatives - 2001 Election: Western Australia																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							

Stirling (85975)																																							
		OLVER			AQUILINA			JASPER			CRONIN			MCENCROE			# MCFARLANE			THOROGOOD			FORMAL			INFORMAL			TOTAL										
		Pat			Heather			Perry			Bob			Keith John			Jann			Keith												Two Candidate Preferred							
		DEM			GWA			LFF			LP			CTA			ALP			HAN												 CRONIN LP			# MCFARLANE ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Balcatta	126	5.82		104	4.80		20	0.92		717	33.12		29	1.34		1081	49.93		88	4.06		2165	90.97		215	9.03		2380	2.92		882	40.74		1283	59.26			
	Balcatta Central	151	4.88		121	3.91		27	0.87		1152	37.20		47	1.52		1499	48.40		100	3.23		3097	91.25		297	8.75		3394	4.17		1363	44.01		1734	55.99			
	Balcatta East	19	4.57		18	4.33		4	0.96		132	31.73		6	1.44		220	52.88		17	4.09		416	95.85		18	4.15		434	0.53		164	39.42		252	60.58			
	Balcatta North	91	4.87		71	3.80		17	0.91		735	39.35		24	1.28		871	46.63		59	3.16		1868	92.02		162	7.98		2030	2.49		840	44.97		1028	55.03			
	Balga	118	5.13		127	5.52		18	0.78		450	19.55		34	1.48		1363	59.21		192	8.34		2302	92.08		198	7.92		2500	3.07		619	26.89		1683	73.11			
	Balga North	57	3.43		79	4.76		13	0.78		380	22.89		36	2.17		948	57.11		147	8.86		1660	93.05		124	6.95		1784	2.19		496	29.88		1164	70.12			
	Carine	201	5.92		159	4.68		50	1.47		1886	55.52		39	1.15		964	28.38		98	2.88		3397	96.97		106	3.03		3503	4.30		2151	63.32		1246	36.68			
	Deanmore	102	6.78		127	8.44		16	1.06		686	45.61		12	0.80		522	34.71		39	2.59		1504	95.74		67	4.26		1571	1.93		804	53.46		700	46.54
	Dianella Heights	112	6.03		70	3.77		15	0.81		989	53.26		15	0.81		612	32.96		44	2.37		1857	95.43		89	4.57		1946	2.39		1095	58.97		762	41.03
	Dianella West	53	3.66		62	4.28		10	0.69		747	51.59		24	1.66		524	36.19		28	1.93		1448	96.15		58	3.85		1506	1.85		823	56.84		625	43.16
	Doubleview (Stirling)	243	7.25		244	7.28		52	1.55		1623	48.42		36	1.07		1063	31.71		91	2.71		3352	96.40		125	3.60		3477	4.27		1908	56.92		1444	43.08
	Doubleview North	149	7.64		164	8.41		25	1.28		752	38.54		22	1.13		759	38.90		80	4.10		1951	94.99		103	5.01		2054	2.52		929	47.62		1022	52.38
	Duncraig East (Stirling)	17	6.46		12	4.56		9	3.42		148	56.27		4	1.52		65	24.71		8	3.04		263	97.05		8	2.95		271	0.33		175	66.54		88	33.46
	Hamersley	136	6.74		110	5.45		23	1.14		914	45.29		38	1.88		719	35.63		78	3.87		2018	95.10		104	4.90		2122	2.61		1094	54.21		924	45.79
	Hamersley East	57	5.27		63	5.83		9	0.83		432	39.96		22	2.04		429	39.69		69	6.38		1081	95.41		52	4.59		1133	1.39		544	50.32		537	49.68
	Innaloo North	154	5.74		197	7.34		37	1.38		1052	39.21		39	1.45		1104	41.15		100	3.73		2683	95.75		119	4.25		2802	3.44		1269	47.30		1414	52.70
	Karrinyup	141	5.99		127	5.40		30	1.27		1277	54.25		30	1.27		677	28.76		72	3.06		2354	96.12		95	3.88		2449	3.01		1475	62.66		879	37.34
	Lake Gwelup	93	4.80		132	6.82		35	1.81		977	50.46		16	0.83		618	31.92		65	3.36		1936	96.80		64	3.20		2000	2.46		1130	58.37		806	41.63
	Mirrabooka	111	5.02		93	4.21		28	1.27		572	25.88		26	1.18		1293	58.51		87	3.94		2210	92.86		170	7.14		2380	2.92		729	32.99		1481	67.01
	Mirrabooka Central	78	4.69		59	3.55		20	1.20		286	17.19		20	1.20		1108	66.59		93	5.59		1664	91.78		149	8.22		1813	2.23		402	24.16		1262	75.84
	Mirrabooka East	78	4.74		66	4.01		13	0.79		321	19.51		20	1.22		1090	66.26		57	3.47		1645	92.00		143	8.00		1788	2.20		423	25.71		1222	74.29
	Nollamara	143	6.98		118	5.76		13	0.63		578	28.21		30	1.46		1051	51.29		116	5.66		2049	93.86		134	6.14		2183	2.68		756	36.90		1293	63.10
	Nollamara North	13	2.60		27	5.40		10	2.00		104	20.80		5	1.00		321	64.20		20	4.00		500	90.91		50	9.09		550	0.68		142	28.40		358	71.60
	Noranda West (Stirling)	123	5.46		87	3.86		21	0.93		1134	50.33		17	0.75		809	35.91		62	2.75		2253	95.10		116	4.90		2369	2.91		1284	56.99		969	43.01
	North Beach	129	6.74		163	8.51		29	1.51		911	47.57		30	1.57		592	30.91		61	3.19		1915	96.33		73	3.67		1988	2.44		1089	56.87		826	43.13
