House of Representatives - 2001 Election: Western Australia																																										
First Preference Votes and TCP 																																										
By Candidate by Polling Place																																										

Swan (78991)																																										
		MAKIN			MCCUTCHEON			BRENNAN			TAPLEY			VINCIULLO			# WILKIE			JEFFREYS			SMITH			FORMAL			INFORMAL			TOTAL										
		Simon			Paul			Bev			Colleen			Sandra			Kim			Elena			Brian												Two Candidate Preferred							
		CLA			DEM			LP			CTA			HAN			ALP			GWA			CEC												 BRENNAN LP			# WILKIE ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Beckenham	44	1.81		107	4.40		706	29.03		55	2.26		164	6.74		1230	50.58		118	4.85		8	0.33		2432	94.26		148	5.74		2580	3.47		928	38.16		1504	61.84			
	Belmont	9	0.70		70	5.43		515	39.92		39	3.02		69	5.35		523	40.54		62	4.81		3	0.23		1290	94.71		72	5.29		1362	1.83		643	49.84		647	50.16			
	Bentley	21	1.52		66	4.77		473	34.20		35	2.53		62	4.48		671	48.52		49	3.54		6	0.43		1383	92.88		106	7.12		1489	2.00		604	43.67		779	56.33			
	Bentley South	10	1.19		47	5.58		209	24.79		14	1.66		28	3.32		481	57.06		54	6.41		0	0.00		843	95.58		39	4.42		882	1.18		268	31.79		575	68.21			
	Bentley West	8	0.94		34	3.99		262	30.72		13	1.52		25	2.93		459	53.81		51	5.98		1	0.12		853	95.09		44	4.91		897	1.21		314	36.81		539	63.19			
	Cannington	50	2.80		111	6.22		536	30.01		34	1.90		96	5.38		870	48.71		83	4.65		6	0.34		1786	94.10		112	5.90		1898	2.55		710	39.75		1076	60.25			
	Cannington East	49	2.28		101	4.70		609	28.31		55	2.56		174	8.09		1082	50.30		74	3.44		7	0.33		2151	91.69		195	8.31		2346	3.15		846	39.33		1305	60.67			
	Carlisle	26	2.05		65	5.11		401	31.55		14	1.10		76	5.98		631	49.65		54	4.25		4	0.31		1271	95.49		60	4.51		1331	1.79		518	40.76		753	59.24
	Cloverdale	17	1.52		55	4.92		295	26.39		9	0.81		83	7.42		613	54.83		42	3.76		4	0.36		1118	93.32		80	6.68		1198	1.61		403	36.05		715	63.95
	Cloverdale North	40	1.54		101	3.88		762	29.25		58	2.23		144	5.53		1387	53.24		104	3.99		9	0.35		2605	92.87		200	7.13		2805	3.77		988	37.93		1617	62.07
