Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																														
First Preference Votes by Candidate																																																																																																																																																																																																																																																														
By Polling Place																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																														
Canning (76632)																																																																																																																																																																																																																																																														
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped														
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL		
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer														
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
	Armadale		6	0.17		0	0.00		0	0.00		6	0.17		1	0.03		0	0.00		0	0.00		1	0.03		3	0.09		0	0.00		0	0.00		3	0.09		146	4.21		7	0.20		0	0.00		153	4.41		9	0.26		2	0.06		0	0.00		11	0.32		1046	30.16		9	0.26		1	0.03		1	0.03		2	0.06		1	0.03		1	0.03		1061	30.59		29	0.84		1	0.03		0	0.00		30	0.87		2	0.06		0	0.00		0	0.00		2	0.06		321	9.26		27	0.78		0	0.00		0	0.00		2	0.06		350	10.09		34	0.98		2	0.06		0	0.00		36	1.04		3	0.09		0	0.00		0	0.00		3	0.09		11	0.32		2	0.06		0	0.00		13	0.37		0	0.00		1	0.03		0	0.00		1	0.03		42	1.21		3	0.09		0	0.00		45	1.30		124	3.58		16	0.46		0	0.00		1	0.03		141	4.07		1441	41.55		17	0.49		3	0.09		0	0.00		3	0.09		1464	42.21		133	3.84		15	0.43		0	0.00		0	0.00		0	0.00		148	4.27		0	0.00		0	0.00		3468	95.09		179	4.91		3647	4.97	
	Armadale East		4	0.17		1	0.04		0	0.00		5	0.22		0	0.00		1	0.04		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		103	4.44		6	0.26		0	0.00		109	4.70		1	0.04		1	0.04		0	0.00		2	0.09		1036	44.64		10	0.43		0	0.00		4	0.17		8	0.34		0	0.00		0	0.00		1058	45.58		18	0.78		5	0.22		0	0.00		23	0.99		1	0.04		0	0.00		0	0.00		1	0.04		129	5.56		23	0.99		0	0.00		1	0.04		0	0.00		153	6.59		18	0.78		2	0.09		1	0.04		21	0.90		0	0.00		0	0.00		0	0.00		0	0.00		6	0.26		0	0.00		0	0.00		6	0.26		0	0.00		0	0.00		0	0.00		0	0.00		3	0.13		0	0.00		0	0.00		3	0.13		85	3.66		9	0.39		0	0.00		0	0.00		94	4.05		701	30.20		15	0.65		2	0.09		1	0.04		1	0.04		720	31.02		93	4.01		29	1.25		0	0.00		0	0.00		1	0.04		123	5.30		2	0.09		2	0.09		2321	96.23		91	3.77		2412	3.29	
	Armadale North		3	0.25		0	0.00		0	0.00		3	0.25		2	0.17		2	0.17		0	0.00		4	0.34		1	0.08		0	0.00		0	0.00		1	0.08		59	4.99		2	0.17		0	0.00		61	5.16		2	0.17		0	0.00		0	0.00		2	0.17		396	33.50		4	0.34		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		401	33.93		10	0.85		5	0.42		0	0.00		15	1.27		1	0.08		0	0.00		0	0.00		1	0.08		94	7.95		7	0.59		0	0.00		0	0.00		0	0.00		101	8.54		15	1.27		1	0.08		0	0.00		16	1.35		0	0.00		0	0.00		0	0.00		0	0.00		5	0.42		0	0.00		0	0.00		5	0.42		0	0.00		1	0.08		0	0.00		1	0.08		10	0.85		1	0.08		0	0.00		11	0.93		41	3.47		3	0.25		0	0.00		0	0.00		44	3.72		459	38.83		6	0.51		0	0.00		0	0.00		0	0.00		465	39.34		43	3.64		7	0.59		0	0.00		1	0.08		0	0.00		51	4.31		0	0.00		0	0.00		1182	94.71		66	5.29		1248	1.70	
	Armadale South		1	0.13		0	0.00		0	0.00		1	0.13		3	0.40		0	0.00		0	0.00		3	0.40		1	0.13		0	0.00		0	0.00		1	0.13		26	3.49		3	0.40		0	0.00		29	3.89		0	0.00		0	0.00		0	0.00		0	0.00		261	34.99		1	0.13		0	0.00		2	0.27		4	0.54		0	0.00		0	0.00		268	35.92		3	0.40		3	0.40		0	0.00		6	0.80		2	0.27		0	0.00		0	0.00		2	0.27		57	7.64		5	0.67		1	0.13		0	0.00		1	0.13		64	8.58		15	2.01		0	0.00		0	0.00		15	2.01		0	0.00		0	0.00		1	0.13		1	0.13		6	0.80		1	0.13		0	0.00		7	0.94		0	0.00		0	0.00		0	0.00		0	0.00		5	0.67		0	0.00		0	0.00		5	0.67		14	1.88		3	0.40		1	0.13		0	0.00		18	2.41		296	39.68		2	0.27		0	0.00		0	0.00		0	0.00		298	39.95		22	2.95		6	0.80		0	0.00		0	0.00		0	0.00		28	3.75		0	0.00		0	0.00		746	94.79		41	5.21		787	1.07	
	Armadale West		3	0.17		1	0.06		0	0.00		4	0.22		0	0.00		1	0.06		0	0.00		1	0.06		4	0.22		0	0.00		0	0.00		4	0.22		70	3.92		5	0.28		0	0.00		75	4.20		7	0.39		2	0.11		0	0.00		9	0.50		511	28.60		3	0.17		0	0.00		1	0.06		1	0.06		0	0.00		1	0.06		517	28.93		10	0.56		2	0.11		0	0.00		12	0.67		0	0.00		0	0.00		0	0.00		0	0.00		132	7.39		11	0.62		0	0.00		0	0.00		0	0.00		143	8.00		17	0.95		0	0.00		0	0.00		17	0.95		0	0.00		0	0.00		0	0.00		0	0.00		11	0.62		0	0.00		0	0.00		11	0.62		0	0.00		0	0.00		0	0.00		0	0.00		26	1.45		1	0.06		0	0.00		27	1.51		86	4.81		5	0.28		0	0.00		0	0.00		91	5.09		785	43.93		7	0.39		0	0.00		0	0.00		0	0.00		792	44.32		71	3.97		11	0.62		0	0.00		0	0.00		0	0.00		82	4.59		2	0.11		2	0.11		1787	96.28		69	3.72		1856	2.53	
	Barragup		17	1.19		0	0.00		0	0.00		17	1.19		2	0.14		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		20	1.40		1	0.07		0	0.00		21	1.47		0	0.00		0	0.00		0	0.00		0	0.00		629	44.11		3	0.21		1	0.07		3	0.21		4	0.28		0	0.00		0	0.00		640	44.88		9	0.63		1	0.07		0	0.00		10	0.70		1	0.07		0	0.00		0	0.00		1	0.07		136	9.54		13	0.91		0	0.00		2	0.14		0	0.00		151	10.59		17	1.19		0	0.00		0	0.00		17	1.19		1	0.07		0	0.00		0	0.00		1	0.07		4	0.28		0	0.00		0	0.00		4	0.28		0	0.00		0	0.00		0	0.00		0	0.00		14	0.98		0	0.00		0	0.00		14	0.98		37	2.59		3	0.21		1	0.07		0	0.00		41	2.88		441	30.93		9	0.63		1	0.07		0	0.00		0	0.00		451	31.63		50	3.51		5	0.35		0	0.00		0	0.00		0	0.00		55	3.86		1	0.07		1	0.07		1426	94.94		76	5.06		1502	2.05	
	Bedfordale		3	0.66		0	0.00		0	0.00		3	0.66		1	0.22		1	0.22		0	0.00		2	0.44		0	0.00		0	0.00		0	0.00		0	0.00		17	3.73		5	1.10		0	0.00		22	4.82		0	0.00		0	0.00		0	0.00		0	0.00		224	49.12		0	0.00		0	0.00		3	0.66		4	0.88		0	0.00		0	0.00		231	50.66		8	1.75		4	0.88		0	0.00		12	2.63		0	0.00		0	0.00		1	0.22		1	0.22		21	4.61		8	1.75		0	0.00		0	0.00		0	0.00		29	6.36		3	0.66		1	0.22		0	0.00		4	0.88		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	4.17		2	0.44		0	0.00		0	0.00		21	4.61		99	21.71		1	0.22		0	0.00		0	0.00		0	0.00		100	21.93		21	4.61		9	1.97		0	0.00		0	0.00		0	0.00		30	6.58		0	0.00		0	0.00		456	97.44		12	2.56		468	0.64	
