Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													

Cowan (79648)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Alexander Heights		11	0.45		1	0.04		1	0.04		13	0.53		1	0.04		1	0.04		0	0.00		2	0.08		1	0.04		0	0.00		0	0.00		1	0.04		38	1.55		9	0.37		0	0.00		47	1.92		1	0.04		0	0.00		0	0.00		1	0.04		881	35.90		9	0.37		0	0.00		1	0.04		3	0.12		0	0.00		0	0.00		894	36.43		18	0.73		1	0.04		0	0.00		19	0.77		2	0.08		0	0.00		0	0.00		2	0.08		105	4.28		7	0.29		0	0.00		0	0.00		0	0.00		112	4.56		15	0.61		4	0.16		0	0.00		19	0.77		0	0.00		1	0.04		0	0.00		1	0.04		8	0.33		0	0.00		0	0.00		8	0.33		0	0.00		0	0.00		0	0.00		0	0.00		14	0.57		0	0.00		0	0.00		14	0.57		143	5.83		8	0.33		1	0.04		0	0.00		152	6.19		1074	43.77		12	0.49		0	0.00		0	0.00		0	0.00		1086	44.25		76	3.10		4	0.16		0	0.00		2	0.08		0	0.00		82	3.34		1	0.04		1	0.04		2454	96.50		89	3.50		2543	3.32
	Alexander Heights West		5	0.29		2	0.12		0	0.00		7	0.40		0	0.00		1	0.06		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		24	1.38		2	0.12		0	0.00		26	1.50		2	0.12		0	0.00		0	0.00		2	0.12		519	29.86		6	0.35		0	0.00		1	0.06		2	0.12		1	0.06		1	0.06		530	30.49		6	0.35		1	0.06		0	0.00		7	0.40		1	0.06		0	0.00		0	0.00		1	0.06		100	5.75		6	0.35		1	0.06		0	0.00		1	0.06		108	6.21		14	0.81		1	0.06		0	0.00		15	0.86		0	0.00		0	0.00		0	0.00		0	0.00		7	0.40		0	0.00		0	0.00		7	0.40		0	0.00		0	0.00		0	0.00		0	0.00		15	0.86		1	0.06		0	0.00		16	0.92		85	4.89		5	0.29		1	0.06		0	0.00		91	5.24		863	49.65		7	0.40		1	0.06		1	0.06		0	0.00		872	50.17		51	2.93		2	0.12		0	0.00		2	0.12		0	0.00		55	3.16		0	0.00		0	0.00		1738	97.37		47	2.63		1785	2.33
	Ballajura		11	0.54		0	0.00		0	0.00		11	0.54		3	0.15		1	0.05		0	0.00		4	0.20		1	0.05		1	0.05		0	0.00		2	0.10		29	1.44		5	0.25		0	0.00		34	1.68		1	0.05		0	0.00		0	0.00		1	0.05		772	38.24		6	0.30		0	0.00		3	0.15		2	0.10		1	0.05		2	0.10		786	38.93		13	0.64		0	0.00		0	0.00		13	0.64		1	0.05		0	0.00		0	0.00		1	0.05		96	4.75		6	0.30		0	0.00		0	0.00		0	0.00		102	5.05		10	0.50		2	0.10		0	0.00		12	0.59		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		0	0.00		0	0.00		13	0.64		0	0.00		0	0.00		13	0.64		82	4.06		13	0.64		2	0.10		0	0.00		97	4.80		857	42.45		8	0.40		1	0.05		0	0.00		3	0.15		869	43.04		64	3.17		7	0.35		0	0.00		0	0.00		0	0.00		71	3.52		1	0.05		1	0.05		2019	96.83		66	3.17		2085	2.72
	Ballajura Central		14	0.46		1	0.03		0	0.00		15	0.49		4	0.13		0	0.00		0	0.00		4	0.13		2	0.07		1	0.03		0	0.00		3	0.10		35	1.14		2	0.07		0	0.00		37	1.20		0	0.00		0	0.00		0	0.00		0	0.00		1056	34.33		11	0.36		0	0.00		2	0.07		6	0.20		0	0.00		0	0.00		1075	34.95		16	0.52		1	0.03		0	0.00		17	0.55		3	0.10		2	0.07		1	0.03		6	0.20		161	5.23		12	0.39		0	0.00		0	0.00		0	0.00		173	5.62		15	0.49		1	0.03		0	0.00		16	0.52		4	0.13		0	0.00		0	0.00		4	0.13		3	0.10		0	0.00		0	0.00		3	0.10		0	0.00		2	0.07		0	0.00		2	0.07		28	0.91		0	0.00		0	0.00		28	0.91		165	5.36		8	0.26		3	0.10		1	0.03		177	5.75		1398	45.45		18	0.59		1	0.03		3	0.10		0	0.00		1420	46.16		89	2.89		4	0.13		1	0.03		0	0.00		0	0.00		94	3.06		2	0.07		2	0.07		3076	96.25		120	3.75		3196	4.17
	Ballajura South		8	0.34		2	0.08		0	0.00		10	0.42		2	0.08		0	0.00		0	0.00		2	0.08		3	0.13		0	0.00		0	0.00		3	0.13		20	0.84		5	0.21		0	0.00		25	1.05		2	0.08		0	0.00		0	0.00		2	0.08		599	25.19		8	0.34		0	0.00		1	0.04		1	0.04		0	0.00		0	0.00		609	25.61		11	0.46		4	0.17		0	0.00		15	0.63		2	0.08		0	0.00		0	0.00		2	0.08		91	3.83		7	0.29		0	0.00		1	0.04		0	0.00		99	4.16		7	0.29		0	0.00		0	0.00		7	0.29		0	0.00		1	0.04		0	0.00		1	0.04		13	0.55		1	0.04		0	0.00		14	0.59		0	0.00		0	0.00		0	0.00		0	0.00		32	1.35		1	0.04		0	0.00		33	1.39		131	5.51		13	0.55		1	0.04		0	0.00		145	6.10		1341	56.39		17	0.71		1	0.04		0	0.00		1	0.04		1360	57.19		45	1.89		4	0.17		0	0.00		0	0.00		0	0.00		49	2.06		2	0.08		2	0.08		2378	95.89		102	4.11		2480	3.23
	Ballajura West		10	0.48		0	0.00		0	0.00		10	0.48		1	0.05		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		21	1.00		4	0.19		1	0.05		26	1.24		1	0.05		0	0.00		0	0.00		1	0.05		806	38.56		10	0.48		0	0.00		3	0.14		5	0.24		0	0.00		0	0.00		824	39.43		10	0.48		1	0.05		0	0.00		11	0.53		1	0.05		0	0.00		0	0.00		1	0.05		92	4.40		7	0.33		0	0.00		0	0.00		0	0.00		99	4.74		9	0.43		1	0.05		0	0.00		10	0.48		5	0.24		0	0.00		0	0.00		5	0.24		7	0.33		1	0.05		0	0.00		8	0.38		0	0.00		0	0.00		0	0.00		0	0.00		13	0.62		1	0.05		0	0.00		14	0.67		109	5.22		8	0.38		1	0.05		1	0.05		119	5.69		892	42.68		4	0.19		1	0.05		0	0.00		2	0.10		899	43.01		57	2.73		4	0.19		0	0.00		0	0.00		0	0.00		61	2.92		1	0.05		1	0.05		2090	97.07		63	2.93		2153	2.81
	Banksia Grove		1	0.26		0	0.00		0	0.00		1	0.26		1	0.26		0	0.00		0	0.00		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		2	0.52		1	0.26		0	0.00		3	0.77		0	0.00		0	0.00		0	0.00		0	0.00		129	33.25		1	0.26		0	0.00		0	0.00		2	0.52		0	0.00		0	0.00		132	34.02		3	0.77		0	0.00		0	0.00		3	0.77		0	0.00		0	0.00		0	0.00		0	0.00		30	7.73		2	0.52		0	0.00		1	0.26		0	0.00		33	8.51		1	0.26		0	0.00		0	0.00		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.52		1	0.26		0	0.00		3	0.77		15	3.87		1	0.26		0	0.00		0	0.00		16	4.12		178	45.88		2	0.52		0	0.00		1	0.26		1	0.26		182	46.91		13	3.35		0	0.00		0	0.00		0	0.00		0	0.00		13	3.35		0	0.00		0	0.00		388	97.24		11	2.76		399	0.52
	Camboon		10	0.45		0	0.00		0	0.00		10	0.45		3	0.13		1	0.04		0	0.00		4	0.18		0	0.00		0	0.00		0	0.00		0	0.00		12	0.54		1	0.04		1	0.04		14	0.63		1	0.04		0	0.00		0	0.00		1	0.04		1000	44.72		14	0.63		0	0.00		2	0.09		7	0.31		0	0.00		0	0.00		1023	45.75		27	1.21		5	0.22		0	0.00		32	1.43		5	0.22		0	0.00		0	0.00		5	0.22		96	4.29		7	0.31		0	0.00		0	0.00		0	0.00		103	4.61		23	1.03		6	0.27		0	0.00		29	1.30		0	0.00		0	0.00		0	0.00		0	0.00		8	0.36		0	0.00		0	0.00		8	0.36		0	0.00		0	0.00		0	0.00		0	0.00		18	0.81		1	0.04		0	0.00		19	0.85		102	4.56		8	0.36		1	0.04		0	0.00		111	4.96		788	35.24		12	0.54		1	0.04		1	0.04		0	0.00		802	35.87		66	2.95		5	0.22		2	0.09		0	0.00		1	0.04		74	3.31		1	0.04		1	0.04		2236	94.59		128	5.41		2364	3.08
	Girrawheen		15	0.75		0	0.00		1	0.05		16	0.80		2	0.10		0	0.00		0	0.00		2	0.10		3	0.15		0	0.00		0	0.00		3	0.15		33	1.64		4	0.20		0	0.00		37	1.84		2	0.10		2	0.10		0	0.00		4	0.20		403	20.07		4	0.20		0	0.00		2	0.10		0	0.00		0	0.00		0	0.00		409	20.37		11	0.55		3	0.15		0	0.00		14	0.70		1	0.05		0	0.00		0	0.00		1	0.05		110	5.48		6	0.30		0	0.00		0	0.00		1	0.05		117	5.83		7	0.35		1	0.05		0	0.00		8	0.40		5	0.25		0	0.00		0	0.00		5	0.25		4	0.20		0	0.00		0	0.00		4	0.20		0	0.00		0	0.00		0	0.00		0	0.00		28	1.39		0	0.00		0	0.00		28	1.39		65	3.24		9	0.45		0	0.00		0	0.00		74	3.69		1173	58.42		20	1.00		3	0.15		0	0.00		1	0.05		1197	59.61		86	4.28		2	0.10		1	0.05		0	0.00		0	0.00		89	4.43		0	0.00		0	0.00		2008	95.89		86	4.11		2094	2.73
	Girrawheen Central		2	0.33		0	0.00		0	0.00		2	0.33		0	0.00		0	0.00		0	0.00		0	0.00		2	0.33		0	0.00		0	0.00		2	0.33		4	0.65		0	0.00		0	0.00		4	0.65		0	0.00		0	0.00		0	0.00		0	0.00		119	19.35		3	0.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		122	19.84		6	0.98		0	0.00		0	0.00		6	0.98		0	0.00		0	0.00		0	0.00		0	0.00		37	6.02		6	0.98		0	0.00		0	0.00		0	0.00		43	6.99		5	0.81		0	0.00		0	0.00		5	0.81		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		0	0.00		5	0.81		0	0.00		0	0.00		5	0.81		17	2.76		0	0.00		0	0.00		0	0.00		17	2.76		372	60.49		7	1.14		0	0.00		0	0.00		1	0.16		380	61.79		27	4.39		1	0.16		0	0.00		0	0.00		0	0.00		28	4.55		0	0.00		0	0.00		615	96.09		25	3.91		640	0.83
