Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													

Curtin (82561)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Churchlands		2	0.17		1	0.08		0	0.00		3	0.25		0	0.00		1	0.08		1	0.08		2	0.17		0	0.00		0	0.00		0	0.00		0	0.00		11	0.93		2	0.17		0	0.00		13	1.10		0	0.00		2	0.17		0	0.00		2	0.17		592	50.04		5	0.42		1	0.08		1	0.08		6	0.51		1	0.08		0	0.00		606	51.23		78	6.59		13	1.10		0	0.00		91	7.69		3	0.25		1	0.08		0	0.00		4	0.34		21	1.78		8	0.68		0	0.00		0	0.00		0	0.00		29	2.45		34	2.87		9	0.76		0	0.00		43	3.63		0	0.00		0	0.00		0	0.00		0	0.00		5	0.42		0	0.00		0	0.00		5	0.42		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		66	5.58		15	1.27		1	0.08		0	0.00		82	6.93		226	19.10		7	0.59		0	0.00		0	0.00		1	0.08		234	19.78		52	4.40		12	1.01		0	0.00		0	0.00		1	0.08		65	5.49		3	0.25		3	0.25		1183	97.85		26	2.15		1209	1.53
	City Beach		5	0.25		0	0.00		0	0.00		5	0.25		0	0.00		3	0.15		0	0.00		3	0.15		3	0.15		0	0.00		0	0.00		3	0.15		8	0.41		2	0.10		0	0.00		10	0.51		0	0.00		0	0.00		0	0.00		0	0.00		1149	58.30		27	1.37		1	0.05		11	0.56		11	0.56		6	0.30		3	0.15		1208	61.29		57	2.89		31	1.57		0	0.00		88	4.46		1	0.05		0	0.00		0	0.00		1	0.05		36	1.83		19	0.96		1	0.05		0	0.00		0	0.00		56	2.84		58	2.94		9	0.46		0	0.00		67	3.40		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		0	0.00		1	0.05		0	0.00		1	0.05		3	0.15		0	0.00		0	0.00		3	0.15		77	3.91		17	0.86		1	0.05		0	0.00		95	4.82		292	14.81		16	0.81		1	0.05		1	0.05		0	0.00		310	15.73		90	4.57		24	1.22		2	0.10		0	0.00		1	0.05		117	5.94		2	0.10		2	0.10		1971	97.62		48	2.38		2019	2.56
	City Beach North		5	0.31		1	0.06		0	0.00		6	0.37		2	0.12		0	0.00		0	0.00		2	0.12		0	0.00		1	0.06		0	0.00		1	0.06		17	1.04		0	0.00		0	0.00		17	1.04		1	0.06		1	0.06		0	0.00		2	0.12		983	60.23		17	1.04		0	0.00		8	0.49		9	0.55		0	0.00		1	0.06		1018	62.38		51	3.13		19	1.16		0	0.00		70	4.29		0	0.00		0	0.00		0	0.00		0	0.00		42	2.57		8	0.49		0	0.00		0	0.00		0	0.00		50	3.06		56	3.43		13	0.80		0	0.00		69	4.23		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		4	0.25		0	0.00		0	0.00		4	0.25		81	4.96		12	0.74		1	0.06		1	0.06		95	5.82		218	13.36		14	0.86		0	0.00		2	0.12		0	0.00		234	14.34		43	2.63		18	1.10		1	0.06		0	0.00		1	0.06		63	3.86		0	0.00		0	0.00		1632	97.61		40	2.39		1672	2.12
	Claremont		6	0.23		2	0.08		0	0.00		8	0.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	0.46		1	0.04		0	0.00		13	0.50		1	0.04		0	0.00		0	0.00		1	0.04		1360	52.69		28	1.08		2	0.08		3	0.12		21	0.81		1	0.04		1	0.04		1416	54.86		162	6.28		64	2.48		0	0.00		226	8.76		1	0.04		0	0.00		0	0.00		1	0.04		43	1.67		11	0.43		1	0.04		1	0.04		0	0.00		56	2.17		76	2.94		17	0.66		2	0.08		95	3.68		0	0.00		0	0.00		0	0.00		0	0.00		4	0.15		1	0.04		0	0.00		5	0.19		0	0.00		1	0.04		0	0.00		1	0.04		8	0.31		0	0.00		0	0.00		8	0.31		130	5.04		33	1.28		6	0.23		0	0.00		169	6.55		329	12.75		24	0.93		1	0.04		5	0.19		0	0.00		359	13.91		177	6.86		42	1.63		0	0.00		0	0.00		2	0.08		221	8.56		2	0.08		2	0.08		2581	97.10		77	2.90		2658	3.37
	Claremont East		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		3	0.38		0	0.00		3	0.38		0	0.00		0	0.00		0	0.00		0	0.00		4	0.51		2	0.25		0	0.00		6	0.76		0	0.00		0	0.00		0	0.00		0	0.00		365	46.09		7	0.88		0	0.00		7	0.88		5	0.63		0	0.00		1	0.13		385	48.61		35	4.42		12	1.52		0	0.00		47	5.93		0	0.00		0	0.00		0	0.00		0	0.00		17	2.15		3	0.38		0	0.00		0	0.00		0	0.00		20	2.53		24	3.03		11	1.39		0	0.00		35	4.42		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		1	0.13		0	0.00		2	0.25		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		52	6.57		11	1.39		2	0.25		0	0.00		65	8.21		125	15.78		10	1.26		1	0.13		1	0.13		0	0.00		137	17.30		72	9.09		15	1.89		0	0.00		0	0.00		0	0.00		87	10.98		3	0.38		3	0.38		792	96.35		30	3.65		822	1.04
	Cottesloe		10	0.40		0	0.00		0	0.00		10	0.40		0	0.00		2	0.08		1	0.04		3	0.12		0	0.00		0	0.00		0	0.00		0	0.00		6	0.24		2	0.08		0	0.00		8	0.32		0	0.00		0	0.00		0	0.00		0	0.00		1292	52.24		33	1.33		3	0.12		6	0.24		16	0.65		2	0.08		1	0.04		1353	54.71		108	4.37		22	0.89		0	0.00		130	5.26		1	0.04		0	0.00		0	0.00		1	0.04		46	1.86		12	0.49		0	0.00		0	0.00		1	0.04		59	2.39		84	3.40		24	0.97		2	0.08		110	4.45		0	0.00		0	0.00		0	0.00		0	0.00		15	0.61		0	0.00		0	0.00		15	0.61		0	0.00		1	0.04		0	0.00		1	0.04		4	0.16		1	0.04		0	0.00		5	0.20		129	5.22		20	0.81		3	0.12		1	0.04		153	6.19		319	12.90		25	1.01		0	0.00		2	0.08		0	0.00		346	13.99		216	8.73		61	2.47		0	0.00		0	0.00		2	0.08		279	11.28		0	0.00		0	0.00		2473	97.59		61	2.41		2534	3.21
	Cottesloe East		4	0.22		0	0.00		0	0.00		4	0.22		1	0.05		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		4	0.22		2	0.11		1	0.05		7	0.38		0	0.00		0	0.00		0	0.00		0	0.00		929	50.49		28	1.52		0	0.00		2	0.11		5	0.27		1	0.05		0	0.00		965	52.45		100	5.43		29	1.58		0	0.00		129	7.01		1	0.05		0	0.00		0	0.00		1	0.05		31	1.68		6	0.33		0	0.00		0	0.00		0	0.00		37	2.01		49	2.66		11	0.60		0	0.00		60	3.26		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		0	0.00		0	0.00		4	0.22		0	0.00		0	0.00		4	0.22		146	7.93		21	1.14		4	0.22		1	0.05		172	9.35		241	13.10		20	1.09		2	0.11		2	0.11		1	0.05		266	14.46		144	7.83		44	2.39		0	0.00		0	0.00		3	0.16		191	10.38		1	0.05		1	0.05		1840	97.51		47	2.49		1887	2.39
	Cottesloe South		2	0.20		0	0.00		0	0.00		2	0.20		2	0.20		1	0.10		0	0.00		3	0.29		0	0.00		0	0.00		0	0.00		0	0.00		7	0.69		0	0.00		0	0.00		7	0.69		0	0.00		0	0.00		0	0.00		0	0.00		603	59.29		16	1.57		2	0.20		0	0.00		8	0.79		3	0.29		0	0.00		632	62.14		31	3.05		27	2.65		0	0.00		58	5.70		2	0.20		0	0.00		0	0.00		2	0.20		16	1.57		4	0.39		1	0.10		0	0.00		0	0.00		21	2.06		19	1.87		6	0.59		1	0.10		26	2.56		0	0.00		0	0.00		0	0.00		0	0.00		4	0.39		0	0.00		0	0.00		4	0.39		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		1	0.10		32	3.15		14	1.38		2	0.20		0	0.00		48	4.72		128	12.59		2	0.20		0	0.00		0	0.00		0	0.00		130	12.78		67	6.59		14	1.38		1	0.10		0	0.00		1	0.10		83	8.16		0	0.00		0	0.00		1017	97.79		23	2.21		1040	1.32
	Dalkeith		6	0.26		0	0.00		0	0.00		6	0.26		4	0.17		3	0.13		0	0.00		7	0.30		0	0.00		0	0.00		0	0.00		0	0.00		13	0.56		4	0.17		0	0.00		17	0.73		0	0.00		0	0.00		0	0.00		0	0.00		1412	60.32		36	1.54		3	0.13		9	0.38		16	0.68		0	0.00		0	0.00		1476	63.05		145	6.19		35	1.50		0	0.00		180	7.69		2	0.09		1	0.04		0	0.00		3	0.13		30	1.28		6	0.26		0	0.00		1	0.04		1	0.04		38	1.62		55	2.35		18	0.77		3	0.13		76	3.25		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		1	0.04		0	0.00		2	0.09		0	0.00		0	0.00		1	0.04		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		104	4.44		19	0.81		2	0.09		3	0.13		128	5.47		249	10.64		14	0.60		0	0.00		1	0.04		2	0.09		266	11.36		107	4.57		30	1.28		1	0.04		0	0.00		0	0.00		138	5.89		3	0.13		3	0.13		2341	97.70		55	2.30		2396	3.04
	Doubleview (Curtin)		3	0.47		0	0.00		0	0.00		3	0.47		0	0.00		2	0.31		0	0.00		2	0.31		1	0.16		0	0.00		0	0.00		1	0.16		5	0.78		0	0.00		0	0.00		5	0.78		1	0.16		0	0.00		0	0.00		1	0.16		331	51.80		3	0.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		334	52.27		9	1.41		2	0.31		0	0.00		11	1.72		0	0.00		0	0.00		0	0.00		0	0.00		16	2.50		3	0.47		0	0.00		0	0.00		0	0.00		19	2.97		8	1.25		1	0.16		0	0.00		9	1.41		0	0.00		0	0.00		0	0.00		0	0.00		4	0.63		0	0.00		0	0.00		4	0.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		58	9.08		3	0.47		0	0.00		0	0.00		61	9.55		139	21.75		4	0.63		0	0.00		0	0.00		0	0.00		143	22.38		41	6.42		4	0.63		0	0.00		0	0.00		0	0.00		45	7.04		1	0.16		1	0.16		639	96.67		22	3.33		661	0.84
