Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													

Hasluck (78418)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Bellevue		2	0.27		1	0.13		1	0.13		4	0.54		1	0.13		2	0.27		0	0.00		3	0.40		0	0.00		0	0.00		0	0.00		0	0.00		5	0.67		2	0.27		0	0.00		7	0.94		2	0.27		2	0.27		0	0.00		4	0.54		225	30.36		3	0.40		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		229	30.90		6	0.81		0	0.00		0	0.00		6	0.81		1	0.13		0	0.00		0	0.00		1	0.13		60	8.10		13	1.75		0	0.00		0	0.00		1	0.13		74	9.99		4	0.54		2	0.27		0	0.00		6	0.81		0	0.00		0	0.00		0	0.00		0	0.00		2	0.27		0	0.00		0	0.00		2	0.27		0	0.00		0	0.00		0	0.00		0	0.00		7	0.94		0	0.00		0	0.00		7	0.94		37	4.99		1	0.13		2	0.27		1	0.13		41	5.53		295	39.81		9	1.21		1	0.13		0	0.00		0	0.00		305	41.16		46	6.21		3	0.40		2	0.27		0	0.00		1	0.13		52	7.02		0	0.00		0	0.00		741	94.88		40	5.12		781	1.04
	Caversham		2	0.26		0	0.00		0	0.00		2	0.26		3	0.39		0	0.00		0	0.00		3	0.39		0	0.00		0	0.00		0	0.00		0	0.00		5	0.65		0	0.00		0	0.00		5	0.65		0	0.00		0	0.00		0	0.00		0	0.00		266	34.41		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		267	34.54		4	0.52		2	0.26		0	0.00		6	0.78		0	0.00		0	0.00		0	0.00		0	0.00		71	9.18		7	0.91		0	0.00		0	0.00		0	0.00		78	10.09		6	0.78		0	0.00		0	0.00		6	0.78		0	0.00		0	0.00		0	0.00		0	0.00		2	0.26		0	0.00		0	0.00		2	0.26		0	0.00		0	0.00		0	0.00		0	0.00		10	1.29		0	0.00		0	0.00		10	1.29		37	4.79		5	0.65		1	0.13		0	0.00		43	5.56		307	39.72		1	0.13		0	0.00		0	0.00		1	0.13		309	39.97		41	5.30		1	0.13		0	0.00		0	0.00		0	0.00		42	5.43		0	0.00		0	0.00		773	94.50		45	5.50		818	1.09
	Forrestfield		12	0.44		1	0.04		0	0.00		13	0.47		5	0.18		1	0.04		1	0.04		7	0.25		1	0.04		0	0.00		0	0.00		1	0.04		49	1.78		5	0.18		0	0.00		54	1.96		3	0.11		0	0.00		0	0.00		3	0.11		910	33.07		12	0.44		0	0.00		3	0.11		7	0.25		0	0.00		0	0.00		932	33.87		20	0.73		5	0.18		0	0.00		25	0.91		3	0.11		0	0.00		0	0.00		3	0.11		264	9.59		17	0.62		0	0.00		1	0.04		0	0.00		282	10.25		27	0.98		1	0.04		0	0.00		28	1.02		0	0.00		0	0.00		0	0.00		0	0.00		8	0.29		0	0.00		0	0.00		8	0.29		0	0.00		1	0.04		0	0.00		1	0.04		17	0.62		0	0.00		0	0.00		17	0.62		125	4.54		11	0.40		3	0.11		2	0.07		141	5.12		1088	39.53		20	0.73		0	0.00		0	0.00		1	0.04		1109	40.30		116	4.22		12	0.44		0	0.00		0	0.00		0	0.00		128	4.65		0	0.00		0	0.00		2752	95.59		127	4.41		2879	3.83
	Forrestfield North		13	0.38		5	0.15		0	0.00		18	0.52		1	0.03		1	0.03		0	0.00		2	0.06		2	0.06		0	0.00		0	0.00		2	0.06		77	2.24		5	0.15		0	0.00		82	2.38		2	0.06		0	0.00		0	0.00		2	0.06		1332	38.69		15	0.44		0	0.00		3	0.09		1	0.03		0	0.00		0	0.00		1351	39.24		50	1.45		5	0.15		0	0.00		55	1.60		2	0.06		0	0.00		0	0.00		2	0.06		244	7.09		26	0.76		1	0.03		2	0.06		1	0.03		274	7.96		25	0.73		2	0.06		0	0.00		27	0.78		1	0.03		1	0.03		0	0.00		2	0.06		10	0.29		0	0.00		0	0.00		10	0.29		0	0.00		0	0.00		0	0.00		0	0.00		18	0.52		0	0.00		0	0.00		18	0.52		182	5.29		16	0.46		0	0.00		0	0.00		198	5.75		1228	35.67		15	0.44		1	0.03		1	0.03		0	0.00		1245	36.16		135	3.92		17	0.49		1	0.03		0	0.00		0	0.00		153	4.44		2	0.06		2	0.06		3443	96.20		136	3.80		3579	4.76
	Gooseberry Hill		2	0.14		1	0.07		1	0.07		4	0.28		0	0.00		1	0.07		0	0.00		1	0.07		2	0.14		0	0.00		0	0.00		2	0.14		14	0.98		2	0.14		1	0.07		17	1.20		2	0.14		0	0.00		0	0.00		2	0.14		659	46.34		24	1.69		2	0.14		0	0.00		14	0.98		1	0.07		0	0.00		700	49.23		19	1.34		16	1.13		0	0.00		35	2.46		0	0.00		0	0.00		0	0.00		0	0.00		50	3.52		11	0.77		0	0.00		0	0.00		2	0.14		63	4.43		13	0.91		5	0.35		0	0.00		18	1.27		0	0.00		0	0.00		0	0.00		0	0.00		4	0.28		0	0.00		0	0.00		4	0.28		0	0.00		1	0.07		0	0.00		1	0.07		4	0.28		0	0.00		0	0.00		4	0.28		94	6.61		21	1.48		1	0.07		0	0.00		116	8.16		300	21.10		13	0.91		1	0.07		1	0.07		0	0.00		315	22.15		114	8.02		26	1.83		0	0.00		0	0.00		0	0.00		140	9.85		0	0.00		0	0.00		1422	97.60		35	2.40		1457	1.94
	Gosnells		8	0.45		2	0.11		0	0.00		10	0.57		1	0.06		0	0.00		0	0.00		1	0.06		2	0.11		0	0.00		0	0.00		2	0.11		47	2.66		6	0.34		0	0.00		53	3.00		2	0.11		0	0.00		0	0.00		2	0.11		589	33.37		4	0.23		0	0.00		0	0.00		3	0.17		0	0.00		1	0.06		597	33.82		8	0.45		4	0.23		0	0.00		12	0.68		0	0.00		0	0.00		0	0.00		0	0.00		137	7.76		17	0.96		1	0.06		0	0.00		0	0.00		155	8.78		25	1.42		0	0.00		0	0.00		25	1.42		0	0.00		0	0.00		0	0.00		0	0.00		7	0.40		0	0.00		0	0.00		7	0.40		0	0.00		0	0.00		0	0.00		0	0.00		12	0.68		1	0.06		0	0.00		13	0.74		90	5.10		8	0.45		1	0.06		0	0.00		99	5.61		689	39.04		10	0.57		0	0.00		0	0.00		0	0.00		699	39.60		77	4.36		10	0.57		0	0.00		0	0.00		1	0.06		88	4.99		2	0.11		2	0.11		1765	95.25		88	4.75		1853	2.46
	Gosnells Central		16	0.78		1	0.05		0	0.00		17	0.83		3	0.15		0	0.00		0	0.00		3	0.15		1	0.05		1	0.05		0	0.00		2	0.10		80	3.91		6	0.29		0	0.00		86	4.20		4	0.20		0	0.00		0	0.00		4	0.20		761	37.16		5	0.24		0	0.00		3	0.15		6	0.29		0	0.00		1	0.05		776	37.89		18	0.88		4	0.20		0	0.00		22	1.07		1	0.05		0	0.00		0	0.00		1	0.05		168	8.20		17	0.83		0	0.00		0	0.00		0	0.00		185	9.03		20	0.98		6	0.29		0	0.00		26	1.27		1	0.05		0	0.00		0	0.00		1	0.05		4	0.20		0	0.00		0	0.00		4	0.20		0	0.00		0	0.00		0	0.00		0	0.00		15	0.73		0	0.00		0	0.00		15	0.73		74	3.61		12	0.59		0	0.00		0	0.00		86	4.20		713	34.81		16	0.78		2	0.10		0	0.00		2	0.10		733	35.79		71	3.47		13	0.63		0	0.00		1	0.05		1	0.05		86	4.20		1	0.05		1	0.05		2048	95.12		105	4.88		2153	2.86
	Gosnells South (Hasluck)		10	0.41		1	0.04		0	0.00		11	0.45		0	0.00		1	0.04		1	0.04		2	0.08		2	0.08		0	0.00		0	0.00		2	0.08		51	2.10		5	0.21		0	0.00		56	2.31		2	0.08		0	0.00		0	0.00		2	0.08		677	27.93		4	0.17		0	0.00		1	0.04		1	0.04		1	0.04		1	0.04		685	28.26		10	0.41		2	0.08		0	0.00		12	0.50		3	0.12		0	0.00		0	0.00		3	0.12		188	7.76		16	0.66		0	0.00		1	0.04		0	0.00		205	8.46		19	0.78		0	0.00		0	0.00		19	0.78		1	0.04		1	0.04		0	0.00		2	0.08		7	0.29		0	0.00		0	0.00		7	0.29		0	0.00		0	0.00		0	0.00		0	0.00		29	1.20		1	0.04		0	0.00		30	1.24		122	5.03		4	0.17		1	0.04		1	0.04		128	5.28		1134	46.78		13	0.54		0	0.00		0	0.00		3	0.12		1150	47.44		100	4.13		5	0.21		0	0.00		0	0.00		1	0.04		106	4.37		4	0.17		4	0.17		2424	96.65		84	3.35		2508	3.33
	Gosnells West		10	0.38		1	0.04		0	0.00		11	0.42		1	0.04		2	0.08		0	0.00		3	0.12		1	0.04		1	0.04		0	0.00		2	0.08		75	2.88		7	0.27		2	0.08		84	3.22		7	0.27		0	0.00		0	0.00		7	0.27		813	31.20		10	0.38		0	0.00		2	0.08		6	0.23		1	0.04		0	0.00		832	31.93		21	0.81		1	0.04		0	0.00		22	0.84		1	0.04		0	0.00		0	0.00		1	0.04		189	7.25		27	1.04		1	0.04		1	0.04		4	0.15		222	8.52		21	0.81		3	0.12		1	0.04		25	0.96		0	0.00		0	0.00		0	0.00		0	0.00		6	0.23		1	0.04		0	0.00		7	0.27		0	0.00		1	0.04		0	0.00		1	0.04		21	0.81		0	0.00		1	0.04		22	0.84		110	4.22		7	0.27		0	0.00		0	0.00		117	4.49		1129	43.32		12	0.46		4	0.15		2	0.08		0	0.00		1147	44.01		96	3.68		6	0.23		0	0.00		0	0.00		0	0.00		102	3.91		1	0.04		1	0.04		2606	96.27		101	3.73		2707	3.60
	Guildford		2	0.17		1	0.08		0	0.00		3	0.25		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		0	0.00		1	0.08		10	0.83		2	0.17		0	0.00		12	0.99		0	0.00		1	0.08		0	0.00		1	0.08		463	38.23		5	0.41		0	0.00		2	0.17		7	0.58		0	0.00		0	0.00		477	39.39		12	0.99		8	0.66		0	0.00		20	1.65		0	0.00		0	0.00		0	0.00		0	0.00		48	3.96		13	1.07		0	0.00		0	0.00		1	0.08		62	5.12		12	0.99		3	0.25		1	0.08		16	1.32		0	0.00		0	0.00		0	0.00		0	0.00		5	0.41		1	0.08		0	0.00		6	0.50		0	0.00		1	0.08		0	0.00		1	0.08		13	1.07		0	0.00		0	0.00		13	1.07		90	7.43		22	1.82		1	0.08		0	0.00		113	9.33		353	29.15		10	0.83		5	0.41		0	0.00		0	0.00		368	30.39		85	7.02		29	2.39		2	0.17		0	0.00		1	0.08		117	9.66		0	0.00		0	0.00		1211	95.35		59	4.65		1270	1.69
