Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													

Kalgoorlie (82534)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Ajana		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.88		0	0.00		0	0.00		1	0.88		55	48.25		1	0.88		0	0.00		1	0.88		1	0.88		0	0.00		0	0.00		58	50.88		20	17.54		4	3.51		0	0.00		24	21.05		0	0.00		0	0.00		0	0.00		0	0.00		11	9.65		0	0.00		0	0.00		0	0.00		0	0.00		11	9.65		2	1.75		0	0.00		0	0.00		2	1.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.88		0	0.00		0	0.00		1	0.88		1	0.88		0	0.00		0	0.00		0	0.00		1	0.88		16	14.04		0	0.00		0	0.00		0	0.00		0	0.00		16	14.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		114	92.68		9	7.32		123	0.17
	Argyle		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.85		0	0.00		1	1.85		0	0.00		0	0.00		0	0.00		0	0.00		1	1.85		0	0.00		0	0.00		1	1.85		0	0.00		0	0.00		0	0.00		0	0.00		17	31.48		1	1.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	33.33		1	1.85		0	0.00		0	0.00		1	1.85		0	0.00		0	0.00		0	0.00		0	0.00		11	20.37		0	0.00		0	0.00		0	0.00		0	0.00		11	20.37		1	1.85		0	0.00		0	0.00		1	1.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.70		0	0.00		0	0.00		0	0.00		2	3.70		17	31.48		0	0.00		0	0.00		0	0.00		0	0.00		17	31.48		2	3.70		0	0.00		0	0.00		0	0.00		0	0.00		2	3.70		0	0.00		0	0.00		54	100.00		0	0.00		54	0.08
	Balgo		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		9	5.56		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	6.17		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.23		0	0.00		0	0.00		2	1.23		0	0.00		0	0.00		0	0.00		0	0.00		5	3.09		0	0.00		0	0.00		5	3.09		6	3.70		0	0.00		0	0.00		0	0.00		6	3.70		129	79.63		0	0.00		0	0.00		0	0.00		0	0.00		129	79.63		7	4.32		0	0.00		0	0.00		0	0.00		0	0.00		7	4.32		0	0.00		0	0.00		162	94.74		9	5.26		171	0.24
	Bodallin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.56		0	0.00		0	0.00		1	1.56		0	0.00		0	0.00		0	0.00		0	0.00		23	35.94		0	0.00		0	0.00		0	0.00		2	3.13		0	0.00		0	0.00		25	39.06		12	18.75		1	1.56		0	0.00		13	20.31		0	0.00		0	0.00		0	0.00		0	0.00		11	17.19		1	1.56		0	0.00		0	0.00		0	0.00		12	18.75		0	0.00		0	0.00		0	0.00		0	0.00		1	1.56		0	0.00		0	0.00		1	1.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.56		0	0.00		0	0.00		1	1.56		2	3.13		0	0.00		0	0.00		0	0.00		2	3.13		6	9.38		2	3.13		0	0.00		0	0.00		0	0.00		8	12.50		0	0.00		1	1.56		0	0.00		0	0.00		0	0.00		1	1.56		0	0.00		0	0.00		64	96.97		2	3.03		66	0.09
	Boulder		4	0.16		3	0.12		0	0.00		7	0.28		1	0.04		0	0.00		0	0.00		1	0.04		5	0.20		0	0.00		0	0.00		5	0.20		24	0.94		4	0.16		0	0.00		28	1.10		4	0.16		0	0.00		0	0.00		4	0.16		827	32.50		5	0.20		1	0.04		8	0.31		4	0.16		0	0.00		0	0.00		845	33.20		27	1.06		3	0.12		0	0.00		30	1.18		3	0.12		0	0.00		0	0.00		3	0.12		401	15.76		35	1.38		0	0.00		2	0.08		0	0.00		438	17.21		17	0.67		0	0.00		0	0.00		17	0.67		3	0.12		0	0.00		0	0.00		3	0.12		6	0.24		0	0.00		0	0.00		6	0.24		0	0.00		0	0.00		0	0.00		0	0.00		30	1.18		1	0.04		0	0.00		31	1.22		90	3.54		10	0.39		1	0.04		0	0.00		101	3.97		940	36.94		15	0.59		3	0.12		1	0.04		1	0.04		960	37.72		63	2.48		3	0.12		0	0.00		0	0.00		0	0.00		66	2.59		0	0.00		0	0.00		2545	95.71		114	4.29		2659	3.70
	Broome		6	0.22		2	0.07		1	0.04		9	0.34		2	0.07		0	0.00		0	0.00		2	0.07		2	0.07		1	0.04		0	0.00		3	0.11		12	0.45		1	0.04		0	0.00		13	0.49		3	0.11		0	0.00		0	0.00		3	0.11		906	33.83		9	0.34		1	0.04		1	0.04		1	0.04		0	0.00		0	0.00		918	34.28		20	0.75		9	0.34		0	0.00		29	1.08		0	0.00		0	0.00		0	0.00		0	0.00		153	5.71		13	0.49		0	0.00		0	0.00		0	0.00		166	6.20		23	0.86		3	0.11		0	0.00		26	0.97		2	0.07		0	0.00		0	0.00		2	0.07		8	0.30		2	0.07		0	0.00		10	0.37		0	0.00		1	0.04		0	0.00		1	0.04		29	1.08		0	0.00		0	0.00		29	1.08		113	4.22		20	0.75		3	0.11		2	0.07		138	5.15		1041	38.87		26	0.97		4	0.15		0	0.00		0	0.00		1071	39.99		221	8.25		35	1.31		0	0.00		0	0.00		2	0.07		258	9.63		0	0.00		0	0.00		2678	96.96		84	3.04		2762	3.84
	Broome West		5	0.36		1	0.07		0	0.00		6	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	0.43		0	0.00		0	0.00		6	0.43		1	0.07		0	0.00		0	0.00		1	0.07		558	40.00		5	0.36		0	0.00		2	0.14		3	0.22		1	0.07		1	0.07		570	40.86		15	1.08		3	0.22		0	0.00		18	1.29		0	0.00		0	0.00		0	0.00		0	0.00		90	6.45		8	0.57		0	0.00		0	0.00		0	0.00		98	7.03		4	0.29		0	0.00		0	0.00		4	0.29		2	0.14		0	0.00		0	0.00		2	0.14		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		12	0.86		0	0.00		0	0.00		12	0.86		57	4.09		5	0.36		0	0.00		0	0.00		62	4.44		475	34.05		9	0.65		1	0.07		0	0.00		1	0.07		486	34.84		109	7.81		19	1.36		0	0.00		0	0.00		1	0.07		129	9.25		0	0.00		0	0.00		1395	97.55		35	2.45		1430	1.99
