Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													

O'Connor (83118)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Albany		4	0.35		2	0.18		1	0.09		7	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	3.17		6	0.53		0	0.00		42	3.69		3	0.26		0	0.00		0	0.00		3	0.26		405	35.62		6	0.53		1	0.09		1	0.09		4	0.35		0	0.00		0	0.00		417	36.68		26	2.29		10	0.88		1	0.09		37	3.25		0	0.00		0	0.00		0	0.00		0	0.00		114	10.03		16	1.41		0	0.00		1	0.09		0	0.00		131	11.52		18	1.58		2	0.18		0	0.00		20	1.76		0	0.00		0	0.00		0	0.00		0	0.00		4	0.35		1	0.09		0	0.00		5	0.44		0	0.00		0	0.00		0	0.00		0	0.00		8	0.70		1	0.09		0	0.00		9	0.79		58	5.10		4	0.35		2	0.18		0	0.00		64	5.63		266	23.39		10	0.88		0	0.00		2	0.18		0	0.00		278	24.45		101	8.88		21	1.85		0	0.00		0	0.00		1	0.09		123	10.82		1	0.09		1	0.09		1137	96.44		42	3.56		1179	1.48
	Albany Central		4	0.32		0	0.00		0	0.00		4	0.32		1	0.08		1	0.08		0	0.00		2	0.16		2	0.16		0	0.00		0	0.00		2	0.16		28	2.25		2	0.16		0	0.00		30	2.41		1	0.08		0	0.00		0	0.00		1	0.08		469	37.61		5	0.40		1	0.08		0	0.00		7	0.56		0	0.00		0	0.00		482	38.65		48	3.85		5	0.40		0	0.00		53	4.25		1	0.08		0	0.00		0	0.00		1	0.08		122	9.78		22	1.76		0	0.00		0	0.00		2	0.16		146	11.71		21	1.68		4	0.32		0	0.00		25	2.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.24		0	0.00		0	0.00		3	0.24		0	0.00		0	0.00		0	0.00		0	0.00		7	0.56		0	0.00		0	0.00		7	0.56		47	3.77		9	0.72		0	0.00		1	0.08		57	4.57		274	21.97		6	0.48		2	0.16		0	0.00		0	0.00		282	22.61		120	9.62		30	2.41		0	0.00		0	0.00		0	0.00		150	12.03		2	0.16		2	0.16		1247	96.44		46	3.56		1293	1.63
	Albany Regional Hospital		2	0.44		1	0.22		0	0.00		3	0.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		1	0.22		21	4.58		3	0.65		0	0.00		24	5.23		0	0.00		0	0.00		0	0.00		0	0.00		160	34.86		2	0.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		162	35.29		18	3.92		2	0.44		0	0.00		20	4.36		0	0.00		0	0.00		0	0.00		0	0.00		64	13.94		2	0.44		0	0.00		0	0.00		0	0.00		66	14.38		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	1.74		0	0.00		0	0.00		8	1.74		25	5.45		2	0.44		0	0.00		0	0.00		27	5.88		112	24.40		4	0.87		0	0.00		0	0.00		0	0.00		116	25.27		25	5.45		6	1.31		0	0.00		0	0.00		0	0.00		31	6.75		0	0.00		0	0.00		459	96.43		17	3.57		476	0.60
	Ardath		1	1.79		0	0.00		0	0.00		1	1.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		25	44.64		0	0.00		0	0.00		0	0.00		3	5.36		0	0.00		0	0.00		28	50.00		16	28.57		0	0.00		0	0.00		16	28.57		0	0.00		0	0.00		0	0.00		0	0.00		9	16.07		0	0.00		0	0.00		0	0.00		0	0.00		9	16.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		56	100.00		0	0.00		56	0.07
	Arthur River		1	0.72		0	0.00		0	0.00		1	0.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.44		0	0.00		0	0.00		2	1.44		0	0.00		0	0.00		0	0.00		0	0.00		64	46.04		0	0.00		0	0.00		0	0.00		6	4.32		0	0.00		0	0.00		70	50.36		29	20.86		4	2.88		0	0.00		33	23.74		0	0.00		0	0.00		0	0.00		0	0.00		11	7.91		2	1.44		0	0.00		0	0.00		0	0.00		13	9.35		3	2.16		1	0.72		0	0.00		4	2.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.72		0	0.00		0	0.00		1	0.72		11	7.91		1	0.72		0	0.00		0	0.00		0	0.00		12	8.63		2	1.44		0	0.00		0	0.00		0	0.00		0	0.00		2	1.44		1	0.72		1	0.72		139	95.86		6	4.14		145	0.18
	Badgebup		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.39		0	0.00		0	0.00		2	3.39		0	0.00		0	0.00		0	0.00		0	0.00		22	37.29		0	0.00		0	0.00		0	0.00		4	6.78		0	0.00		0	0.00		26	44.07		14	23.73		2	3.39		0	0.00		16	27.12		0	0.00		0	0.00		0	0.00		0	0.00		11	18.64		2	3.39		0	0.00		0	0.00		0	0.00		13	22.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.39		0	0.00		0	0.00		0	0.00		0	0.00		2	3.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		59	98.33		1	1.67		60	0.08
	Badgingarra		2	1.12		0	0.00		0	0.00		2	1.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.56		1	0.56		0	0.00		2	1.12		1	0.56		1	0.56		1	0.56		3	1.68		100	55.87		0	0.00		0	0.00		1	0.56		9	5.03		0	0.00		0	0.00		110	61.45		19	10.61		10	5.59		0	0.00		29	16.20		0	0.00		0	0.00		0	0.00		0	0.00		11	6.15		3	1.68		0	0.00		0	0.00		0	0.00		14	7.82		2	1.12		0	0.00		0	0.00		2	1.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.56		0	0.00		0	0.00		1	0.56		1	0.56		0	0.00		0	0.00		0	0.00		1	0.56		10	5.59		0	0.00		0	0.00		0	0.00		0	0.00		10	5.59		3	1.68		2	1.12		0	0.00		0	0.00		0	0.00		5	2.79		0	0.00		0	0.00		179	98.90		2	1.10		181	0.23
