Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
Perth (82049)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Ashfield		1	0.09		2	0.18		0	0.00		3	0.27		0	0.00		0	0.00		0	0.00		0	0.00		4	0.36		0	0.00		0	0.00		4	0.36		7	0.63		1	0.09		0	0.00		8	0.72		1	0.09		0	0.00		0	0.00		1	0.09		271	24.26		5	0.45		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		278	24.89		9	0.81		3	0.27		0	0.00		12	1.07		2	0.18		0	0.00		0	0.00		2	0.18		103	9.22		11	0.98		0	0.00		0	0.00		0	0.00		114	10.21		11	0.98		3	0.27		0	0.00		14	1.25		0	0.00		0	0.00		0	0.00		0	0.00		3	0.27		1	0.09		0	0.00		4	0.36		0	0.00		0	0.00		0	0.00		0	0.00		12	1.07		1	0.09		0	0.00		13	1.16		50	4.48		5	0.45		0	0.00		0	0.00		55	4.92		523	46.82		11	0.98		2	0.18		1	0.09		2	0.18		539	48.25		59	5.28		7	0.63		2	0.18		0	0.00		2	0.18		70	6.27		0	0.00		0	0.00		1117	95.96		47	4.04		1164	1.49
	Bassendean		6	0.29		2	0.10		0	0.00		8	0.39		2	0.10		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		0	0.00		0	0.00		28	1.35		8	0.39		0	0.00		36	1.74		2	0.10		0	0.00		0	0.00		2	0.10		588	28.42		14	0.68		0	0.00		2	0.10		4	0.19		0	0.00		0	0.00		608	29.39		15	0.72		2	0.10		0	0.00		17	0.82		1	0.05		0	0.00		0	0.00		1	0.05		139	6.72		16	0.77		0	0.00		0	0.00		0	0.00		155	7.49		21	1.01		2	0.10		0	0.00		23	1.11		2	0.10		0	0.00		0	0.00		2	0.10		5	0.24		0	0.00		0	0.00		5	0.24		0	0.00		0	0.00		1	0.05		1	0.05		22	1.06		0	0.00		0	0.00		22	1.06		151	7.30		14	0.68		2	0.10		0	0.00		167	8.07		894	43.21		12	0.58		1	0.05		1	0.05		0	0.00		908	43.89		94	4.54		14	0.68		1	0.05		1	0.05		0	0.00		110	5.32		2	0.10		2	0.10		2069	95.35		101	4.65		2170	2.77
	Bassendean South		18	0.73		2	0.08		0	0.00		20	0.81		1	0.04		1	0.04		0	0.00		2	0.08		3	0.12		0	0.00		0	0.00		3	0.12		25	1.02		3	0.12		0	0.00		28	1.14		0	0.00		0	0.00		0	0.00		0	0.00		741	30.20		16	0.65		2	0.08		3	0.12		5	0.20		2	0.08		0	0.00		769	31.34		19	0.77		10	0.41		0	0.00		29	1.18		2	0.08		1	0.04		0	0.00		3	0.12		139	5.66		21	0.86		0	0.00		0	0.00		0	0.00		160	6.52		27	1.10		5	0.20		0	0.00		32	1.30		1	0.04		0	0.00		0	0.00		1	0.04		15	0.61		0	0.00		0	0.00		15	0.61		0	0.00		1	0.04		0	0.00		1	0.04		9	0.37		1	0.04		0	0.00		10	0.41		178	7.25		24	0.98		7	0.29		3	0.12		212	8.64		901	36.72		27	1.10		2	0.08		0	0.00		0	0.00		930	37.90		185	7.54		47	1.92		2	0.08		0	0.00		3	0.12		237	9.66		2	0.08		2	0.08		2454	95.26		122	4.74		2576	3.29
	Bayswater		14	0.50		2	0.07		0	0.00		16	0.58		3	0.11		0	0.00		0	0.00		3	0.11		3	0.11		0	0.00		0	0.00		3	0.11		21	0.76		4	0.14		0	0.00		25	0.90		0	0.00		0	0.00		0	0.00		0	0.00		797	28.73		15	0.54		0	0.00		5	0.18		9	0.32		2	0.07		2	0.07		830	29.92		11	0.40		11	0.40		0	0.00		22	0.79		0	0.00		0	0.00		0	0.00		0	0.00		120	4.33		22	0.79		0	0.00		0	0.00		1	0.04		143	5.16		18	0.65		4	0.14		0	0.00		22	0.79		0	0.00		0	0.00		0	0.00		0	0.00		12	0.43		3	0.11		0	0.00		15	0.54		0	0.00		3	0.11		1	0.04		4	0.14		21	0.76		1	0.04		0	0.00		22	0.79		210	7.57		33	1.19		7	0.25		1	0.04		251	9.05		1098	39.58		29	1.05		5	0.18		3	0.11		3	0.11		1138	41.02		210	7.57		59	2.13		1	0.04		2	0.07		4	0.14		276	9.95		4	0.14		4	0.14		2774	95.75		123	4.25		2897	3.70
	Bayswater North		12	0.53		1	0.04		0	0.00		13	0.57		3	0.13		1	0.04		0	0.00		4	0.18		0	0.00		0	0.00		0	0.00		0	0.00		37	1.63		2	0.09		0	0.00		39	1.72		5	0.22		0	0.00		0	0.00		5	0.22		661	29.21		6	0.27		0	0.00		1	0.04		4	0.18		0	0.00		0	0.00		672	29.70		12	0.53		6	0.27		1	0.04		19	0.84		2	0.09		0	0.00		0	0.00		2	0.09		118	5.21		11	0.49		0	0.00		0	0.00		0	0.00		129	5.70		19	0.84		2	0.09		0	0.00		21	0.93		2	0.09		0	0.00		0	0.00		2	0.09		9	0.40		1	0.04		0	0.00		10	0.44		0	0.00		0	0.00		0	0.00		0	0.00		16	0.71		1	0.04		0	0.00		17	0.75		156	6.89		20	0.88		1	0.04		1	0.04		178	7.87		988	43.66		19	0.84		0	0.00		2	0.09		1	0.04		1010	44.63		110	4.86		25	1.10		2	0.09		1	0.04		2	0.09		140	6.19		2	0.09		2	0.09		2263	94.45		133	5.55		2396	3.06
	Bedford Park		4	0.30		1	0.07		0	0.00		5	0.37		0	0.00		0	0.00		1	0.07		1	0.07		1	0.07		0	0.00		0	0.00		1	0.07		7	0.52		1	0.07		0	0.00		8	0.60		3	0.22		0	0.00		0	0.00		3	0.22		424	31.74		8	0.60		0	0.00		1	0.07		4	0.30		0	0.00		0	0.00		437	32.71		10	0.75		5	0.37		0	0.00		15	1.12		1	0.07		0	0.00		0	0.00		1	0.07		41	3.07		5	0.37		0	0.00		0	0.00		0	0.00		46	3.44		11	0.82		3	0.22		0	0.00		14	1.05		0	0.00		0	0.00		0	0.00		0	0.00		6	0.45		1	0.07		0	0.00		7	0.52		0	0.00		1	0.07		1	0.07		2	0.15		14	1.05		1	0.07		0	0.00		15	1.12		80	5.99		10	0.75		0	0.00		0	0.00		90	6.74		570	42.66		11	0.82		5	0.37		0	0.00		0	0.00		586	43.86		82	6.14		21	1.57		0	0.00		1	0.07		0	0.00		104	7.78		1	0.07		1	0.07		1336	95.29		66	4.71		1402	1.79
	Bedford West		2	0.16		2	0.16		0	0.00		4	0.32		3	0.24		1	0.08		0	0.00		4	0.32		0	0.00		0	0.00		0	0.00		0	0.00		15	1.20		5	0.40		0	0.00		20	1.61		2	0.16		0	0.00		0	0.00		2	0.16		402	32.26		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		404	32.42		11	0.88		3	0.24		0	0.00		14	1.12		0	0.00		0	0.00		0	0.00		0	0.00		41	3.29		1	0.08		0	0.00		0	0.00		0	0.00		42	3.37		8	0.64		0	0.00		0	0.00		8	0.64		0	0.00		0	0.00		0	0.00		0	0.00		3	0.24		1	0.08		0	0.00		4	0.32		0	0.00		0	0.00		0	0.00		0	0.00		12	0.96		1	0.08		0	0.00		13	1.04		65	5.22		11	0.88		1	0.08		1	0.08		78	6.26		547	43.90		10	0.80		2	0.16		1	0.08		0	0.00		560	44.94		75	6.02		17	1.36		1	0.08		0	0.00		0	0.00		93	7.46		0	0.00		0	0.00		1246	95.77		55	4.23		1301	1.66
	Beechboro		3	0.15		0	0.00		0	0.00		3	0.15		2	0.10		1	0.05		0	0.00		3	0.15		1	0.05		0	0.00		0	0.00		1	0.05		23	1.15		2	0.10		1	0.05		26	1.30		2	0.10		0	0.00		0	0.00		2	0.10		475	23.69		7	0.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		482	24.04		15	0.75		0	0.00		0	0.00		15	0.75		1	0.05		0	0.00		0	0.00		1	0.05		108	5.39		11	0.55		0	0.00		0	0.00		0	0.00		119	5.94		11	0.55		1	0.05		0	0.00		12	0.60		0	0.00		0	0.00		0	0.00		0	0.00		7	0.35		1	0.05		0	0.00		8	0.40		0	0.00		2	0.10		0	0.00		2	0.10		24	1.20		0	0.00		0	0.00		24	1.20		93	4.64		8	0.40		0	0.00		0	0.00		101	5.04		1120	55.86		20	1.00		0	0.00		1	0.05		1	0.05		1142	56.96		56	2.79		4	0.20		1	0.05		2	0.10		0	0.00		63	3.14		1	0.05		1	0.05		2005	95.66		91	4.34		2096	2.68
	Beechboro East		8	0.41		1	0.05		1	0.05		10	0.52		1	0.05		0	0.00		0	0.00		1	0.05		2	0.10		0	0.00		0	0.00		2	0.10		30	1.55		7	0.36		0	0.00		37	1.92		1	0.05		0	0.00		0	0.00		1	0.05		527	27.29		10	0.52		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		538	27.86		11	0.57		2	0.10		0	0.00		13	0.67		3	0.16		0	0.00		0	0.00		3	0.16		127	6.58		7	0.36		0	0.00		0	0.00		1	0.05		135	6.99		12	0.62		2	0.10		0	0.00		14	0.73		0	0.00		0	0.00		0	0.00		0	0.00		8	0.41		0	0.00		0	0.00		8	0.41		0	0.00		0	0.00		1	0.05		1	0.05		19	0.98		0	0.00		0	0.00		19	0.98		96	4.97		10	0.52		1	0.05		0	0.00		107	5.54		924	47.85		12	0.62		1	0.05		2	0.10		1	0.05		940	48.68		91	4.71		8	0.41		1	0.05		0	0.00		0	0.00		100	5.18		2	0.10		2	0.10		1931	95.03		101	4.97		2032	2.60
	Beechboro West		2	0.12		0	0.00		0	0.00		2	0.12		3	0.18		0	0.00		2	0.12		5	0.30		0	0.00		0	0.00		1	0.06		1	0.06		29	1.74		6	0.36		1	0.06		36	2.16		0	0.00		0	0.00		0	0.00		0	0.00		441	26.42		10	0.60		0	0.00		0	0.00		4	0.24		0	0.00		1	0.06		456	27.32		16	0.96		1	0.06		0	0.00		17	1.02		0	0.00		0	0.00		0	0.00		0	0.00		74	4.43		11	0.66		1	0.06		0	0.00		0	0.00		86	5.15		9	0.54		2	0.12		0	0.00		11	0.66		1	0.06		0	0.00		0	0.00		1	0.06		5	0.30		0	0.00		0	0.00		5	0.30		0	0.00		0	0.00		0	0.00		0	0.00		16	0.96		0	0.00		1	0.06		17	1.02		85	5.09		6	0.36		0	0.00		1	0.06		92	5.51		875	52.43		12	0.72		2	0.12		1	0.06		1	0.06		891	53.39		46	2.76		3	0.18		0	0.00		0	0.00		0	0.00		49	2.94		0	0.00		0	0.00		1669	95.92		71	4.08		1740	2.22
