Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
Swan (78991)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
			TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Beckenham		10	0.41		1	0.04		0	0.00		11	0.45		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		37	1.50		9	0.37		0	0.00		46	1.87		0	0.00		1	0.04		0	0.00		1	0.04		690	28.03		9	0.37		1	0.04		2	0.08		6	0.24		0	0.00		0	0.00		708	28.76		20	0.81		3	0.12		0	0.00		23	0.93		2	0.08		1	0.04		0	0.00		3	0.12		204	8.29		12	0.49		2	0.08		0	0.00		2	0.08		220	8.94		9	0.37		3	0.12		0	0.00		12	0.49		1	0.04		0	0.00		0	0.00		1	0.04		9	0.37		0	0.00		0	0.00		9	0.37		0	0.00		3	0.12		0	0.00		3	0.12		15	0.61		0	0.00		0	0.00		15	0.61		112	4.55		8	0.32		4	0.16		2	0.08		126	5.12		1158	47.03		7	0.28		0	0.00		0	0.00		3	0.12		1168	47.44		107	4.35		8	0.32		0	0.00		0	0.00		0	0.00		115	4.67		0	0.00		0	0.00		2462	95.39		119	4.61		2581	3.45
	Belmont		5	0.38		0	0.00		0	0.00		5	0.38		3	0.23		0	0.00		0	0.00		3	0.23		2	0.15		0	0.00		0	0.00		2	0.15		27	2.08		1	0.08		0	0.00		28	2.15		0	0.00		0	0.00		0	0.00		0	0.00		513	39.46		7	0.54		0	0.00		1	0.08		0	0.00		1	0.08		0	0.00		522	40.15		17	1.31		1	0.08		0	0.00		18	1.38		3	0.23		0	0.00		0	0.00		3	0.23		61	4.69		11	0.85		1	0.08		1	0.08		0	0.00		74	5.69		11	0.85		0	0.00		0	0.00		11	0.85		0	0.00		0	0.00		0	0.00		0	0.00		5	0.38		0	0.00		0	0.00		5	0.38		0	0.00		1	0.08		1	0.08		2	0.15		16	1.23		0	0.00		0	0.00		16	1.23		75	5.77		6	0.46		1	0.08		1	0.08		83	6.38		452	34.77		6	0.46		1	0.08		0	0.00		1	0.08		460	35.38		58	4.46		7	0.54		0	0.00		0	0.00		0	0.00		65	5.00		3	0.23		3	0.23		1300	95.52		61	4.48		1361	1.82
	Bentley		6	0.43		1	0.07		0	0.00		7	0.51		3	0.22		0	0.00		0	0.00		3	0.22		1	0.07		0	0.00		0	0.00		1	0.07		25	1.81		4	0.29		0	0.00		29	2.10		2	0.14		0	0.00		0	0.00		2	0.14		443	32.01		4	0.29		1	0.07		3	0.22		5	0.36		0	0.00		0	0.00		456	32.95		15	1.08		0	0.00		0	0.00		15	1.08		0	0.00		0	0.00		0	0.00		0	0.00		67	4.84		12	0.87		0	0.00		0	0.00		1	0.07		80	5.78		11	0.79		2	0.14		0	0.00		13	0.94		4	0.29		0	0.00		0	0.00		4	0.29		7	0.51		0	0.00		0	0.00		7	0.51		0	0.00		2	0.14		0	0.00		2	0.14		18	1.30		0	0.00		0	0.00		18	1.30		81	5.85		8	0.58		0	0.00		0	0.00		89	6.43		592	42.77		9	0.65		1	0.07		0	0.00		0	0.00		602	43.50		42	3.03		10	0.72		0	0.00		0	0.00		1	0.07		53	3.83		3	0.22		3	0.22		1384	92.76		108	7.24		1492	1.99
	Bentley South		3	0.36		0	0.00		0	0.00		3	0.36		1	0.12		0	0.00		0	0.00		1	0.12		1	0.12		0	0.00		0	0.00		1	0.12		9	1.07		1	0.12		0	0.00		10	1.18		0	0.00		0	0.00		0	0.00		0	0.00		215	25.44		2	0.24		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		218	25.80		8	0.95		1	0.12		0	0.00		9	1.07		2	0.24		0	0.00		0	0.00		2	0.24		29	3.43		2	0.24		0	0.00		0	0.00		0	0.00		31	3.67		4	0.47		2	0.24		0	0.00		6	0.71		0	0.00		0	0.00		0	0.00		0	0.00		3	0.36		0	0.00		0	0.00		3	0.36		0	0.00		1	0.12		1	0.12		2	0.24		9	1.07		1	0.12		0	0.00		10	1.18		51	6.04		9	1.07		2	0.24		1	0.12		63	7.46		433	51.24		10	1.18		0	0.00		1	0.12		0	0.00		444	52.54		36	4.26		2	0.24		1	0.12		0	0.00		1	0.12		40	4.73		2	0.24		2	0.24		845	95.91		36	4.09		881	1.18
	Bentley West		5	0.59		1	0.12		0	0.00		6	0.71		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		1	0.12		15	1.77		1	0.12		0	0.00		16	1.88		0	0.00		0	0.00		0	0.00		0	0.00		248	29.21		4	0.47		0	0.00		0	0.00		4	0.47		0	0.00		0	0.00		256	30.15		7	0.82		1	0.12		0	0.00		8	0.94		7	0.82		0	0.00		0	0.00		7	0.82		23	2.71		2	0.24		0	0.00		0	0.00		0	0.00		25	2.94		2	0.24		1	0.12		0	0.00		3	0.35		0	0.00		0	0.00		0	0.00		0	0.00		6	0.71		1	0.12		0	0.00		7	0.82		0	0.00		0	0.00		0	0.00		0	0.00		8	0.94		0	0.00		0	0.00		8	0.94		47	5.54		9	1.06		1	0.12		0	0.00		57	6.71		397	46.76		8	0.94		1	0.12		0	0.00		0	0.00		406	47.82		40	4.71		8	0.94		1	0.12		0	0.00		0	0.00		49	5.77		0	0.00		0	0.00		849	94.65		48	5.35		897	1.20
	Cannington		6	0.33		0	0.00		1	0.06		7	0.39		2	0.11		0	0.00		0	0.00		2	0.11		2	0.11		0	0.00		0	0.00		2	0.11		22	1.22		3	0.17		0	0.00		25	1.39		1	0.06		1	0.06		0	0.00		2	0.11		546	30.35		8	0.44		0	0.00		1	0.06		3	0.17		0	0.00		0	0.00		558	31.02		13	0.72		3	0.17		0	0.00		16	0.89		3	0.17		0	0.00		0	0.00		3	0.17		92	5.11		13	0.72		0	0.00		1	0.06		0	0.00		106	5.89		10	0.56		1	0.06		0	0.00		11	0.61		0	0.00		0	0.00		0	0.00		0	0.00		13	0.72		0	0.00		0	0.00		13	0.72		0	0.00		1	0.06		0	0.00		1	0.06		24	1.33		0	0.00		0	0.00		24	1.33		114	6.34		11	0.61		1	0.06		0	0.00		126	7.00		805	44.75		15	0.83		7	0.39		0	0.00		1	0.06		828	46.03		64	3.56		7	0.39		0	0.00		0	0.00		1	0.06		72	4.00		3	0.17		3	0.17		1799	94.73		100	5.27		1899	2.54
	Cannington East		7	0.32		2	0.09		1	0.05		10	0.45		2	0.09		2	0.09		0	0.00		4	0.18		3	0.14		0	0.00		0	0.00		3	0.14		42	1.91		3	0.14		1	0.05		46	2.09		2	0.09		2	0.09		0	0.00		4	0.18		600	27.26		10	0.45		1	0.05		0	0.00		6	0.27		0	0.00		0	0.00		617	28.03		20	0.91		3	0.14		0	0.00		23	1.04		0	0.00		0	0.00		0	0.00		0	0.00		185	8.41		13	0.59		1	0.05		0	0.00		0	0.00		199	9.04		18	0.82		2	0.09		0	0.00		20	0.91		1	0.05		0	0.00		0	0.00		1	0.05		11	0.50		1	0.05		0	0.00		12	0.55		0	0.00		1	0.05		0	0.00		1	0.05		26	1.18		2	0.09		0	0.00		28	1.27		109	4.95		13	0.59		0	0.00		0	0.00		122	5.54		1023	46.48		18	0.82		1	0.05		2	0.09		1	0.05		1045	47.48		60	2.73		4	0.18		0	0.00		0	0.00		2	0.09		66	3.00		0	0.00		0	0.00		2201	93.82		145	6.18		2346	3.13
	Carlisle		11	0.87		2	0.16		0	0.00		13	1.03		0	0.00		2	0.16		0	0.00		2	0.16		2	0.16		0	0.00		0	0.00		2	0.16		16	1.26		2	0.16		0	0.00		18	1.42		1	0.08		0	0.00		0	0.00		1	0.08		393	31.02		7	0.55		1	0.08		1	0.08		4	0.32		0	0.00		0	0.00		406	32.04		11	0.87		2	0.16		0	0.00		13	1.03		1	0.08		0	0.00		0	0.00		1	0.08		78	6.16		8	0.63		0	0.00		0	0.00		0	0.00		86	6.79		8	0.63		0	0.00		0	0.00		8	0.63		1	0.08		0	0.00		0	0.00		1	0.08		5	0.39		2	0.16		0	0.00		7	0.55		0	0.00		1	0.08		0	0.00		1	0.08		7	0.55		0	0.00		0	0.00		7	0.55		62	4.89		9	0.71		0	0.00		1	0.08		72	5.68		536	42.30		18	1.42		2	0.16		0	0.00		0	0.00		556	43.88		52	4.10		21	1.66		0	0.00		0	0.00		0	0.00		73	5.76		0	0.00		0	0.00		1267	95.12		65	4.88		1332	1.78
	Cloverdale		1	0.09		1	0.09		0	0.00		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		2	0.18		0	0.00		0	0.00		2	0.18		4	0.35		2	0.18		0	0.00		6	0.53		1	0.09		0	0.00		0	0.00		1	0.09		293	25.88		2	0.18		0	0.00		0	0.00		3	0.27		1	0.09		0	0.00		299	26.41		14	1.24		0	0.00		0	0.00		14	1.24		2	0.18		0	0.00		0	0.00		2	0.18		85	7.51		5	0.44		1	0.09		1	0.09		0	0.00		92	8.13		11	0.97		1	0.09		0	0.00		12	1.06		2	0.18		0	0.00		0	0.00		2	0.18		3	0.27		0	0.00		0	0.00		3	0.27		0	0.00		0	0.00		0	0.00		0	0.00		9	0.80		1	0.09		0	0.00		10	0.88		70	6.18		2	0.18		1	0.09		0	0.00		73	6.45		566	50.00		9	0.80		1	0.09		0	0.00		0	0.00		576	50.88		33	2.92		3	0.27		0	0.00		0	0.00		2	0.18		38	3.36		0	0.00		0	0.00		1132	94.41		67	5.59		1199	1.60
	Cloverdale North		8	0.30		2	0.08		1	0.04		11	0.41		1	0.04		0	0.00		0	0.00		1	0.04		3	0.11		0	0.00		0	0.00		3	0.11		32	1.20		5	0.19		2	0.08		39	1.47		1	0.04		1	0.04		0	0.00		2	0.08		775	29.18		8	0.30		0	0.00		1	0.04		2	0.08		0	0.00		0	0.00		786	29.59		24	0.90		3	0.11		1	0.04		28	1.05		0	0.00		0	0.00		0	0.00		0	0.00		176	6.63		12	0.45		0	0.00		0	0.00		2	0.08		190	7.15		19	0.72		0	0.00		0	0.00		19	0.72		1	0.04		0	0.00		0	0.00		1	0.04		11	0.41		0	0.00		0	0.00		11	0.41		0	0.00		0	0.00		0	0.00		0	0.00		26	0.98		0	0.00		0	0.00		26	0.98		139	5.23		10	0.38		2	0.08		0	0.00		151	5.69		1267	47.70		17	0.64		1	0.04		4	0.15		0	0.00		1289	48.53		88	3.31		8	0.30		0	0.00		1	0.04		1	0.04		98	3.69		1	0.04		1	0.04		2656	94.52		154	5.48		2810	3.75
