Senate - 2001 Election: Western Australia																																																																																																																																																																																																																																																													
First Preference Votes by Candidate																																																																																																																																																																																																																																																													
By Polling Place																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
Tangney (82972)																																																																																																																																																																																																																																																													
			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
			TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Applecross		9	0.27		1	0.03		0	0.00		10	0.30		12	0.37		8	0.24		0	0.00		20	0.61		1	0.03		1	0.03		0	0.00		2	0.06		19	0.58		6	0.18		0	0.00		25	0.76		3	0.09		1	0.03		0	0.00		4	0.12		1908	58.17		36	1.10		1	0.03		5	0.15		17	0.52		0	0.00		1	0.03		1968	60.00		160	4.88		34	1.04		0	0.00		194	5.91		3	0.09		0	0.00		0	0.00		3	0.09		80	2.44		24	0.73		0	0.00		0	0.00		0	0.00		104	3.17		59	1.80		15	0.46		2	0.06		76	2.32		3	0.09		0	0.00		0	0.00		3	0.09		3	0.09		0	0.00		0	0.00		3	0.09		0	0.00		0	0.00		0	0.00		0	0.00		9	0.27		0	0.00		0	0.00		9	0.27		186	5.67		34	1.04		7	0.21		1	0.03		228	6.95		468	14.27		18	0.55		2	0.06		0	0.00		0	0.00		488	14.88		108	3.29		32	0.98		0	0.00		0	0.00		1	0.03		141	4.30		2	0.06		2	0.06		3280	97.24		93	2.76		3373	4.24
	Ardross		5	0.59		0	0.00		0	0.00		5	0.59		0	0.00		2	0.24		0	0.00		2	0.24		0	0.00		0	0.00		0	0.00		0	0.00		4	0.47		1	0.12		0	0.00		5	0.59		3	0.35		0	0.00		0	0.00		3	0.35		442	52.12		7	0.83		0	0.00		2	0.24		5	0.59		0	0.00		0	0.00		456	53.77		18	2.12		10	1.18		0	0.00		28	3.30		0	0.00		0	0.00		0	0.00		0	0.00		23	2.71		5	0.59		0	0.00		0	0.00		2	0.24		30	3.54		16	1.89		6	0.71		1	0.12		23	2.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.24		0	0.00		0	0.00		2	0.24		40	4.72		15	1.77		0	0.00		1	0.12		56	6.60		193	22.76		9	1.06		1	0.12		2	0.24		0	0.00		205	24.17		26	3.07		6	0.71		0	0.00		0	0.00		0	0.00		32	3.77		1	0.12		1	0.12		848	97.25		24	2.75		872	1.10
	Ardross West		5	0.42		1	0.08		0	0.00		6	0.50		1	0.08		3	0.25		0	0.00		4	0.33		0	0.00		0	0.00		0	0.00		0	0.00		8	0.67		1	0.08		0	0.00		9	0.75		2	0.17		0	0.00		0	0.00		2	0.17		617	51.59		6	0.50		0	0.00		1	0.08		1	0.08		1	0.08		0	0.00		626	52.34		23	1.92		8	0.67		0	0.00		31	2.59		3	0.25		2	0.17		0	0.00		5	0.42		30	2.51		11	0.92		1	0.08		0	0.00		0	0.00		42	3.51		9	0.75		5	0.42		1	0.08		15	1.25		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		2	0.17		0	0.00		0	0.00		2	0.17		60	5.02		8	0.67		1	0.08		0	0.00		69	5.77		285	23.83		9	0.75		1	0.08		1	0.08		0	0.00		296	24.75		72	6.02		10	0.84		1	0.08		0	0.00		3	0.25		86	7.19		2	0.17		2	0.17		1196	97.08		36	2.92		1232	1.55
	Attadale		8	0.29		7	0.26		0	0.00		15	0.55		11	0.40		4	0.15		0	0.00		15	0.55		2	0.07		0	0.00		0	0.00		2	0.07		18	0.66		7	0.26		1	0.04		26	0.95		0	0.00		0	0.00		0	0.00		0	0.00		1507	54.94		16	0.58		2	0.07		7	0.26		15	0.55		2	0.07		1	0.04		1550	56.51		141	5.14		26	0.95		0	0.00		167	6.09		4	0.15		0	0.00		0	0.00		4	0.15		81	2.95		22	0.80		1	0.04		0	0.00		1	0.04		105	3.83		49	1.79		9	0.33		2	0.07		60	2.19		2	0.07		0	0.00		0	0.00		2	0.07		2	0.07		0	0.00		0	0.00		2	0.07		0	0.00		1	0.04		0	0.00		1	0.04		5	0.18		0	0.00		0	0.00		5	0.18		144	5.25		25	0.91		3	0.11		1	0.04		173	6.31		467	17.03		16	0.58		2	0.07		1	0.04		0	0.00		486	17.72		96	3.50		27	0.98		1	0.04		1	0.04		0	0.00		125	4.56		5	0.18		5	0.18		2743	97.51		70	2.49		2813	3.54
	Bateman		4	0.20		0	0.00		0	0.00		4	0.20		3	0.15		0	0.00		1	0.05		4	0.20		1	0.05		0	0.00		0	0.00		1	0.05		23	1.16		3	0.15		0	0.00		26	1.31		1	0.05		0	0.00		0	0.00		1	0.05		869	43.89		18	0.91		0	0.00		2	0.10		2	0.10		0	0.00		1	0.05		892	45.05		72	3.64		12	0.61		0	0.00		84	4.24		3	0.15		1	0.05		0	0.00		4	0.20		58	2.93		11	0.56		0	0.00		0	0.00		0	0.00		69	3.48		30	1.52		2	0.10		1	0.05		33	1.67		0	0.00		0	0.00		0	0.00		0	0.00		3	0.15		0	0.00		0	0.00		3	0.15		0	0.00		0	0.00		0	0.00		0	0.00		4	0.20		1	0.05		1	0.05		6	0.30		107	5.40		19	0.96		2	0.10		1	0.05		129	6.52		565	28.54		19	0.96		4	0.20		1	0.05		1	0.05		590	29.80		104	5.25		27	1.36		0	0.00		0	0.00		1	0.05		132	6.67		2	0.10		2	0.10		1980	97.49		51	2.51		2031	2.56
	Booragoon		12	0.47		1	0.04		0	0.00		13	0.51		14	0.55		4	0.16		0	0.00		18	0.71		1	0.04		0	0.00		0	0.00		1	0.04		15	0.59		2	0.08		0	0.00		17	0.67		0	0.00		0	0.00		1	0.04		1	0.04		1268	49.96		25	0.99		3	0.12		5	0.20		13	0.51		1	0.04		4	0.16		1319	51.97		47	1.85		17	0.67		0	0.00		64	2.52		11	0.43		0	0.00		1	0.04		12	0.47		89	3.51		15	0.59		0	0.00		0	0.00		0	0.00		104	4.10		37	1.46		7	0.28		1	0.04		45	1.77		0	0.00		0	0.00		0	0.00		0	0.00		6	0.24		0	0.00		0	0.00		6	0.24		0	0.00		2	0.08		0	0.00		2	0.08		11	0.43		0	0.00		0	0.00		11	0.43		151	5.95		18	0.71		4	0.16		4	0.16		177	6.97		587	23.13		18	0.71		2	0.08		1	0.04		1	0.04		609	24.00		99	3.90		36	1.42		0	0.00		0	0.00		0	0.00		135	5.32		4	0.16		4	0.16		2538	95.88		109	4.12		2647	3.33
	Brentwood		8	0.28		1	0.04		0	0.00		9	0.32		9	0.32		4	0.14		1	0.04		14	0.49		0	0.00		0	0.00		0	0.00		0	0.00		22	0.77		3	0.11		0	0.00		25	0.88		2	0.07		0	0.00		0	0.00		2	0.07		1468	51.67		26	0.92		1	0.04		8	0.28		7	0.25		2	0.07		0	0.00		1512	53.22		51	1.80		17	0.60		0	0.00		68	2.39		6	0.21		0	0.00		0	0.00		6	0.21		90	3.17		14	0.49		0	0.00		0	0.00		0	0.00		104	3.66		34	1.20		7	0.25		1	0.04		42	1.48		1	0.04		2	0.07		0	0.00		3	0.11		8	0.28		0	0.00		0	0.00		8	0.28		0	0.00		0	0.00		0	0.00		0	0.00		4	0.14		1	0.04		0	0.00		5	0.18		161	5.67		32	1.13		3	0.11		1	0.04		197	6.93		649	22.84		27	0.95		1	0.04		2	0.07		0	0.00		679	23.90		118	4.15		46	1.62		0	0.00		0	0.00		1	0.04		165	5.81		2	0.07		2	0.07		2841	96.47		104	3.53		2945	3.71
	Bull Creek		3	0.16		1	0.05		0	0.00		4	0.21		1	0.05		1	0.05		0	0.00		2	0.11		0	0.00		0	0.00		0	0.00		0	0.00		18	0.96		6	0.32		0	0.00		24	1.28		2	0.11		0	0.00		0	0.00		2	0.11		895	47.86		14	0.75		1	0.05		1	0.05		7	0.37		1	0.05		0	0.00		919	49.14		26	1.39		19	1.02		1	0.05		46	2.46		4	0.21		1	0.05		0	0.00		5	0.27		62	3.32		6	0.32		0	0.00		0	0.00		0	0.00		68	3.64		12	0.64		6	0.32		0	0.00		18	0.96		0	0.00		0	0.00		0	0.00		0	0.00		4	0.21		0	0.00		0	0.00		4	0.21		0	0.00		0	0.00		0	0.00		0	0.00		10	0.53		0	0.00		0	0.00		10	0.53		120	6.42		22	1.18		0	0.00		1	0.05		143	7.65		512	27.38		11	0.59		0	0.00		0	0.00		0	0.00		523	27.97		88	4.71		11	0.59		0	0.00		0	0.00		2	0.11		101	5.40		1	0.05		1	0.05		1870	96.79		62	3.21		1932	2.43
	Bull Creek East		6	0.41		2	0.14		0	0.00		8	0.54		5	0.34		2	0.14		0	0.00		7	0.48		1	0.07		0	0.00		0	0.00		1	0.07		26	1.77		5	0.34		0	0.00		31	2.11		0	0.00		0	0.00		0	0.00		0	0.00		710	48.27		9	0.61		1	0.07		1	0.07		8	0.54		0	0.00		0	0.00		729	49.56		29	1.97		14	0.95		1	0.07		44	2.99		4	0.27		0	0.00		0	0.00		4	0.27		42	2.86		4	0.27		0	0.00		0	0.00		1	0.07		47	3.20		11	0.75		2	0.14		0	0.00		13	0.88		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		7	0.48		0	0.00		0	0.00		7	0.48		104	7.07		12	0.82		2	0.14		1	0.07		119	8.09		386	26.24		9	0.61		1	0.07		0	0.00		0	0.00		396	26.92		52	3.54		7	0.48		0	0.00		0	0.00		1	0.07		60	4.08		4	0.27		4	0.27		1471	97.81		33	2.19		1504	1.89
	Bull Creek North		15	1.19		4	0.32		0	0.00		19	1.51		0	0.00		1	0.08		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		11	0.88		0	0.00		0	0.00		11	0.88		1	0.08		0	0.00		0	0.00		1	0.08		671	53.38		8	0.64		1	0.08		2	0.16		1	0.08		0	0.00		0	0.00		683	54.34		26	2.07		10	0.80		0	0.00		36	2.86		0	0.00		0	0.00		0	0.00		0	0.00		59	4.69		8	0.64		0	0.00		0	0.00		0	0.00		67	5.33		7	0.56		5	0.40		0	0.00		12	0.95		1	0.08		0	0.00		0	0.00		1	0.08		2	0.16		0	0.00		0	0.00		2	0.16		0	0.00		0	0.00		0	0.00		0	0.00		10	0.80		0	0.00		0	0.00		10	0.80		52	4.14		8	0.64		0	0.00		0	0.00		60	4.77		291	23.15		11	0.88		2	0.16		1	0.08		0	0.00		305	24.26		41	3.26		8	0.64		0	0.00		0	0.00		0	0.00		49	3.90		0	0.00		0	0.00		1257	96.03		52	3.97		1309	1.65
