House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences																												
By Polling Place																												
																												
Brand																												
					BEAZLEY			ROBBIE			DAVIS			MCCARTHY			IREDALE			HUBBARD			THOMAS			WOOLLARD		
					Kim			Steve			Kate			Brian			Terry			Paul			Margaret			Keith		
					ALP			HAN			GWA			CEC			CTA			DEM			LP			LFF		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Baldivis                                                       																												
	FIRST			482	36.43		74	5.59		56	4.23		3	0.23		16	1.21		29	2.19		454	34.32		209	15.80		1323
	SECOND			2	66.67		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		484	36.58		74	5.59		57	4.31					16	1.21		29	2.19		454	34.32		209	15.80		1323
	THIRD			2	12.50		2	12.50		1	6.25						Excluded		1	6.25		7	43.75		3	18.75		16
		TOTAL		486	36.73		76	5.74		58	4.38								30	2.27		461	34.85		212	16.02		1323
	FOURTH			7	23.33		0	0.00		6	20.00									Excluded		11	36.67		6	20.00		30
		TOTAL		493	37.26		76	5.74		64	4.84											472	35.68		218	16.48		1323
	FIFTH			28	43.75		8	12.50			Excluded											8	12.50		20	31.25		64
		TOTAL		521	39.38		84	6.35														480	36.28		238	17.99		1323
	SIXTH			34	40.48			Excluded														22	26.19		28	33.33		84
		TOTAL		555	41.95																	502	37.94		266	20.11		1323
	SEVENTH			38	14.29																	228	85.71			Excluded		266
		TOTAL		593	44.82																	730	55.18					1323
				Elected																								
																												
Calista                                                        																												
	FIRST			1516	60.83		149	5.98		79	3.17		7	0.28		38	1.52		80	3.21		372	14.93		251	10.07		2492
	SECOND			1	14.29		0	0.00		1	14.29			Excluded		2	28.57		1	14.29		1	14.29		1	14.29		7
		TOTAL		1517	60.87		149	5.98		80	3.21					40	1.61		81	3.25		373	14.97		252	10.11		2492
	THIRD			11	27.50		1	2.50		4	10.00						Excluded		2	5.00		21	52.50		1	2.50		40
		TOTAL		1528	61.32		150	6.02		84	3.37								83	3.33		394	15.81		253	10.15		2492
	FOURTH			23	27.71		7	8.43		41	49.40									Excluded		6	7.23		6	7.23		83
		TOTAL		1551	62.24		157	6.30		125	5.02											400	16.05		259	10.39		2492
	FIFTH			51	40.80		17	13.60			Excluded											10	8.00		47	37.60		125
		TOTAL		1602	64.29		174	6.98														410	16.45		306	12.28		2492
	SIXTH			74	42.53			Excluded														65	37.36		35	20.11		174
		TOTAL		1676	67.26																	475	19.06		341	13.68		2492
	SEVENTH			68	19.94																	273	80.06			Excluded		341
		TOTAL		1744	69.98																	748	30.02					2492
				Elected																								
																												
Coodanup                                                       																												
