House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences																									
By Polling Place																									
																									
Curtin																									
					BUCKLE			GILMOUR			BISHOP			FOWLER			WALKER			WOOD			MCDONALD		
					Ashley			Neil			Julie			Trish			Steve			G			Karen		
					DEM			HAN			LP			ALP			GWA			LFF			CTA		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Churchlands                                                    																									
	FIRST			66	5.70		25	2.16		724	62.52		221	19.08		77	6.65		26	2.25		19	1.64		1158
	SECOND			0	0.00		2	10.53		12	63.16		2	10.53		1	5.26		2	10.53			Excluded		19
		TOTAL		66	5.70		27	2.33		736	63.56		223	19.26		78	6.74		28	2.42					1158
	THIRD			5	17.86		0	0.00		9	32.14		0	0.00		14	50.00			Excluded					28
		TOTAL		71	6.13		27	2.33		745	64.34		223	19.26		92	7.94								1158
	FOURTH			6	22.22			Excluded		11	40.74		4	14.81		6	22.22								27
		TOTAL		77	6.65					756	65.28		227	19.60		98	8.46								1158
	FIFTH				Excluded					17	22.08		17	22.08		43	55.84								77
		TOTAL								773	66.75		244	21.07		141	12.18								1158
	SIXTH									43	30.50		98	69.50			Excluded								141
		TOTAL								816	70.47		342	29.53											1158
										Elected															
																									
City Beach                                                     																									
	FIRST			96	4.86		50	2.53		1323	66.95		328	16.60		116	5.87		48	2.43		15	0.76		1976
	SECOND			2	13.33		0	0.00		9	60.00		1	6.67		0	0.00		3	20.00			Excluded		15
		TOTAL		98	4.96		50	2.53		1332	67.41		329	16.65		116	5.87		51	2.58					1976
	THIRD			9	17.65		10	19.61		14	27.45		6	11.76		12	23.53			Excluded					51
		TOTAL		107	5.41		60	3.04		1346	68.12		335	16.95		128	6.48								1976
	FOURTH			7	11.67			Excluded		36	60.00		6	10.00		11	18.33								60
		TOTAL		114	5.77					1382	69.94		341	17.26		139	7.03								1976
	FIFTH				Excluded					24	21.05		22	19.30		68	59.65								114
		TOTAL								1406	71.15		363	18.37		207	10.48								1976
	SIXTH									76	36.71		131	63.29			Excluded								207
		TOTAL								1482	75.00		494	25.00											1976
										Elected															
																									
City Beach North                                               																									
	FIRST			66	4.05		40	2.45		1130	69.33		272	16.69		67	4.11		37	2.27		18	1.10		1630
	SECOND			3	16.67		1	5.56		6	33.33		4	22.22		2	11.11		2	11.11			Excluded		18
		TOTAL		69	4.23		41	2.52		1136	69.69		276	16.93		69	4.23		39	2.39					1630
	THIRD			6	15.38		8	20.51		9	23.08		5	12.82		11	28.21			Excluded					39
		TOTAL		75	4.60		49	3.01		1145	70.25		281	17.24		80	4.91								1630
	FOURTH			3	6.12			Excluded		38	77.55		3	6.12		5	10.20								49
		TOTAL		78	4.79					1183	72.58		284	17.42		85	5.21								1630
	FIFTH				Excluded					20	25.64		18	23.08		40	51.28								78
		TOTAL								1203	73.80		302	18.53		125	7.67								1630
	SIXTH									59	47.20		66	52.80			Excluded								125
		TOTAL								1262	77.42		368	22.58											1630
										Elected															
																									
Claremont                                                      																									
	FIRST			128	4.95		59	2.28		1641	63.41		416	16.07		258	9.97		70	2.70		16	0.62		2588
	SECOND			2	12.50		4	25.00		5	31.25		2	12.50		2	12.50		1	6.25			Excluded		16
		TOTAL		130	5.02		63	2.43		1646	63.60		418	16.15		260	10.05		71	2.74					2588
	THIRD			7	9.86		4	5.63		24	33.80		5	7.04		31	43.66			Excluded					71
		TOTAL		137	5.29		67	2.59		1670	64.53		423	16.34		291	11.24								2588
	FOURTH			12	17.91			Excluded		31	46.27		9	13.43		15	22.39								67
		TOTAL		149	5.76					1701	65.73		432	16.69		306	11.82								2588
	FIFTH				Excluded					31	20.81		33	22.15		85	57.05								149
		TOTAL								1732	66.92		465	17.97		391	15.11								2588
	SIXTH									134	34.27		257	65.73			Excluded								391
		TOTAL								1866	72.10		722	27.90											2588
										Elected															
																									
Claremont East                                                 																									
	FIRST			56	7.02		17	2.13		442	55.39		158	19.80		86	10.78		34	4.26		5	0.63		798
	SECOND			0	0.00		1	20.00		0	0.00		1	20.00		2	40.00		1	20.00			Excluded		5
		TOTAL		56	7.02		18	2.26		442	55.39		159	19.92		88	11.03		35	4.39					798
	THIRD			4	11.43		2	5.71		16	45.71		3	8.57		10	28.57			Excluded					35
		TOTAL		60	7.52		20	2.51		458	57.39		162	20.30		98	12.28								798
	FOURTH			4	20.00			Excluded		9	45.00		3	15.00		4	20.00								20
		TOTAL		64	8.02					467	58.52		165	20.68		102	12.78								798
	FIFTH				Excluded					13	20.31		11	17.19		40	62.50								64
		TOTAL								480	60.15		176	22.06		142	17.79								798
	SIXTH									44	30.99		98	69.01			Excluded								142
		TOTAL								524	65.66		274	34.34											798
										Elected															
																									
Cottesloe                                                      																									
	FIRST			119	4.87		65	2.66		1489	60.90		411	16.81		271	11.08		80	3.27		10	0.41		2445
	SECOND			0	0.00		2	20.00		3	30.00		1	10.00		1	10.00		3	30.00			Excluded		10
		TOTAL		119	4.87		67	2.74		1492	61.02		412	16.85		272	11.12		83	3.39					2445
	THIRD			9	10.84		2	2.41		25	30.12		9	10.84		38	45.78			Excluded					83
		TOTAL		128	5.24		69	2.82		1517	62.04		421	17.22		310	12.68								2445
	FOURTH			8	11.59			Excluded		43	62.32		8	11.59		10	14.49								69
		TOTAL		136	5.56					1560	63.80		429	17.55		320	13.09								2445
	FIFTH				Excluded					32	23.53		28	20.59		76	55.88								136
		TOTAL								1592	65.11		457	18.69		396	16.20								2445
	SIXTH									126	31.82		270	68.18			Excluded								396
		TOTAL								1718	70.27		727	29.73											2445
										Elected															
																									
Cottesloe East                                                 																									
	FIRST			124	6.74		38	2.07		1124	61.12		308	16.75		185	10.06		49	2.66		11	0.60		1839
	SECOND			1	9.09		1	9.09		3	27.27		3	27.27		0	0.00		3	27.27			Excluded		11
		TOTAL		125	6.80		39	2.12		1127	61.28		311	16.91		185	10.06		52	2.83					1839
	THIRD			12	23.08		1	1.92		16	30.77		5	9.62		18	34.62			Excluded					52
		TOTAL		137	7.45		40	2.18		1143	62.15		316	17.18		203	11.04								1839
	FOURTH			6	15.00			Excluded		19	47.50		4	10.00		11	27.50								40
		TOTAL		143	7.78					1162	63.19		320	17.40		214	11.64								1839
	FIFTH				Excluded					37	25.87		16	11.19		90	62.94								143
		TOTAL								1199	65.20		336	18.27		304	16.53								1839
	SIXTH									94	30.92		210	69.08			Excluded								304
		TOTAL								1293	70.31		546	29.69											1839
										Elected															
																									
Cottesloe South                                                																									
	FIRST			37	3.65		20	1.97		688	67.92		139	13.72		99	9.77		22	2.17		8	0.79		1013
	SECOND			0	0.00		1	12.50		2	25.00		2	25.00		1	12.50		2	25.00			Excluded		8
		TOTAL		37	3.65		21	2.07		690	68.11		141	13.92		100	9.87		24	2.37					1013
	THIRD			5	20.83		0	0.00		8	33.33		1	4.17		10	41.67			Excluded					24
		TOTAL		42	4.15		21	2.07		698	68.90		142	14.02		110	10.86								1013
	FOURTH			3	14.29			Excluded		10	47.62		1	4.76		7	33.33								21
		TOTAL		45	4.44					708	69.89		143	14.12		117	11.55								1013
	FIFTH				Excluded					13	28.89		9	20.00		23	51.11								45
		TOTAL								721	71.17		152	15.00		140	13.82								1013
	SIXTH									53	37.86		87	62.14			Excluded								140
		TOTAL								774	76.41		239	23.59											1013
										Elected															
																									
Dalkeith                                                       																									
	FIRST			84	3.62		35	1.51		1685	72.63		272	11.72		169	7.28		56	2.41		19	0.82		2320
	SECOND			1	5.26		3	15.79		7	36.84		0	0.00		5	26.32		3	15.79			Excluded		19
		TOTAL		85	3.66		38	1.64		1692	72.93		272	11.72		174	7.50		59	2.54					2320
	THIRD			8	13.56		4	6.78		20	33.90		2	3.39		25	42.37			Excluded					59
		TOTAL		93	4.01		42	1.81		1712	73.79		274	11.81		199	8.58								2320
	FOURTH			5	11.90			Excluded		26	61.90		4	9.52		7	16.67								42
		TOTAL		98	4.22					1738	74.91		278	11.98		206	8.88								2320
	FIFTH				Excluded					23	23.47		25	25.51		50	51.02								98
