House of Representatives - 2001 Election: Tasmania																									
Distribution of Preferences																									
By Polling Place																									
																									
Fremantle																									
					REYNOLDS			SHAVE			HARRIS			SMYTH			DELVES			SWIFT			LAWRENCE		
					Chris			Michelle			Sarah			Louise			Robert			Rod			Carmen		
					HAN			CTA						LP			GWA			DEM			ALP		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Atwell                                                         																									
	FIRST			179	6.88		45	1.73		15	0.58		1037	39.88		101	3.88		216	8.31		1007	38.73		2600
	SECOND			3	20.00		2	13.33			Excluded		7	46.67		2	13.33		0	0.00		1	6.67		15
		TOTAL		182	7.00		47	1.81					1044	40.15		103	3.96		216	8.31		1008	38.77		2600
	THIRD			1	2.13			Excluded					30	63.83		6	12.77		2	4.26		8	17.02		47
		TOTAL		183	7.04								1074	41.31		109	4.19		218	8.38		1016	39.08		2600
	FOURTH			6	2.75								29	13.30		135	61.93			Excluded		48	22.02		218
		TOTAL		189	7.27								1103	42.42		244	9.38					1064	40.92		2600
	FIFTH				Excluded								92	48.68		51	26.98					46	24.34		189
		TOTAL											1195	45.96		295	11.35					1110	42.69		2600
	SIXTH												121	41.02			Excluded					174	58.98		295
		TOTAL											1316	50.62								1284	49.38		2600
																						Elected			
																									
Beaconsfield                                                   																									
	FIRST			60	3.06		5	0.25		21	1.07		450	22.92		316	16.10		86	4.38		1025	52.22		1963
	SECOND			1	4.76		4	19.05			Excluded		2	9.52		11	52.38		1	4.76		2	9.52		21
		TOTAL		61	3.11		9	0.46					452	23.03		327	16.66		87	4.43		1027	52.32		1963
	THIRD			3	33.33			Excluded					5	55.56		1	11.11		0	0.00		0	0.00		9
		TOTAL		64	3.26								457	23.28		328	16.71		87	4.43		1027	52.32		1963
	FOURTH			2	2.30								8	9.20		50	57.47			Excluded		27	31.03		87
		TOTAL		66	3.36								465	23.69		378	19.26					1054	53.69		1963
	FIFTH				Excluded								33	50.00		17	25.76					16	24.24		66
		TOTAL											498	25.37		395	20.12					1070	54.51		1963
	SIXTH												63	15.95			Excluded					332	84.05		395
		TOTAL											561	28.58								1402	71.42		1963
																						Elected			
																									
Beeliar                                                        																									
	FIRST			37	5.40		16	2.34		8	1.17		231	33.72		40	5.84		28	4.09		325	47.45		685
	SECOND			1	12.50		1	12.50			Excluded		3	37.50		2	25.00		1	12.50		0	0.00		8
		TOTAL		38	5.55		17	2.48					234	34.16		42	6.13		29	4.23		325	47.45		685
	THIRD			1	5.88			Excluded					1	5.88		5	29.41		4	23.53		6	35.29		17
		TOTAL		39	5.69								235	34.31		47	6.86		33	4.82		331	48.32		685
	FOURTH			6	18.18								8	24.24		13	39.39			Excluded		6	18.18		33
		TOTAL		45	6.57								243	35.47		60	8.76					337	49.20		685
	FIFTH				Excluded								16	35.56		19	42.22					10	22.22		45
		TOTAL											259	37.81		79	11.53					347	50.66		685
	SIXTH												33	41.77			Excluded					46	58.23		79
		TOTAL											292	42.63								393	57.37		685
																						Elected			
																									
Bibra Lake                                                     																									
	FIRST			178	7.01		55	2.17		21	0.83		974	38.35		157	6.18		163	6.42		992	39.06		2540
	SECOND			4	19.05		2	9.52			Excluded		4	19.05		3	14.29		6	28.57		2	9.52		21
		TOTAL		182	7.17		57	2.24					978	38.50		160	6.30		169	6.65		994	39.13		2540
