House of Representatives - 2001 Election: Western Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Moore																							
					HENDERSON			OLIVER			ROY			EVANS			YOUNG			WASHER			
					Geof			Clive			Andrew			John			Kim			Mal			
					IND			DEM			GWA			HAN			ALP			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Beldon                                                         																							
	FIRST			62	2.96		98	4.68		116	5.53		139	6.63		864	41.22		817	38.98		2096	
	SECOND				Excluded		18	29.03		18	29.03		11	17.74		6	9.68		9	14.52		62	
		TOTAL					116	5.53		134	6.39		150	7.16		870	41.51		826	39.41		2096	
	THIRD						20	13.33		29	19.33			Excluded		32	21.33		69	46.00		150	
		TOTAL					136	6.49		163	7.78					902	43.03		895	42.70		2096	
	FOURTH							Excluded		98	72.06					22	16.18		16	11.76		136	
		TOTAL								261	12.45					924	44.08		911	43.46		2096	
	FIFTH										Excluded					187	71.65		74	28.35		261	
		TOTAL														1111	53.01		985	46.99		2096	
																			Elected				
																							
Burns Beach                                                    																							
	FIRST			4	1.43		6	2.15		13	4.66		9	3.23		101	36.20		146	52.33		279	
	SECOND				Excluded		1	25.00		2	50.00		0	0.00		1	25.00		0	0.00		4	
		TOTAL					7	2.51		15	5.38		9	3.23		102	36.56		146	52.33		279	
	THIRD						1	11.11		2	22.22			Excluded		1	11.11		5	55.56		9	
		TOTAL					8	2.87		17	6.09					103	36.92		151	54.12		279	
	FOURTH							Excluded		5	62.50					1	12.50		2	25.00		8	
		TOTAL								22	7.89					104	37.28		153	54.84		279	
	FIFTH										Excluded					14	63.64		8	36.36		22	
		TOTAL														118	42.29		161	57.71		279	
																			Elected				
																							
Connolly                                                       																							
	FIRST			46	2.25		92	4.50		86	4.21		69	3.38		618	30.23		1133	55.43		2044	
	SECOND				Excluded		12	26.09		13	28.26		8	17.39		7	15.22		6	13.04		46	
		TOTAL					104	5.09		99	4.84		77	3.77		625	30.58		1139	55.72		2044	
	THIRD						14	18.18		15	19.48			Excluded		13	16.88		35	45.45		77	
		TOTAL					118	5.77		114	5.58					638	31.21		1174	57.44		2044	
	FOURTH							Excluded		90	76.27					16	13.56		12	10.17		118	
		TOTAL								204	9.98					654	32.00		1186	58.02		2044	
	FIFTH										Excluded					138	67.65		66	32.35		204	
		TOTAL														792	38.75		1252	61.25		2044	
																			Elected				
																							
Craigie                                                        																							
	FIRST			78	2.37		222	6.73		204	6.19		207	6.28		1436	43.54		1151	34.90		3298	
	SECOND				Excluded		33	42.31		20	25.64		4	5.13		10	12.82		11	14.10		78	
		TOTAL					255	7.73		224	6.79		211	6.40		1446	43.84		1162	35.23		3298	
	THIRD						29	13.74		61	28.91			Excluded		41	19.43		80	37.91		211	
		TOTAL					284	8.61		285	8.64					1487	45.09		1242	37.66		3298	
	FOURTH							Excluded		182	64.08					57	20.07		45	15.85		284	
		TOTAL								467	14.16					1544	46.82		1287	39.02		3298	
	FIFTH										Excluded					330	70.66		137	29.34		467	
		TOTAL														1874	56.82		1424	43.18		3298	
																			Elected				
																							
Currambine                                                     																							
	FIRST			59	2.39		89	3.61		95	3.85		83	3.36		979	39.67		1163	47.12		2468	
	SECOND				Excluded		20	33.90		9	15.25		12	20.34		6	10.17		12	20.34		59	
		TOTAL					109	4.42		104	4.21		95	3.85		985	39.91		1175	47.61		2468	
	THIRD						11	11.58		25	26.32			Excluded		26	27.37		33	34.74		95	
		TOTAL					120	4.86		129	5.23					1011	40.96		1208	48.95		2468	
	FOURTH							Excluded		65	54.17					35	29.17		20	16.67		120	
		TOTAL								194	7.86					1046	42.38		1228	49.76		2468	
	FIFTH										Excluded					130	67.01		64	32.99		194	
		TOTAL														1176	47.65		1292	52.35		2468	
																			Elected				
																							
Duncraig                                                       																							
	FIRST			61	2.08		166	5.65		181	6.16		104	3.54		940	31.99		1486	50.58		2938	
	SECOND				Excluded		21	34.43		17	27.87		3	4.92		6	9.84		14	22.95		61	
		TOTAL					187	6.36		198	6.74		107	3.64		946	32.20		1500	51.06		2938	
	THIRD						16	14.95		17	15.89			Excluded		26	24.30		48	44.86		107	
		TOTAL					203	6.91		215	7.32					972	33.08		1548	52.69		2938	
	FOURTH							Excluded		120	59.11					49	24.14		34	16.75		203	
		TOTAL								335	11.40					1021	34.75		1582	53.85		2938	
	FIFTH										Excluded					247	73.73		88	26.27		335	
		TOTAL														1268	43.16		1670	56.84		2938	
																			Elected				
																							
Duncraig East (Moore)                                          																							
	FIRST			26	1.43		89	4.90		78	4.30		44	2.42		454	25.00		1125	61.95		1816	
	SECOND				Excluded		8	30.77		6	23.08		2	7.69		4	15.38		6	23.08		26	
		TOTAL					97	5.34		84	4.63		46	2.53		458	25.22		1131	62.28		1816	
	THIRD						5	10.87		9	19.57			Excluded		9	19.57		23	50.00		46	
		TOTAL					102	5.62		93	5.12					467	25.72		1154	63.55		1816	
	FOURTH							Excluded		63	61.76					20	19.61		19	18.63		102	
		TOTAL								156	8.59					487	26.82		1173	64.59		1816	
	FIFTH										Excluded					99	63.46		57	36.54		156	
		TOTAL														586	32.27		1230	67.73		1816	
																			Elected				
																							
Duncraig North                                                 																							
	FIRST			49	2.18		126	5.62		123	5.48		78	3.48		676	30.14		1191	53.10		2243	
	SECOND				Excluded		12	24.49		10	20.41		5	10.20		10	20.41		12	24.49		49	
		TOTAL					138	6.15		133	5.93		83	3.70		686	30.58		1203	53.63		2243	
	THIRD						12	14.46		18	21.69			Excluded		12	14.46		41	49.40		83	
		TOTAL					150	6.69		151	6.73					698	31.12		1244	55.46		2243	
	FOURTH							Excluded		92	61.33					31	20.67		27	18.00		150	
		TOTAL								243	10.83					729	32.50		1271	56.67		2243	
	FIFTH										Excluded					164	67.49		79	32.51		243	
		TOTAL														893	39.81		1350	60.19		2243	
																			Elected				
																							
Duncraig South                                                 																							
	FIRST			38	1.85		81	3.95		100	4.88		62	3.02		514	25.07		1255	61.22		2050	
	SECOND				Excluded		5	13.16		11	28.95		2	5.26		5	13.16		15	39.47		38	
		TOTAL					86	4.20		111	5.41		64	3.12		519	25.32		1270	61.95		2050	
	THIRD						12	18.75		9	14.06			Excluded		18	28.13		25	39.06		64	
		TOTAL					98	4.78		120	5.85					537	26.20		1295	63.17		2050	
	FOURTH							Excluded		55	56.12					28	28.57		15	15.31		98	
		TOTAL								175	8.54					565	27.56		1310	63.90		2050	
	FIFTH										Excluded					118	67.43		57	32.57		175	
		TOTAL														683	33.32		1367	66.68		2050	
																			Elected				
																							
Edgewater                                                      																							
	FIRST			63	2.50		166	6.59		154	6.12		152	6.04		818	32.49		1165	46.27		2518	
	SECOND				Excluded		15	23.81		20	31.75		7	11.11		10	15.87		11	17.46		63	
		TOTAL					181	7.19		174	6.91		159	6.31		828	32.88		1176	46.70		2518	
	THIRD						20	12.58		35	22.01			Excluded		29	18.24		75	47.17		159	
		TOTAL					201	7.98		209	8.30					857	34.03		1251	49.68		2518	
	FOURTH							Excluded		131	65.17					37	18.41		33	16.42		201	
		TOTAL								340	13.50					894	35.50		1284	50.99		2518	
	FIFTH										Excluded					221	65.00		119	35.00		340	
		TOTAL														1115	44.28		1403	55.72		2518	
																			Elected				
																							
Heathridge                                                     																							
	FIRST			54	2.34		125	5.41		146	6.32		148	6.40		975	42.19		863	37.34		2311	
	SECOND				Excluded		18	33.33		19	35.19		4	7.41		3	5.56		10	18.52		54	
		TOTAL					143	6.19		165	7.14		152	6.58		978	42.32		873	37.78		2311	
	THIRD						16	10.53		47	30.92			Excluded		27	17.76		62	40.79		152	
		TOTAL					159	6.88		212	9.17					1005	43.49		935	40.46		2311	
	FOURTH							Excluded		103	64.78					34	21.38		22	13.84		159	
		TOTAL								315	13.63					1039	44.96		957	41.41		2311	
	FIFTH										Excluded					244	77.46		71	22.54		315	
		TOTAL														1283	55.52		1028	44.48		2311	
																			Elected				
																							
Heathridge East                                                																							
	FIRST			29	2.32		66	5.27		64	5.11		75	5.99		609	48.64		409	32.67		1252	
	SECOND				Excluded		13	44.83		3	10.34		3	10.34		2	6.90		8	27.59		29	
		TOTAL					79	6.31		67	5.35		78	6.23		611	48.80		417	33.31		1252	
	THIRD						8	10.26		13	16.67			Excluded		17	21.79		40	51.28		78	
		TOTAL					87	6.95		80	6.39					628	50.16		457	36.50		1252	
	FOURTH							Excluded		50	57.47					21	24.14		16	18.39		87	
		TOTAL								130	10.38					649	51.84		473	37.78		1252	
	FIFTH										Excluded					93	71.54		37	28.46		130	
		TOTAL														742	59.27		510	40.73		1252	
																			Elected				
																							
Hillarys                                                       																							
	FIRST			88	3.15		126	4.51		120	4.30		115	4.12		928	33.25		1414	50.66		2791	
	SECOND				Excluded		17	19.32		38	43.18		12	13.64		8	9.09		13	14.77		88	
		TOTAL					143	5.12		158	5.66		127	4.55		936	33.54		1427	51.13		2791	
	THIRD						17	13.39		34	26.77			Excluded		22	17.32		54	42.52		127	
		TOTAL					160	5.73		192	6.88					958	34.32		1481	53.06		2791	
	FOURTH							Excluded		95	59.38					36	22.50		29	18.13		160	
		TOTAL								287	10.28					994	35.61		1510	54.10		2791	
	FIFTH										Excluded					202	70.38		85	29.62		287	
		TOTAL														1196	42.85		1595	57.15		2791	
																			Elected				
																							
Hillarys North                                                 																							
	FIRST			32	1.89		55	3.25		51	3.02		40	2.37		400	23.67		1112	65.80		1690	
	SECOND				Excluded		10	31.25		9	28.13		3	9.38		3	9.38		7	21.88		32	
		TOTAL					65	3.85		60	3.55		43	2.54		403	23.85		1119	66.21		1690	
	THIRD						6	13.95		8	18.60			Excluded		10	23.26		19	44.19		43	
		TOTAL					71	4.20		68	4.02					413	24.44		1138	67.34		1690	
	FOURTH							Excluded		33	46.48					21	29.58		17	23.94		71	
		TOTAL								101	5.98					434	25.68		1155	68.34		1690	
	FIFTH										Excluded					64	63.37		37	36.63		101	
		TOTAL														498	29.47		1192	70.53		1690	
																			Elected				
																							
Joondalup                                                      																							
	FIRST			63	2.22		126	4.45		125	4.41		124	4.38		1122	39.59		1274	44.95		2834	
	SECOND				Excluded		27	42.86		14	22.22		7	11.11		7	11.11		8	12.70		63	
		TOTAL					153	5.40		139	4.90		131	4.62		1129	39.84		1282	45.24		2834	
	THIRD						21	16.03		31	23.66			Excluded		25	19.08		54	41.22		131	
		TOTAL					174	6.14		170	6.00					1154	40.72		1336	47.14		2834	
	FOURTH							Excluded		110	63.22					36	20.69		28	16.09		174	
		TOTAL								280	9.88					1190	41.99		1364	48.13		2834	
	FIFTH										Excluded					196	70.00		84	30.00		280	
		TOTAL														1386	48.91		1448	51.09		2834	
																			Elected				
																							
Kallaroo                                                       																							
	FIRST			93	3.11		133	4.45		160	5.35		128	4.28		844	28.21		1634	54.61		2992	
	SECOND				Excluded		26	27.96		38	40.86		8	8.60		8	8.60		13	13.98		93	
		TOTAL					159	5.31		198	6.62		136	4.55		852	28.48		1647	55.05		2992	
	THIRD						21	15.44		31	22.79			Excluded		30	22.06		54	39.71		136	
		TOTAL					180	6.02		229	7.65					882	29.48		1701	56.85		2992	
	FOURTH							Excluded		123	68.33					23	12.78		34	18.89		180	
		TOTAL								352	11.76					905	30.25		1735	57.99		2992	
	FIFTH										Excluded					242	68.75		110	31.25		352	
		TOTAL														1147	38.34		1845	61.66		2992	
																			Elected				
																							
Kinross                                                        																							
	FIRST			54	2.06		103	3.93		98	3.74		116	4.43		1054	40.24		1194	45.59		2619	
	SECOND				Excluded		21	38.89		8	14.81		4	7.41		4	7.41		17	31.48		54	
		TOTAL					124	4.73		106	4.05		120	4.58		1058	40.40		1211	46.24		2619	
	THIRD						16	13.33		19	15.83			Excluded		31	25.83		54	45.00		120	
		TOTAL					140	5.35		125	4.77					1089	41.58		1265	48.30		2619	
	FOURTH							Excluded		76	54.29					29	20.71		35	25.00		140	
		TOTAL								201	7.67					1118	42.69		1300	49.64		2619	
	FIFTH										Excluded					155	77.11		46	22.89		201	
		TOTAL														1273	48.61		1346	51.39		2619	
																			Elected				
																							
Marmion                                                        																							
	FIRST			31	1.78		79	4.54		110	6.32		41	2.36		518	29.77		961	55.23		1740	
	SECOND				Excluded		5	16.13		8	25.81		2	6.45		1	3.23		15	48.39		31	
		TOTAL					84	4.83		118	6.78		43	2.47		519	29.83		976	56.09		1740	
	THIRD						4	9.30		7	16.28			Excluded		6	13.95		26	60.47		43	
		TOTAL					88	5.06		125	7.18					525	30.17		1002	57.59		1740	
	FOURTH							Excluded		48	54.55					24	27.27		16	18.18		88	
		TOTAL								173	9.94					549	31.55		1018	58.51		1740	
	FIFTH										Excluded					122	70.52		51	29.48		173	
		TOTAL														671	38.56		1069	61.44		1740	
																			Elected				
																							
Mullaloo                                                       																							
	FIRST			74	2.67		144	5.20		175	6.32		113	4.08		990	35.75		1273	45.97		2769	
	SECOND				Excluded		17	22.97		32	43.24		4	5.41		10	13.51		11	14.86		74	
		TOTAL					161	5.81		207	7.48		117	4.23		1000	36.11		1284	46.37		2769	
	THIRD						17	14.53		30	25.64			Excluded		25	21.37		45	38.46		117	
		TOTAL					178	6.43		237	8.56					1025	37.02		1329	48.00		2769	
	FOURTH							Excluded		119	66.85					34	19.10		25	14.04		178	
		TOTAL								356	12.86					1059	38.24		1354	48.90		2769	
	FIFTH										Excluded					253	71.07		103	28.93		356	
		TOTAL														1312	47.38		1457	52.62		2769	
																			Elected				
																							
North Beach Central (Moore)                                    																							
	FIRST			5	1.12		11	2.46		41	9.17		8	1.79		115	25.73		267	59.73		447	
	SECOND				Excluded		2	40.00		2	40.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL					13	2.91		43	9.62		8	1.79		115	25.73		268	59.96		447	
	THIRD						5	62.50		1	12.50			Excluded		2	25.00		0	0.00		8	
		TOTAL					18	4.03		44	9.84					117	26.17		268	59.96		447	
	FOURTH							Excluded		13	72.22					0	0.00		5	27.78		18	
		TOTAL								57	12.75					117	26.17		273	61.07		447	
	FIFTH										Excluded					45	78.95		12	21.05		57	
		TOTAL														162	36.24		285	63.76		447	
																			Elected				
																							
Ocean Reef                                                     																							
	FIRST			61	2.09		137	4.69		133	4.55		129	4.42		970	33.21		1491	51.04		2921	
	SECOND				Excluded		21	34.43		15	24.59		8	13.11		7	11.48		10	16.39		61	
