House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
					Wilson			Alistair			Carole			Stephan			Vicki			Sandy			Terry Kay			Ron			Donna			Mark Hamilton			
					LP			CTA			DEM			IND			NP			GWA			CEC			HAN			LFF			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Albany                                                         																																			
	FIRST			419	37.54		41	3.67		49	4.39		17	1.52		46	4.12		128	11.47		14	1.25		101	9.05		31	2.78		270	24.19		1116	
	SECOND			3	21.43		2	14.29		0	0.00		0	0.00		1	7.14		1	7.14			Excluded		1	7.14		2	14.29		4	28.57		14	
		TOTAL		422	37.81		43	3.85		49	4.39		17	1.52		47	4.21		129	11.56					102	9.14		33	2.96		274	24.55		1116	
	THIRD			1	5.88		2	11.76		6	35.29			Excluded		2	11.76		1	5.88					4	23.53		0	0.00		1	5.88		17	
		TOTAL		423	37.90		45	4.03		55	4.93					49	4.39		130	11.65					106	9.50		33	2.96		275	24.64		1116	
	FOURTH			7	21.21		1	3.03		2	6.06					2	6.06		13	39.39					3	9.09			Excluded		5	15.15		33	
		TOTAL		430	38.53		46	4.12		57	5.11					51	4.57		143	12.81					109	9.77					280	25.09		1116	
	FIFTH			5	8.77		6	10.53			Excluded					7	12.28		27	47.37					1	1.75					11	19.30		57	
		TOTAL		435	38.98		52	4.66								58	5.20		170	15.23					110	9.86					291	26.08		1116	
	SIXTH			28	53.85			Excluded								8	15.38		3	5.77					10	19.23					3	5.77		52	
		TOTAL		463	41.49											66	5.91		173	15.50					120	10.75					294	26.34		1116	
	SEVENTH			18	10.40											32	18.50			Excluded					24	13.87					99	57.23		173	
		TOTAL		481	43.10											98	8.78								144	12.90					393	35.22		1116	
