House of Representatives - 2001 Election: Western Australia																										
Distribution of Preferences																										
By Polling Place																										
																										
Stirling																										
					OLVER			AQUILINA			JASPER			CRONIN			MCENCROE			MCFARLANE			THOROGOOD			
					Pat			Heather			Perry			Bob			Keith John			Jann			Keith			
					DEM			GWA			LFF			LP			CTA			ALP			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Balcatta                                                       																										
	FIRST			126	5.82		104	4.80		20	0.92		717	33.12		29	1.34		1081	49.93		88	4.06		2165	
	SECOND			2	6.90		7	24.14		1	3.45		13	44.83			Excluded		5	17.24		1	3.45		29	
		TOTAL		128	5.91		111	5.13		21	0.97		730	33.72					1086	50.16		89	4.11		2165	
	THIRD			1	4.76		7	33.33			Excluded		10	47.62					2	9.52		1	4.76		21	
		TOTAL		129	5.96		118	5.45					740	34.18					1088	50.25		90	4.16		2165	
	FOURTH			10	11.11		20	22.22					27	30.00					33	36.67			Excluded		90	
		TOTAL		139	6.42		138	6.37					767	35.43					1121	51.78					2165	
	FIFTH				Excluded		88	63.31					22	15.83					29	20.86					139	
		TOTAL					226	10.44					789	36.44					1150	53.12					2165	
	SIXTH							Excluded					93	41.15					133	58.85					226	
		TOTAL											882	40.74					1283	59.26					2165	
																			Elected							
																										
Balcatta Central                                               																										
	FIRST			151	4.88		121	3.91		27	0.87		1152	37.20		47	1.52		1499	48.40		100	3.23		3097	
	SECOND			6	12.77		14	29.79		4	8.51		11	23.40			Excluded		9	19.15		3	6.38		47	
		TOTAL		157	5.07		135	4.36		31	1.00		1163	37.55					1508	48.69		103	3.33		3097	
	THIRD			9	29.03		5	16.13			Excluded		14	45.16					1	3.23		2	6.45		31	
		TOTAL		166	5.36		140	4.52					1177	38.00					1509	48.72		105	3.39		3097	
	FOURTH			16	15.24		18	17.14					22	20.95					49	46.67			Excluded		105	
		TOTAL		182	5.88		158	5.10					1199	38.71					1558	50.31					3097	
	FIFTH				Excluded		110	60.44					33	18.13					39	21.43					182	
		TOTAL					268	8.65					1232	39.78					1597	51.57					3097	
	SIXTH							Excluded					131	48.88					137	51.12					268	
		TOTAL											1363	44.01					1734	55.99					3097	
																			Elected							
																										
Balcatta East                                                  																										
	FIRST			19	4.57		18	4.33		4	0.96		132	31.73		6	1.44		220	52.88		17	4.09		416	
	SECOND			0	0.00		0	0.00		1	16.67		4	66.67			Excluded		1	16.67		0	0.00		6	
		TOTAL		19	4.57		18	4.33		5	1.20		136	32.69					221	53.13		17	4.09		416	
	THIRD			2	40.00		0	0.00			Excluded		2	40.00					0	0.00		1	20.00		5	
		TOTAL		21	5.05		18	4.33					138	33.17					221	53.13		18	4.33		416	
	FOURTH			2	11.11		4	22.22					4	22.22					8	44.44			Excluded		18	
		TOTAL		23	5.53		22	5.29					142	34.13					229	55.05					416	
	FIFTH				Excluded		14	60.87					3	13.04					6	26.09					23	
		TOTAL					36	8.65					145	34.86					235	56.49					416	
	SIXTH							Excluded					19	52.78					17	47.22					36	
		TOTAL											164	39.42					252	60.58					416	
																			Elected							
																										
Balcatta North                                                 																										
	FIRST			91	4.87		71	3.80		17	0.91		735	39.35		24	1.28		871	46.63		59	3.16		1868	
	SECOND			0	0.00		4	16.67		1	4.17		12	50.00			Excluded		3	12.50		4	16.67		24	
		TOTAL		91	4.87		75	4.01		18	0.96		747	39.99					874	46.79		63	3.37		1868	
	THIRD			2	11.11		8	44.44			Excluded		4	22.22					4	22.22		0	0.00		18	
		TOTAL		93	4.98		83	4.44					751	40.20					878	47.00		63	3.37		1868	
	FOURTH			13	20.63		11	17.46					13	20.63					26	41.27			Excluded		63	
		TOTAL		106	5.67		94	5.03					764	40.90					904	48.39					1868	
	FIFTH				Excluded		65	61.32					15	14.15					26	24.53					106	
		TOTAL					159	8.51					779	41.70					930	49.79					1868	
	SIXTH							Excluded					61	38.36					98	61.64					159	
		TOTAL											840	44.97					1028	55.03					1868	
																			Elected							
																										
Balga                                                          																										
	FIRST			118	5.13		127	5.52		18	0.78		450	19.55		34	1.48		1363	59.21		192	8.34		2302	
	SECOND			5	14.71		10	29.41		3	8.82		5	14.71			Excluded		9	26.47		2	5.88		34	
		TOTAL		123	5.34		137	5.95		21	0.91		455	19.77					1372	59.60		194	8.43		2302	
	THIRD			2	9.52		6	28.57			Excluded		10	47.62					1	4.76		2	9.52		21	
		TOTAL		125	5.43		143	6.21					465	20.20					1373	59.64		196	8.51		2302	
	FOURTH			26	13.27		35	17.86					31	15.82					104	53.06			Excluded		196	
		TOTAL		151	6.56		178	7.73					496	21.55					1477	64.16					2302	
	FIFTH				Excluded		99	65.56					16	10.60					36	23.84					151	
		TOTAL					277	12.03					512	22.24					1513	65.73					2302	
	SIXTH							Excluded					107	38.63					170	61.37					277	
		TOTAL											619	26.89					1683	73.11					2302	
																			Elected							
																										
Balga North                                                    																										
	FIRST			57	3.43		79	4.76		13	0.78		380	22.89		36	2.17		948	57.11		147	8.86		1660	
	SECOND			6	16.67		4	11.11		1	2.78		13	36.11			Excluded		6	16.67		6	16.67		36	
		TOTAL		63	3.80		83	5.00		14	0.84		393	23.67					954	57.47		153	9.22		1660	
	THIRD			1	7.14		3	21.43			Excluded		8	57.14					1	7.14		1	7.14		14	
		TOTAL		64	3.86		86	5.18					401	24.16					955	57.53		154	9.28		1660	
	FOURTH			25	16.23		31	20.13					26	16.88					72	46.75			Excluded		154	
		TOTAL		89	5.36		117	7.05					427	25.72					1027	61.87					1660	
	FIFTH				Excluded		58	65.17					11	12.36					20	22.47					89	
		TOTAL					175	10.54					438	26.39					1047	63.07					1660	
	SIXTH							Excluded					58	33.14					117	66.86					175	
		TOTAL											496	29.88					1164	70.12					1660	
																			Elected							
																										
Carine                                                         																										
	FIRST			201	5.92		159	4.68		50	1.47		1886	55.52		39	1.15		964	28.38		98	2.88		3397	
	SECOND			6	15.38		3	7.69		1	2.56		22	56.41			Excluded		3	7.69		4	10.26		39	
		TOTAL		207	6.09		162	4.77		51	1.50		1908	56.17					967	28.47		102	3.00		3397	
	THIRD			3	5.88		23	45.10			Excluded		16	31.37					6	11.76		3	5.88		51	
		TOTAL		210	6.18		185	5.45					1924	56.64					973	28.64		105	3.09		3397	
	FOURTH			10	9.52		22	20.95					29	27.62					44	41.90			Excluded		105	
		TOTAL		220	6.48		207	6.09					1953	57.49					1017	29.94					3397	
	FIFTH				Excluded		122	55.45					55	25.00					43	19.55					220	
