Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Canning (76632)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Armadale		6	0.17		1	0.03		3	0.09		153	4.41		11	0.32		1061	30.59		30	0.87		2	0.06		350	10.09		36	1.04		3	0.09		13	0.37		1	0.03		45	1.30		141	4.07		1464	42.21		148	4.27		0	0.00		3468	95.09		179	4.91		3647	4.97
	Armadale East		5	0.22		1	0.04		0	0.00		109	4.70		2	0.09		1058	45.58		23	0.99		1	0.04		153	6.59		21	0.90		0	0.00		6	0.26		0	0.00		3	0.13		94	4.05		720	31.02		123	5.30		2	0.09		2321	96.23		91	3.77		2412	3.29
	Armadale North		3	0.25		4	0.34		1	0.08		61	5.16		2	0.17		401	33.93		15	1.27		1	0.08		101	8.54		16	1.35		0	0.00		5	0.42		1	0.08		11	0.93		44	3.72		465	39.34		51	4.31		0	0.00		1182	94.71		66	5.29		1248	1.70
	Armadale South		1	0.13		3	0.40		1	0.13		29	3.89		0	0.00		268	35.92		6	0.80		2	0.27		64	8.58		15	2.01		1	0.13		7	0.94		0	0.00		5	0.67		18	2.41		298	39.95		28	3.75		0	0.00		746	94.79		41	5.21		787	1.07
	Armadale West		4	0.22		1	0.06		4	0.22		75	4.20		9	0.50		517	28.93		12	0.67		0	0.00		143	8.00		17	0.95		0	0.00		11	0.62		0	0.00		27	1.51		91	5.09		792	44.32		82	4.59		2	0.11		1787	96.28		69	3.72		1856	2.53
	Barragup		17	1.19		2	0.14		0	0.00		21	1.47		0	0.00		640	44.88		10	0.70		1	0.07		151	10.59		17	1.19		1	0.07		4	0.28		0	0.00		14	0.98		41	2.88		451	31.63		55	3.86		1	0.07		1426	94.94		76	5.06		1502	2.05
	Bedfordale		3	0.66		2	0.44		0	0.00		22	4.82		0	0.00		231	50.66		12	2.63		1	0.22		29	6.36		4	0.88		0	0.00		1	0.22		0	0.00		0	0.00		21	4.61		100	21.93		30	6.58		0	0.00		456	97.44		12	2.56		468	0.64
	Brookdale		3	0.36		0	0.00		0	0.00		24	2.92		2	0.24		223	27.10		5	0.61		0	0.00		59	7.17		9	1.09		1	0.12		5	0.61		0	0.00		15	1.82		43	5.22		387	47.02		47	5.71		0	0.00		823	97.51		21	2.49		844	1.15
	Byford		6	0.26		1	0.04		0	0.00		87	3.73		4	0.17		1051	45.11		26	1.12		1	0.04		217	9.31		26	1.12		0	0.00		9	0.39		0	0.00		12	0.52		93	3.99		692	29.70		105	4.51		0	0.00		2330	96.24		91	3.76		2421	3.30
