Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Cowan (79648)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Alexander Heights		13	0.53		2	0.08		1	0.04		47	1.92		1	0.04		894	36.43		19	0.77		2	0.08		112	4.56		19	0.77		1	0.04		8	0.33		0	0.00		14	0.57		152	6.19		1086	44.25		82	3.34		1	0.04		2454	96.50		89	3.50		2543	3.32
	Alexander Heights West		7	0.40		1	0.06		0	0.00		26	1.50		2	0.12		530	30.49		7	0.40		1	0.06		108	6.21		15	0.86		0	0.00		7	0.40		0	0.00		16	0.92		91	5.24		872	50.17		55	3.16		0	0.00		1738	97.37		47	2.63		1785	2.33
	Ballajura		11	0.54		4	0.20		2	0.10		34	1.68		1	0.05		786	38.93		13	0.64		1	0.05		102	5.05		12	0.59		0	0.00		2	0.10		0	0.00		13	0.64		97	4.80		869	43.04		71	3.52		1	0.05		2019	96.83		66	3.17		2085	2.72
	Ballajura Central		15	0.49		4	0.13		3	0.10		37	1.20		0	0.00		1075	34.95		17	0.55		6	0.20		173	5.62		16	0.52		4	0.13		3	0.10		2	0.07		28	0.91		177	5.75		1420	46.16		94	3.06		2	0.07		3076	96.25		120	3.75		3196	4.17
	Ballajura South		10	0.42		2	0.08		3	0.13		25	1.05		2	0.08		609	25.61		15	0.63		2	0.08		99	4.16		7	0.29		1	0.04		14	0.59		0	0.00		33	1.39		145	6.10		1360	57.19		49	2.06		2	0.08		2378	95.89		102	4.11		2480	3.23
	Ballajura West		10	0.48		1	0.05		0	0.00		26	1.24		1	0.05		824	39.43		11	0.53		1	0.05		99	4.74		10	0.48		5	0.24		8	0.38		0	0.00		14	0.67		119	5.69		899	43.01		61	2.92		1	0.05		2090	97.07		63	2.93		2153	2.81
	Banksia Grove		1	0.26		1	0.26		0	0.00		3	0.77		0	0.00		132	34.02		3	0.77		0	0.00		33	8.51		1	0.26		0	0.00		0	0.00		0	0.00		3	0.77		16	4.12		182	46.91		13	3.35		0	0.00		388	97.24		11	2.76		399	0.52
	Camboon		10	0.45		4	0.18		0	0.00		14	0.63		1	0.04		1023	45.75		32	1.43		5	0.22		103	4.61		29	1.30		0	0.00		8	0.36		0	0.00		19	0.85		111	4.96		802	35.87		74	3.31		1	0.04		2236	94.59		128	5.41		2364	3.08
	Girrawheen		16	0.80		2	0.10		3	0.15		37	1.84		4	0.20		409	20.37		14	0.70		1	0.05		117	5.83		8	0.40		5	0.25		4	0.20		0	0.00		28	1.39		74	3.69		1197	59.61		89	4.43		0	0.00		2008	95.89		86	4.11		2094	2.73
