Senate - 2001 Election: Western Australia																																																		5														
First Preference Votes by Group 																																																																
By Polling Place																																																																
Forrest (82248)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Acton Park		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		94	56.97		12	7.27		0	0.00		25	15.15		5	3.03		1	0.61		1	0.61		0	0.00		0	0.00		4	2.42		17	10.30		6	3.64		0	0.00		165	96.49		6	3.51		171	0.22
	Alexandra Bridge		0	0.00		1	0.70		0	0.00		0	0.00		0	0.00		82	57.34		10	6.99		0	0.00		24	16.78		6	4.20		0	0.00		0	0.00		0	0.00		0	0.00		4	2.80		14	9.79		2	1.40		0	0.00		143	96.62		5	3.38		148	0.19
	Allanson		6	1.65		2	0.55		0	0.00		2	0.55		1	0.28		83	22.87		7	1.93		2	0.55		62	17.08		7	1.93		1	0.28		1	0.28		0	0.00		5	1.38		9	2.48		156	42.98		19	5.23		0	0.00		363	98.64		5	1.36		368	0.47
	Augusta		1	0.13		0	0.00		2	0.26		2	0.26		1	0.13		381	50.40		24	3.17		0	0.00		91	12.04		21	2.78		0	0.00		1	0.13		0	0.00		4	0.53		23	3.04		152	20.11		52	6.88		1	0.13		756	94.97		40	5.03		796	1.01
	Australind		3	0.11		0	0.00		1	0.04		20	0.71		2	0.07		1308	46.42		64	2.27		0	0.00		255	9.05		82	2.91		5	0.18		2	0.07		0	0.00		16	0.57		140	4.97		790	28.03		130	4.61		0	0.00		2818	97.04		86	2.96		2904	3.68
	Australind East		1	0.44		0	0.00		0	0.00		3	1.32		1	0.44		103	45.37		1	0.44		0	0.00		19	8.37		8	3.52		0	0.00		0	0.00		0	0.00		0	0.00		22	9.69		66	29.07		3	1.32		0	0.00		227	97.84		5	2.16		232	0.29
	Australind North		0	0.00		8	1.80		1	0.22		5	1.12		1	0.22		186	41.80		10	2.25		0	0.00		37	8.31		4	0.90		0	0.00		1	0.22		0	0.00		1	0.22		29	6.52		143	32.13		19	4.27		0	0.00		445	96.53		16	3.47		461	0.58
	Balingup		0	0.00		1	0.29		0	0.00		2	0.58		2	0.58		143	41.33		6	1.73		0	0.00		33	9.54		10	2.89		0	0.00		2	0.58		0	0.00		0	0.00		18	5.20		63	18.21		66	19.08		0	0.00		346	96.11		14	3.89		360	0.46
	Binningup		1	0.18		1	0.18		0	0.00		9	1.64		1	0.18		270	49.27		8	1.46		0	0.00		49	8.94		14	2.55		0	0.00		2	0.36		0	0.00		3	0.55		11	2.01		141	25.73		38	6.93		0	0.00		548	95.64		25	4.36		573	0.73
