Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Kalgoorlie (82534)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Ajana		0	0.00		0	0.00		0	0.00		0	0.00		1	0.88		58	50.88		24	21.05		0	0.00		11	9.65		2	1.75		0	0.00		0	0.00		0	0.00		1	0.88		1	0.88		16	14.04		0	0.00		0	0.00		114	92.68		9	7.32		123	0.17
	Argyle		0	0.00		1	1.85		0	0.00		1	1.85		0	0.00		18	33.33		1	1.85		0	0.00		11	20.37		1	1.85		0	0.00		0	0.00		0	0.00		0	0.00		2	3.70		17	31.48		2	3.70		0	0.00		54	100.00		0	0.00		54	0.08
	Balgo		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		10	6.17		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		2	1.23		0	0.00		5	3.09		6	3.70		129	79.63		7	4.32		0	0.00		162	94.74		9	5.26		171	0.24
	Bodallin		0	0.00		0	0.00		0	0.00		1	1.56		0	0.00		25	39.06		13	20.31		0	0.00		12	18.75		0	0.00		1	1.56		0	0.00		0	0.00		1	1.56		2	3.13		8	12.50		1	1.56		0	0.00		64	96.97		2	3.03		66	0.09
	Boulder		7	0.28		1	0.04		5	0.20		28	1.10		4	0.16		845	33.20		30	1.18		3	0.12		438	17.21		17	0.67		3	0.12		6	0.24		0	0.00		31	1.22		101	3.97		960	37.72		66	2.59		0	0.00		2545	95.71		114	4.29		2659	3.70
	Broome		9	0.34		2	0.07		3	0.11		13	0.49		3	0.11		918	34.28		29	1.08		0	0.00		166	6.20		26	0.97		2	0.07		10	0.37		1	0.04		29	1.08		138	5.15		1071	39.99		258	9.63		0	0.00		2678	96.96		84	3.04		2762	3.84
	Broome West		6	0.43		0	0.00		0	0.00		6	0.43		1	0.07		570	40.86		18	1.29		0	0.00		98	7.03		4	0.29		2	0.14		1	0.07		0	0.00		12	0.86		62	4.44		486	34.84		129	9.25		0	0.00		1395	97.55		35	2.45		1430	1.99
	Bullfinch		0	0.00		0	0.00		0	0.00		1	2.27		0	0.00		19	43.18		1	2.27		0	0.00		13	29.55		0	0.00		0	0.00		1	2.27		0	0.00		0	0.00		2	4.55		6	13.64		1	2.27		0	0.00		44	95.65		2	4.35		46	0.06
	Burracoppin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		41	57.75		14	19.72		0	0.00		9	12.68		0	0.00		0	0.00		0	0.00		0	0.00		1	1.41		2	2.82		4	5.63		0	0.00		0	0.00		71	98.61		1	1.39		72	0.10
