Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Moore (74103)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Beldon		9	0.42		7	0.33		0	0.00		24	1.12		2	0.09		777	36.41		7	0.33		0	0.00		155	7.26		34	1.59		0	0.00		11	0.52		0	0.00		14	0.66		149	6.98		832	38.99		110	5.15		3	0.14		2134	96.43		79	3.57		2213	3.11
	Burns Beach		0	0.00		0	0.00		0	0.00		1	0.35		0	0.00		139	48.94		0	0.00		0	0.00		12	4.23		5	1.76		1	0.35		2	0.70		0	0.00		0	0.00		11	3.87		100	35.21		13	4.58		0	0.00		284	99.30		2	0.70		286	0.40
	Connolly		1	0.05		12	0.58		0	0.00		18	0.87		2	0.10		1072	51.71		21	1.01		0	0.00		89	4.29		18	0.87		0	0.00		5	0.24		2	0.10		11	0.53		150	7.24		583	28.12		89	4.29		0	0.00		2073	97.69		49	2.31		2122	2.99
	Craigie		25	0.75		6	0.18		2	0.06		62	1.85		3	0.09		1087	32.48		16	0.48		1	0.03		245	7.32		36	1.08		1	0.03		6	0.18		0	0.00		21	0.63		269	8.04		1366	40.81		201	6.01		0	0.00		3347	96.62		117	3.38		3464	4.87
	Currambine		7	0.28		5	0.20		1	0.04		28	1.11		1	0.04		1103	43.61		15	0.59		3	0.12		118	4.67		19	0.75		2	0.08		4	0.16		0	0.00		18	0.71		155	6.13		954	37.72		95	3.76		1	0.04		2529	98.21		46	1.79		2575	3.62
	Duncraig		8	0.27		7	0.23		4	0.13		37	1.24		0	0.00		1419	47.59		36	1.21		2	0.07		119	3.99		50	1.68		4	0.13		1	0.03		0	0.00		11	0.37		212	7.11		906	30.38		164	5.50		2	0.07		2982	97.74		69	2.26		3051	4.29
	Duncraig East (Moore)		10	0.54		6	0.33		1	0.05		27	1.46		2	0.11		1065	57.69		32	1.73		0	0.00		53	2.87		29	1.57		1	0.05		3	0.16		4	0.22		4	0.22		121	6.55		400	21.67		87	4.71		1	0.05		1846	97.83		41	2.17		1887	2.66
	Duncraig North		7	0.31		8	0.35		1	0.04		30	1.32		3	0.13		1134	49.76		38	1.67		0	0.00		107	4.70		27	1.18		1	0.04		1	0.04		1	0.04		10	0.44		164	7.20		632	27.73		115	5.05		0	0.00		2279	98.15		43	1.85		2322	3.27
	Duncraig South		5	0.24		2	0.10		0	0.00		23	1.12		1	0.05		1159	56.32		53	2.58		0	0.00		77	3.74		40	1.94		2	0.10		2	0.10		0	0.00		6	0.29		142	6.90		449	21.82		97	4.71		0	0.00		2058	97.44		54	2.56		2112	2.97
