Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
O'Connor (83118)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Albany		7	0.62		0	0.00		0	0.00		42	3.69		3	0.26		417	36.68		37	3.25		0	0.00		131	11.52		20	1.76		0	0.00		5	0.44		0	0.00		9	0.79		64	5.63		278	24.45		123	10.82		1	0.09		1137	96.44		42	3.56		1179	1.48
	Albany Central		4	0.32		2	0.16		2	0.16		30	2.41		1	0.08		482	38.65		53	4.25		1	0.08		146	11.71		25	2.00		0	0.00		3	0.24		0	0.00		7	0.56		57	4.57		282	22.61		150	12.03		2	0.16		1247	96.44		46	3.56		1293	1.63
	Albany Regional Hospital		3	0.65		0	0.00		1	0.22		24	5.23		0	0.00		162	35.29		20	4.36		0	0.00		66	14.38		1	0.22		0	0.00		0	0.00		0	0.00		8	1.74		27	5.88		116	25.27		31	6.75		0	0.00		459	96.43		17	3.57		476	0.60
	Ardath		1	1.79		0	0.00		0	0.00		0	0.00		0	0.00		28	50.00		16	28.57		0	0.00		9	16.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		56	100.00		0	0.00		56	0.07
	Arthur River		1	0.72		0	0.00		0	0.00		2	1.44		0	0.00		70	50.36		33	23.74		0	0.00		13	9.35		4	2.88		0	0.00		0	0.00		0	0.00		0	0.00		1	0.72		12	8.63		2	1.44		1	0.72		139	95.86		6	4.14		145	0.18
	Badgebup		0	0.00		0	0.00		0	0.00		2	3.39		0	0.00		26	44.07		16	27.12		0	0.00		13	22.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.39		0	0.00		0	0.00		59	98.33		1	1.67		60	0.08
	Badgingarra		2	1.12		0	0.00		0	0.00		2	1.12		3	1.68		110	61.45		29	16.20		0	0.00		14	7.82		2	1.12		0	0.00		0	0.00		0	0.00		1	0.56		1	0.56		10	5.59		5	2.79		0	0.00		179	98.90		2	1.10		181	0.23
	Ballidu		2	1.30		0	0.00		0	0.00		1	0.65		0	0.00		98	63.64		25	16.23		0	0.00		16	10.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	5.84		3	1.95		0	0.00		154	95.65		7	4.35		161	0.20
	Bayonet Head		8	0.79		0	0.00		0	0.00		33	3.27		0	0.00		433	42.96		90	8.93		0	0.00		116	11.51		11	1.09		1	0.10		1	0.10		0	0.00		4	0.40		32	3.17		239	23.71		40	3.97		0	0.00		1008	97.58		25	2.42		1033	1.30
