Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Pearce (77880)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Bakers Hill		0	0.00		1	0.18		0	0.00		8	1.42		1	0.18		218	38.79		36	6.41		0	0.00		99	17.62		7	1.25		1	0.18		1	0.18		0	0.00		1	0.18		19	3.38		140	24.91		29	5.16		1	0.18		562	95.42		27	4.58		589	0.79
	Beverley		4	0.53		0	0.00		1	0.13		8	1.06		12	1.59		313	41.57		86	11.42		0	0.00		124	16.47		3	0.40		0	0.00		5	0.66		0	0.00		4	0.53		18	2.39		157	20.85		18	2.39		0	0.00		753	93.42		53	6.58		806	1.08
	Bindoon		4	0.51		0	0.00		0	0.00		8	1.02		1	0.13		405	51.59		32	4.08		0	0.00		108	13.76		7	0.89		1	0.13		1	0.13		0	0.00		0	0.00		31	3.95		152	19.36		34	4.33		1	0.13		785	96.56		28	3.44		813	1.09
	Boddington		6	0.95		0	0.00		0	0.00		5	0.79		1	0.16		287	45.34		45	7.11		0	0.00		73	11.53		6	0.95		0	0.00		1	0.16		0	0.00		6	0.95		18	2.84		162	25.59		23	3.63		0	0.00		633	96.05		26	3.95		659	0.89
	Brookton		1	0.20		0	0.00		1	0.20		6	1.23		3	0.61		212	43.44		113	23.16		0	0.00		47	9.63		8	1.64		0	0.00		3	0.61		0	0.00		3	0.61		6	1.23		74	15.16		11	2.25		0	0.00		488	95.50		23	4.50		511	0.69
	Bullsbrook		4	0.24		0	0.00		1	0.06		11	0.67		2	0.12		772	46.82		24	1.46		1	0.06		195	11.83		14	0.85		1	0.06		5	0.30		0	0.00		6	0.36		85	5.15		422	25.59		102	6.19		4	0.24		1649	95.76		73	4.24		1722	2.31
	Carmel		1	0.28		0	0.00		0	0.00		6	1.69		0	0.00		199	56.21		12	3.39		0	0.00		21	5.93		4	1.13		0	0.00		2	0.56		0	0.00		3	0.85		21	5.93		60	16.95		25	7.06		0	0.00		354	95.42		17	4.58		371	0.50
	Chidlow		2	0.22		0	0.00		1	0.11		21	2.36		2	0.22		351	39.39		22	2.47		1	0.11		84	9.43		13	1.46		0	0.00		1	0.11		0	0.00		4	0.45		57	6.40		246	27.61		84	9.43		2	0.22		891	95.19		45	4.81		936	1.26
	Clarkson		5	0.24		2	0.10		0	0.00		21	1.01		1	0.05		631	30.50		16	0.77		1	0.05		153	7.39		20	0.97		1	0.05		3	0.14		0	0.00		19	0.92		115	5.56		962	46.50		116	5.61		3	0.14		2069	97.50		53	2.50		2122	2.85
